Se-74(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 2609.01
1.25000E-05 2334.34
1.50000E-05 2131.58
2.00000E-05 1846.98
2.75000E-05 1576.18
3.50000E-05 1397.96
4.25000E-05 1269.31
5.00000E-05 1170.81
6.25000E-05 1047.97
7.50000E-05 957.300
0.000100000 830.022
0.000125000 743.164
0.000150000 679.048
0.000200000 589.050
0.000275000 503.417
0.000350000 447.061
0.000425000 406.376
0.000500000 375.230
0.000625000 336.387
0.000750000 307.714
0.00100000 267.467
0.00125000 240.002
0.00150000 219.728
0.00200000 191.270
0.00275000 164.194
0.00350000 146.375
0.00425000 133.512
0.00500000 123.664
0.00625000 111.384
0.00750000 102.320
0.0100000 89.5977
0.0125000 80.9167
0.0150000 74.5094
0.0200000 65.5170
0.0253000 59.0726
0.0314750 53.7289
0.0376500 49.7620
0.0500000 44.1654
0.0625000 40.2902
0.0750000 37.4309
0.100000 33.4197
0.125000 30.6844
0.150000 28.6667
0.200000 25.8369
0.275000 23.1476
0.350000 21.3796
0.500000 19.1282
0.750000 17.0121
1.00000 15.7478
1.50000 14.2376
2.00000 13.3236
2.75000 12.4323
3.50000 11.8242
5.00000 11.0061
7.50000 10.1821
10.0000 9.74024
12.5000 9.70813
15.0000 10.4259
17.5000 12.9418
18.1250 14.1503
18.7500 15.7578
19.0625 16.7557
19.2188 17.3134
19.2969 17.6084
19.3750 17.9148
19.4531 18.2332
19.4922 18.3970
19.5313 18.5640
19.5703 18.7344
19.6094 18.9080
19.6875 19.2655
19.7656 19.6374
19.8438 20.0243
20.0000 20.8457
20.2159 22.0960
20.4319 23.4968
20.6478 25.0705
20.8638 26.8432
21.2956 31.1170
21.7275 36.6515
22.1594 43.9381
22.5913 53.7234
23.0231 67.1842
23.4550 86.2546
23.8869 114.289
24.3188 157.491
24.7506 228.360
25.1825 355.054
25.3984 458.786
25.6144 611.948
25.8303 850.463
26.0463 1249.00
26.2622 1982.91
26.3702 2601.52
26.4781 3538.60
26.5861 5040.38
26.6941 7618.19
26.8020 12395.3
26.9100 21685.7
27.0050 35033.6
27.1000 44177.0
27.1950 35653.8
27.2900 22502.4
27.3787 14415.6
27.4674 9679.40
27.5561 6849.02
27.6449 5071.22
27.8223 3086.31
27.9997 2075.67
28.1771 1495.77
28.3545 1133.19
28.7094 722.201
29.0642 506.344
29.4191 378.639
29.7739 296.572
30.1288 240.536
30.8384 170.715
31.5481 130.183
32.2578 104.369
32.9675 86.7988
34.3869 64.8691
35.8063 52.0278
37.2256 43.7427
38.6450 38.0162
41.4838 30.6933
44.3225 26.2448
47.1613 23.2618
50.0000 21.1161
56.2500 17.9771
62.5000 15.9611
75.0000 13.3686
87.5000 11.6115
100.000 10.2153
125.000 7.86192
150.000 5.67612
175.000 3.47401
187.500 2.40392
200.000 1.49799
204.321 1.27855
208.641 1.14799
210.802 1.12880
211.882 1.13367
212.962 1.14954
213.502 1.16197
214.042 1.17759
214.582 1.19659
215.122 1.21912
215.662 1.24539
216.202 1.27559
217.283 1.34862
218.363 1.44005
219.443 1.55189
221.603 1.84629
223.764 2.25385
225.924 2.80270
228.084 3.52905
230.244 4.48004
