55-Cs_n-g
> 55-Cs-133:1.000000
2.904590e+01 4.32905000e-01
2.950820e+01 3.99471000e-01
2.973940e+01 3.85895000e-01
2.997050e+01 4.13007000e-01
3.000000e+01 4.52545000e-01
3.002950e+01 4.09960000e-01
3.012140e+01 3.68803000e-01
3.021330e+01 3.61294000e-01
3.039710e+01 3.51786000e-01
3.076480e+01 3.36519000e-01
3.150000e+01 3.12901000e-01
3.223530e+01 2.96362000e-01
3.260290e+01 2.91487000e-01
3.278670e+01 2.93935000e-01
3.287860e+01 3.07205000e-01
3.292460e+01 3.36830000e-01
3.294750e+01 3.78874000e-01
3.297050e+01 4.80870000e-01
3.300000e+01 6.77456000e-01
3.302950e+01 4.80306000e-01
3.304840e+01 3.89748000e-01
3.306740e+01 3.46314000e-01
3.310520e+01 3.11175000e-01
3.318090e+01 2.91795000e-01
3.333240e+01 2.83069000e-01
3.363520e+01 2.78159000e-01
3.424090e+01 2.74157000e-01
3.545230e+01 2.74801000e-01
3.787500e+01 3.10219000e-01
4.029780e+01 4.23845000e-01
4.150910e+01 5.47981000e-01
4.211480e+01 6.45863000e-01
4.241770e+01 7.11776000e-01
4.256910e+01 7.59508000e-01
4.264480e+01 8.10472000e-01
4.268270e+01 8.80280000e-01
4.272050e+01 1.12127000e+00
4.275000e+01 1.47002000e+00
4.277950e+01 1.13767000e+00
4.280800e+01 9.45208000e-01
4.283640e+01 8.84288000e-01
4.289330e+01 8.57619000e-01
4.300710e+01 8.74249000e-01
4.323480e+01 9.47582000e-01
4.369000e+01 1.15023000e+00
4.414530e+01 1.44797000e+00
4.437290e+01 1.67239000e+00
4.448670e+01 1.87945000e+00
4.454360e+01 2.15814000e+00
4.457210e+01 2.53604000e+00
4.460050e+01 3.57282000e+00
4.463000e+01 5.31464000e+00
4.465950e+01 3.64510000e+00
4.468170e+01 2.80451000e+00
4.470390e+01 2.46392000e+00
4.474830e+01 2.25369000e+00
4.483710e+01 2.24870000e+00
4.501470e+01 2.49554000e+00
4.537000e+01 3.29820000e+00
4.572520e+01 4.62633000e+00
4.608040e+01 7.01246000e+00
4.625800e+01 8.99021000e+00
4.643560e+01 1.19611000e+01
4.661320e+01 1.67210000e+01
4.679090e+01 2.50550000e+01
4.687970e+01 3.17947000e+01
4.696850e+01 4.16793000e+01
4.705730e+01 5.70055000e+01
4.714610e+01 8.25963000e+01
4.719050e+01 1.02339000e+02
4.723490e+01 1.30003000e+02
4.727930e+01 1.70377000e+02
4.732370e+01 2.32360000e+02
4.736810e+01 3.33844000e+02
4.741250e+01 5.13954000e+02
4.743470e+01 6.58833000e+02
4.745690e+01 8.66014000e+02
4.747910e+01 1.16768000e+03
4.750130e+01 1.60531000e+03
4.753570e+01 2.56649000e+03
4.757000e+01 3.20584000e+03
4.760440e+01 2.56417000e+03
4.763870e+01 1.60263000e+03
4.767560e+01 9.53085000e+02
4.771250e+01 6.04319000e+02
4.774940e+01 4.09716000e+02
4.778630e+01 2.93517000e+02
4.782320e+01 2.19581000e+02
4.786010e+01 1.70018000e+02
4.793390e+01 1.10135000e+02
4.800770e+01 7.69133000e+01
4.808150e+01 5.66651000e+01
4.822900e+01 3.43512000e+01
4.837660e+01 2.30059000e+01
4.852420e+01 1.64723000e+01
4.867180e+01 1.23727000e+01
4.881940e+01 9.63428000e+00
4.911450e+01 6.31954000e+00
4.940970e+01 4.46753000e+00
4.970480e+01 3.32958000e+00
5.000000e+01 2.58106000e+00
5.050380e+01 1.78713000e+00
5.100760e+01 1.31671000e+00
5.201510e+01 8.10957000e-01
5.302270e+01 5.59504000e-01
5.403030e+01 4.16840000e-01
5.604540e+01 2.70528000e-01
5.705290e+01 2.31721000e-01
