Mg-25(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
212503 9.41866E-05
215002 0.000100043
220000 0.000121107
220000 0.000936288
300000 0.000736561
400000 0.000596544
500000 0.000511634
600000 0.000455291
608720 0.000451288
700000 0.000378116
800000 0.000343685
900000 0.000319362
1.00000E+06 0.000308134
1.01415E+06 0.000306018
1.01415E+06 0.000306018
1.13561E+06 0.000281032
1.25708E+06 0.000260332
1.50000E+06 0.000227905
1.67687E+06 0.000218259
2.00000E+06 0.000163041
2.04401E+06 0.000160413
2.04402E+06 0.000160413
2.50000E+06 0.000134401
2.66730E+06 0.000131018
2.84822E+06 0.000127482
2.91418E+06 0.000123604
3.00000E+06 0.000119513
3.17628E+06 0.000116095
3.26939E+06 0.000114403
3.50000E+06 0.000110508
3.54267E+06 0.000110293
3.55151E+06 0.000109349
4.00000E+06 0.000100375
4.06556E+06 9.99320E-05
4.13100E+06 9.87515E-05
4.22348E+06 9.71572E-05
4.44966E+06 9.24318E-05
4.50000E+06 9.16868E-05
4.53539E+06 9.12627E-05
4.90160E+06 8.78340E-05
4.91262E+06 8.76206E-05
5.00000E+06 8.68712E-05
5.21454E+06 8.40829E-05
5.50000E+06 8.05920E-05
6.00000E+06 7.75754E-05
6.50000E+06 8.38681E-05
7.00000E+06 9.21961E-05
7.50000E+06 0.000101701
7.62787E+06 0.000104536
8.00000E+06 0.000112956
8.32296E+06 0.000117814
9.00000E+06 0.000102602
9.05172E+06 9.93398E-05
9.50000E+06 7.56398E-05
1.00000E+07 5.66419E-05
1.02843E+07 4.75096E-05
1.07757E+07 3.54526E-05
1.10000E+07 3.11554E-05
1.20000E+07 1.82267E-05
1.25510E+07 1.36110E-05
1.30000E+07 1.08292E-05
1.30424E+07 1.06210E-05
1.40000E+07 6.96134E-06
1.50000E+07 4.76787E-06
1.60000E+07 3.46282E-06
1.70000E+07 2.59477E-06
1.80000E+07 1.87310E-06
1.90000E+07 1.47374E-06
2.00000E+07 1.16306E-06
