19-K_n-tot
>   19-K-39:0.932690
>   19-K-41:0.067310
1.132730e+03 1.03697582e+00
1.139670e+03 1.03265093e+00
1.153550e+03 1.02807702e+00
1.167430e+03 1.02501406e+00
1.195180e+03 1.02000753e+00
1.222930e+03 1.01549532e+00
1.250000e+03 1.01137640e+00
1.278440e+03 1.00700478e+00
1.333940e+03 9.98938629e-01
1.375000e+03 9.93575327e-01
1.500000e+03 9.76819734e-01
1.555960e+03 9.68925351e-01
1.625000e+03 9.60744815e-01
1.687500e+03 9.52720692e-01
1.750000e+03 9.43960737e-01
1.812500e+03 9.33956963e-01
1.843750e+03 9.28202182e-01
1.875000e+03 9.21692049e-01
1.906250e+03 9.14177383e-01
1.921880e+03 9.10003413e-01
1.937500e+03 9.05657108e-01
1.953130e+03 9.01560342e-01
1.960940e+03 8.99988267e-01
1.968750e+03 8.99243296e-01
1.972660e+03 8.99426228e-01
1.976560e+03 9.00203687e-01
1.980470e+03 9.01843407e-01
1.984380e+03 9.04755418e-01
1.988280e+03 9.09580422e-01
1.992190e+03 9.17341302e-01
1.996090e+03 9.29760543e-01
2.000000e+03 9.49855284e-01
2.003550e+03 9.79493511e-01
2.007100e+03 1.02816132e+00
2.010650e+03 1.11240374e+00
2.014200e+03 1.26986584e+00
2.015980e+03 1.40213918e+00
2.017750e+03 1.60023288e+00
2.019530e+03 1.91188367e+00
2.021300e+03 2.43502954e+00
2.023080e+03 3.39423499e+00
2.023960e+03 4.19422335e+00
2.024850e+03 5.38628427e+00
2.025740e+03 7.25287765e+00
2.026630e+03 1.03340845e+01
2.027510e+03 1.57307248e+01
2.028400e+03 2.54370138e+01
2.029310e+03 4.12600189e+01
2.030210e+03 5.28709074e+01
2.031120e+03 4.37078810e+01
2.032030e+03 2.83623753e+01
2.032600e+03 2.13526164e+01
2.033180e+03 1.64120970e+01
2.034320e+03 1.04906977e+01
2.035470e+03 7.36593538e+00
2.036610e+03 5.56132914e+00
2.037760e+03 4.43289027e+00
2.038910e+03 3.68296847e+00
