25-Mn_n-g
>  25-Mn-55:1.000000
1.666460e+03 1.69370000e-01
1.669130e+03 1.59917000e-01
1.679800e+03 1.52370000e-01
1.701150e+03 1.55037000e-01
1.743840e+03 1.66546000e-01
1.829230e+03 1.99222000e-01
1.914610e+03 2.48514000e-01
2.000000e+03 3.24766000e-01
2.096350e+03 4.67065000e-01
2.192700e+03 7.11352000e-01
2.293700e+03 1.08897000e+00
2.394700e+03 1.29333000e+00
2.495700e+03 9.95554000e-01
2.596700e+03 6.15134000e-01
2.665860e+03 4.39749000e-01
2.735030e+03 3.22857000e-01
2.804190e+03 2.44655000e-01
2.873350e+03 1.91053000e-01
3.011680e+03 1.25715000e-01
3.150000e+03 8.94990000e-02
3.298630e+03 6.72258000e-02
3.474110e+03 5.14856000e-02
3.649590e+03 4.17937000e-02
3.825070e+03 3.54647000e-02
3.912810e+03 3.31139000e-02
3.956680e+03 3.21010000e-02
3.978610e+03 3.16659000e-02
3.989580e+03 3.16037000e-02
3.995070e+03 3.21363000e-02
3.997810e+03 3.44365000e-02
3.999180e+03 4.22466000e-02
3.999860e+03 6.41174000e-02
4.000210e+03 1.09887000e-01
4.000550e+03 3.29971000e-01
4.000770e+03 6.27947000e-01
4.000990e+03 3.29978000e-01
4.001280e+03 1.22050000e-01
4.001580e+03 7.14576000e-02
4.002170e+03 4.52089000e-02
4.003360e+03 3.53051000e-02
4.005730e+03 3.21996000e-02
4.010470e+03 3.12525000e-02
4.019960e+03 3.08397000e-02
4.038930e+03 3.04167000e-02
4.076860e+03 2.97118000e-02
4.152740e+03 2.84737000e-02
4.228620e+03 2.74164000e-02
4.266560e+03 2.69804000e-02
4.285530e+03 2.69200000e-02
4.295020e+03 2.74613000e-02
4.299760e+03 2.99203000e-02
4.302130e+03 3.92431000e-02
4.303320e+03 7.16183000e-02
4.303910e+03 1.69243000e-01
4.304200e+03 3.98571000e-01
4.304350e+03 7.72886000e-01
4.304430e+03 1.17777000e+00
