Pd-106(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 20.1211
1.25000E-05 18.4831
1.50000E-05 17.2739
2.00000E-05 15.5767
2.75000E-05 13.9617
3.50000E-05 12.8989
4.25000E-05 12.1316
5.00000E-05 11.5443
6.25000E-05 10.8117
7.50000E-05 10.2710
0.000100000 9.51193
0.000125000 8.99393
0.000150000 8.61157
0.000200000 8.07484
0.000275000 7.56415
0.000350000 7.22806
0.000425000 6.98542
0.000500000 6.79967
0.000625000 6.56801
0.000750000 6.39701
0.00100000 6.15698
0.00125000 5.99316
0.00150000 5.87224
0.00200000 5.70251
0.00275000 5.54100
0.00350000 5.43470
0.00425000 5.35796
0.00500000 5.29921
0.00625000 5.22594
0.00750000 5.17185
0.0100000 5.09591
0.0125000 5.04409
0.0150000 5.00582
0.0200000 4.95210
0.0253000 4.91359
0.0314750 4.88163
0.0376500 4.85788
0.0500000 4.82436
0.0625000 4.80111
0.0750000 4.78393
0.100000 4.75978
0.125000 4.74326
0.150000 4.73104
0.200000 4.71381
0.275000 4.69731
0.350000 4.68635
0.500000 4.67217
0.750000 4.65845
1.00000 4.64993
1.50000 4.63917
2.00000 4.63214
2.75000 4.62466
3.50000 4.61904
5.00000 4.61048
7.50000 4.59980
10.0000 4.59115
15.0000 4.57650
20.0000 4.56350
27.5000 4.54523
35.0000 4.52743
50.0000 4.49130
56.6833 4.47468
60.0249 4.46696
60.8603 4.46571
61.6957 4.46616
62.1134 4.46865
62.3223 4.47162
62.5311 4.47735
62.7400 4.48968
62.8444 4.50164
62.9488 4.52248
63.0532 4.56335
63.1054 4.60018
63.1577 4.66002
63.2099 4.76631
63.2360 4.85291
63.2621 4.97996
63.2882 5.17546
63.3143 5.49286
63.3404 6.03794
63.3665 6.99775
63.3933 8.52290
63.4200 9.54030
63.4468 8.52447
63.4735 6.99960
63.4913 6.28758
63.5092 5.80292
63.5449 5.24592
63.5805 4.96526
63.6162 4.80867
63.6519 4.71361
63.6875 4.65195
63.7589 4.57982
63.8302 4.54097
63.9016 4.51769
64.0442 4.49234
64.1869 4.47948
64.3296 4.47198
64.6150 4.46382
64.9003 4.45950
65.1857 4.45675
65.7564 4.45319
66.8979 4.44861
68.0393 4.44495
72.6051 4.43166
81.7368 4.40470
100.000 4.34471
123.156 4.25278
134.733 4.19894
137.628 4.18546
140.522 4.17424
141.969 4.17225
142.693 4.17417
143.417 4.18097
144.140 4.20002
144.502 4.22089
144.864 4.26033
145.045 4.29399
145.226 4.34551
145.407 4.42962
145.587 4.58007
145.678 4.70407
145.768 4.88874
145.859 5.18162
145.949 5.68489
146.040 6.66120
146.085 7.53211
146.130 8.93622
146.175 11.4097
146.221 16.2953
146.243 20.6907
146.266 27.7073
146.288 39.4755
146.311 59.6232
146.336 93.1485
146.360 115.599
146.385 93.1626
146.409 59.6408
146.429 41.0154
146.450 29.5930
146.470 22.4389
146.490 17.8295
146.531 12.5213
146.572 9.75462
146.613 8.14865
146.653 7.13921
146.735 5.99389
146.816 5.39518
146.897 5.04401
146.979 4.82070
147.060 4.67011
147.223 4.48539
147.386 4.38070
147.549 4.31553
147.711 4.27211
148.037 4.21926
148.362 4.18916
149.013 4.15689
149.664 4.13978
150.315 4.12882
151.618 4.11468
152.920 4.10601
153.571 4.10383
154.222 4.10442
154.873 4.11152
155.198 4.12098
155.524 4.14000
155.850 4.18239
156.012 4.22462
156.175 4.30004
156.338 4.45367
156.419 4.59770
156.501 4.84171
156.582 5.30446
156.623 5.70781
156.663 6.34176
156.704 7.41450
156.745 9.41597
156.765 11.1142
156.785 13.6497
156.806 17.5658
156.826 23.6433
156.853 35.5443
156.880 43.5456
156.907 35.5491
156.934 23.6491
156.955 17.3813
156.976 13.4275
