Zn-67(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 377.817
1.30872E-05 330.526
1.50000E-05 308.871
1.61743E-05 297.525
2.00000E-05 267.771
2.23486E-05 253.424
2.75000E-05 228.664
2.85230E-05 224.564
3.16102E-05 213.422
3.46973E-05 203.801
3.50000E-05 202.927
3.57529E-05 200.802
3.65057E-05 198.742
3.80115E-05 194.808
4.10230E-05 187.599
4.70459E-05 175.318
5.00000E-05 170.123
5.93945E-05 156.263
7.17432E-05 142.369
7.50000E-05 139.290
8.40918E-05 131.661
0.000100000 120.909
0.000108789 116.009
0.000133486 104.932
0.000150000 99.1064
0.000158184 96.5635
0.000179092 90.8781
0.000200000 86.1094
0.000207578 84.5616
0.000232276 80.0541
0.000256973 76.2132
0.000275000 73.7427
0.000306367 69.9760
0.000350000 65.6040
0.000405156 61.1230
0.000500000 55.2305
0.000503945 55.0221
0.000516294 54.3853
0.000528642 53.7710
0.000553340 52.6046
0.000602734 50.4907
0.000750000 45.4800
0.000800313 44.0942
0.000997891 39.7072
0.00100000 39.6676
0.00100611 39.5533
0.00101222 39.4401
0.00102443 39.2168
0.00104887 38.7819
0.00109774 37.9560
0.00119547 36.4589
0.00150000 32.7729
0.00159063 31.8861
0.00178821 30.1922
0.00198578 28.7579
0.00200000 28.6629
0.00204762 28.3522
0.00209524 28.0521
0.00219047 27.4816
0.00238094 26.4450
0.00275000 24.7522
0.00317125 23.1938
0.00350000 22.1785
0.00396156 20.9723
0.00475188 19.3312
0.00500000 18.8981
0.00566625 17.8793
0.00633250 17.0259
0.00750000 15.8147
0.00791313 15.4517
0.00949375 14.2893
0.0100000 13.9766
0.0113275 13.2587
0.0126550 12.6569
0.0150000 11.7962
0.0158163 11.5426
0.0189775 10.7198
0.0200000 10.4965
0.0226500 9.98967
0.0253000 9.56475
0.0320978 8.72667
0.0376500 8.21812
0.0388956 8.11926
0.0416717 7.91510
0.0444478 7.73037
0.0500000 7.40820
0.0524913 7.28054
0.0592892 6.97412
0.0660870 6.71627
0.0750000 6.43286
0.0796826 6.30340
0.0898413 6.05818
0.100000 5.85134
0.106874 5.72842
0.134065 5.33870
0.150000 5.16133
0.161256 5.05221
0.188448 4.83014
0.200000 4.74980
0.242830 4.50370
0.275000 4.35796
0.297213 4.27142
0.350000 4.09982
0.351596 4.09524
0.354995 4.08559
0.358394 4.07608
0.365192 4.05745
0.378787 4.02171
0.405979 3.95567
0.460361 3.84152
0.500000 3.77028
0.569126 3.66425
0.677891 3.53132
0.750000 3.45949
0.895421 3.34174
1.00000 3.27327
1.11295 3.21028
1.33048 3.11204
1.50000 3.05048
1.76554 2.97205
2.00000 2.91581
2.20060 2.87473
2.63566 2.80160
2.75000 2.78517
3.12500 2.73735
3.50000 2.69688
3.50578 2.69630
3.51938 2.69495
3.53297 2.69361
3.56016 2.69094
3.61455 2.68569
3.72331 2.67550
3.94084 2.65628
4.37590 2.62179
5.00000 2.57951
5.24602 2.56468
6.11615 2.51856
6.98627 2.47989
7.50000 2.45966
8.72651 2.41720
10.0000 2.37958
10.4667 2.36704
12.2070 2.32480
13.9472 2.28796
15.0000 2.26763
17.4277 2.22497
20.0000 2.18455
20.9082 2.17119
24.2041 2.12575
27.5000 2.08403
27.8692 2.07954
28.7393 2.06909
29.6094 2.05882
31.3497 2.03873
34.8301 2.00019
35.0000 1.99835
35.4245 1.99379
35.8489 1.98925
36.6978 1.98025
38.3956 1.96252
41.7911 1.92803
50.0000 1.84877
55.7131 1.79613
69.6350 1.67323
75.0000 1.62711
78.8930 1.59388
78.8930 1.59388
78.8931 1.59388
78.8931 1.59388
78.8932 1.59388
78.8933 1.59387
78.8937 1.59387
78.8943 1.59387
78.8956 1.59386
78.8982 1.59383
78.9033 1.59379
78.9136 1.59370
78.9342 1.59353
78.9755 1.59318
79.0579 1.59247
79.2228 1.59107
79.5526 1.58826
80.2122 1.58265
81.5314 1.57142
84.1698 1.54901
89.4465 1.50418
100.000 1.41408
101.300 1.40289
101.300 1.40289
101.301 1.40289
101.301 1.40289
101.302 1.40288
101.304 1.40286
101.307 1.40283
101.314 1.40277
101.328 1.40265
101.356 1.40241
101.413 1.40192
101.525 1.40096
101.750 1.39902
102.199 1.39514
103.098 1.38738
104.896 1.37181
108.493 1.34048
115.685 1.27691
130.070 1.14485
130.070 1.14485
130.071 1.14485
130.071 1.14484
130.073 1.14483
130.075 1.14481
