Sr-90(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.06161E+07 0.000339569
1.06321E+07 0.000342874
1.06481E+07 0.000346205
1.06641E+07 0.000349564
1.06801E+07 0.000352948
1.06961E+07 0.000356362
1.07121E+07 0.000359802
1.07281E+07 0.000363272
1.07441E+07 0.000366768
1.07601E+07 0.000370294
1.07761E+07 0.000373849
1.07921E+07 0.000377433
1.08080E+07 0.000381044
1.08240E+07 0.000384686
1.08400E+07 0.000388357
1.08560E+07 0.000392058
1.08720E+07 0.000395786
1.08880E+07 0.000399546
1.09040E+07 0.000403337
1.09200E+07 0.000407158
1.09360E+07 0.000411007
1.09520E+07 0.000414889
1.09680E+07 0.000418800
1.09840E+07 0.000422744
1.10000E+07 0.000426717
1.10605E+07 0.000445329
1.11210E+07 0.000464641
1.11814E+07 0.000484682
1.12419E+07 0.000505469
1.13037E+07 0.000524757
1.13655E+07 0.000544669
1.14273E+07 0.000565224
1.14891E+07 0.000586436
1.15648E+07 0.000609224
1.16405E+07 0.000632740
1.16630E+07 0.000639863
1.16854E+07 0.000647053
1.17079E+07 0.000654309
1.17304E+07 0.000661632
1.17529E+07 0.000669023
1.17753E+07 0.000676482
1.17978E+07 0.000684010
1.18203E+07 0.000691604
1.18427E+07 0.000699271
1.18652E+07 0.000707008
1.18877E+07 0.000714816
1.19101E+07 0.000722695
1.19326E+07 0.000730646
1.19551E+07 0.000738669
1.19775E+07 0.000746765
1.20000E+07 0.000754930
1.20613E+07 0.000767273
1.21225E+07 0.000779753
1.21838E+07 0.000792372
1.22450E+07 0.000805130
1.23063E+07 0.000818029
1.23675E+07 0.000831069
1.24288E+07 0.000844250
1.24900E+07 0.000857574
1.25538E+07 0.000871595
1.26175E+07 0.000885772
1.26813E+07 0.000900107
1.27450E+07 0.000914599
1.28088E+07 0.000929252
1.28725E+07 0.000944064
1.29363E+07 0.000959037
1.30000E+07 0.000974173
1.30155E+07 0.000974625
1.30311E+07 0.000975077
1.30466E+07 0.000975528
1.30621E+07 0.000975979
1.30777E+07 0.000976430
1.30932E+07 0.000976880
1.31087E+07 0.000977330
1.31243E+07 0.000977780
1.31398E+07 0.000978230
1.31553E+07 0.000978679
1.31709E+07 0.000979127
1.31864E+07 0.000979576
1.32019E+07 0.000980024
1.32174E+07 0.000980472
1.32330E+07 0.000980919
1.32485E+07 0.000981366
1.32955E+07 0.000982717
1.33424E+07 0.000984064
1.33894E+07 0.000985408
1.34364E+07 0.000986750
1.34834E+07 0.000988089
1.35303E+07 0.000989425
1.35773E+07 0.000990758
1.36243E+07 0.000992088
1.36712E+07 0.000993415
