Cr-52(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 46.1071
1.25000E-05 41.5605
1.50000E-05 38.2044
2.00000E-05 33.4936
2.75000E-05 29.0114
3.50000E-05 26.0616
4.25000E-05 23.9321
5.00000E-05 22.3019
6.25000E-05 20.2689
7.50000E-05 18.7682
0.000100000 16.6617
0.000125000 15.2242
0.000150000 14.1631
0.000200000 12.6736
0.000275000 11.2565
0.000350000 10.3238
0.000425000 9.65056
0.000500000 9.13514
0.000625000 8.49235
0.000750000 8.01786
0.00100000 7.35185
0.00125000 6.89735
0.00150000 6.56186
0.00200000 6.09095
0.00275000 5.64288
0.00350000 5.34801
0.00425000 5.13514
0.00500000 4.97217
0.00625000 4.76894
0.00750000 4.61892
0.0100000 4.40835
0.0125000 4.26465
0.0150000 4.15858
0.0200000 4.00969
0.0253000 3.90296
0.0314750 3.81495
0.0376500 3.74956
0.0500000 3.65722
0.0625000 3.59320
0.0750000 3.54592
0.100000 3.47950
0.125000 3.43414
0.150000 3.40064
0.200000 3.35358
0.275000 3.30876
0.350000 3.27923
0.500000 3.24157
0.750000 3.20611
1.00000 3.18495
1.50000 3.15981
2.00000 3.14479
2.75000 3.13046
3.50000 3.12101
5.00000 3.10891
7.50000 3.09745
10.0000 3.09055
15.0000 3.08220
20.0000 3.07709
27.5000 3.07203
35.0000 3.06852
50.0000 3.06367
75.0000 3.05837
100.000 3.05452
150.000 3.04857
200.000 3.04366
275.000 3.03714
350.000 3.03114
500.000 3.01986
750.000 3.00208
999.999 2.98493
1000.00 2.98493
1000.01 2.98493
1000.01 2.98493
1000.02 2.98493
1000.04 2.98493
1000.08 2.98493
1000.15 2.98492
1000.31 2.98491
1000.61 2.98489
1001.22 2.98485
1002.45 2.98477
1004.89 2.98460
1009.78 2.98427
1019.56 2.98361
1039.11 2.98229
1078.21 2.97965
1156.43 2.97441
1312.85 2.96402
1469.28 2.95390
1508.39 2.95156
1547.49 2.94963
1567.05 2.94926
1586.60 2.95058
