Pb-206(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
16367.6 8.96488
16376.2 8.87974
16384.8 8.75499
16389.1 8.66779
16393.4 8.55406
16397.7 8.39959
16402.0 8.17861
16404.2 8.02728
16406.3 7.83547
16408.5 7.58242
16410.6 7.23917
16411.7 7.01689
16412.8 6.74944
16413.9 6.42640
16415.0 6.04620
16416.0 5.63049
16416.6 5.45878
16417.1 5.40120
16417.6 5.65930
16418.2 6.81684
16418.5 8.20162
16418.7 10.7156
16419.0 15.2991
16419.3 23.2099
16419.4 32.3182
16419.6 44.6492
16420.0 69.3947
16420.2 73.7026
16420.4 70.5391
16420.8 55.8826
16421.2 42.0065
16421.6 33.3836
16422.0 27.7942
16422.4 24.1864
16422.8 21.6128
16423.2 19.7892
16424.0 17.3149
16424.8 15.7566
16425.6 14.6950
16427.2 13.3529
16428.9 12.5456
16430.5 12.0092
16432.1 11.6278
16433.7 11.3447
16436.9 10.9482
16440.2 10.6867
16443.4 10.5003
16446.6 10.3617
16453.1 10.1683
16459.6 10.0400
16466.1 9.94877
16472.5 9.88052
16485.5 9.78522
16498.4 9.72181
16511.3 9.67656
16524.3 9.64261
16550.2 9.59499
16576.1 9.56314
16601.9 9.54026
16627.8 9.52298
16679.6 9.49848
16731.3 9.48180
16783.1 9.46959
16834.9 9.46016
16938.4 9.44631
17041.9 9.43636
17249.0 9.42232
17456.0 9.41219
17663.1 9.40403
18077.2 9.39070
18491.3 9.37942
18905.4 9.36930
19319.5 9.36030
19526.5 9.35738
19630.1 9.36006
19655.9 9.36386
19681.8 9.37449
19694.8 9.38859
19707.7 9.42642
19714.2 9.47645
19717.4 9.52500
19720.6 9.61111
19723.9 9.78956
19725.5 9.96176
19727.1 10.2632
19728.7 10.8775
19729.5 11.4561
19730.3 12.4481
19731.2 14.3659
19731.6 16.1042
19732.0 18.8414
19732.4 23.7913
19732.8 33.3970
19733.0 42.0380
19733.2 55.8430
19733.4 79.0471
19733.6 119.726
19733.8 186.971
19734.0 230.893
19734.2 188.522
19734.4 120.512
19734.7 76.1411
19734.9 51.4076
19735.1 37.6898
19735.3 29.5428
19735.6 24.3855
19735.8 20.9415
19736.3 16.8662
19736.7 14.5550
19737.2 13.1796
19738.1 11.6472
19739.0 10.8651
19739.9 10.4229
19741.7 9.96257
19743.6 9.74051
19745.4 9.61843
19749.0 9.49547
19756.3 9.40802
19763.6 9.37848
19778.2 9.36212
19785.5 9.37826
19789.2 9.46165
19790.1 9.54649
19791.0 9.77314
19791.4 10.0647
19791.9 10.7558
19792.1 11.5544
19792.3 13.2343
19792.5 14.9372
19792.6 17.6002
19792.7 22.3709
19792.8 31.8342
19792.9 45.8543
19793.0 54.7615
19793.1 46.1824
19793.2 32.2318
19793.3 23.3253
19793.4 18.5703
19793.6 14.0640
19793.8 12.1681
19794.0 11.2168
19794.4 10.3288
19794.8 9.96007
19795.6 9.65335
19796.4 9.53319
19799.7 9.40437
19806.1 9.36601
19819.1 9.35349
19844.9 9.34841
19896.6 9.34567
20000.0 9.34313
20935.9 9.32414
21403.8 9.31502
21637.8 9.31097
21754.8 9.31004
21813.2 9.31278
21842.5 9.32467
21857.1 9.36753
21860.8 9.40930
21864.4 9.52203
21866.3 9.67187
21868.1 10.0714
21869.0 10.5913
21869.9 11.8969
21870.4 13.4922
21870.6 14.9080
21870.8 17.0529
21871.1 20.9061
21871.3 28.3886
21871.4 35.3461
21871.5 45.3138
21871.6 61.2259
21871.7 88.4237
21871.9 136.641
21872.0 167.777
21872.1 137.622
21872.3 88.6524
21872.4 65.2181
21872.5 48.8780
21872.6 38.3049
21872.7 31.2672
21872.9 22.9707
21873.1 18.7093
21873.3 16.0361
21873.5 14.3460
21873.8 12.4539
21874.6 10.8426
21875.4 10.2066
21877.0 9.71757
21878.6 9.53821
21881.7 9.40593
21884.9 9.35950
21897.5 9.31561
21922.7 9.30560
21973.2 9.30306
22074.2 9.30119
22276.1 9.29770
22679.9 9.29085
23083.7 9.28475
23487.5 9.28031
23891.3 9.27977
24093.3 9.28275
24295.2 9.29035
24497.1 9.30732
24699.0 9.34615
24799.9 9.38406
24900.9 9.44889
24951.4 9.49943
25001.8 9.57066
25027.1 9.61780
25052.3 9.67630
25077.6 9.75469
25090.2 9.82462
25096.5 9.94847
25098.1 10.0523
25099.6 10.3171
25100.4 10.6560
25101.2 11.5159
25101.6 12.5789
25102.0 14.9802
25102.2 17.6362
25102.4 22.5463
25102.5 27.1144
25102.6 34.3868
25102.7 46.5125
25102.8 64.4576
25102.9 97.1447
25103.0 119.326
25103.1 97.7075
25103.2 64.6927
25103.3 48.1191
25103.4 38.3670
25103.5 26.8981
25103.7 20.9675
25103.8 17.5998
25104.1 14.1012
25104.4 12.5472
25104.9 11.1827
25105.5 10.6346
25106.6 10.2106
25107.8 10.0567
25112.3 9.91649
25121.4 9.91832
25139.6 10.0039
25157.8 10.1173
25176.0 10.2583
25212.4 10.6607
25248.8 11.3438
25285.2 12.6356
25303.3 13.7562
25321.5 15.5065
25339.7 18.4394
25357.9 23.8140
25367.0 28.2781
25376.1 34.8434
25385.2 44.7633
25394.3 59.7394
25407.2 90.6112
25420.0 111.999
25432.9 92.2001
25445.7 61.3673
25458.9 41.0933
25472.0 29.8598
25485.2 23.4403
25498.3 19.5414
25511.5 17.0264
25524.7 15.3226
25551.0 13.2412
25577.3 12.0710
25603.6 11.3504
25656.2 10.5462
25708.8 10.1306
25761.5 9.88765
25814.1 9.73294
25866.7 9.62808
25972.0 9.49834
26077.2 9.42342
26182.5 9.37568
26287.7 9.34300
26498.2 9.30143
26708.7 9.27600
26919.2 9.25853
27129.7 9.24544
27550.7 9.22624
27971.8 9.21179
28813.8 9.18893
29655.8 9.16948
30497.8 9.15143
31339.8 9.13402
31760.8 9.12545
31971.3 9.12121
32076.6 9.11920
32129.2 9.11848
32155.5 9.11891
32168.7 9.12167
32175.2 9.13177
32178.5 9.16727
32180.2 9.28641
32181.0 9.64407
32181.4 10.5025
32181.6 12.0169
32181.8 16.8024
32182.0 24.3806
32182.2 16.7176
32182.3 13.1547
32182.4 11.5124
32182.7 10.1947
32183.2 9.48698
32184.1 9.22301
32186.1 9.14336
32190.0 9.12235
32197.8 9.11728
32213.5 9.11603
32244.8 9.11533
32307.4 9.11412
32432.7 9.11162
32683.2 9.10654
33184.3 9.09630
34186.3 9.07576
34687.4 9.06615
34937.9 9.06234
35188.4 9.06066
35313.7 9.06169
35438.9 9.06540
35564.2 9.07444
35689.5 9.09533
35752.1 9.11510
35814.7 9.14725
35877.4 9.20258
35940.0 9.30620
35971.3 9.39402
36002.6 9.52723
36033.9 9.74148
36065.2 10.1141
36096.6 10.8397
36112.2 11.4860
36127.9 12.5190
36143.5 14.3050
36159.2 17.7283
36167.0 20.6964
36174.9 25.2504
36182.7 32.4867
36190.5 44.0703
36200.3 65.7586
36210.0 81.1029
36219.8 67.7346
36229.5 46.2496
36238.9 32.5661
36248.3 24.6817
36257.8 20.0282
36267.2 17.1378
36276.6 15.2406
36286.0 13.9393
36304.8 12.3250
36323.6 11.4025
36342.5 10.8272
36380.1 10.1761
36417.8 9.83400
36455.4 9.63129
36493.1 9.50059
36530.7 9.41103
36606.1 9.29866
36681.4 9.23265
36756.7 9.19000
36832.0 9.16048
36982.6 9.12264
37133.2 9.09975
37283.8 9.08605
37359.2 9.08660
37396.8 9.10488
37406.2 9.12349
37415.6 9.17323
37420.4 9.23840
37425.1 9.41013
37427.4 9.63268
37429.8 10.2011
37430.9 10.9050
37432.1 12.5599
37432.7 14.4168
37433.3 18.2471
37433.6 21.9390
37433.9 27.9391
37434.2 38.6709
37434.5 59.1710
37434.7 88.8541
37435.0 110.128
37435.3 90.3775
37435.5 60.0139
37435.7 44.5201
37435.9 34.5836
37436.1 27.7306
37436.3 23.3600
37436.7 17.9964
37437.1 15.1095
37437.9 12.3151
37438.6 11.0821
37440.2 10.0402
37441.7 9.62993
37444.8 9.31672
37447.9 9.20284
37454.1 9.12110
37460.3 9.09310
37485.1 9.06756
37534.7 9.06072
37633.9 9.05529
37832.4 9.04627
38229.2 9.03151
38626.0 9.01945
38824.4 9.01413
38923.6 9.01191
38973.2 9.01168
38998.0 9.01404
39010.4 9.02308
39016.6 9.05422
39019.7 9.16082
39021.2 9.50763
39022.0 10.5037
39022.4 12.7104
39022.6 15.9313
39022.8 24.3649
39022.9 33.5107
39023.0 39.6509
39023.1 33.5123
39023.2 24.2599
39023.4 15.5093
39023.6 12.3517
39024.0 10.3127
39024.8 9.41573
39026.4 9.11712
39029.6 9.03300
39036.0 9.01222
39048.7 9.00770
39074.2 9.00658
39125.1 9.00546
39227.0 9.00309
39430.8 8.99820
39838.4 8.98851
40246.1 8.97874
40449.9 8.97313
40551.8 8.96889
40602.7 8.96457
40628.2 8.96068
40640.9 8.96552
40647.3 9.01860
40650.5 9.26614
40651.3 9.51411
40652.1 10.1339
40652.5 10.8687
40652.9 12.4604
40653.3 16.7778
40653.5 22.0198
40653.7 32.2368
40653.8 46.5805
40654.0 57.2075
40654.2 48.0841
40654.3 33.9495
40654.5 24.2528
40654.7 19.0113
40655.0 14.0297
40655.4 11.9967
40655.7 11.0114
40656.4 10.0856
40657.1 9.68417
40658.5 9.34774
40659.9 9.21114
40665.4 9.05523
40676.4 9.00294
40698.6 8.98364
40742.8 8.97517
40831.2 8.97000
41008.1 8.96469
41361.8 8.95650
41715.5 8.94942
41892.4 8.94761
41980.8 8.95142
42025.0 8.96802
42047.1 9.02536
42052.7 9.07935
42058.2 9.22040
42061.0 9.40109
42063.7 9.85524
42065.1 10.4023
42066.5 11.6596
42067.2 13.0060
42067.9 15.6384
42068.2 18.0240
42068.6 21.6876
42068.9 27.9481
42069.2 38.3451
42069.6 55.7855
42070.0 67.9048
42070.4 56.3082
42070.8 38.4844
42071.1 28.3316
42071.4 22.0316
42071.7 18.1966
42072.1 15.7612
42072.7 13.0231
42073.4 11.6429
42074.7 10.3476
42076.0 9.79107
42078.6 9.33886
42081.2 9.16546
42086.5 9.03587
42091.7 8.98980
42112.7 8.94674
42154.6 8.93736
42238.5 8.93472
42406.2 8.93150
42741.6 8.92454
43412.4 8.90984
44754.0 8.87932
45424.9 8.86472
45760.3 8.85902
46095.7 8.85709
46263.4 8.85949
