49-In_n-g
> 49-In-113:0.042900
> 49-In-115:0.957100
5.000000e+00 4.43113971e+00
5.078130e+00 4.11412959e+00
5.156250e+00 3.84549844e+00
5.234380e+00 3.59934068e+00
5.312500e+00 3.36506385e+00
5.441000e+00 2.99439709e+00
5.468750e+00 2.95470520e+00
5.625000e+00 2.74275019e+00
5.882000e+00 2.40539011e+00
5.937500e+00 2.37334621e+00
6.250000e+00 2.20021120e+00
6.323000e+00 2.16062276e+00
6.543500e+00 2.15051227e+00
6.764000e+00 2.38058602e+00
6.853000e+00 2.65202921e+00
6.875000e+00 2.60405185e+00
6.942000e+00 2.45833428e+00
7.202900e+00 2.46526166e+00
7.463800e+00 2.85146864e+00
7.500000e+00 2.95227671e+00
7.724700e+00 3.57884429e+00
7.985600e+00 4.96266639e+00
8.246500e+00 7.92088929e+00
8.376950e+00 1.08087132e+01
8.507400e+00 1.59197750e+01
8.637850e+00 2.62650254e+01
8.703080e+00 3.59501378e+01
8.750000e+00 4.77856853e+01
8.768300e+00 5.24019324e+01
8.833530e+00 8.36966411e+01
8.866140e+00 1.11118910e+02
8.898750e+00 1.54487230e+02
8.931360e+00 2.28577503e+02
8.947670e+00 2.86680275e+02
8.963980e+00 3.68921109e+02
8.980280e+00 4.89563667e+02
8.996590e+00 6.73436079e+02
9.012890e+00 9.63462366e+02
9.029200e+00 1.42428698e+03
9.049600e+00 2.27702492e+03
9.070000e+00 2.84374310e+03
9.080200e+00 2.67469059e+03
9.090400e+00 2.27175156e+03
9.110800e+00 1.41776964e+03
9.124690e+00 1.01290685e+03
9.138590e+00 7.39959250e+02
9.152480e+00 5.56191352e+02
9.166380e+00 4.29767143e+02
9.194160e+00 2.75316262e+02
9.221950e+00 1.89839750e+02
9.249740e+00 1.38254149e+02
9.277530e+00 1.04952986e+02
9.333100e+00 6.62084917e+01
9.388680e+00 4.54844677e+01
9.444250e+00 3.31572733e+01
9.499830e+00 2.52482440e+01
9.555400e+00 1.98788794e+01
9.666550e+00 1.32733868e+01
9.777700e+00 9.52463666e+00
9.888850e+00 7.19851996e+00
1.000000e+01 5.65935959e+00
1.024630e+01 3.68650149e+00
1.049250e+01 2.67368979e+00
1.073880e+01 2.11794266e+00
1.098500e+01 1.83898738e+00
1.114170e+01 1.82225582e+00
1.123130e+01 1.81399549e+00
1.147750e+01 2.24983248e+00
1.160060e+01 2.93344233e+00
1.166220e+01 3.57175831e+00
1.171250e+01 4.42411405e+00
1.172380e+01 4.61586497e+00
1.178530e+01 6.45729164e+00
1.184690e+01 1.00702583e+01
1.187770e+01 1.32777924e+01
1.190840e+01 1.83192206e+01
1.193920e+01 2.65908666e+01
1.197000e+01 4.03570322e+01
1.200500e+01 6.39680553e+01
1.204000e+01 7.96155278e+01
1.207500e+01 6.37619681e+01
1.211000e+01 4.00826802e+01
1.214940e+01 2.35509610e+01
1.218880e+01 1.49303434e+01
1.222820e+01 1.02225420e+01
1.226760e+01 7.45147072e+00
1.228330e+01 6.75546341e+00
1.230700e+01 5.70564771e+00
1.234640e+01 4.54316266e+00
1.242530e+01 3.14564089e+00
