K-41(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
4013.98 3.47352
4014.22 2.61428
4014.70 1.63061
4015.19 1.11219
4015.67 0.806603
4016.15 0.611700
4016.63 0.479907
4017.60 0.318339
4018.56 0.226876
4020.49 0.132565
4022.42 0.0874214
4024.35 0.0624046
4028.20 0.0370742
4032.06 0.0251533
4035.91 0.0186151
4043.63 0.0120612
4059.05 0.00735133
4074.48 0.00571225
4105.33 0.00458422
4136.18 0.00424211
4259.58 0.00422524
4506.39 0.00540341
4629.79 0.00646468
4753.19 0.00807521
4876.60 0.0106620
5000.00 0.0151838
5059.45 0.0186710
5118.90 0.0236872
5178.35 0.0312667
5237.80 0.0434781
5297.25 0.0649266
5326.98 0.0822324
5356.70 0.107416
5386.43 0.145738
5416.15 0.207123
5445.88 0.310643
5475.60 0.489288
5507.10 0.781381
5538.60 0.982013
5570.10 0.790703
5601.60 0.494488
5627.13 0.331976
5652.66 0.230490
5678.18 0.166669
5703.71 0.125098
5754.77 0.0771470
5805.82 0.0521175
5856.88 0.0376930
5907.93 0.0290047
5958.99 0.0254875
5971.75 0.0269479
5984.52 0.0333510
5990.90 0.0431378
5997.28 0.0711680
6000.47 0.109261
6002.07 0.146312
6003.66 0.211768
6005.26 0.344172
6006.06 0.467931
6006.85 0.677305
6007.65 1.07409
6008.05 1.41986
6008.45 1.96157
6008.85 2.87991
6009.25 4.59292
6009.45 6.04595
6009.65 8.21398
6009.85 11.5588
6010.04 16.7381
6010.31 26.7927
6010.57 33.4829
6010.84 26.7913
6011.10 16.7692
6011.34 10.7243
6011.58 7.18704
6011.82 5.06676
6012.06 3.73349
6012.55 2.24621
6013.03 1.49193
6013.51 1.06164
6013.99 0.794373
6014.96 0.494543
6015.92 0.339362
6016.88 0.249095
6018.81 0.153584
6020.74 0.106738
6022.67 0.0803463
6026.53 0.0531625
6034.24 0.0327659
6041.95 0.0251463
6057.38 0.0190827
6072.80 0.0164493
6134.51 0.0120837
6257.92 0.00832684
6381.33 0.00627898
6504.75 0.00498933
6751.57 0.00350401
6998.39 0.00271071
7245.22 0.00223734
7492.04 0.00193407
7738.86 0.00174101
7862.28 0.00171978
7923.98 0.00191064
7954.83 0.00278062
7970.26 0.00622658
7977.97 0.0193540
7979.90 0.0322857
7981.83 0.0668134
7982.79 0.111132
7983.76 0.221915
7984.24 0.352678
7984.72 0.642266
7984.96 0.937701
7985.20 1.48004
7985.45 2.59732
7985.57 3.61095
7985.69 5.13409
7985.85 8.21985
7986.02 10.2617
7986.19 8.20503
7986.36 5.13789
7986.48 3.62387
7986.59 2.62622
7986.83 1.50919
7987.07 0.961124
7987.30 0.660525
7987.77 0.364153
7988.25 0.229645
7989.19 0.115263
7990.13 0.0693658
7992.02 0.0335221
7993.91 0.0200885
8001.46 0.00641599
8016.57 0.00280874
8046.78 0.00187297
8107.21 0.00162084
8228.06 0.00156170
8288.48 0.00160374
8348.91 0.00178542
8409.34 0.00287995
8424.44 0.00402799
8439.55 0.00729546
8447.10 0.0118329
8454.65 0.0246148
8458.43 0.0421813
8460.32 0.0595475
8462.21 0.0909031
8464.10 0.156614
8465.04 0.220456
8465.98 0.333507
8466.93 0.562971
8467.40 0.778493
8467.87 1.14579
8468.34 1.84758
8468.58 2.46516
8468.82 3.44592
8469.05 5.13083
8469.29 8.34903
8469.41 11.1384
8469.52 15.4244
8469.64 22.2553
8469.76 33.2417
8469.90 53.1891
8470.05 66.4933
8470.19 53.1985
8470.34 33.2495
8470.43 24.1000
8470.52 17.8753
8470.71 10.5834
8470.90 6.86324
8471.08 4.77986
8471.27 3.50035
8471.46 2.66801
8471.83 1.69397
8472.20 1.16709
8472.58 0.852680
8473.32 0.511364
8474.07 0.340442
8474.82 0.242922
8476.31 0.141663
8477.81 0.0929051
8479.30 0.0657600
8482.29 0.0381842
8488.26 0.0179980
8494.24 0.0107968
8506.19 0.00558697
8518.14 0.00374354
8565.94 0.00194088
8661.54 0.00146286
8757.15 0.00135431
8852.75 0.00130241
9235.17 0.00120114
10000.0 0.00110349
10465.4 0.00107885
10698.0 0.00110652
10814.4 0.00125914
10872.6 0.00188183
10901.6 0.00435061
10908.9 0.00688165
10916.2 0.0140038
10919.8 0.0238002
10923.4 0.0508635
10925.3 0.0873782
10927.1 0.185646
10928.0 0.313008
10928.5 0.434210
10928.9 0.636054
10929.4 1.03041
10929.6 1.37947
10929.8 1.90627
10930.0 2.84636
10930.3 4.54047
10930.4 6.13395
10930.5 8.37218
10930.6 11.8569
10930.7 17.6964
10930.9 28.5027
10931.0 35.4686
10931.1 28.5337
10931.3 17.7208
10931.4 10.7581
10931.6 7.04201
10931.7 4.88308
10931.9 3.55494
10932.0 2.64202
10932.1 2.06860
10932.4 1.36175
10932.7 0.950637
10933.0 0.707148
10933.6 0.431099
10934.1 0.289888
10934.7 0.208230
10935.8 0.122925
10938.1 0.0575597
10940.4 0.0335202
10944.9 0.0157930
10949.5 0.00943260
10967.6 0.00318017
11003.9 0.00158771
11076.6 0.00119276
11149.2 0.00116666
11185.6 0.00134937
11203.7 0.00212354
11212.8 0.00510831
11215.1 0.00806953
11217.3 0.0160532
11218.5 0.0264914
11219.6 0.0528201
11220.2 0.0848881
11220.7 0.158555
11221.0 0.238822
11221.3 0.388461
11221.5 0.518397
11221.6 0.718437
11221.7 1.03811
11221.9 1.55866
11222.0 2.48947
11222.2 3.11623
11222.4 2.49267
11222.5 1.56118
11222.7 1.09948
11222.8 0.775743
11222.9 0.567457
11223.1 0.429420
11223.3 0.267367
11223.6 0.181158
11224.1 0.0983557
11224.6 0.0616289
11225.7 0.0309181
11226.7 0.0188407
11228.8 0.00938385
11230.8 0.00587934
11239.1 0.00232122
11255.7 0.00138502
11288.9 0.00114086
11355.2 0.00107352
11487.9 0.00105187
11753.2 0.00104841
12283.9 0.00108790
12549.2 0.00114831
12814.5 0.00130817
12947.2 0.00151896
13013.5 0.00172501
13079.8 0.00209712
13146.2 0.00288511
13179.3 0.00366497
13212.5 0.00507821
13229.1 0.00626358
13245.7 0.00806434
13262.3 0.0109968
13278.8 0.0162552
13295.4 0.0271611
13303.7 0.0376384
13312.0 0.0559616
13316.2 0.0707802
13320.3 0.0924296
13324.4 0.126013
13328.6 0.181792
13330.7 0.224905
13332.7 0.284890
13334.8 0.372076
13336.9 0.505190
13339.0 0.722753
13341.0 1.10343
13342.1 1.40821
13343.1 1.83584
13344.1 2.45790
13345.2 3.34193
13346.8 5.35219
13348.5 6.73811
13350.1 5.43564
13351.8 3.40693
13353.4 2.10225
13355.0 1.37166
13356.7 0.946421
13358.3 0.687643
13359.9 0.519038
13361.6 0.405215
13364.8 0.265707
13368.1 0.187021
13371.4 0.138782
13377.9 0.0850701
13384.4 0.0575419
13391.0 0.0416048
13397.5 0.0315670
13404.0 0.0248423
13417.1 0.0166724
13430.1 0.0120966
13443.2 0.00927786
13456.3 0.00742024
13482.4 0.00520221
13508.5 0.00398129
13534.6 0.00323934
13560.8 0.00275601
13613.0 0.00218794
13665.3 0.00188275
13769.7 0.00159157
13978.7 0.00142847
14187.7 0.00144044
14396.7 0.00154820
14605.7 0.00181451
14710.2 0.00212080
14762.5 0.00239977
14814.7 0.00288143
14866.9 0.00386311
14893.1 0.00481202
14919.2 0.00650277
14945.3 0.0100056
14958.4 0.0133828
14971.4 0.0193244
14984.5 0.0312779
14991.0 0.0424054
14997.6 0.0611898
15004.1 0.0965684
15007.4 0.127294
15010.6 0.175185
15013.9 0.255906
