Pt-194(n,tot) JEFF-3.2
Energy(eV) XS(b)
494.065 35.4701
494.302 31.1705
494.777 25.5633
495.252 22.1094
495.727 19.7873
496.201 18.1267
497.151 15.9193
498.101 14.5223
499.050 13.5585
500.000 12.8520
501.563 12.0216
503.125 11.4365
506.250 10.6502
509.375 10.1267
512.500 9.73592
518.750 9.14871
525.000 8.67929
537.500 7.82946
550.000 6.90082
562.500 5.70054
568.750 4.91367
575.000 3.92975
581.250 2.67900
584.375 1.94872
587.500 1.20166
589.063 0.874231
590.625 0.650709
591.016 0.623786
591.406 0.613687
591.797 0.624001
592.188 0.659102
592.578 0.724355
592.969 0.826288
593.359 0.973014
593.750 1.17459
594.141 1.44368
594.531 1.79598
594.922 2.25164
595.313 2.83641
596.094 4.53682
596.875 7.30984
597.656 11.9033
598.438 19.7579
599.219 33.9062
599.609 45.2599
600.000 61.4744
600.342 81.8514
600.684 111.362
601.026 155.743
601.368 225.705
601.710 342.755
602.052 553.752
602.223 724.477
602.394 968.817
602.565 1324.18
602.736 1839.92
603.018 3094.20
603.300 4082.27
603.582 3444.42
603.864 2256.52
604.146 1450.07
604.428 983.089
604.710 706.602
604.993 533.539
605.275 419.095
605.557 339.739
606.121 239.811
606.685 181.432
607.249 144.189
608.378 100.682
609.506 76.8223
610.635 62.1038
611.763 52.2591
612.892 45.2756
615.148 36.1160
617.405 30.4288
619.662 26.5735
621.919 23.7907
626.433 20.0279
630.946 17.5690
635.460 15.7951
639.974 14.4136
649.001 12.2579
658.029 10.4107
667.056 8.46969
671.570 7.33417
676.083 5.99297
678.794 5.04940
681.504 3.97829
684.214 2.78324
686.924 1.57057
688.279 1.08993
688.957 0.943334
689.296 0.909057
689.634 0.909738
689.973 0.954223
690.312 1.05367
690.651 1.22223
690.820 1.33788
690.990 1.47788
691.328 1.84406
691.667 2.35099
692.006 3.03843
692.345 3.95886
692.683 5.18382
693.022 6.80990
693.361 8.97128
693.700 11.8563
694.039 15.7391
694.377 21.0207
694.716 28.3095
695.055 38.5525
695.394 53.2970
695.732 75.1518
696.071 108.780
696.410 163.028
696.749 256.129
697.088 428.895
697.257 572.093
697.426 781.135
697.596 1091.99
697.765 1553.48
698.033 2644.72
698.300 3512.92
698.568 2982.68
698.835 1974.87
699.095 1300.48
699.354 900.125
699.614 658.040
699.874 504.105
700.133 400.953
700.393 328.702
700.912 236.604
701.431 182.051
701.951 146.862
702.989 105.228
704.028 82.0625
705.066 67.6067
706.105 57.8450
707.143 50.8648
709.220 41.6248
711.297 35.8323
713.374 31.8815
715.451 29.0211
719.605 25.1592
723.759 22.6678
727.914 20.9191
732.068 19.6166
740.376 17.7849
748.684 16.5329
765.300 14.8563
781.916 13.6878
798.532 12.7150
815.149 11.7593
831.765 10.6271
843.719 9.49514
849.696 8.71546
855.672 7.67213
858.661 6.99661
861.649 6.17032
864.638 5.13886
867.626 3.83678
869.121 3.07271
870.615 2.25585
872.109 1.47840
872.856 1.18512
873.230 1.09313
873.603 1.05882
873.977 1.10617
874.164 1.17058
874.350 1.26918
874.537 1.40858
874.724 1.59679
874.911 1.84352
875.097 2.16047
875.284 2.56256
875.471 3.06768
875.845 4.48202
876.218 6.66315
876.592 10.0324
876.965 15.3109
877.339 23.7839
877.712 37.9146
878.086 62.7772
878.273 82.4007
878.459 110.045
878.646 150.139
878.833 210.312
879.020 304.523
879.207 459.057
879.393 724.651
879.580 1190.60
879.790 2041.36
880.000 2732.53
880.210 2335.20
880.420 1553.68
880.654 970.933
880.887 648.969
881.121 464.858
881.354 352.142
881.588 278.535
881.821 227.898
882.289 164.402
882.756 127.320
883.223 103.568
884.157 75.5888
885.091 60.0340
886.025 50.3086
886.960 43.7216
887.894 38.9958
889.762 32.7110
891.631 28.7479
893.499 26.0317
895.368 24.0573
899.104 21.3801
902.841 19.6459
906.578 18.4257
910.315 17.5157
917.789 16.2357
925.263 15.3626
940.210 14.2043
955.158 13.4233
970.105 12.8204
1000.00 11.8478
1024.23 11.1327
1048.47 10.3910
1072.70 9.54683
1096.94 8.49857
1121.17 7.06757
1133.29 6.10459
1145.40 4.87514
1157.52 3.25817
1163.58 2.27145
1169.64 1.20865
1172.67 0.715164
1174.18 0.510770
1175.70 0.361759
1176.45 0.318125
1177.21 0.302815
1177.59 0.308091
1177.97 0.323438
1178.73 0.389837
1179.48 0.514927
1180.24 0.714949
1181.00 1.01181
1181.75 1.43450
1182.51 2.02296
1183.27 2.82907
1184.03 3.92761
1184.78 5.42336
1185.54 7.47070
1186.30 10.2880
1187.06 14.2174
1187.81 19.7915
1188.57 27.8911
1189.33 39.9757
1190.08 58.7152
1190.84 89.2224
1191.60 142.234
1192.36 242.037
1192.74 326.159
1193.11 450.424
1193.49 639.156
1193.87 925.100
1194.44 1576.41
1195.00 2121.66
1195.57 1827.70
1196.13 1212.57
1196.74 759.077
1197.35 505.762
1197.96 359.919
1198.58 270.325
1199.19 211.699
1199.80 171.416
1201.02 120.916
1202.24 91.3889
1203.47 72.4531
1205.91 49.9594
1208.36 37.1640
1210.80 28.8214
1215.69 18.0371
1220.58 10.3715
1223.03 6.96152
1225.47 3.83896
1226.69 2.56781
1227.30 2.09628
1227.92 1.80662
1228.22 1.75687
1228.53 1.79057
1228.83 1.92736
1229.14 2.19093
1229.44 2.61437
1229.75 3.23487
1230.06 4.10825
1230.36 5.29584
1230.67 6.89397
1230.97 9.01733
1231.28 11.8249
1231.58 15.5197
1232.19 26.9332
1232.81 47.5327
1233.11 63.8760
1233.42 86.7653
1233.72 119.500
1234.03 167.293
1234.33 239.515
1234.64 351.143
1234.95 529.146
1235.25 811.820
1235.69 1445.84
1236.12 1977.28
1236.56 1724.12
1236.99 1182.49
1237.33 864.740
1237.68 651.288
1238.02 508.237
1238.36 409.690
1239.05 287.851
1239.73 218.509
1240.42 174.993
1241.10 145.757
1242.48 109.564
1243.85 88.4471
1245.22 74.7808
1246.59 65.2736
1247.96 58.2997
1250.70 48.7729
1253.44 42.5682
1256.19 38.1939
1258.93 34.9311
1264.94 30.0003
1270.96 26.7533
1276.98 24.4025
1282.99 22.5800
1295.03 19.8003
1307.06 17.5405
1319.09 15.2773
1325.11 13.9533
1331.13 12.3206
1334.13 11.3093
1337.14 10.0990
1340.15 8.60742
1343.16 6.72299
1344.66 5.59827
1346.17 4.35430
1347.67 3.06038
1349.17 2.00053
1349.55 1.86230
1349.93 1.82686
1350.30 1.94092
1350.49 2.07425
1350.68 2.27283
1350.87 2.55051
1351.05 2.92434
1351.24 3.41546
1351.43 4.05022
1351.62 4.86174
1351.81 5.89190
1352.18 8.83740
1352.56 13.5332
1352.93 21.1039
1353.31 33.6108
1353.69 55.0822
1354.06 94.0275
1354.25 125.405
1354.44 170.165
1354.63 235.602
1354.81 333.676
1355.00 483.586
1355.19 712.839
1355.49 1271.91
1355.78 1742.43
1356.07 1515.61
1356.36 1037.44
1356.55 799.482
1356.74 627.473
1357.11 415.198
1357.49 298.961
1357.86 229.470
1358.24 184.668
1358.62 153.997
1359.37 115.560
1360.12 92.9733
1360.87 78.3621
1362.38 60.8767
1363.88 50.9197
1365.38 44.5600
1366.89 40.1624
1368.39 36.9512
1371.40 32.5751
1374.40 29.7333
1377.41 27.7332
1380.42 26.2440
1386.43 24.1598
1392.45 22.7555
1398.46 21.7324
1404.48 20.9454
1416.50 19.7958
1428.53 18.9790
1452.59 17.8587
1476.65 17.0967
1500.71 16.5259
1548.82 15.6911
1576.32 15.3166
1590.07 15.1410
1593.50 15.0953
1596.94 15.0450
1598.66 15.0152
1600.38 14.9767
1601.24 14.9494
1602.10 14.9089
1602.53 14.8784
1602.95 14.8370
1603.17 14.8154
1603.38 14.8190
1603.49 14.8721
1603.60 15.0779
1603.65 15.3672
1603.71 16.0208
1603.73 16.6816
1603.76 17.8184
1603.79 19.8776
1603.81 23.5146
1603.84 30.3105
1603.87 35.9260
1603.90 33.3060
1603.93 27.5693
1603.95 24.0373
1603.97 21.7697
1604.00 20.1841
1604.02 19.1435
1604.06 17.8289
1604.11 17.0979
1604.20 16.3178
1604.29 15.9377
1604.46 15.5739
1604.64 15.4048
1605.00 15.2450
1605.36 15.1690
1606.07 15.0933
1606.79 15.0533
1608.22 15.0066
1609.65 14.9759
1612.50 14.9298
1615.36 14.8913
1626.80 14.7570
1638.23 14.6303
1643.95 14.5636
1646.81 14.5219
1648.24 14.4882
1648.95 14.4596
1649.31 14.4651
1649.40 14.4979
1649.49 14.6026
1649.58 15.0133
1649.62 15.6960
1649.65 16.3775
1649.67 17.5115
1649.70 19.9325
1649.72 21.9472
1649.75 20.9984
1649.78 18.9475
1649.81 17.5655
1649.83 16.7258
1649.88 15.8166
1649.93 15.3870
1649.99 15.1513
1650.09 14.9117
1650.19 14.7953
1650.60 14.6327
1651.41 14.5562
1653.04 14.5093
1656.30 14.4617
1662.82 14.3878
1675.87 14.2496
1701.95 13.9698
1728.04 13.6621
1754.12 13.2911
1780.21 12.7816
1793.25 12.4213
1806.29 11.9226
1812.81 11.5862
1819.34 11.1565
1825.86 10.5831
1832.38 9.77255
1835.64 9.22505
1838.90 8.53209
1842.16 7.62841
1845.42 6.40957
1847.05 5.63338
1848.68 4.71618
1850.31 3.64618
1851.94 2.47937
1852.76 1.94476
1853.57 1.59095
1853.98 1.56460
1854.39 1.72292
1854.59 1.90459
1854.80 2.17998
1855.00 2.57534
1855.20 3.12205
1855.41 3.87108
1855.61 4.88156
1855.81 6.23706
1856.02 8.04275
1856.22 10.4776
1856.43 13.7653
1856.63 18.2434
1856.83 24.3814
1857.04 33.0109
1857.24 45.3301
1857.44 63.3420
1857.65 90.2839
1857.85 132.384
1858.06 200.421
1858.26 314.329
1858.46 506.200
1858.72 902.548
1858.98 1248.03
1859.23 1099.31
1859.49 754.542
1859.76 494.482
1860.04 344.530
1860.31 255.326
1860.59 199.380
1860.86 161.912
1861.14 135.746
1861.68 102.163
1862.23 82.0595
1862.78 68.9214
1863.88 53.0937
1864.98 44.0513
1866.08 38.2799
1867.17 34.3053
1868.27 31.4166
1870.47 27.5098
1872.66 25.0047
1874.86 23.2653
1877.05 21.9897
1881.44 20.2441
1885.83 19.1056
1890.23 18.3032
1894.62 17.7059
1903.40 16.8725
1912.18 16.3143
1920.96 15.9104
1929.74 15.6015
1947.31 15.1525
1964.87 14.8328
2000.00 14.3811
2031.06 14.0770
2062.12 13.7901
2077.64 13.6234
2085.41 13.5210
2093.17 13.3918
2100.94 13.2080
2104.82 13.0754
