11-Na_n-g
>  11-Na-23:1.000000
3.540530e+04 9.64973000e-02
3.540980e+04 5.78602000e-02
3.542780e+04 1.59549000e-02
3.546390e+04 4.20826000e-03
3.553610e+04 1.09905000e-03
3.568050e+04 2.99136000e-04
3.596920e+04 9.65534000e-05
3.654660e+04 4.65741000e-05
3.712400e+04 3.84878000e-05
3.770140e+04 3.67995000e-05
4.001100e+04 4.28900000e-05
4.250830e+04 6.05815000e-05
4.375690e+04 7.57704000e-05
4.500550e+04 9.87034000e-05
4.625410e+04 1.35345000e-04
4.750280e+04 1.98818000e-04
4.875140e+04 3.22644000e-04
4.937570e+04 4.33853000e-04
5.000000e+04 6.14260000e-04
5.042800e+04 8.11200000e-04
5.085600e+04 1.11859000e-03
5.123500e+04 1.55927000e-03
5.161400e+04 2.30851000e-03
5.195550e+04 3.52459000e-03
5.229700e+04 5.87277000e-03
5.244900e+04 7.61434000e-03
5.266400e+04 1.13192000e-02
5.275200e+04 1.33634000e-02
5.298600e+04 1.98487000e-02
5.322000e+04 2.34973000e-02
5.335900e+04 2.18607000e-02
5.377600e+04 1.11015000e-02
5.405080e+04 6.77725000e-03
5.432550e+04 4.40078000e-03
5.460030e+04 3.04057000e-03
5.487500e+04 2.21109000e-03
5.517850e+04 1.63002000e-03
5.548200e+04 1.24919000e-03
5.608900e+04 7.99766000e-04
5.663890e+04 5.73828000e-04
5.718880e+04 4.32391000e-04
5.828850e+04 2.72186000e-04
5.938830e+04 1.88374000e-04
6.048800e+04 1.39093000e-04
6.266830e+04 8.66928000e-05
6.484850e+04 6.05504000e-05
6.702880e+04 4.56274000e-05
6.920900e+04 3.63040000e-05
7.235630e+04 2.79845000e-05
7.550350e+04 2.29145000e-05
8.179800e+04 1.73833000e-05
8.998900e+04 1.42417000e-05
9.946900e+04 1.31788000e-05
1.000000e+05 1.31837000e-05
1.019730e+05 1.32763000e-05
1.039450e+05 1.35168000e-05
1.078900e+05 1.48334000e-05
1.126520e+05 2.32614000e-05
1.150330e+05 5.66269000e-05
1.162240e+05 1.88068000e-04
1.168190e+05 6.98616000e-04
1.169680e+05 1.21199000e-03
1.171170e+05 2.62100000e-03
1.171910e+05 4.49382000e-03
1.172660e+05 9.42992000e-03
1.173030e+05 1.56588000e-02
1.173400e+05 3.08392000e-02
1.173590e+05 4.82029000e-02
1.173770e+05 8.50400000e-02
1.173870e+05 1.20821000e-01
1.173960e+05 1.82877000e-01
1.174050e+05 2.99968000e-01
1.174100e+05 3.98184000e-01
1.174150e+05 5.33811000e-01
1.174220e+05 8.55962000e-01
1.174300e+05 1.06682000e+00
1.174380e+05 8.51387000e-01
1.174460e+05 5.33697000e-01
1.174520e+05 3.60695000e-01
1.174580e+05 2.51852000e-01
1.174640e+05 1.82876000e-01
1.174700e+05 1.38241000e-01
1.174830e+05 8.53544000e-02
1.174950e+05 5.76567000e-02
1.175200e+05 3.10562000e-02
1.175440e+05 1.93072000e-02
