Sn-119(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
149.126 0.0180745
149.974 0.0136159
150.822 0.0108229
152.518 0.00753755
154.213 0.00569726
155.909 0.00454545
159.301 0.00323169
162.692 0.00254831
166.084 0.00216515
172.867 0.00183989
179.650 0.00183980
186.434 0.00209750
193.217 0.00271253
200.000 0.00406809
202.823 0.00510002
205.647 0.00669284
208.470 0.00933005
211.293 0.0141638
212.705 0.0182563
214.116 0.0245362
215.528 0.0349002
216.940 0.0538535
217.646 0.0698753
218.351 0.0944187
219.057 0.134821
219.763 0.208420
220.116 0.270362
220.469 0.364845
220.822 0.519417
221.175 0.798394
221.351 1.03104
221.528 1.38236
221.704 1.94996
221.880 2.95427
221.969 3.77637
222.057 4.99363
222.145 6.90789
222.233 10.1695
222.322 16.4100
222.366 21.8969
222.410 30.6103
222.454 45.5789
222.476 57.4124
222.498 74.1677
222.520 99.0140
222.542 137.015
222.553 163.938
222.564 197.856
222.575 240.967
222.586 295.231
222.600 378.155
222.613 472.164
222.640 590.019
222.654 555.090
222.667 472.100
222.694 295.154
222.713 209.285
222.731 152.179
222.750 113.812
222.769 87.7177
222.806 55.9428
222.844 38.4657
222.881 27.9596
222.919 21.1945
222.994 13.3409
223.069 9.14695
223.144 6.65377
223.219 5.05425
223.294 3.96800
223.444 2.63053
223.594 1.87018
223.744 1.39723
223.894 1.08343
224.194 0.705626
224.494 0.495795
224.794 0.367282
225.094 0.282977
225.693 0.182722
226.293 0.127679
226.893 0.0942571
227.493 0.0724600
228.693 0.0467122
229.893 0.0326784
231.093 0.0242072
232.292 0.0187137
234.692 0.0122846
237.092 0.00884863
239.491 0.00685083
241.891 0.00565355
246.690 0.00470709
249.090 0.00488049
251.489 0.00573048
253.889 0.00806922
255.089 0.0105752
256.289 0.0152709
256.889 0.0192793
257.489 0.0254446
258.088 0.0356129
258.688 0.0541317
258.988 0.0696941
259.288 0.0933677
259.588 0.131964
259.888 0.201177
260.038 0.258523
260.188 0.344611
260.338 0.482366
260.488 0.722801
260.638 1.20057
260.713 1.63881
260.788 2.36641
260.863 3.70192
260.901 4.82845
260.938 6.54077
260.976 9.30428
261.013 14.1087
261.051 23.2068
261.069 30.7436
261.088 41.3996
261.119 66.2982
261.150 82.8341
261.181 66.2193
261.212 41.4085
261.233 29.5836
261.255 21.6127
261.276 16.2472
261.297 12.5563
261.339 8.04772
261.382 5.55648
261.424 4.04810
261.466 3.07588
261.551 1.94183
261.636 1.33374
261.721 0.971987
261.805 0.739519
261.890 0.581447
262.059 0.386468
262.229 0.275538
262.398 0.206458
262.568 0.160555
262.907 0.105255
263.245 0.0744950
263.584 0.0556423
263.923 0.0432614
264.601 0.0285168
265.279 0.0204099
266.634 0.0122677
267.990 0.00848216
269.345 0.00645062
272.056 0.00460148
274.767 0.00424028
276.122 0.00458643
277.478 0.00556717
278.833 0.00801186
279.511 0.0105643
280.189 0.0152948
280.867 0.0254520
281.206 0.0355327
281.544 0.0537605
281.883 0.0919996
282.053 0.129195
282.222 0.195123
282.307 0.249158
282.392 0.329256
282.476 0.455409
282.561 0.670818
282.646 1.08367
282.688 1.44870
282.730 2.02905
282.773 3.03367
282.815 4.96329
282.836 6.65371
282.857 9.27472
282.879 13.5012
282.900 20.3521
282.925 32.5894
282.950 40.7044
282.975 32.5347
283.000 20.3484
283.023 13.0282
283.046 8.73691
283.069 6.15988
283.092 4.53709
283.138 2.72165
283.184 1.80235
283.230 1.27651
283.275 0.950548
283.367 0.584325
283.459 0.394936
283.551 0.284655
283.642 0.214913
283.734 0.168090
283.917 0.110982
284.101 0.0788730
284.467 0.0459320
284.834 0.0302409
285.201 0.0215639
285.934 0.0127876
286.668 0.00865191
287.401 0.00637351
288.868 0.00406568
290.335 0.00296696
291.802 0.00235139
294.735 0.00170942
300.603 0.00120681
306.470 0.00102155
312.338 0.000972036
318.205 0.00108742
324.073 0.00201723
325.539 0.00300393
327.006 0.00579408
327.740 0.00962988
328.473 0.0202557
328.840 0.0345424
329.023 0.0483997
329.207 0.0728568
329.390 0.122306
329.482 0.168533
329.573 0.246784
329.665 0.395174
329.711 0.524771
329.757 0.728209
329.803 1.07376
329.848 1.71853
329.871 2.26490
329.894 3.08592
329.917 4.35736
329.940 6.33467
329.970 10.1447
330.000 12.6750
330.030 10.1322
330.060 6.33582
330.079 4.63024
330.098 3.45286
330.136 2.06282
330.174 1.34545
330.213 0.939015
330.251 0.689759
330.289 0.526971
330.365 0.335538
330.441 0.231777
330.517 0.169629
330.669 0.102075
330.822 0.0681771
330.974 0.0488112
331.279 0.0286782
331.888 0.0135639
332.497 0.00806413
333.716 0.00403459
334.934 0.00259571
339.808 0.00118864
349.555 0.000857610
369.050 0.000920076
388.545 0.00128045
398.293 0.00169475
403.166 0.00223963
405.603 0.00355008
406.822 0.00801272
407.126 0.0123150
407.431 0.0236685
407.583 0.0380590
407.735 0.0734063
407.812 0.114283
407.888 0.202083
407.926 0.288816
407.964 0.441997
408.002 0.739048
408.021 0.990788
408.040 1.35325
408.070 2.16326
408.100 2.70304
408.130 2.16343
408.160 1.35346
408.183 0.927002
408.206 0.655387
408.253 0.364645
408.299 0.227957
408.345 0.155219
408.438 0.0850704
408.530 0.0538741
408.715 0.0277363
408.900 0.0173821
409.640 0.00640887
411.120 0.00350739
414.079 0.00302365
419.998 0.00369505
425.917 0.00510459
431.836 0.00774448
434.796 0.00998814
437.756 0.0134360
440.715 0.0191330
443.675 0.0295660
445.154 0.0383951
446.634 0.0519374
448.114 0.0742647
449.594 0.115025
450.334 0.149408
451.074 0.201970
451.813 0.288221
452.553 0.444580
452.923 0.575534
453.293 0.774221
453.663 1.09708
454.033 1.67359
454.218 2.14928
454.403 2.86060
454.588 3.99287
454.773 5.95476
454.958 9.80788
455.051 13.2985
455.143 19.0086
455.235 29.2865
455.282 37.7866
455.328 50.4093
455.374 70.2419
455.397 84.5208
455.420 103.247
455.444 128.223
455.467 162.034
455.490 208.181
455.513 270.652
455.556 433.120
455.600 541.450
455.622 509.562
455.644 433.069
455.687 270.592
455.731 167.016
455.774 108.800
455.817 75.1492
455.860 54.5791
455.904 41.2202
455.947 32.1437
456.033 21.0405
456.120 14.7903
456.207 10.9506
456.380 6.67981
456.553 4.49052
456.726 3.22284
456.899 2.42428
457.072 1.88921
457.418 1.23938
457.764 0.874938
458.111 0.650366
458.457 0.502295
459.149 0.325381
459.842 0.227768
460.534 0.168286
461.226 0.129391
462.611 0.0832998
463.996 0.0580819
465.381 0.0428053
466.765 0.0328594
469.535 0.0211284
472.305 0.0147416
475.074 0.0108866
477.844 0.00838439
483.383 0.00544426
488.922 0.00385150
494.461 0.00289534
500.000 0.00227864
509.809 0.00162259
519.618 0.00125396
539.235 0.000892806
558.853 0.000754312
578.470 0.000725869
598.088 0.000781790
617.705 0.000946044
637.323 0.00133664
647.131 0.00176151
652.036 0.00223153
654.488 0.00312473
655.714 0.00591669
656.327 0.0155645
656.634 0.0461812
656.787 0.125601
656.863 0.273947
656.902 0.458145
656.940 0.841829
656.970 1.34526
657.000 1.68080
657.030 1.34533
657.060 0.841917
657.098 0.459585
657.136 0.275367
657.212 0.126652
657.365 0.0467459
657.669 0.0158693
658.278 0.00621938
659.495 0.00362852
661.931 0.00322144
666.802 0.00391184
671.672 0.00531479
676.543 0.00792179
678.978 0.0101297
681.414 0.0135166
683.849 0.0191050
686.284 0.0293293
687.502 0.0379778
688.720 0.0512401
689.938 0.0731022
691.155 0.113006
691.764 0.146666
692.373 0.198107
692.982 0.282513
693.591 0.435448
693.895 0.563507
694.199 0.757716
694.504 1.07301
694.808 1.63562
694.960 2.09925
695.113 2.79179
695.265 3.89256
695.417 5.79717
695.569 9.52395
695.645 12.8881
695.721 18.3778
695.760 22.5232
695.798 28.1953
695.836 36.2700
695.874 48.1866
695.912 66.7734
695.950 97.3555
695.969 120.399
695.988 151.177
696.007 192.760
696.026 248.460
696.063 397.631
696.100 497.110
696.137 397.603
696.174 248.428
696.216 144.943
696.257 90.6855
696.298 60.9424
696.340 43.3938
696.381 32.3261
696.423 24.9508
696.505 16.1030
696.588 11.2155
696.671 8.25084
696.836 4.99140
697.002 3.33780
697.167 2.38755
697.333 1.79175
697.498 1.39390
697.830 0.912270
698.161 0.643187
698.492 0.477753
698.823 0.368856
699.485 0.238949
700.147 0.167396
700.809 0.123848
701.471 0.0953991
702.795 0.0617238
704.119 0.0433290
705.443 0.0322058
706.767 0.0249830
709.416 0.0165155
712.064 0.0119787
714.712 0.00933128
717.361 0.00773248
722.657 0.00640239
725.305 0.00654143
727.954 0.00748949
730.602 0.0101893
731.926 0.0131047
733.250 0.0185825
734.574 0.0304805
735.237 0.0423985
735.899 0.0641531
736.561 0.110442
736.892 0.156176
737.223 0.238665
737.388 0.307426
737.554 0.411176
737.719 0.578476
737.885 0.874070
737.968 1.11541
738.050 1.47194
738.133 2.03178
738.216 2.98069
738.299 4.78436
738.340 6.36127
738.381 8.84077
738.423 13.0651
738.464 21.0065
738.485 27.7762
738.505 38.0080
738.526 53.9676
738.536 65.0607
738.547 78.8385
738.560 101.030
738.573 126.185
738.600 157.570
738.627 125.991
738.653 78.8324
738.675 52.8247
738.697 36.6348
738.719 26.4671
738.741 19.8455
738.784 12.2009
738.828 8.19607
738.871 5.86408
738.915 4.39529
739.002 2.72714
739.089 1.85264
739.176 1.33949
739.264 1.01324
739.351 0.793348
739.525 0.524078
739.699 0.372092
739.874 0.277921
740.048 0.215642
740.397 0.140927
740.746 0.0995428
741.094 0.0742534
741.443 0.0576816
742.140 0.0379886
742.838 0.0271806
743.535 0.0206129
744.232 0.0163249
745.627 0.0112464
747.022 0.00846490
749.811 0.00567534
752.600 0.00437736
755.390 0.00367961
760.969 0.00303469
772.126 0.00285803
783.284 0.00343589
794.442 0.00506548
800.020 0.00676181
805.599 0.00988900
808.389 0.0125390
811.178 0.0166060
813.967 0.0233181
816.757 0.0355995
818.151 0.0459875
819.546 0.0619164
820.941 0.0881724
822.336 0.136098
823.033 0.176517
823.730 0.238285
824.428 0.339625
825.125 0.523218
825.474 0.676893
825.822 0.909991
826.171 1.28837
826.520 1.96316
826.694 2.51941
826.868 3.34966
827.043 4.66968
827.217 6.95132
827.304 8.77434
827.391 11.4155
827.479 15.4430
827.566 22.0014
827.609 26.9471
827.653 33.7277
827.697 43.3462
827.740 57.5228
827.784 79.5778
827.827 115.876
827.871 179.361
827.914 293.544
827.957 469.984
828.000 587.272
828.043 469.505
828.086 293.501
828.113 215.044
828.140 160.638
828.194 96.2313
828.247 62.8668
828.301 43.9440
828.355 32.2935
828.409 24.6880
828.517 15.7135
828.624 10.8475
828.732 7.93050
828.948 4.76048
829.163 3.16845
829.378 2.25921
829.594 1.69140
829.809 1.31366
830.240 0.857868
830.671 0.603967
831.102 0.448226
831.533 0.345901
832.395 0.224025
833.256 0.157008
834.118 0.116269
834.980 0.0896793
836.704 0.0582390
838.427 0.0410873
840.151 0.0307294
841.874 0.0240130
845.321 0.0161589
848.768 0.0119699
852.215 0.00953840
855.662 0.00807433
862.557 0.00679832
869.451 0.00731088
872.898 0.00886186
874.621 0.0105171
876.345 0.0135871
878.069 0.0201790
878.930 0.0267437
879.792 0.0386976
880.654 0.0641149
881.085 0.0892542
881.516 0.134672
881.946 0.229977
882.162 0.322842
882.377 0.487652
882.485 0.622923
882.593 0.823827
882.701 1.14099
882.808 1.68441
882.916 2.73146
882.970 3.66222
883.024 5.15166
883.078 7.75139
883.131 12.8170
883.158 17.3282
883.185 24.4003
883.212 36.0196
883.239 55.4023
883.270 88.6388
883.300 110.795
883.331 88.6349
883.361 55.3978
883.389 35.3057
883.417 23.5872
883.445 16.5852
883.474 12.1924
883.530 7.30300
883.586 4.82846
883.642 3.41675
883.698 2.54261
883.811 1.56273
883.923 1.05609
884.036 0.761558
884.148 0.575219
884.261 0.450164
884.486 0.297820
884.710 0.212171
885.160 0.124407
885.610 0.0826721
886.060 0.0596320
886.959 0.0364316
887.859 0.0256065
888.759 0.0197354
890.558 0.0140026
892.357 0.0115161
894.156 0.0103479
897.754 0.00970957
904.951 0.0113677
912.147 0.0161848
915.746 0.0205337
919.344 0.0273227
922.942 0.0386236
926.540 0.0593755
928.340 0.0769362
930.139 0.103839
931.938 0.148099
933.737 0.228606
934.636 0.296248
935.536 0.399235
936.436 0.567277
937.335 0.869319
937.785 1.12011
938.235 1.49751
938.685 2.10347
938.909 2.55448
939.134 3.16717
939.359 4.02975
939.584 5.29789
939.809 7.27034
940.034 10.5786
940.146 13.1422
940.259 16.7459
940.371 22.0366
940.484 30.2066
940.596 43.7188
940.709 68.0176
940.765 87.8310
940.821 116.527
940.877 158.963
940.933 221.594
941.017 354.657
941.100 443.209
941.183 354.421
941.267 221.527
941.324 157.813
941.382 115.015
941.439 86.2970
941.496 66.6208
941.611 42.6174
941.726 29.3620
941.840 21.3667
941.955 16.2140
942.185 10.2207
942.414 7.01319
942.643 5.10516
942.873 3.87995
943.102 3.04735
943.561 2.02131
944.020 1.43775
944.479 1.07452
944.938 0.833350
945.855 0.543060
946.773 0.381720
947.691 0.282911
948.608 0.218054
950.444 0.140913
952.279 0.0985464
954.115 0.0728112
955.950 0.0560211
959.621 0.0361790
963.292 0.0253584
966.963 0.0188276
970.633 0.0145983
977.975 0.00968841
985.317 0.00718036
992.658 0.00604060
1000.00 0.00656169
1002.99 0.00812563
1004.48 0.00982970
1005.97 0.0130291
1007.47 0.0199635
1008.22 0.0268958
1008.96 0.0395194
1009.71 0.0664119
1010.08 0.0929801
1010.45 0.140974
1010.83 0.242002
1011.02 0.340562
1011.20 0.514577
1011.30 0.658890
1011.39 0.871318
1011.48 1.20631
1011.57 1.77936
1011.67 2.89782
1011.72 3.89582
1011.76 5.45995
1011.81 8.24291
1011.85 13.5444
1011.88 18.4566
1011.90 25.8734
1011.92 37.9516
1011.94 47.1368
1011.95 57.8661
1011.96 74.9374
1011.97 92.9227
1012.00 115.004
1012.03 91.5419
1012.05 57.8629
1012.08 34.7817
1012.11 22.5493
1012.14 15.5286
1012.16 11.2488
1012.19 8.40300
1012.22 6.55461
1012.27 4.29181
1012.33 3.00164
1012.38 2.22557
1012.49 1.36151
1012.60 0.914747
1012.71 0.658675
1012.81 0.495907
1012.92 0.387899
1013.14 0.256061
1013.36 0.182171
1013.79 0.106696
1014.23 0.0708865
1014.66 0.0512651
1015.53 0.0317072
1016.40 0.0228610
1017.26 0.0184315
1019.00 0.0155853
1020.74 0.0181897
1021.61 0.0224810
1022.47 0.0311287
1023.34 0.0504092
1023.78 0.0697886
1024.21 0.105094
1024.65 0.179696
1024.86 0.252776
1025.08 0.383242
1025.19 0.491371
1025.30 0.651409
1025.41 0.908231
1025.51 1.34844
1025.62 2.21823
1025.68 2.99670
1025.73 4.26400
1025.79 6.57974
1025.81 8.45331
1025.84 11.2211
