32-Ge_n-tot
>  32-Ge-70:0.205700
>  32-Ge-72:0.274500
>  32-Ge-73:0.077500
>  32-Ge-74:0.365000
>  32-Ge-76:0.077300
2.259500e+02 3.23523937e+01
2.259800e+02 3.11704000e+01
2.261660e+02 2.61956366e+01
2.265390e+02 2.00864630e+01
2.269110e+02 1.66189588e+01
2.272830e+02 1.44593291e+01
2.280280e+02 1.20078540e+01
2.287730e+02 1.07082149e+01
2.295180e+02 9.92853883e+00
2.302620e+02 9.41891587e+00
2.310070e+02 9.06438154e+00
2.324970e+02 8.60938889e+00
2.339860e+02 8.33302260e+00
2.354760e+02 8.14814844e+00
2.369650e+02 8.01555241e+00
2.389250e+02 7.89755739e+00
2.399440e+02 7.83628303e+00
2.421690e+02 7.74794738e+00
2.429230e+02 7.71811141e+00
2.454130e+02 7.65372490e+00
2.470340e+02 7.61236948e+00
2.478450e+02 7.59210614e+00
2.486560e+02 7.57254277e+00
2.488810e+02 7.56759346e+00
2.494670e+02 7.55953122e+00
2.498730e+02 7.55551546e+00
2.502780e+02 7.55403633e+00
2.504810e+02 7.55514678e+00
2.506840e+02 7.55858498e+00
2.508860e+02 7.56619309e+00
2.510890e+02 7.58195908e+00
2.512920e+02 7.61625108e+00
2.513930e+02 7.64864157e+00
2.514950e+02 7.70249221e+00
2.515960e+02 7.80015331e+00
2.516470e+02 7.88078043e+00
2.516970e+02 8.00002996e+00
2.517480e+02 8.18580157e+00
2.517990e+02 8.49175752e+00
2.518490e+02 9.02655338e+00
2.519000e+02 9.98697223e+00
2.519500e+02 1.14715381e+01
2.520000e+02 1.24604942e+01
2.520500e+02 1.14705798e+01
2.521000e+02 9.98442433e+00
2.521300e+02 9.34307504e+00
2.521610e+02 8.89004348e+00
2.522210e+02 8.34564010e+00
2.522820e+02 8.05763044e+00
2.523420e+02 7.89151551e+00
2.524030e+02 7.78801652e+00
2.524630e+02 7.71969496e+00
2.525840e+02 7.63778963e+00
2.527050e+02 7.59214575e+00
2.528260e+02 7.56381733e+00
2.530680e+02 7.53095140e+00
2.533110e+02 7.51224393e+00
2.535530e+02 7.49970199e+00
2.537950e+02 7.49024542e+00
2.540370e+02 7.48250722e+00
2.545210e+02 7.46975112e+00
2.548390e+02 7.46257481e+00
2.550050e+02 7.45944155e+00
2.559740e+02 7.44342760e+00
2.569420e+02 7.42867016e+00
2.579100e+02 7.41441780e+00
2.598470e+02 7.38650944e+00
2.607970e+02 7.37302145e+00
2.637200e+02 7.33854399e+00
2.675940e+02 7.29316885e+00
2.727130e+02 7.23346729e+00
2.750000e+02 7.20947704e+00
2.830880e+02 7.12818480e+00
2.846290e+02 7.11277674e+00
2.905870e+02 7.05442566e+00
2.965450e+02 6.99660545e+00
3.025030e+02 6.94201777e+00
3.054820e+02 6.91904959e+00
3.084610e+02 6.90411894e+00
3.099510e+02 6.90282807e+00
3.106950e+02 6.90485594e+00
3.114400e+02 6.90943206e+00
3.121850e+02 6.91746701e+00
3.129300e+02 6.93030696e+00
3.136740e+02 6.95005908e+00
3.140750e+02 6.96625054e+00
3.144190e+02 6.98016774e+00
3.151640e+02 7.02659404e+00
3.159090e+02 7.10037707e+00
3.166530e+02 7.22425674e+00
3.170260e+02 7.31919039e+00
3.173980e+02 7.45088294e+00
3.177700e+02 7.64041684e+00
3.181430e+02 7.92608962e+00
3.185150e+02 8.38363014e+00
3.188880e+02 9.17898942e+00
3.190740e+02 9.81498731e+00
3.192600e+02 1.07344414e+01
3.194460e+02 1.21283738e+01
3.196320e+02 1.43744652e+01
3.198190e+02 1.82969011e+01
3.200050e+02 2.59347605e+01
3.200980e+02 3.26627302e+01
3.201910e+02 4.31443349e+01
3.202840e+02 6.01264846e+01
3.203770e+02 8.79374768e+01
3.204890e+02 1.38549983e+02
3.206000e+02 1.74023643e+02
3.207120e+02 1.42650449e+02
3.208230e+02 9.30942088e+01
3.209110e+02 6.62108347e+01
3.209990e+02 4.90486731e+01
3.210870e+02 3.80359815e+01
3.211750e+02 3.07369349e+01
3.213510e+02 2.21443166e+01
3.215270e+02 1.75463584e+01
3.217030e+02 1.48266902e+01
3.218790e+02 1.30940542e+01
3.222310e+02 1.11066143e+01
3.225830e+02 1.00674799e+01
3.229350e+02 9.47252120e+00
3.236390e+02 8.90407634e+00
3.243430e+02 8.73673273e+00
3.250470e+02 8.79231787e+00
3.264550e+02 9.45353664e+00
3.271590e+02 1.01390573e+01
3.278630e+02 1.12175572e+01
