Pt-198(n,g) JEFF-3.2
Energy(eV) XS(b)
785.357 0.0582909
793.188 0.0592744
801.020 0.0663989
808.851 0.0844685
812.766 0.101414
816.682 0.128541
820.597 0.174676
824.513 0.261105
826.471 0.335360
828.429 0.450604
830.386 0.643334
832.344 1.00197
833.257 1.28503
834.170 1.71056
834.398 1.85058
834.626 2.00863
834.855 2.18804
835.083 2.39282
835.311 2.62798
835.539 2.89982
835.767 3.21639
835.996 3.58802
836.224 4.02844
836.452 4.55518
836.680 5.19255
836.908 5.97372
837.137 6.94565
837.365 8.17430
837.593 9.75872
837.821 11.8493
838.050 14.6858
838.278 18.6598
838.506 24.4603
838.734 33.3662
838.962 47.9444
839.191 73.8229
839.305 94.6404
839.419 124.413
839.533 167.771
839.647 230.697
839.824 369.080
840.000 461.819
840.177 369.983
840.353 231.366
840.509 150.281
840.665 101.737
840.821 72.2095
840.977 53.4414
841.289 32.2884
841.600 21.4574
841.912 15.2420
842.224 11.3662
842.848 7.00246
843.471 4.73828
844.095 3.41746
844.718 2.58102
845.342 2.01839
846.589 1.33234
847.837 0.946098
849.084 0.707408
850.331 0.549705
852.826 0.360823
855.320 0.256305
857.815 0.192446
860.309 0.150571
865.298 0.100739
870.287 0.0732799
875.276 0.0565042
880.265 0.0454750
890.243 0.0322613
900.221 0.0248877
920.177 0.0172851
940.132 0.0136154
960.088 0.0115923
1000.00 0.00973486
1076.44 0.00972259
1114.66 0.0109790
1152.88 0.0134661
1191.11 0.0183215
1210.22 0.0225253
1229.33 0.0290646
1248.44 0.0400447
1267.55 0.0606661
1277.10 0.0785972
1286.66 0.106889
1296.21 0.155443
1298.60 0.173067
1300.99 0.193996
1302.19 0.205970
1303.38 0.219113
1304.57 0.233594
1305.17 0.241394
1305.77 0.249601
1306.76 0.264296
1307.76 0.280362
1308.76 0.297972
1309.75 0.317313
1310.75 0.338662
1311.75 0.362283
1313.74 0.417709
1315.74 0.487172
1317.73 0.575735
1319.72 0.691134
1321.71 0.845359
1323.71 1.05800
1325.70 1.36211
1327.69 1.81827
1329.69 2.54538
1331.68 3.80254
1332.68 4.79991
1333.67 6.22551
1334.67 8.34846
1335.67 11.6420
1336.66 16.9731
1337.66 25.6974
