Zn-66(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
4404.33 0.00723822
4423.55 0.00366260
4442.76 0.00290965
4461.98 0.00258916
4538.84 0.00209859
4692.56 0.00177020
5000.00 0.00159374
5101.96 0.00160692
5152.94 0.00165253
5178.43 0.00173762
5191.17 0.00197022
5197.54 0.00280816
5200.73 0.00600877
5202.32 0.0180019
5203.12 0.0603328
5203.52 0.192204
5203.72 0.521111
5203.82 1.10752
5203.87 1.79785
5203.91 3.11202
5203.96 4.97649
5204.00 6.21877
5204.04 4.97653
5204.09 3.10846
5204.15 1.48098
5204.22 0.813800
5204.36 0.343101
5204.63 0.116305
5205.17 0.0351769
5206.25 0.0107781
5208.42 0.00408917
5212.76 0.00234963
5221.43 0.00193354
5238.77 0.00191273
5273.45 0.00232534
5308.14 0.00470346
5316.81 0.00716256
5325.48 0.0141377
5329.82 0.0238089
5334.15 0.0510049
5336.32 0.0883229
5337.40 0.125177
5338.49 0.191632
5339.57 0.330489
5340.11 0.465116
5340.66 0.702850
5341.20 1.18326
5341.47 1.63231
5341.74 2.39347
5342.01 3.83573
5342.15 5.09936
5342.28 7.07262
5342.42 10.4426
5342.55 16.6966
5342.62 22.0354
5342.69 29.9270
5342.76 42.3101
5342.82 61.2357
5342.91 97.9855
5343.00 122.488
5343.09 97.9839
5343.18 61.2351
5343.25 41.6388
5343.32 29.2167
5343.39 21.2933
5343.46 16.1321
5343.60 10.0298
5343.74 6.78576
5343.87 4.87859
5344.01 3.66937
5344.29 2.28615
5344.57 1.55769
5344.85 1.12851
5345.40 0.669873
5345.96 0.443145
5346.52 0.314827
5347.63 0.182544
5348.74 0.119261
5349.85 0.0841734
5352.08 0.0486485
5356.52 0.0227564
5360.97 0.0135499
5369.87 0.00690535
5378.76 0.00456091
5414.35 0.00228476
5485.52 0.00171290
5627.86 0.00157788
5912.55 0.00157874
6197.23 0.00163430
6339.57 0.00168207
6410.74 0.00172353
6446.33 0.00177719
6464.12 0.00191445
6473.02 0.00241095
6477.47 0.00432660
6479.69 0.0116336
6480.80 0.0382971
6481.36 0.127189
6481.64 0.376985
6481.77 0.903375
6481.84 1.66110
6481.91 3.52994
6482.00 7.05817
6482.09 3.52998
6482.14 1.89206
6482.20 1.11373
6482.31 0.502460
6482.54 0.178944
6482.99 0.0550182
6483.90 0.0164107
6485.71 0.00560822
6489.33 0.00275627
6496.57 0.00202973
6511.06 0.00186118
6540.03 0.00186089
6597.96 0.00204779
6655.90 0.00304522
6684.87 0.00696253
6692.11 0.0109941
6699.36 0.0224125
6702.98 0.0382236
6706.60 0.0826311
6708.41 0.143469
6709.31 0.203424
6710.22 0.311313
6711.12 0.536400
6711.58 0.754065
6712.03 1.13617
6712.48 1.90566
6712.71 2.61896
6712.93 3.81903
6713.16 6.08090
6713.27 8.02505
6713.39 11.0474
6713.50 16.0823
6713.61 25.2567
6713.67 32.9128
6713.73 43.9354
6713.78 60.7777
6713.84 85.5957
6713.92 137.299
6714.00 171.202
6714.08 136.617
6714.16 85.5958
6714.23 55.9701
6714.30 38.0825
6714.37 27.1305
6714.44 20.1342
6714.58 12.2094
6714.72 8.15372
6714.86 5.79823
6715.00 4.33545
6715.28 2.67620
6715.56 1.81057
6715.84 1.30675
6716.40 0.771949
6716.95 0.508836
6717.51 0.360829
6718.63 0.208735
6719.75 0.136142
6720.86 0.0960094
6723.09 0.0554272
6727.56 0.0259095
6732.03 0.0154315
6740.96 0.00787923
6749.89 0.00521875
6785.62 0.00264667
6857.08 0.00202092
7000.00 0.00191113
7487.48 0.00209627
7974.96 0.00243037
8462.44 0.00295754
8706.18 0.00335453
8828.05 0.00361410
8888.98 0.00377402
8919.45 0.00388919
8934.68 0.00405595
8942.30 0.00456030
8946.11 0.00644683
8948.01 0.0135666
8948.96 0.0391703
8949.44 0.122206
8949.68 0.344239
8949.80 0.778114
8949.91 2.60520
8950.00 5.20430
8950.09 2.60224
8950.20 0.846417
8950.31 0.384798
8950.52 0.139546
8950.96 0.0448471
8951.84 0.0152046
8953.60 0.00690713
8957.11 0.00472130
8964.13 0.00417906
8978.18 0.00408408
9006.26 0.00415561
9062.44 0.00444802
9118.62 0.00532878
9146.71 0.00817354
9160.75 0.0190155
9164.27 0.0300276
9167.78 0.0607755
9169.53 0.102614
9171.29 0.216856
9172.17 0.367938
9172.60 0.512267
9173.04 0.762932
9173.48 1.25630
9173.70 1.70575
9173.92 2.44077
9174.14 3.77507
9174.25 4.88368
9174.36 6.52456
9174.47 9.13466
9174.58 13.4794
9174.69 21.3809
9174.80 36.1550
9174.90 57.7907
9175.00 72.3109
9175.10 57.7900
9175.20 36.1547
9175.28 24.6721
9175.36 17.3982
9175.44 12.7288
9175.51 9.63538
9175.67 5.98503
9175.83 4.05615
9175.98 2.91433
9176.14 2.19497
9176.45 1.36885
9176.77 0.933803
9177.08 0.677504
9177.70 0.403933
9178.96 0.191753
9180.21 0.112774
9182.71 0.0540196
9185.21 0.0328153
9190.22 0.0173690
9195.22 0.0118905
9215.24 0.00660762
9255.29 0.00543180
9335.37 0.00550968
9415.45 0.00595699
9455.49 0.00624266
9495.54 0.00656925
9535.58 0.00694187
9575.62 0.00736875
9615.66 0.00786230
9655.70 0.00844230
9695.74 0.00914739
9735.79 0.0100915
9775.83 0.0120610
9795.85 0.0169092
9805.86 0.0343160
9808.36 0.0518892
9810.86 0.100943
9812.12 0.167847
9813.37 0.351178
9813.99 0.594913
9814.31 0.828841
9814.62 1.23549
9814.93 2.04399
9815.09 2.78755
9815.24 4.01234
9815.40 6.27074
9815.48 8.16026
9815.56 11.0219
9815.63 15.6173
9815.71 23.5492
9815.79 38.4105
9815.87 67.8064
9815.93 108.487
9816.00 135.607
9816.07 108.486
9816.13 67.8061
9816.18 48.4696
9816.22 35.4266
9816.27 26.6419
9816.31 20.5962
9816.40 13.2076
9816.49 9.11595
9816.58 6.64503
9816.67 5.04883
9816.85 3.19723
9817.03 2.19841
9817.21 1.60634
9817.57 0.964655
9817.93 0.644329
9818.29 0.461932
9819.01 0.272883
9820.44 0.131424
9821.88 0.0801770
9824.75 0.0427573
9827.62 0.0294802
9839.12 0.0167710
9850.61 0.0146982
9862.10 0.0142364
9908.07 0.0152658
9954.03 0.0175242
10000.0 0.0206785
10045.5 0.0250033
10091.0 0.0311672
10136.5 0.0403542
10182.0 0.0548824
10227.5 0.0797300
10250.3 0.0992535
10273.0 0.126947
10295.8 0.167689
10318.5 0.230033
10341.3 0.328852
10364.0 0.486639
10392.0 0.773093
10420.0 0.960629
10448.0 0.767851
10476.0 0.481689
10501.6 0.310006
10527.2 0.208957
10552.9 0.148387
10578.5 0.110333
10629.7 0.0679318
10680.9 0.0465193
10732.2 0.0343938
10783.4 0.0270008
10834.6 0.0226311
10860.3 0.0229311
10873.1 0.0305638
10879.5 0.0631197
10881.1 0.0963591
10882.7 0.188547
10883.5 0.312555
10884.3 0.645276
10884.7 1.07477
10884.9 1.47640
10885.1 2.15752
10885.3 3.44914
10885.4 4.57665
10885.5 6.35215
10885.6 9.36521
10885.7 15.0119
10885.7 19.8106
10885.8 27.0413
10885.8 38.2783
10885.9 55.8242
10885.9 92.0317
10886.0 111.633
10886.1 86.5441
10886.1 55.8241
10886.2 41.2023
10886.2 30.9400
10886.3 19.8108
10886.4 12.8937
10886.4 9.36545
10886.5 6.82796
10886.6 5.35738
10886.7 3.54220
10886.9 2.45614
10887.0 1.83745
10887.3 1.12357
10887.9 0.544035
10888.5 0.326760
10889.6 0.160554
10890.8 0.100116
10893.1 0.0551691
10895.5 0.0390876
10904.8 0.0229276
10923.5 0.0180853
10960.8 0.0156528
11035.4 0.0133485
11184.7 0.0110613
11334.0 0.0101259
11483.3 0.00988286
11632.6 0.0100780
11781.9 0.0106075
11931.2 0.0114394
12080.5 0.0125855
12155.2 0.0132898
12229.8 0.0140933
12267.2 0.0145358
12304.5 0.0150077
12341.8 0.0155112
12379.1 0.0160481
12416.5 0.0166212
12453.8 0.0172329
12491.1 0.0178865
12528.4 0.0185851
12603.1 0.0201332
12677.7 0.0219126
12752.4 0.0239677
12827.0 0.0263547
12901.7 0.0291447
12976.3 0.0324297
13125.6 0.0410007
13200.3 0.0466600
13237.6 0.0499709
13256.3 0.0518705
13265.6 0.0532984
13270.3 0.0557552
13272.6 0.0635822
13273.8 0.0917476
13274.3 0.185258
13274.6 0.449366
13274.8 1.04880
13274.8 1.86910
13274.9 4.03816
13275.0 8.04692
13275.1 4.03825
13275.2 2.05666
13275.2 1.12899
13275.4 0.492201
13275.6 0.202354
13276.2 0.0973953
13277.3 0.0656742
13279.4 0.0571137
13283.8 0.0552747
13292.4 0.0556165
13309.8 0.0573973
13344.5 0.0615505
13379.2 0.0663743
13396.5 0.0697475
13405.2 0.0745096
13409.6 0.0886481
13411.7 0.140038
13412.8 0.321278
13413.4 0.894606
13413.5 1.38750
13413.6 2.36611
13413.8 5.26001
13413.8 8.97043
13413.9 15.9658
13414.0 26.0748
13414.0 31.8607
13414.1 26.0748
13414.1 15.9658
13414.2 8.97056
13414.2 5.64041
13414.4 2.74210
13414.5 1.60999
13414.6 1.06534
13414.8 0.569650
13415.1 0.374715
13416.1 0.155508
13418.0 0.0940637
13421.9 0.0781818
13429.7 0.0752005
13445.4 0.0767578
13476.6 0.0821896
13539.1 0.0955380
13664.1 0.133527
13789.0 0.195629
13914.0 0.298379
14057.0 0.473812
14200.0 0.584513
14343.0 0.461598
14486.0 0.286624
14629.2 0.175701
14772.4 0.113907
14915.7 0.0784039
15058.9 0.0567675
15202.1 0.0428207
15345.3 0.0334052
15488.5 0.0269134
15560.2 0.0249455
15596.0 0.0263066
15604.9 0.0286237
15613.9 0.0356872
15618.3 0.0457043
15622.8 0.0739160
15625.1 0.112577
15627.3 0.218830
15628.4 0.360178
15629.0 0.495924
15629.5 0.733060
15630.1 1.20406
15630.4 1.63611
15630.7 2.35343
15630.9 3.66987
15631.1 4.78000
15631.2 6.46666
15631.4 9.18644
15631.5 13.9066
15631.6 22.8106
15631.8 39.6635
15631.9 62.9099
15632.0 79.3093
15632.1 62.9089
15632.2 39.6629
15632.4 23.7106
15632.5 15.3505
15632.6 10.5661
15632.7 7.65441
15632.8 5.77643
15633.0 4.50396
15633.2 2.95000
15633.5 2.05095
15633.7 1.52571
15634.2 0.940831
15634.7 0.635801
15635.1 0.463381
15636.1 0.281365
15638.0 0.141533
15640.0 0.0905087
15643.8 0.0527478
15647.7 0.0391527
15655.5 0.0291601
15663.2 0.0254860
15694.2 0.0213012
15756.1 0.0189647
15818.0 0.0175231
15848.9 0.0170633
15864.4 0.0174895
15872.2 0.0202202
15876.0 0.0313212
15878.0 0.0730753
15878.9 0.221443
15879.4 0.677658
15879.7 1.80128
15879.8 3.76705
15879.8 6.06337
15879.9 11.5784
15880.0 18.5336
15880.0 23.0272
15880.1 18.5336
15880.1 11.4651
15880.2 5.56776
15880.3 3.27248
15880.4 1.47595
15880.7 0.532462
15881.2 0.169350
15882.4 0.0583038
15884.6 0.0271858
15889.2 0.0188797
15898.2 0.0166002
15916.3 0.0157437
15952.5 0.0150011
16024.8 0.0138670
16169.5 0.0120308
16458.9 0.00946801
16748.3 0.00820872
16820.7 0.00836105
16893.0 0.00941278
16929.2 0.0111183
16947.3 0.0128713
16965.4 0.0160902
16983.5 0.0229256
16992.5 0.0296353
17001.6 0.0416017
17010.6 0.0662139
17015.1 0.0896030
17019.7 0.130014
17024.2 0.208898
17026.4 0.279923
17028.7 0.395501
17029.8 0.482406
17031.0 0.601335
17032.1 0.769646
17032.7 0.882103
17033.2 1.01766
17033.8 1.18911
17034.4 1.40127
17034.9 1.67731
17035.5 2.02921
17036.1 2.50107
17036.6 3.11936
17037.2 3.96410
17037.7 5.06806
17038.9 8.11312
17040.0 10.1461
17040.6 9.53721
17041.1 8.11178
17042.3 5.06677
17043.1 3.50205
17044.0 2.49073
17044.8 1.83466
17045.7 1.40069
17047.4 0.879492
17049.0 0.600986
17050.7 0.435046
17052.4 0.329939
17055.8 0.208705
17059.2 0.144580
17062.6 0.106696
17069.4 0.0661590
17076.2 0.0460455
17082.9 0.0346727
17096.5 0.0229571
17110.0 0.0174035
17123.6 0.0143990
17150.7 0.0116794
17177.8 0.0112405
17204.9 0.0135258
17218.4 0.0175839
17225.2 0.0217827
17232.0 0.0294888
17238.8 0.0458523
17242.2 0.0618822
17245.5 0.0903363
17247.2 0.113861
17248.9 0.148698
17250.6 0.204186
17252.3 0.299048
17254.0 0.484039
17254.9 0.649601
17255.7 0.913183
17256.6 1.38150
17257.4 2.29520
17257.8 3.13703
17258.2 4.45029
17258.7 6.63980
17259.1 10.3582
17259.5 16.5663
17260.0 20.7030
17260.5 16.5650
17260.9 10.3574
17261.3 7.13206
17261.6 5.05589
17262.0 3.71404
17262.3 2.82049
17263.0 1.76531
17263.7 1.20643
17264.4 0.870455
17265.1 0.659437
17266.5 0.414721
17267.9 0.285245
17269.3 0.208728
17272.1 0.126726
17274.8 0.0860720
17277.6 0.0630166
17283.2 0.0391917
17288.7 0.0277417
17294.3 0.0213847
17305.4 0.0149123
17316.6 0.0118471
17327.7 0.0102072
17338.8 0.00960407
17344.4 0.0110543
17347.1 0.0179802
17348.5 0.0442167
17349.2 0.136315
17349.6 0.417740
17349.7 1.05524
17349.8 2.16102
17349.9 5.10198
17350.0 10.1970
17350.1 5.10204
17350.2 1.52986
17350.3 0.684535
17350.6 0.237450
17351.1 0.0766405
17352.1 0.0267054
17354.0 0.0128831
17358.0 0.00910988
17365.9 0.00788397
17381.7 0.00719708
17413.4 0.00657335
17476.6 0.00598873
17603.2 0.00550275
17856.3 0.00521681
18109.4 0.00538752
18362.5 0.00611188
18615.7 0.00789673
18678.9 0.00865063
18742.2 0.00960495
18773.9 0.0101775
18805.5 0.0108278
18821.3 0.0111863
18837.1 0.0115696
18853.0 0.0119797
18868.8 0.0124190
18884.6 0.0128906
18900.4 0.0133973
18916.2 0.0139424
18932.1 0.0145298
18963.7 0.0158487
18995.3 0.0173950
19027.0 0.0192212
19058.6 0.0213949
19090.3 0.0240051
19121.9 0.0271692
19153.5 0.0310439
19185.2 0.0358408
19216.8 0.0418472
19248.5 0.0494538
19280.1 0.0591887
19311.7 0.0717460
19343.4 0.0879771
19375.0 0.108741
19447.5 0.172560
19520.0 0.214334
19556.3 0.201239
19592.5 0.170855
19665.0 0.107035
19748.8 0.0619260
19832.5 0.0388324
19916.3 0.0263814
20000.0 0.0191151
20090.7 0.0142666
20181.5 0.0111485
20362.9 0.00754179
20544.4 0.00564948
20635.1 0.00508635
20680.5 0.00501475
20703.2 0.00551256
20714.5 0.00774183
20720.2 0.0164998
20723.0 0.0498775
20724.5 0.170793
20725.2 0.567995
20725.5 1.62195
20725.7 3.79185
20725.8 6.75113
20725.9 13.5384
20725.9 21.7303
20726.0 27.0723
20726.1 21.7302
20726.1 13.5384
20726.2 6.75116
20726.3 3.79189
20726.5 1.68721
20726.8 0.581544
20727.5 0.177428
20728.9 0.0520973
20731.7 0.0170998
20737.2 0.00790782
20748.3 0.00560966
20770.4 0.00544824
20792.6 0.00809634
20803.7 0.0191414
20806.4 0.0303433
20809.2 0.0612723
20810.6 0.102892
20812.0 0.212907
20812.7 0.353102
20813.4 0.699783
20813.7 1.11174
20814.1 1.98129
20814.2 2.90806
20814.4 4.48978
20814.6 7.60052
20814.7 10.4742
20814.7 14.1915
20814.9 22.7046
20815.0 28.3800
