Sr-84(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 41.3393
1.25000E-05 36.9750
1.50000E-05 33.7534
2.00000E-05 29.2313
2.75000E-05 24.9285
3.50000E-05 22.0968
4.25000E-05 20.0525
5.00000E-05 18.4875
6.25000E-05 16.5357
7.50000E-05 15.0950
0.000100000 13.0726
0.000125000 11.6925
0.000150000 10.6738
0.000200000 9.24374
0.000275000 7.88309
0.000350000 6.98761
0.000425000 6.34116
0.000500000 5.84626
0.000625000 5.22906
0.000750000 4.77345
0.00100000 4.13393
0.00125000 3.69751
0.00150000 3.37535
0.00200000 2.92314
0.00275000 2.49287
0.00350000 2.20969
0.00425000 2.00527
0.00500000 1.84877
0.00625000 1.65359
0.00750000 1.50952
0.0100000 1.30729
0.0125000 1.16928
0.0150000 1.06741
0.0200000 0.924414
0.0253000 0.821914
0.0314750 0.736902
0.0376500 0.673776
0.0500000 0.584689
0.0625000 0.522976
0.0750000 0.477423
0.100000 0.413483
0.125000 0.369850
0.150000 0.337644
0.200000 0.292440
0.275000 0.249435
0.350000 0.221137
0.500000 0.185077
0.750000 0.151198
1.00000 0.131014
1.50000 0.107091
2.00000 0.0928475
2.75000 0.0793150
3.50000 0.0704259
5.00000 0.0591284
7.50000 0.0485679
10.0000 0.0423225
15.0000 0.0350096
20.0000 0.0307433
27.5000 0.0268128
35.0000 0.0243529
50.0000 0.0215163
75.0000 0.0195766
100.000 0.0193267
150.000 0.0221427
200.000 0.0306835
240.958 0.0476823
261.437 0.0647197
281.917 0.0956929
292.156 0.121708
302.396 0.161361
312.635 0.226275
322.875 0.343849
327.995 0.442396
333.114 0.592280
335.674 0.698468
338.234 0.836791
339.514 0.922234
340.154 0.970038
340.794 1.02171
341.434 1.07771
342.074 1.13850
342.714 1.20467
343.354 1.27686
343.994 1.35585
344.634 1.44250
345.274 1.53784
345.914 1.64306
347.194 1.88917
348.474 2.19570
349.754 2.58430
351.034 3.08707
352.314 3.75368
353.594 4.66378
354.874 5.95240
356.153 7.86205
357.433 10.8661
358.713 15.9878
359.353 20.0213
359.993 25.7870
360.633 34.4247
361.273 48.1665
361.913 71.8493
362.233 90.5815
362.553 117.299
362.873 156.905
363.193 218.089
363.513 316.281
363.833 475.414
364.217 759.827
364.600 948.360
364.984 757.551
365.368 472.953
365.607 347.564
365.847 260.023
366.325 156.214
366.804 102.219
367.282 71.4763
367.761 52.5540
368.240 40.1674
369.197 25.5580
370.154 17.6373
371.111 12.8836
373.025 7.71896
374.939 5.12774
376.854 3.64837
378.768 2.72585
380.682 2.11251
384.511 1.37380
388.339 0.963285
392.168 0.712100
395.996 0.547467
403.654 0.352190
411.311 0.245451
418.968 0.181009
426.625 0.139293
441.939 0.0908238
457.253 0.0658369
472.567 0.0557821
476.396 0.0580080
480.224 0.0692857
482.139 0.0868615
483.096 0.104791
484.053 0.137662
485.010 0.207403
485.489 0.275834
485.967 0.398039
486.446 0.649292
486.685 0.888439
486.924 1.30174
487.164 2.10965
487.283 2.83824
487.403 4.02416
487.523 6.14131
487.582 7.87383
487.642 10.4301
487.702 14.3907
487.762 20.8890
487.822 32.2053
487.881 52.5073
487.941 83.9742
488.000 104.949
488.059 83.9273
488.119 52.4754
488.165 35.7440
488.212 25.1386
488.258 18.3582
488.304 13.8808
488.397 8.63827
488.490 5.85429
488.583 4.21743
488.676 3.18148
488.861 1.99698
489.047 1.37316
489.233 1.00594
489.604 0.613478
489.975 0.419472
490.347 0.309658
491.089 0.196402
491.832 0.142180
492.574 0.112096
494.059 0.0816575
497.030 0.0598769
500.000 0.0533192
504.220 0.0538780
508.440 0.0689462
510.550 0.0929728
511.605 0.117450
512.660 0.162300
513.716 0.257530
514.243 0.351121
514.771 0.518701
515.034 0.657229
515.298 0.864608
515.562 1.19545
515.826 1.77031
516.089 2.90358
516.221 3.93442
516.353 5.62870
516.485 8.69732
516.551 11.2510
516.617 15.0709
516.683 21.1226
516.749 31.3289
516.815 49.8451
516.881 84.8988
516.940 135.882
517.000 169.805
517.060 135.805
517.120 84.9173
517.177 53.2292
517.234 35.0798
517.292 24.4321
517.349 17.8413
517.407 13.5396
517.464 10.5995
517.579 6.98045
517.693 4.93173
517.808 3.66775
518.038 2.25672
518.267 1.53054
518.497 1.10926
518.726 0.843404
518.956 0.665017
519.415 0.447987
519.874 0.326082
520.333 0.250841
520.792 0.201158
521.710 0.141668
522.628 0.108746
524.464 0.0754171
526.300 0.0596966
528.136 0.0510449
531.809 0.0423728
539.153 0.0364832
546.498 0.0353293
561.187 0.0386790
575.876 0.0494703
590.566 0.0757434
597.910 0.102828
605.255 0.152786
608.927 0.195098
612.599 0.259907
616.272 0.366434
619.944 0.559915
621.780 0.722235
623.616 0.969020
625.452 1.37101
627.289 2.09191
627.748 2.36237
628.207 2.68914
628.436 2.87877
628.666 3.08919
628.895 3.32366
629.125 3.58596
629.354 3.88083
629.584 4.21358
629.813 4.59113
630.043 5.02191
630.272 5.51639
630.502 6.08775
630.961 7.53300
631.420 9.56150
631.879 12.5319
632.338 17.1287
632.567 20.4322
632.797 24.7832
633.027 30.6732
633.256 38.9021
633.486 50.8686
633.715 69.1500
633.945 98.8653
634.174 151.068
634.289 192.650
634.404 251.495
634.518 336.266
634.633 457.577
634.817 731.385
635.000 913.456
635.184 730.148
635.368 455.890
635.517 306.132
635.667 212.682
635.816 153.858
635.966 115.500
636.264 71.0970
636.563 47.7997
636.862 34.2124
637.161 25.6505
637.758 15.9097
638.356 10.8075
638.953 7.81219
639.551 5.90737
640.148 4.62218
641.343 3.05039
642.538 2.16286
643.733 1.61345
644.928 1.25006
647.318 0.814526
649.708 0.573607
652.098 0.426635
654.488 0.330534
659.268 0.216952
664.048 0.155397
668.827 0.118943
673.607 0.0963770
683.167 0.0753879
687.947 0.0746657
692.727 0.0830788
697.507 0.110593
699.897 0.141178
702.287 0.199098
703.482 0.248704
704.677 0.325031
705.872 0.450782
707.067 0.679148
707.664 0.870414
708.262 1.16050
708.859 1.63112
709.457 2.46972
709.755 3.15984
710.054 4.18871
710.353 5.82097
710.652 8.63503
710.950 14.1151
711.100 19.0352
711.175 22.5101
711.212 24.6084
711.249 27.0103
711.287 29.7844
711.324 32.9920
711.361 36.7475
711.399 41.1551
711.436 46.4002
711.473 52.6666
711.511 60.2478
711.548 69.5221
711.585 81.0400
711.623 95.4548
711.660 113.847
711.697 137.527
711.735 168.609
711.772 209.656
711.809 264.272
711.847 336.276
711.923 538.136
712.000 672.439
712.038 632.812
712.077 537.776
712.154 336.186
712.224 215.109
712.294 143.949
712.364 101.330
712.435 74.5483
712.575 44.6934
712.716 29.5708
712.856 20.9403
712.997 15.5851
713.278 9.57677
713.559 6.47096
713.840 4.66294
714.121 3.51976
714.402 2.75167
714.965 1.81617
715.527 1.28999
716.089 0.965041
716.651 0.750414
717.776 0.493437
718.900 0.351250
720.024 0.264355
721.149 0.207347
723.398 0.139438
725.646 0.101934
730.144 0.0637680
734.642 0.0454291
739.139 0.0350265
748.134 0.0239348
757.130 0.0181937
766.125 0.0146897
784.115 0.0106031
820.096 0.00675492
856.077 0.00489835
892.058 0.00381113
928.038 0.00310553
1000.00 0.00226696
1074.96 0.00180157
1149.92 0.00155501
1224.87 0.00145849
1299.83 0.00151366
1374.79 0.00182353
1412.27 0.00218553
1449.75 0.00287576
1487.23 0.00438062
1505.97 0.00589080
1524.71 0.00865772
1534.08 0.0110001
1543.45 0.0145948
1552.82 0.0205277
1562.19 0.0313799
1566.87 0.0405558
1571.56 0.0546182
1576.24 0.0777772
1580.92 0.119980
1583.27 0.155535
1585.61 0.209777
1587.95 0.298628
1590.29 0.459108
1591.47 0.593174
1592.64 0.795822
1593.81 1.12353
1594.98 1.70497
1595.57 2.18187
1595.86 2.49901
1596.15 2.88905
1596.44 3.37972
1596.74 4.00649
1596.88 4.38853
1597.03 4.82451
1597.18 5.32854
1597.32 5.91547
1597.47 6.60953
1597.61 7.42636
1597.91 9.59363
1598.20 12.8549
1598.35 15.1290
1598.49 18.0528
1598.64 21.9239
1598.79 27.1079
1598.93 34.3579
1599.08 44.7111
1599.23 60.3180
1599.37 84.5795
1599.52 124.125
1599.66 189.443
1599.83 303.177
1600.00 378.258
1600.17 302.395
1600.34 188.816
1600.52 110.884
1600.71 69.8596
1600.89 47.1697
1601.08 33.6978
1601.27 25.1258
1601.45 19.4310
1601.82 12.5685
1602.19 8.76203
1602.56 6.45275
1603.30 3.90765
1604.04 2.61524
1604.78 1.87136
1605.53 1.40471
1606.27 1.09298
1607.75 0.715556
1609.23 0.504546
1610.71 0.374794
1612.19 0.289375
1615.16 0.187483
1618.12 0.131354
1621.09 0.0971917
1624.05 0.0748705
1629.98 0.0484503
1635.91 0.0340123
1641.83 0.0252757
1647.76 0.0195948
1659.62 0.0129074
1671.47 0.00928126
1683.33 0.00710615
1695.18 0.00570791
1718.90 0.00410365
1742.61 0.00329135
1790.03 0.00269870
1837.45 0.00291876
1861.16 0.00340541
1884.87 0.00440869
1908.59 0.00665120
1920.44 0.00891445
1932.30 0.0130660
1938.22 0.0165810
1944.15 0.0219742
1950.08 0.0308707
1956.01 0.0471268
1958.97 0.0608571
1961.94 0.0818744
1964.90 0.116428
1967.86 0.179246
1969.35 0.232002
1970.83 0.312299
1972.31 0.443262
1973.79 0.678555
1974.53 0.873796
1975.27 1.16743
1976.01 1.63853
1976.76 2.46477
1977.13 3.13499
1977.31 3.57594
1977.50 4.11654
1977.68 4.79315
1977.87 5.64516
1978.05 6.74456
1978.24 8.19630
1978.42 10.1792
1978.61 12.9496
1978.79 17.0002
1978.98 23.2339
1979.16 33.4711
1979.26 41.2403
1979.35 51.7290
1979.44 66.5783
1979.53 87.6722
1979.63 118.883
1979.72 163.910
1979.86 261.965
1980.00 327.202
1980.14 261.187
1980.28 163.294
1980.44 96.1132
1980.59 60.6794
1980.75 41.0295
1980.90 29.3406
1981.05 21.9254
1981.21 16.9626
1981.52 10.9778
1981.82 7.66285
1982.13 5.64417
1982.75 3.42096
1983.37 2.28960
1983.98 1.63933
1984.60 1.23118
1985.21 0.958411
1986.45 0.627823
1987.68 0.443100
1988.91 0.329467
1990.14 0.254638
1992.61 0.165322
1995.07 0.116132
1997.54 0.0861754
2000.00 0.0666099
2003.90 0.0471297
2007.80 0.0352695
2015.60 0.0221920
2023.39 0.0155438
2031.19 0.0117309
2046.79 0.00781075
2062.38 0.00602770
2093.58 0.00484339
2124.77 0.00521574
2155.96 0.00726513
2171.56 0.00957686
2187.15 0.0139386
2194.95 0.0176692
2202.75 0.0234150
2210.54 0.0329116
2218.34 0.0502736
2222.24 0.0649256
2226.14 0.0873276
2230.04 0.124088
2233.94 0.190721
2235.89 0.246524
2237.84 0.331151
2239.79 0.468657
2241.74 0.714024
2242.71 0.916430
2243.69 1.21897
2244.17 1.43000
2244.66 1.70028
2245.15 2.05495
2245.64 2.53301
2245.88 2.83762
2246.12 3.20042
2246.37 3.63715
2246.61 4.16679
2246.85 4.82325
2247.10 5.64274
2247.34 6.69280
2247.58 8.05512
2247.83 9.88116
2248.07 12.3918
2248.32 15.9663
2248.56 21.2477
2248.80 29.5278
2249.05 43.1997
2249.29 67.4673
2249.41 86.3978
2249.53 111.653
2249.77 178.671
2250.00 223.027
2250.23 178.325
2250.47 111.374
2250.65 75.8670
2250.83 53.4086
2251.02 38.9597
2251.20 29.4662
2251.56 18.3082
2251.93 12.3803
2252.29 8.89708
2252.66 6.68941
2253.39 4.16757
2254.12 2.83776
2254.85 2.05548
2255.58 1.55607
2256.31 1.21896
2257.77 0.805328
2259.22 0.571484
2260.68 0.426496
2262.14 0.330469
2265.06 0.215182
2267.98 0.151310
2270.90 0.112254
2273.82 0.0866637
2279.65 0.0562666
2285.49 0.0395961
2291.33 0.0294807
2297.16 0.0228876
2308.84 0.0151016
2320.51 0.0108598
2332.18 0.00830055
2343.86 0.00664248
2367.21 0.00470613
2390.55 0.00367615
2437.25 0.00272006
2483.94 0.00237971
2530.64 0.00232094
2624.02 0.00274153
2717.41 0.00406923
2764.11 0.00544777
2810.80 0.00795881
2834.15 0.0100629
2857.50 0.0132610
2880.84 0.0184796
2904.19 0.0278953
2915.87 0.0357615
2927.54 0.0476897
2939.21 0.0670694
2950.89 0.101736
2956.72 0.130403
2962.56 0.173388
2965.48 0.203436
2966.94 0.221498
2968.40 0.242096
2969.86 0.265727
2971.32 0.293015
2972.77 0.324757
2974.23 0.361972
2975.69 0.406026
2977.15 0.458620
2978.61 0.522150
2980.07 0.599855
2981.53 0.696338
2982.99 0.817949
2984.45 0.974268
2985.91 1.17973
2987.37 1.45723
2988.83 1.84360
2990.29 2.40313
2991.74 3.25319
2993.20 4.62429
2994.66 7.00624
2995.39 8.88353
2996.12 11.5128
2996.85 15.2585
2997.58 20.5498
2998.79 32.8899
3000.00 41.1080
3001.21 32.8564
3002.42 20.5176
3003.77 11.9723
3005.12 7.49180
3006.47 5.03526
3007.82 3.58655
3009.16 2.67199
3010.51 2.06255
3013.21 1.33103
3015.91 0.927424
3018.61 0.682465
3024.00 0.413441
3029.39 0.277079
3034.79 0.198725
3040.18 0.149650
3045.58 0.116928
3056.37 0.0774129
3067.16 0.0554417
3077.95 0.0420395
3088.74 0.0333229
3110.31 0.0232279
3131.89 0.0181123
3153.47 0.0155593
3175.05 0.0146428
3196.63 0.0150868
3218.21 0.0170657
3239.79 0.0213469
3261.37 0.0300061
3272.16 0.0375378
3282.94 0.0491449
3293.73 0.0682003
3304.52 0.102492
3309.92 0.130915
3315.31 0.173562
3320.71 0.241719
3323.41 0.292198
3324.75 0.323660
3326.10 0.360504
3327.45 0.404093
3328.80 0.456133
3330.15 0.518946
3330.82 0.555313
3331.50 0.595644
3332.85 0.690765
3334.19 0.810477
3335.54 0.964211
3336.89 1.16570
3338.24 1.43713
3339.59 1.81406
3340.94 2.35767
3342.29 3.17818
3343.64 4.49209
3344.98 6.74665
3345.66 8.50491
3346.33 10.9426
3347.01 14.3684
3347.68 19.1518
3348.84 30.6542
3350.00 38.3171
3351.16 30.6274
3352.32 19.1259
3353.07 13.9283
3353.81 10.3407
3355.30 6.14552
3356.79 3.99476
3358.28 2.78147
3359.77 2.03959
3361.26 1.55611
3364.24 0.988238
3367.22 0.681595
3370.20 0.497981
3376.16 0.298872
3382.12 0.199112
3388.08 0.142173
3394.04 0.106655
3400.00 0.0830272
3400.00 0.805848
4000.00 0.757864
5000.00 0.699749
6000.00 0.656817
7200.00 0.616392
8000.00 0.593737
10000.0 0.546682
12000.0 0.508741
14000.0 0.476916
16000.0 0.449598
18000.0 0.425789
20000.0 0.404807
22000.0 0.386157
24000.0 0.369466
26000.0 0.354440
28000.0 0.340846
30000.0 0.328495
32000.0 0.317227
34000.0 0.306914
36000.0 0.297444
38000.0 0.288725
40000.0 0.280676
42000.0 0.273227
44000.0 0.266318
46000.0 0.259897
48000.0 0.253919
50000.0 0.248341
60000.0 0.225317
72000.0 0.205457
85000.0 0.190030
100000 0.177159
113346 0.169233
125000 0.162312
150000 0.152175
170000 0.145973
200000 0.138596
250000 0.128961
300000 0.121771
350000 0.115832
364348 0.114497
400000 0.111182
500000 0.104055
582539 0.100054
586061 0.0998832
591830 0.0996036
600000 0.0992075
653765 0.0974660
664088 0.0971316
684126 0.0964825
693639 0.0961744
700000 0.0959683
723190 0.0954927
734828 0.0952540
740799 0.0951315
799496 0.0939275
800000 0.0939172
802740 0.0938748
802740 0.0939412
802836 0.0939307
802836 0.0939307
825606 0.0914367
839977 0.0898627
890578 0.0843204
919926 0.0811059
955347 0.0772263
990000 0.0734308
990000 0.0734308
1.00000E+06 0.0723355
1.01404E+06 0.0723285
1.05351E+06 0.0723089
1.06566E+06 0.0723029
1.08185E+06 0.0722949
1.11525E+06 0.0722783
1.13245E+06 0.0722697
1.47169E+06 0.0721013
1.47169E+06 0.0721013
1.50000E+06 0.0720872
1.52005E+06 0.0717631
1.52006E+06 0.0717630
1.78917E+06 0.0674121
1.78917E+06 0.0674121
2.00000E+06 0.0640036
2.08143E+06 0.0630852
2.08143E+06 0.0630851
2.09994E+06 0.0628764
2.09994E+06 0.0628763
2.32585E+06 0.0603284
2.32585E+06 0.0603283
2.41873E+06 0.0592807
2.47774E+06 0.0586152
2.50000E+06 0.0583641
