Hg-204(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 30.2605
1.50000E-05 30.2372
2.00000E-05 30.2213
2.23485E-05 30.2154
2.85228E-05 30.2016
3.46970E-05 30.1908
5.00000E-05 30.1701
5.93940E-05 30.1607
7.96970E-05 30.1440
0.000100000 30.1314
0.000108788 30.1268
0.000154394 30.1070
0.000200000 30.0928
0.000207577 30.0907
0.000306366 30.0688
0.000405155 30.0535
0.000500000 30.0415
0.000650155 30.0269
0.000800310 30.0155
0.00100000 30.0029
0.00129531 29.9885
0.00159062 29.9773
0.00200000 29.9644
0.00258563 29.9501
0.00317125 29.9390
0.00408563 29.9247
0.00500000 29.9135
0.00633250 29.9006
0.00816625 29.8863
0.0100000 29.8751
0.0126550 29.8623
0.0163275 29.8480
0.0200000 29.8367
0.0253000 29.8239
0.0376500 29.8166
0.0500000 29.8115
0.0558165 29.8096
0.0710748 29.8052
0.0863330 29.8017
0.100000 29.7990
0.147366 29.7920
0.200000 29.7864
0.269432 29.7811
0.384716 29.7746
0.500000 29.7699
0.513565 29.7694
0.756783 29.7623
1.00000 29.7573
1.00183 29.7573
1.49010 29.7501
1.97836 29.7451
2.00000 29.7449
2.96571 29.7377
3.93142 29.7326
5.00000 29.7283
6.41878 29.7238
7.83755 29.7202
10.0000 29.7158
12.8249 29.7113
15.6498 29.7077
20.0000 29.7032
25.6372 29.6988
31.2744 29.6952
40.6372 29.6905
50.0000 29.6867
62.5236 29.6827
81.2618 29.6780
100.000 29.6742
125.022 29.6703
162.511 29.6655
200.000 29.6617
250.019 29.6577
375.016 29.6504
500.013 29.6453
750.007 29.6380
1000.00 29.6328
1281.25 27.9462
1562.50 26.6651
2000.00 25.1530
2125.00 24.7952
2687.50 23.4558
3250.00 22.4251
4375.00 20.9031
5000.00 20.2533
5500.00 19.8020
6625.00 18.9496
7750.00 18.2596
10000.0 17.1916
12812.5 16.5040
15625.0 15.9733
20000.0 15.3369
21250.0 15.1845
26875.0 14.6084
32500.0 14.1583
43750.0 13.4819
50000.0 13.1885
55000.0 12.9831
77500.0 12.2702
100000 11.7657
140000 10.6364
180000 9.86423
200000 9.55741
260000 8.83424
340000 8.15135
420000 7.65083
438659 7.50346
438710 7.50307
448790 7.42732
458871 7.35405
461708 7.33387
479032 7.21400
503417 7.05581
519355 6.95811
551708 6.77280
559677 6.72949
600000 6.52352
700000 6.11222
800000 5.77699
945191 5.49321
1.00000E+06 5.40702
1.13388E+06 5.35221
1.13388E+06 5.35221
1.13390E+06 5.35220
1.16292E+06 5.34125
1.19195E+06 5.33060
1.25000E+06 5.31014
1.37500E+06 5.39646
1.50000E+06 5.47649
1.75000E+06 5.82896
1.83764E+06 5.94535
1.83764E+06 5.94536
1.85051E+06 5.96221
1.86045E+06 5.97519
1.86046E+06 5.97519
1.87823E+06 5.99813
1.91882E+06 6.05025
1.95733E+06 6.09989
1.95733E+06 6.09989
1.99884E+06 6.15116
2.00000E+06 6.15255
2.09913E+06 6.29092
2.15139E+06 6.36245
2.20163E+06 6.43155
2.20164E+06 6.43155
2.20190E+06 6.43192
2.27399E+06 6.52853
2.27399E+06 6.52853
2.27420E+06 6.52881
2.27642E+06 6.53174
2.31178E+06 6.57800
2.31210E+06 6.57842
2.33065E+06 6.60247
2.35095E+06 6.62856
2.38710E+06 6.67449
2.40605E+06 6.69831
2.40795E+06 6.70069
2.50000E+06 6.81726
2.68860E+06 6.99043
2.69225E+06 6.99370
2.73757E+06 7.03408
2.73757E+06 7.03408
2.74018E+06 7.03640
2.74019E+06 7.03641
2.75000E+06 7.04522
2.76918E+06 7.06234
2.77395E+06 7.06659
2.77395E+06 7.06659
2.82670E+06 7.11331
2.82671E+06 7.11331
2.82671E+06 7.11331
2.82671E+06 7.11331
2.82691E+06 7.11349
2.82691E+06 7.11349
2.84612E+06 7.13074
2.91335E+06 7.18906
3.00000E+06 7.25967
3.36594E+06 7.35750
3.50000E+06 7.39479
3.73189E+06 7.44636
3.75000E+06 7.45102
4.00000E+06 7.50669
4.17055E+06 7.44987
4.50000E+06 7.34458
4.75000E+06 7.27133
5.00000E+06 7.20252
5.50000E+06 6.87044
6.00000E+06 6.58066
6.50756E+06 6.23468
7.00000E+06 5.93940
7.01513E+06 5.93092
7.45379E+06 5.69634
7.50000E+06 5.67301
7.52773E+06 5.65917
7.52773E+06 5.65916
7.53276E+06 5.65651
8.00000E+06 5.43472
8.31269E+06 5.35014
8.62537E+06 5.27756
8.93806E+06 5.21602
9.25074E+06 5.16468
9.62537E+06 5.08755
9.69251E+06 5.07536
1.00000E+07 5.02547
1.05000E+07 5.01870
1.10000E+07 5.01805
1.15000E+07 5.02296
1.20000E+07 5.03297
1.23875E+07 5.08390
1.27751E+07 5.13499
1.31626E+07 5.18623
1.35501E+07 5.23761
1.39919E+07 5.29301
1.40000E+07 5.29403
1.45000E+07 5.37262
1.50000E+07 5.45075
1.55000E+07 5.52845
1.60000E+07 5.60572
1.70000E+07 5.68288
1.80000E+07 5.75747
2.00000E+07 5.77286
2.00000E+07 5.74860
2.05585E+07 5.74732
2.08046E+07 5.74449
2.10000E+07 5.74128
2.10125E+07 5.74105
2.13471E+07 5.73352
2.20000E+07 5.71200
2.30000E+07 5.66374
2.40000E+07 5.59870
2.50000E+07 5.52136
2.60000E+07 5.43210
2.60877E+07 5.42363
2.66648E+07 5.36791
2.68217E+07 5.35267
2.68877E+07 5.34623
2.70000E+07 5.33523
2.76084E+07 5.27443
2.80000E+07 5.23380
2.90000E+07 5.13068
3.00000E+07 5.03240
3.10000E+07 4.93853
3.20000E+07 4.84869
3.30000E+07 4.76298
3.36875E+07 4.70646
3.39330E+07 4.68676
3.40000E+07 4.68142
3.44436E+07 4.64657
3.48483E+07 4.61548
3.50000E+07 4.60400
3.56765E+07 4.55600
3.60000E+07 4.53500
3.70000E+07 4.47704
3.80000E+07 4.42790
3.90000E+07 4.38574
3.94743E+07 4.36772
4.00000E+07 4.34900
4.00293E+07 4.34800
4.09839E+07 4.31985
4.09881E+07 4.31974
4.10000E+07 4.31944
4.20000E+07 4.29887
4.23738E+07 4.29325
4.30000E+07 4.28615
4.40000E+07 4.28030
4.50000E+07 4.28050
4.60000E+07 4.28436
4.70000E+07 4.29066
4.78401E+07 4.29852
4.80000E+07 4.30032
4.90000E+07 4.31416
4.90984E+07 4.31578
4.93967E+07 4.32097
5.00000E+07 4.33290
5.09002E+07 4.35218
5.10000E+07 4.35432
5.20000E+07 4.37589
5.30000E+07 4.39778
5.40000E+07 4.42017
5.40702E+07 4.42177
5.50000E+07 4.44320
5.56829E+07 4.45926
5.57747E+07 4.46142
5.60000E+07 4.46675
5.70000E+07 4.49038
5.77190E+07 4.50725
5.80000E+07 4.51379
5.90000E+07 4.53672
6.00000E+07 4.55890
6.10000E+07 4.58009
6.20000E+07 4.60025
6.30000E+07 4.61949
6.40000E+07 4.63787
6.41865E+07 4.64122
6.50000E+07 4.65550
6.60000E+07 4.67160
6.66162E+07 4.68045
6.70000E+07 4.68560
6.80000E+07 4.69787
6.90000E+07 4.70873
7.00000E+07 4.71850
7.09330E+07 4.72648
7.10000E+07 4.72700
7.20000E+07 4.73393
7.30000E+07 4.73941
7.35367E+07 4.74178
7.40000E+07 4.74353
7.50000E+07 4.74640
7.60000E+07 4.74804
7.70000E+07 4.74844
7.80000E+07 4.74762
7.90000E+07 4.74560
8.00000E+07 4.74240
8.10000E+07 4.73815
8.20000E+07 4.73293
8.30000E+07 4.72676
8.40000E+07 4.71962
8.50000E+07 4.71150
8.60000E+07 4.70257
8.70000E+07 4.69295
8.80000E+07 4.68261
8.90000E+07 4.67154
9.00000E+07 4.65970
9.10000E+07 4.64719
9.20000E+07 4.63414
9.30000E+07 4.62060
9.40000E+07 4.60661
9.50000E+07 4.59220
9.60000E+07 4.57736
9.70000E+07 4.56205
9.80000E+07 4.54628
9.90000E+07 4.53006
1.00000E+08 4.51340
1.02000E+08 4.47928
1.04000E+08 4.44441
1.06000E+08 4.40882
1.08000E+08 4.37251
1.10000E+08 4.33550
1.12000E+08 4.29810
1.14000E+08 4.26056
1.16000E+08 4.22286
1.18000E+08 4.18498
1.20000E+08 4.14690
1.22000E+08 4.10907
1.24000E+08 4.07178
1.26000E+08 4.03484
1.28000E+08 3.99807
1.30000E+08 3.96130
1.32000E+08 3.92484
1.34000E+08 3.88903
1.36000E+08 3.85381
1.38000E+08 3.81911
1.40000E+08 3.78490
1.42000E+08 3.75126
1.44000E+08 3.71828
1.46000E+08 3.68587
1.48000E+08 3.65400
1.50000E+08 3.62260
