Li-7(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.28670E+07 4.13360E-06
1.28674E+07 4.13359E-06
1.30000E+07 4.13043E-06
1.34390E+07 4.12023E-06
1.34393E+07 4.12022E-06
1.35000E+07 4.11884E-06
1.40000E+07 4.10770E-06
1.40110E+07 4.10746E-06
1.40112E+07 4.10745E-06
1.45000E+07 4.09697E-06
1.45830E+07 4.09523E-06
1.45830E+07 4.09523E-06
1.50000E+07 4.08664E-06
1.51550E+07 4.08351E-06
1.55000E+07 4.07667E-06
1.57270E+07 4.07226E-06
1.60000E+07 4.06704E-06
1.62990E+07 4.06144E-06
1.65000E+07 4.05773E-06
1.68710E+07 4.05101E-06
1.70000E+07 4.04872E-06
1.74420E+07 4.04098E-06
1.74425E+07 4.04098E-06
1.75000E+07 4.03998E-06
1.80000E+07 4.03152E-06
1.80140E+07 4.03128E-06
1.80143E+07 4.03128E-06
1.85000E+07 4.02330E-06
1.85860E+07 4.02191E-06
1.85862E+07 4.02190E-06
1.90000E+07 4.01531E-06
1.91580E+07 4.01284E-06
1.91581E+07 4.01283E-06
1.95000E+07 4.00755E-06
1.97300E+07 4.00405E-06
2.00000E+07 4.00000E-06
