Mo-95(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
82.6768 8.37508
82.8132 8.36526
83.0860 8.34585
83.6316 8.30790
84.7229 8.23527
86.9053 8.10185
91.2702 7.87391
99.9999 7.52786
100.000 7.52785
100.001 7.52783
100.001 7.52781
100.003 7.52777
100.005 7.52768
100.010 7.52752
100.020 7.52718
100.040 7.52652
100.080 7.52519
100.160 7.52254
100.320 7.51726
100.641 7.50680
101.281 7.48627
102.561 7.44673
105.123 7.37442
106.403 7.34334
107.684 7.32136
108.324 7.32083
108.644 7.32796
108.964 7.34634
109.285 7.39018
109.445 7.43306
109.605 7.50559
109.765 7.63869
109.925 7.91442
110.005 8.17281
110.085 8.60080
110.165 9.35541
110.245 10.7290
110.323 12.8221
110.400 14.2170
110.478 12.8223
110.555 10.7265
110.611 9.68186
110.667 8.99358
110.723 8.53860
110.778 8.22996
110.890 7.85771
111.002 7.65396
111.113 7.53112
111.225 7.45153
111.448 7.35733
111.672 7.30488
111.895 7.27179
112.341 7.23181
113.234 7.18976
114.128 7.16460
115.021 7.14871
115.914 7.14914
116.360 7.16811
116.584 7.19108
116.807 7.23481
117.030 7.32605
117.142 7.41124
117.254 7.55305
117.365 7.81247
117.421 8.02922
117.477 8.35508
117.533 8.87242
117.588 9.74990
117.644 11.3508
117.700 14.4022
117.750 18.7935
117.800 21.7184
117.850 18.7962
117.900 14.4040
117.951 11.5461
118.002 9.96214
118.053 9.05321
118.103 8.50118
118.154 8.14438
118.205 7.90297
118.307 7.60753
118.408 7.44090
118.510 7.33794
118.713 7.22178
118.917 7.16030
119.120 7.12298
119.527 7.07985
119.933 7.05468
120.340 7.03703
121.153 7.01128
121.153 7.01127
121.154 7.01125
121.155 7.01123
121.156 7.01119
121.159 7.01110
121.166 7.01093
121.178 7.01059
121.203 7.00991
121.253 7.00857
121.353 7.00594
121.554 7.00084
121.954 6.99120
122.755 6.97340
124.357 6.94098
127.560 6.88162
133.967 6.77126
140.373 6.66211
143.577 6.60386
146.780 6.53929
146.780 6.53929
146.781 6.53927
146.782 6.53925
146.783 6.53922
146.786 6.53915
146.793 6.53902
146.805 6.53875
146.830 6.53822
146.879 6.53715
146.978 6.53500
147.175 6.53066
147.570 6.52186
148.359 6.50364
149.938 6.46439
151.516 6.42078
153.095 6.37333
153.885 6.34992
154.674 6.33031
155.463 6.32293
156.253 6.35195
156.647 6.40023
157.042 6.49847
157.437 6.69796
157.831 7.12466
158.029 7.51767
158.226 8.14798
158.423 9.22053
158.621 11.1998
158.818 15.3309
158.917 19.2336
159.015 25.8153
159.114 38.0451
159.163 48.3808
159.213 64.0463
159.262 89.1761
159.311 132.039
159.336 165.228
159.361 210.727
159.385 274.266
159.410 361.707
159.433 466.196
159.455 587.459
159.500 748.315
159.523 711.694
159.545 611.728
159.590 392.023
159.626 271.784
159.661 195.154
159.697 145.895
159.733 113.182
159.804 74.5097
159.875 53.7393
159.946 41.3551
160.018 33.4105
160.160 24.1413
160.303 19.1257
160.445 16.0905
160.588 14.1035
160.730 12.7259
161.015 10.9743
161.300 9.93303
161.585 9.25610
161.870 8.78693
162.440 8.18731
163.010 7.82587
163.580 7.58659
164.150 7.41733
165.289 7.19434
166.429 7.05376
167.569 6.95635
168.709 6.88420
170.989 6.78258
173.269 6.71229
177.828 6.61603
177.828 6.61603
177.829 6.61602
177.830 6.61601
177.831 6.61598
177.834 6.61594
177.839 6.61584
177.850 6.61566
177.872 6.61529
177.915 6.61455
178.001 6.61307
178.175 6.61015
178.521 6.60441
179.214 6.59334
180.600 6.57262
183.371 6.53567
188.914 6.47387
200.000 6.37657
207.722 6.32142
209.652 6.30976
211.582 6.30031
213.513 6.29674
214.478 6.30131
214.960 6.30754
215.443 6.31897
215.443 6.31898
215.444 6.31900
215.445 6.31902
215.446 6.31906
215.449 6.31915
215.454 6.31932
215.465 6.31967
215.486 6.32037
215.529 6.32185
215.615 6.32506
215.787 6.33266
216.131 6.35452
216.475 6.39124
216.819 6.45800
216.991 6.51333
217.163 6.59584
217.334 6.72622
217.506 6.94905
217.678 7.37575
217.764 7.75136
217.850 8.34679
217.936 9.36954
218.022 11.3158
218.065 12.9999
218.108 15.5811
218.151 19.6814
218.194 26.2319
218.247 38.2600
218.300 46.2955
218.353 38.2663
218.406 26.2393
218.459 18.5099
218.513 14.1994
218.566 11.7224
218.619 10.2117
218.673 9.23604
218.726 8.57444
218.832 7.76581
218.939 7.31183
219.046 7.03274
219.259 6.72229
219.472 6.56263
219.685 6.46965
219.898 6.41058
220.112 6.37056
220.538 6.32086
220.964 6.29179
221.817 6.25937
222.670 6.24112
223.523 6.22862
225.228 6.21068
228.639 6.18408
232.051 6.16106
235.462 6.13934
238.873 6.11889
240.578 6.11003
242.284 6.10496
243.137 6.10754
243.563 6.11272
243.990 6.12413
244.416 6.15054
244.629 6.17695
244.842 6.22364
245.056 6.31628
245.162 6.40040
245.269 6.53798
245.375 6.78417
245.429 6.98622
245.482 7.28483
245.535 7.74838
245.589 8.51066
245.642 9.84185
245.695 12.2315
245.748 15.9168
245.800 18.3697
245.853 15.9181
245.905 12.2326
245.964 9.65329
246.023 8.30762
246.082 7.57051
246.141 7.13705
246.200 6.86344
246.259 6.68148
246.377 6.46281
246.495 6.34183
246.613 6.26816
246.850 6.18651
247.086 6.14433
247.322 6.11940
247.794 6.09180
248.266 6.07675
248.738 6.06690
249.683 6.05361
251.572 6.03524
253.461 6.01949
255.349 6.00388
257.238 5.98757
258.183 5.97909
259.127 5.97066
260.072 5.96356
260.544 5.96195
261.016 5.96412
261.016 5.96412
261.017 5.96412
261.017 5.96413
261.018 5.96414
261.021 5.96417
261.025 5.96422
261.033 5.96433
261.051 5.96454
261.085 5.96502
261.154 5.96614
261.291 5.96920
261.567 5.98009
261.842 6.00251
262.117 6.05020
262.255 6.09365
262.392 6.16250
262.530 6.27773
262.668 6.48588
262.805 6.90685
262.874 7.29161
262.943 7.91976
263.012 9.03042
263.081 11.2196
263.115 13.1648
263.149 16.2153
263.184 21.1932
263.218 29.4216
263.259 44.4433
263.300 55.2070
263.341 46.3007
263.382 31.7621
263.408 25.1267
263.434 20.4750
263.485 14.9031
263.537 11.9652
263.589 10.2691
263.640 9.21098
263.692 8.50869
263.795 7.66392
263.898 7.19281
264.001 6.90256
264.208 6.57502
264.414 6.40159
264.621 6.29726
264.827 6.22870
265.034 6.18067
265.446 6.11829
265.859 6.07969
266.685 6.03398
267.511 6.00686
268.336 5.98798
269.988 5.96128
273.291 5.92396
276.594 5.89322
289.805 5.77505
303.017 5.63333
309.622 5.54468
316.228 5.43747
316.228 5.43746
316.229 5.43746
316.229 5.43745
316.230 5.43743
316.232 5.43740
316.235 5.43734
316.243 5.43721
316.257 5.43695
316.285 5.43643
316.343 5.43540
316.457 5.43333
316.686 5.42917
317.145 5.42076
318.061 5.40357
319.894 5.36770
323.560 5.29122
325.393 5.25412
326.310 5.23900
327.226 5.23093
328.143 5.24188
328.601 5.26533
329.059 5.31812
329.517 5.44195
329.747 5.56673
329.976 5.78862
330.205 6.23156
330.319 6.63617
330.434 7.30076
330.548 8.50003
330.606 9.49185
330.663 10.9656
330.720 13.2796
330.778 17.1381
330.835 24.0096
330.892 36.6611
330.946 55.5244
331.000 68.0615
331.054 55.5294
331.108 36.6651
331.161 24.6482
331.215 17.8539
331.268 13.9098
331.321 11.4869
331.375 9.91400
331.428 8.84304
331.534 7.52915
331.641 6.78684
331.748 6.32837
331.961 5.81493
332.174 5.54735
332.387 5.38887
332.813 5.21391
333.240 5.11960
333.666 5.05872
334.518 4.97789
336.223 4.86613
337.929 4.76611
341.339 4.54690
344.749 4.27572
346.454 4.11680
348.159 3.94720
349.864 3.78804
351.570 3.71420
352.422 3.77843
353.275 4.01033
354.127 4.60504
354.980 6.05581
355.406 7.47814
355.832 9.84104
356.259 13.9758
356.685 21.7843
356.898 28.3971
357.111 38.3535
357.324 54.1259
357.538 80.7895
357.751 130.171
357.857 171.693
357.964 234.067
358.070 332.714
358.177 497.803
358.284 792.273
358.390 1334.59
358.495 2199.52
358.600 2831.54
358.705 2330.28
358.810 1498.19
358.905 989.110
359.000 682.333
359.095 494.679
359.190 374.664
359.380 237.656
359.570 166.129
359.760 124.212
359.950 97.5368
360.329 66.5992
360.709 49.8632
361.089 39.6999
361.469 33.0083
361.849 28.3349
362.608 22.3367
363.368 18.7210
364.128 16.3388
364.887 14.6674
366.407 12.4999
367.926 11.1705
369.445 10.2790
370.965 9.64263
374.003 8.79819
377.042 8.26496
380.080 7.89803
383.119 7.62988
383.119 7.62987
383.120 7.62982
383.120 7.62978
383.121 7.62970
383.123 7.62954
383.128 7.62921
383.136 7.62856
383.153 7.62726
383.188 7.62466
383.256 7.61948
383.392 7.60923
383.666 7.58909
384.212 7.55018
385.305 7.47746
387.491 7.34950
391.863 7.14615
400.607 6.86829
409.351 6.68516
411.537 6.64945
413.723 6.61933
414.816 6.60913
415.362 6.60728
415.909 6.61047
416.455 6.62576
416.729 6.64413
417.002 6.67924
417.275 6.75323
417.412 6.82310
417.548 6.94113
417.685 7.16157
417.753 7.35013
417.821 7.64031
417.890 8.11631
417.958 8.96298
418.026 10.6217
418.061 12.0481
418.095 14.1145
418.147 18.6523
418.200 21.6770
418.253 18.6521
418.305 14.1132
418.350 11.5394
418.395 9.96709
418.440 8.99493
418.485 8.36920
418.574 7.65488
418.664 7.28463
418.753 7.06980
418.843 6.93484
419.022 6.78102
419.201 6.69968
419.380 6.65114
419.738 6.59743
420.097 6.56870
420.455 6.55054
421.171 6.52758
421.888 6.51211
422.604 6.49977
424.037 6.47921
426.903 6.44450
429.769 6.41352
441.232 6.30791
446.964 6.26269
452.696 6.22205
455.562 6.20408
458.427 6.18908
461.293 6.18095
462.726 6.18322
464.159 6.19619
464.159 6.19620
464.160 6.19621
464.161 6.19622
464.162 6.19624
464.165 6.19628
464.170 6.19636
464.180 6.19653
464.202 6.19687
464.244 6.19756
464.329 6.19901
464.498 6.20221
464.838 6.21004
465.516 6.23359
466.195 6.27504
466.874 6.35350
467.213 6.42036
467.552 6.52243
467.891 6.68832
468.231 6.98289
468.400 7.22380
468.570 7.58013
468.740 8.13917
468.909 9.08625
469.079 10.8808
469.164 12.4435
469.249 14.8988
469.333 19.0517
469.418 26.7943
469.461 33.3386
469.503 43.1482
469.545 58.2912
469.588 81.7549
469.644 127.189
469.700 157.494
469.756 127.191
469.812 81.7588
469.871 51.5555
469.930 35.1364
469.989 25.8868
470.048 20.3323
470.107 16.7743
470.166 14.3834
470.284 11.4803
470.402 9.86192
470.520 8.87344
470.756 7.78027
470.992 7.22185
471.227 6.89906
471.463 6.69550
471.699 6.55886
472.171 6.39190
472.642 6.29700
473.114 6.23737
473.586 6.19700
474.529 6.14624
475.473 6.11540
476.416 6.09414
477.359 6.07804
479.246 6.05378
481.133 6.03471
484.906 6.00266
492.453 5.94510
500.000 5.88691
513.562 5.76656
520.343 5.69097
527.124 5.59537
533.904 5.46261
537.295 5.37099
540.685 5.24994
542.381 5.17297
544.076 5.08075
545.771 4.96941
547.466 4.83750
548.314 4.76727
549.161 4.70306
550.009 4.66723
550.857 4.72573
551.280 4.84585
551.704 5.10225
552.128 5.63549
552.552 6.78615
552.764 7.84271
552.976 9.52471
553.188 12.3433
553.399 17.4166
553.505 21.5434
553.611 27.5410
553.717 36.6460
553.823 51.1901
553.929 76.1078
554.035 122.654
554.088 161.801
554.141 219.878
554.194 308.120
554.247 442.080
554.324 730.120
554.400 944.001
554.477 782.594
554.553 507.708
554.614 354.404
554.675 255.838
554.736 192.021
554.796 149.498
554.918 98.8839
555.040 71.3953
555.162 54.8761
555.283 44.1684
555.527 31.5377
555.770 24.5880
556.013 20.3186
556.257 17.4844
556.500 15.4931
556.987 12.9181
557.474 11.3540
557.960 10.3171
558.447 9.58595
559.421 8.63170
560.394 8.04178
561.368 7.64321
562.341 7.35656
562.341 7.35651
562.342 7.35636
562.342 7.35623
562.343 7.35598
562.345 7.35547
562.349 7.35443
562.357 7.35239
562.374 7.34832
562.406 7.34021
562.471 7.32424
562.601 7.29313
562.861 7.23418
563.380 7.12780
564.420 6.95170
566.498 6.69742
568.576 6.52122
570.655 6.39044
574.811 6.20507
578.968 6.07484
587.281 5.88928
591.438 5.81784
592.477 5.80402
593.516 5.79760
594.036 5.80377
594.556 5.83438
594.815 5.87975
594.945 5.92323
595.075 5.99699
595.205 6.13457
595.270 6.25181
595.335 6.43085
595.400 6.72218
595.465 7.23187
595.530 8.20678
595.562 9.02596
595.595 10.1902
595.647 12.8595
595.700 14.6394
595.753 12.8576
595.805 10.1864
595.839 8.99424
595.872 8.16570
595.939 7.18869
596.005 6.68319
596.072 6.39636
596.138 6.21959
596.205 6.10387
596.338 5.96656
596.471 5.89123
596.604 5.84517
596.870 5.79317
597.403 5.74696
597.935 5.72417
599.000 5.69642
600.065 5.67553
604.325 5.60395
612.844 5.46522
617.103 5.39504
619.233 5.36138
621.363 5.33189
623.493 5.31520
624.557 5.31977
625.622 5.34629
626.155 5.37633
626.687 5.42809
627.220 5.51985
627.752 5.69377
628.018 5.84167
628.285 6.06633
628.551 6.42867
628.817 7.06399
629.083 8.32463
629.216 9.47618
629.349 11.3768
629.483 14.8307
629.549 17.7155
629.616 22.0456
629.682 28.9376
629.749 40.6373
629.815 62.1080
629.882 103.238
629.941 162.193
630.000 201.533
630.059 162.225
630.118 103.278
630.180 64.2983
630.242 43.0143
630.303 30.9831
630.365 23.7307
630.427 19.0864
630.488 15.9564
630.612 12.1547
630.735 10.0335
630.859 8.73481
631.105 7.29558
631.352 6.55793
631.599 6.12918
631.846 5.85710
632.093 5.67285
632.586 5.44385
633.080 5.30943
634.067 5.15809
