Ag-107(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
73.5205 0.438432
73.6002 0.315536
73.6798 0.247471
73.7595 0.205926
73.9188 0.159812
74.2375 0.121790
74.5561 0.106122
75.8308 0.0850651
78.3800 0.0706111
80.9293 0.0634258
82.2039 0.0667378
82.5225 0.0725850
82.8412 0.0892568
83.0005 0.110743
83.1599 0.163073
83.2395 0.222348
83.3192 0.345957
83.3590 0.463613
83.3988 0.662992
83.4387 1.02649
83.4785 1.71906
83.5143 2.71824
83.5500 3.38476
83.5858 2.71922
83.6215 1.72016
83.6535 1.13085
83.6855 0.780121
83.7175 0.567894
83.7495 0.433494
83.8134 0.282505
83.8774 0.205380
83.9414 0.161149
84.0054 0.133550
84.1333 0.102391
84.3893 0.0765005
84.6452 0.0660837
85.6688 0.0537203
87.7161 0.0474776
91.8108 0.0415719
95.9054 0.0379840
100.000 0.0382192
100.564 0.0445817
100.705 0.0503692
100.846 0.0640747
100.917 0.0791585
100.987 0.109535
101.022 0.137433
101.058 0.182721
101.093 0.260995
101.128 0.399301
101.164 0.620223
101.200 0.768618
101.236 0.620416
101.272 0.399530
101.297 0.295313
101.321 0.225416
101.370 0.145806
101.419 0.106148
101.468 0.0842118
101.565 0.0623380
101.663 0.0523371
101.859 0.0437655
102.054 0.0403017
102.836 0.0365995
104.400 0.0362715
105.964 0.0402723
106.355 0.0440151
106.746 0.0534562
106.942 0.0651450
107.137 0.0936664
107.235 0.126785
107.333 0.198873
107.381 0.271320
107.430 0.402061
107.479 0.664510
107.504 0.894952
107.528 1.23685
107.564 1.96407
107.600 2.45254
107.636 1.96500
107.672 1.23823
107.696 0.902238
107.720 0.673909
107.768 0.412117
107.815 0.280018
107.863 0.206573
107.959 0.133255
108.054 0.0998787
108.245 0.0720891
108.436 0.0620170
108.818 0.0578471
109.200 0.0635635
109.582 0.0810927
109.773 0.0991141
109.964 0.131286
110.155 0.196188
110.251 0.256380
110.346 0.357330
110.442 0.545298
110.489 0.706392
110.537 0.954379
110.585 1.36389
110.633 2.09639
110.680 3.55354
110.704 4.82239
110.728 6.67981
110.764 10.7113
110.800 13.4180
110.836 10.7147
110.872 6.68401
110.900 4.58374
110.927 3.24701
110.955 2.38492
110.983 1.81536
111.038 1.14408
111.093 0.786016
111.149 0.575032
111.204 0.441039
111.314 0.287505
111.425 0.206501
111.536 0.158707
111.757 0.107547
111.978 0.0822006
112.199 0.0678270
112.642 0.0529762
113.526 0.0419131
114.411 0.0379715
117.950 0.0349697
121.489 0.0371775
123.259 0.0418182
124.143 0.0513319
124.365 0.0584710
124.586 0.0747128
124.696 0.0929879
124.807 0.132739
124.862 0.173308
124.918 0.248704
124.945 0.312666
124.973 0.408554
125.000 0.557417
125.028 0.790002
125.064 1.23749
125.100 1.53838
125.136 1.24007
125.172 0.794929
125.199 0.569448
125.226 0.424282
125.279 0.267521
125.333 0.194684
125.386 0.157546
125.493 0.128329
125.600 0.127978
125.707 0.151016
125.814 0.217123
125.868 0.288588
125.921 0.422982
125.948 0.536880
125.975 0.706615
126.001 0.968734
126.028 1.37183
126.064 2.16914
126.100 2.70456
126.136 2.16942
126.172 1.37192
126.207 0.871407
126.243 0.589746
126.278 0.425840
126.313 0.325511
126.384 0.216107
126.454 0.162145
126.595 0.114266
126.736 0.0957996
127.018 0.0870960
127.300 0.0961017
127.582 0.125238
127.723 0.154991
127.864 0.207296
128.005 0.310076
128.076 0.402699
128.146 0.553266
128.217 0.820735
128.287 1.35916
128.322 1.85352
128.358 2.65590
128.393 4.04239
128.428 6.49145
128.464 10.4015
128.500 13.0264
128.536 10.4043
128.572 6.49495
128.604 4.24258
128.635 2.89162
128.667 2.06835
128.698 1.54547
128.761 0.952715
128.824 0.648967
128.887 0.474071
128.950 0.365055
129.076 0.242131
129.201 0.178253
129.327 0.141001
129.579 0.101669
129.831 0.0825562
130.083 0.0719980
130.586 0.0617042
131.593 0.0559311
132.600 0.0564716
134.614 0.0671628
135.621 0.0862515
135.873 0.0999892
136.125 0.131945
136.250 0.169180
136.376 0.253532
136.439 0.343261
136.502 0.517237
136.534 0.671272
136.565 0.912131
136.597 1.30828
136.628 1.96606
136.664 3.11101
136.700 3.88004
136.736 3.11271
136.772 1.96886
136.808 1.23467
136.845 0.827974
136.881 0.595459
136.918 0.454552
136.990 0.302221
137.063 0.227807
137.209 0.161691
137.354 0.135200
137.645 0.117050
137.936 0.113946
139.100 0.139018
140.264 0.207825
140.846 0.281094
141.137 0.359769
141.283 0.466483
141.355 0.611446
141.392 0.760366
141.428 1.02189
141.500 1.70010
141.572 1.05963
141.612 0.799750
141.652 0.669925
141.732 0.571892
141.891 0.560104
142.211 0.696674
142.530 0.959165
142.850 1.43760
143.009 1.83398
143.169 2.42759
143.329 3.37378
143.488 5.01711
143.648 8.25138
143.728 11.1916
143.808 16.0159
143.888 24.7427
143.928 31.9755
143.967 42.7858
144.007 59.8311
144.047 88.4885
144.087 140.136
144.107 181.217
144.127 236.938
144.164 377.481
144.200 470.492
144.237 375.320
144.274 233.604
144.315 136.590
144.356 85.7236
144.397 57.6903
144.437 41.1560
144.478 30.6847
144.519 23.7156
144.601 15.3323
144.682 10.6957
144.764 7.87831
144.927 4.78303
145.091 3.21166
145.254 2.30839
145.418 1.74171
145.581 1.36358
145.908 0.905941
146.234 0.650371
146.561 0.493435
146.888 0.390327
147.541 0.267704
148.194 0.200634
149.501 0.134331
150.808 0.104930
152.115 0.0911270
153.421 0.0894330
153.748 0.0940148
154.075 0.108148
154.238 0.126664
154.401 0.171979
154.483 0.223549
154.565 0.331516
154.606 0.435173
154.646 0.611661
154.687 0.936696
154.728 1.56533
154.764 2.46750
154.800 3.07325
154.836 2.46798
154.872 1.56587
154.900 1.09725
154.927 0.797688
154.955 0.605079
154.982 0.477676
155.037 0.327322
155.093 0.247015
155.203 0.169512
155.313 0.135033
155.534 0.106128
155.754 0.0947504
156.636 0.0838554
158.400 0.0894260
159.282 0.100657
160.164 0.129781
160.605 0.167039
160.826 0.202448
161.046 0.264298
161.267 0.388279
161.377 0.503767
161.487 0.698965
161.597 1.06873
161.652 1.39084
161.708 1.89755
161.763 2.75850
161.818 4.36793
161.845 5.73732
161.873 7.79172
161.901 10.9941
161.928 15.9749
161.964 25.5701
162.000 31.9927
162.036 25.5649
162.072 15.9688
162.109 9.69559
162.146 6.25827
162.184 4.30923
162.221 3.13426
162.258 2.37825
162.295 1.86947
162.369 1.24994
162.444 0.904216
162.518 0.692779
162.667 0.459341
162.815 0.340778
162.964 0.273007
163.261 0.203523
163.856 0.156344
164.450 0.147689
165.045 0.157636
165.639 0.196116
165.936 0.246499
166.085 0.293656
166.234 0.374347
166.382 0.531008
166.457 0.671759
166.531 0.901016
166.605 1.31068
166.679 2.14537
166.717 2.92260
166.754 4.20392
166.791 6.46607
166.828 10.5727
166.864 16.8505
166.900 21.0448
166.936 16.8554
166.972 10.5799
166.998 7.45864
167.024 5.40508
167.050 4.05208
167.076 3.13729
167.128 2.04008
167.180 1.44387
167.232 1.08859
167.284 0.861439
167.388 0.600304
167.492 0.462622
167.596 0.382296
167.804 0.298963
168.220 0.243591
168.635 0.235432
169.467 0.268545
170.299 0.355855
171.130 0.550000
171.546 0.742097
171.962 1.08733
172.170 1.37384
172.378 1.80492
172.586 2.49718
172.793 3.71350
173.001 6.15325
173.105 8.41748
173.209 12.2200
173.313 19.3418
173.365 25.4737
173.417 34.9699
173.469 50.7814
173.521 79.5067
173.547 103.158
173.573 137.730
173.599 189.451
173.625 266.452
173.644 341.656
173.663 427.356
173.700 535.063
173.719 503.141
173.738 427.257
173.775 266.332
173.813 163.035
173.851 105.724
173.888 72.8178
173.926 52.7585
173.964 39.8092
174.001 31.0307
174.077 20.3069
174.152 14.2859
174.228 10.5947
174.378 6.49785
174.529 4.39985
174.680 3.18744
174.831 2.42447
174.982 1.91380
175.283 1.29455
175.585 0.948545
176.188 0.597181
176.792 0.433196
177.395 0.345366
178.602 0.263739
179.808 0.235040
181.015 0.232385
182.221 0.266210
182.523 0.297609
182.825 0.376092
182.976 0.471817
183.126 0.697929
183.202 0.948852
183.277 1.46215
183.315 1.94159
183.353 2.73841
183.390 4.15241
183.428 6.75519
183.464 10.7034
183.500 13.3519
183.536 10.7064
183.572 6.75974
183.604 4.45150
183.636 3.08015
183.668 2.25109
183.700 1.72643
183.765 1.13767
183.829 0.838013
183.957 0.560049
184.085 0.441381
184.342 0.346683
184.599 0.312829
185.626 0.295190
187.679 0.350519
189.733 0.454132
191.786 0.628686
193.840 0.944643
194.866 1.20688
195.893 1.60068
196.920 2.23125
197.947 3.33448
198.460 4.22683
198.973 5.53716
199.487 7.57616
199.743 9.05288
200.000 11.0168
200.232 13.4226
200.464 16.7915
200.696 22.0851
200.812 26.8426
200.870 31.1702
200.928 39.6141
201.000 54.7131
201.072 45.3038
201.151 41.4240
201.230 43.6838
201.387 54.5860
201.545 72.7930
201.703 102.696
201.860 155.665
201.939 198.556
202.018 261.145
202.097 356.674
202.175 510.199
202.254 770.019
202.333 1219.69
202.417 1953.30
202.500 2442.62
202.584 1951.79
202.667 1218.12
202.730 839.427
202.793 595.705
202.857 437.692
202.920 332.503
203.046 208.001
203.172 141.292
203.298 101.823
203.425 76.7234
203.677 47.8961
203.930 32.6609
204.182 23.6713
204.435 17.9321
204.687 14.0487
205.192 9.28457
205.697 6.58730
206.202 4.91423
206.707 3.80592
207.717 2.47558
208.727 1.73854
209.738 1.28826
210.748 0.993427
212.768 0.644035
214.788 0.453936
216.808 0.344569
217.818 0.326249
218.071 0.338993
218.323 0.386168
218.449 0.449892
218.576 0.602480
218.639 0.768690
218.702 1.09432
218.733 1.38415
218.765 1.83867
218.797 2.58811
218.828 3.83520
218.864 6.00020
218.900 7.45257
218.936 5.99900
218.972 3.83209
219.008 2.44535
219.044 1.67359
219.081 1.23035
219.117 0.960468
219.189 0.666630
219.261 0.520546
219.406 0.386044
219.551 0.327087
219.840 0.275097
220.129 0.250873
221.286 0.208146
223.600 0.166255
225.914 0.141719
227.072 0.140104
227.650 0.164040
227.795 0.188097
227.939 0.246341
228.012 0.311258
228.084 0.443360
228.120 0.565837
228.156 0.766529
228.192 1.11761
228.229 1.74687
228.264 2.72291
228.300 3.37115
228.336 2.72009
228.372 1.74675
228.412 1.06863
228.452 0.713426
228.492 0.518828
228.531 0.404258
228.611 0.283546
228.691 0.225476
228.851 0.173843
229.011 0.152382
229.650 0.131643
229.970 0.135208
230.289 0.153749
230.449 0.179751
230.609 0.244433
230.689 0.318204
230.769 0.472511
230.809 0.619863
230.849 0.869243
230.889 1.32577
230.929 2.19488
230.964 3.44869
231.000 4.28136
231.036 3.44507
231.072 2.19473
231.106 1.41943
231.140 0.974418
231.174 0.711451
231.208 0.548638
231.276 0.368787
231.344 0.278470
231.480 0.195382
231.616 0.159643
231.889 0.129952
232.161 0.117934
233.250 0.104180
234.339 0.105955
234.884 0.126446
235.020 0.145448
235.156 0.190298
235.224 0.239399
235.292 0.337452
235.326 0.426654
235.360 0.569954
235.394 0.813080
235.428 1.23509
235.464 1.91967
235.500 2.37643
