Mo-96(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 29.9360
1.25000E-05 26.7756
1.50000E-05 24.4426
2.00000E-05 21.1679
2.75000E-05 18.0521
3.50000E-05 16.0015
4.25000E-05 14.5211
5.00000E-05 13.3878
6.25000E-05 11.9744
7.50000E-05 10.9311
0.000100000 9.46660
0.000125000 8.46719
0.000150000 7.72945
0.000200000 6.69391
0.000275000 5.70859
0.000350000 5.06013
0.000425000 4.59200
0.000500000 4.23362
0.000625000 3.78667
0.000750000 3.45675
0.00100000 2.99364
0.00125000 2.67761
0.00150000 2.44432
0.00200000 2.11686
0.00275000 1.80528
0.00350000 1.60023
0.00425000 1.45220
0.00500000 1.33888
0.00625000 1.19755
0.00750000 1.09323
0.0100000 0.946798
0.0125000 0.846873
0.0150000 0.773114
0.0200000 0.669585
0.0253000 0.595380
0.0314750 0.533840
0.0376500 0.488147
0.0500000 0.423670
0.0625000 0.379011
0.0750000 0.346052
0.100000 0.299800
0.125000 0.268247
0.150000 0.244965
0.200000 0.212302
0.275000 0.181251
0.350000 0.160840
0.500000 0.134866
0.750000 0.110524
1.00000 0.0960707
1.50000 0.0790249
2.00000 0.0689487
2.75000 0.0594631
3.50000 0.0533069
5.00000 0.0456280
7.50000 0.0387226
10.0000 0.0348850
15.0000 0.0309051
20.0000 0.0291505
27.5000 0.0284799
35.0000 0.0292316
50.0000 0.0341075
62.5000 0.0424166
75.0000 0.0576225
87.5000 0.0879452
93.7500 0.115591
100.000 0.161432
106.666 0.256416
109.999 0.357620
110.832 0.406554
111.666 0.500014
112.082 0.602747
112.499 0.852758
112.707 1.16256
112.811 1.44866
112.915 1.93021
113.020 2.83984
113.072 3.63198
113.124 4.87455
113.176 6.98308
113.228 10.9272
113.254 14.2805
113.280 19.3048
113.306 27.0864
113.332 39.1849
113.366 62.3176
113.400 77.6987
113.434 62.3392
113.468 39.2144
113.503 24.1177
113.537 15.7638
113.572 10.9808
113.607 8.07229
113.676 4.92732
113.745 3.38309
113.814 2.51853
113.884 1.99035
114.022 1.40748
114.161 1.11307
114.299 0.946149
114.576 0.778601
115.130 0.673573
115.684 0.660482
117.900 0.811230
119.008 0.948513
120.116 1.13265
120.670 1.24764
120.947 1.31222
121.224 1.38220
121.501 1.45818
121.778 1.54084
122.055 1.63098
122.332 1.72951
122.609 1.83749
122.886 1.95616
123.163 2.08697
123.440 2.23163
123.994 2.57097
124.548 2.99552
125.102 3.53638
125.656 4.24030
126.210 5.18015
126.764 6.47461
127.318 8.32762
127.872 11.1139
128.426 15.5844
128.980 23.4288
129.257 29.7866
129.534 39.1318
129.811 53.6656
130.088 78.0426
130.365 123.500
130.504 162.492
130.642 222.791
130.781 322.508
130.919 502.220
130.988 649.107
131.058 861.818
131.127 1177.32
131.196 1642.88
131.298 2623.41
131.400 3273.16
131.502 2618.77
131.604 1638.30
131.671 1186.79
131.738 877.016
131.871 517.636
132.005 334.932
132.138 232.446
132.272 170.026
132.406 129.464
132.673 81.9711
132.940 56.3880
133.207 41.1009
133.474 31.2590
133.741 24.5608
134.276 16.2907
134.810 11.5801
135.345 8.64595
135.879 6.69726
136.948 4.35189
138.016 3.04918
139.085 2.25216
140.154 1.72969
142.291 1.10944
144.428 0.769794
146.566 0.564138
148.703 0.430402
152.978 0.273064
157.253 0.187774
161.527 0.136546
165.802 0.103463
174.352 0.0648713
182.901 0.0441717
191.451 0.0318550
200.000 0.0239683
213.746 0.0162010
227.491 0.0116280
241.237 0.00872764
254.982 0.00678394
282.473 0.00444428
309.965 0.00317355
337.456 0.00246062
364.947 0.00217760
378.692 0.00231206
385.565 0.00255725
392.438 0.00308696
399.311 0.00432836
402.747 0.00561494
406.184 0.00801091
409.620 0.0132139
411.338 0.0184457
413.056 0.0280493
413.915 0.0361837
414.775 0.0486619
415.634 0.0692243
416.493 0.106709
416.922 0.138267
417.352 0.186389
417.781 0.265102
418.211 0.407001
418.426 0.525186
418.641 0.703540
418.855 0.991006
419.070 1.49821
419.177 1.91179
419.285 2.52300
419.392 3.48035
419.500 5.10008
419.607 8.16783
419.661 10.8403
419.714 15.0394
419.768 22.1429
419.822 35.3898
419.849 46.6148
419.875 63.3805
419.902 89.2441
419.929 129.285
419.965 206.843
420.000 258.544
420.036 206.856
420.071 129.304
420.110 75.9661
420.149 47.8123
420.188 32.2300
420.227 23.0164
420.266 17.1706
420.305 13.2756
420.383 8.58458
420.461 5.98683
420.539 4.40865
420.696 2.67084
420.852 1.78830
421.008 1.28027
421.164 0.961514
421.320 0.748548
421.632 0.490575
421.944 0.346348
422.257 0.257624
422.569 0.199190
423.193 0.129433
423.818 0.0909789
424.442 0.0675482
425.067 0.0522265
426.316 0.0340622
427.564 0.0241125
428.813 0.0180758
430.062 0.0141378
432.560 0.00947847
435.058 0.00692744
440.053 0.00436267
445.049 0.00315347
450.044 0.00248157
460.036 0.00178576
480.018 0.00123180
500.000 0.000993134
558.616 0.000694591
617.233 0.000561258
734.465 0.000437118
851.698 0.000398694
910.314 0.000441515
939.623 0.000658585
954.277 0.00153912
957.940 0.00244974
961.604 0.00503550
963.435 0.00862434
965.267 0.0187334
966.183 0.0326271
966.641 0.0463700
967.099 0.0711847
967.557 0.123180
967.786 0.173735
968.015 0.263243
968.244 0.445089
968.358 0.615994
968.473 0.907113
968.587 1.46425
968.645 1.95553
968.702 2.73516
968.759 4.07899
968.816 6.64699
968.845 8.87697
968.873 12.3100
968.902 17.7950
968.931 26.6432
968.965 42.6397
969.000 53.3087
969.035 42.6411
969.069 26.6450
969.100 17.3913
969.130 11.8311
969.160 8.42785
969.190 6.25423
969.251 3.79244
969.311 2.52598
969.372 1.79697
969.432 1.34140
969.553 0.827408
969.674 0.560040
969.794 0.403984
970.036 0.238454
970.278 0.157155
970.519 0.111363
971.003 0.0643240
971.969 0.0294923
972.936 0.0169538
974.869 0.00783309
976.802 0.00459462
980.668 0.00225893
984.535 0.00143486
1000.00 0.000634395
1033.62 0.000427671
1067.23 0.000394936
1134.47 0.000389814
1201.70 0.000424718
1235.32 0.000537487
1252.12 0.000960309
1260.53 0.00262179
1262.63 0.00432720
1264.73 0.00913901
1265.78 0.0157724
1266.83 0.0342335
1267.36 0.0593087
1267.88 0.127308
1268.14 0.216705
1268.28 0.301179
1268.41 0.446526
1268.54 0.731528
1268.60 0.987763
1268.67 1.39586
1268.74 2.12778
1268.80 3.56386
1268.83 4.88507
1268.87 7.01943
1268.90 10.6536
1268.93 16.7297
1268.97 26.8943
1269.00 33.4023
1269.04 26.5858
1269.07 16.7305
1269.10 11.2492
1269.13 7.82214
1269.15 5.66214
1269.18 4.25167
1269.24 2.61893
1269.29 1.76141
1269.35 1.26126
1269.41 0.945893
1269.52 0.589292
1269.63 0.400283
1269.74 0.289380
1269.96 0.171665
1270.41 0.0805268
1270.86 0.0466542
1271.75 0.0215054
1272.65 0.0124345
1274.43 0.00582833
1276.22 0.00348099
