Hg-196(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 158978
1.25000E-05 142194
1.50000E-05 129804
2.00000E-05 112413
2.75000E-05 95865.6
3.50000E-05 84975.1
4.25000E-05 77113.0
5.00000E-05 71094.1
6.25000E-05 63587.6
7.50000E-05 58046.5
0.000100000 50268.4
0.000125000 44960.2
0.000150000 41041.8
0.000200000 35541.3
0.000275000 30307.3
0.000350000 26862.5
0.000425000 24375.3
0.000500000 22471.2
0.000625000 20096.2
0.000750000 18342.8
0.00100000 15881.1
0.00125000 14200.8
0.00150000 12960.1
0.00200000 11217.8
0.00275000 9559.04
0.00350000 8466.50
0.00425000 7677.17
0.00500000 7072.43
0.00625000 6317.48
0.00750000 5759.49
0.0100000 4974.82
0.0125000 4438.00
0.0150000 4040.76
0.0200000 3481.22
0.0253000 3078.18
0.0314750 2742.17
0.0376500 2491.30
0.0500000 2134.59
0.0625000 1885.03
0.0750000 1699.11
0.100000 1434.98
0.125000 1252.05
0.150000 1115.31
0.200000 920.524
0.237500 815.409
0.275000 731.923
0.350000 606.334
0.500000 445.985
0.750000 298.807
1.00000 216.169
1.25000 163.941
1.50000 128.510
2.00000 84.6562
2.75000 50.8543
3.50000 33.4781
4.25000 23.4649
5.00000 17.2216
6.25000 11.0855
7.50000 7.64424
8.75000 5.54519
10.0000 4.18255
12.5000 2.59746
15.0000 1.75840
17.5000 1.26847
20.0000 0.961572
23.7500 0.683325
27.5000 0.521925
35.0000 0.362165
42.5000 0.304491
50.0000 0.302103
60.8244 0.391361
66.2366 0.505280
71.6488 0.723971
74.3549 0.911248
77.0609 1.19893
79.7670 1.67223
82.4731 2.53208
83.8262 3.25373
85.1792 4.35199
86.5323 6.14432
87.8853 9.37105
88.2236 10.5856
88.5619 12.0564
88.7310 12.9110
88.8156 13.3733
88.9001 13.8610
88.9847 14.3763
89.0692 14.9211
89.1538 15.4979
89.2384 16.1090
89.3229 16.7574
89.4075 17.4461
89.4921 18.1786
89.5766 18.9586
89.7458 20.6785
89.9149 22.6457
90.0840 24.9099
90.2532 27.5340
90.4223 30.5988
90.5914 34.2085
90.9297 43.6585
91.2679 57.6637
91.6062 79.6939
91.7753 95.7758
91.9445 117.258
92.1136 146.839
92.2827 189.126
92.4519 252.480
92.6210 353.297
92.7901 527.051
92.8747 664.515
92.9592 860.662
93.0438 1151.47
93.1284 1600.82
93.2129 2322.46
93.2975 3493.26
93.3988 5585.62
93.5000 6975.50
93.6013 5575.19
93.7025 3482.27
93.8009 2169.96
93.8993 1423.42
93.9977 987.795
94.0961 719.211
94.1945 544.424
94.2929 425.236
94.4897 278.789
94.6865 196.183
94.8833 145.277
95.2769 88.6062
95.6705 59.5207
96.0641 42.6729
96.4577 32.0600
96.8513 24.9508
97.6384 16.3223
98.4256 11.4892
99.2128 8.51521
100.000 6.55736
101.425 4.38673
102.850 3.13451
102.850 1.30250
116.867 1.16771
130.885 1.05990
158.921 0.897829
186.957 0.781378
214.993 0.693385
243.029 0.624392
271.065 0.568742
327.137 0.484278
383.209 0.423008
439.281 0.376390
495.353 0.339647
551.425 0.309890
663.568 0.264522
775.712 0.231461
887.856 0.206222
1000.00 0.186280
1281.25 0.162929
1562.50 0.146360
2125.00 0.123952
2687.50 0.109178
3250.00 0.0985218
4375.00 0.0839008
5500.00 0.0741407
6625.00 0.0670467
7750.00 0.0615979
10000.0 0.0536713
12812.5 0.0482731
15625.0 0.0443448
21250.0 0.0388800
26875.0 0.0351644
32500.0 0.0324192
43750.0 0.0285487
55000.0 0.0258868
77500.0 0.0223550
100000 0.0200460
125000 0.0177532
150000 0.0160759
200000 0.0137457
237500 0.0125182
275000 0.0115581
350000 0.0101362
425000 0.00911962
428170 0.00908281
428173 0.00908278
428193 0.00908254
430000 0.00906175
447500 0.00886710
465000 0.00868387
500000 0.00834752
600000 0.00680960
700000 0.00683796
800000 0.00686263
1.00000E+06 0.00748892
1.04153E+06 0.00722738
1.04153E+06 0.00722735
1.06636E+06 0.00708014
1.06636E+06 0.00708013
1.07018E+06 0.00705806
1.09883E+06 0.00689702
1.15614E+06 0.00659739
1.25000E+06 0.00616249
1.27076E+06 0.00607445
1.32569E+06 0.00585398
1.38538E+06 0.00563302
1.39776E+06 0.00558941
1.50000E+06 0.00525511
1.76584E+06 0.00531721
1.76584E+06 0.00531721
1.78444E+06 0.00532122
1.79419E+06 0.00532331
1.82404E+06 0.00532964
1.82404E+06 0.00532964
1.85027E+06 0.00533512
1.85028E+06 0.00533512
1.85450E+06 0.00533599
1.93139E+06 0.00535162
1.93139E+06 0.00535162
1.98888E+06 0.00536294
1.98889E+06 0.00536294
2.00000E+06 0.00536509
2.02266E+06 0.00538163
2.07432E+06 0.00541885
2.07432E+06 0.00541886
2.27425E+06 0.00555685
2.35808E+06 0.00561210
2.37175E+06 0.00562097
2.46784E+06 0.00568231
2.50000E+06 0.00570245
2.50834E+06 0.00568428
2.50835E+06 0.00568426
2.50885E+06 0.00568317
3.00000E+06 0.00478819
3.25000E+06 0.00373124
3.50000E+06 0.00296187
3.75000E+06 0.00238892
4.00000E+06 0.00195373
4.36697E+06 0.00123787
4.42869E+06 0.00115077
4.68348E+06 0.000860369
5.00000E+06 0.000612385
5.25000E+06 0.000440080
5.50000E+06 0.000321155
5.75000E+06 0.000237674
6.00000E+06 0.000178161
6.30152E+06 0.000123532
6.60303E+06 8.71328E-05
6.60303E+06 8.71324E-05
6.66475E+06 8.12838E-05
6.95227E+06 5.92939E-05
7.30151E+06 4.11183E-05
7.65075E+06 2.90061E-05
8.00000E+06 2.07828E-05
8.39686E+06 1.31496E-05
8.79372E+06 8.49769E-06
8.79372E+06 8.49768E-06
8.83101E+06 8.16445E-06
9.09529E+06 6.17809E-06
9.39686E+06 4.53863E-06
1.00000E+07 2.52057E-06
1.02500E+07 1.79688E-06
1.05000E+07 1.29147E-06
1.07500E+07 9.35451E-07
1.10000E+07 6.82621E-07
1.12500E+07 5.01664E-07
1.15000E+07 3.71182E-07
1.20000E+07 2.07137E-07
1.22500E+07 1.45173E-07
1.25000E+07 1.02478E-07
1.27500E+07 7.28405E-08
1.30000E+07 5.21187E-08
1.32500E+07 3.75304E-08
1.35000E+07 2.71918E-08
1.37500E+07 1.98181E-08
1.40000E+07 1.45265E-08
1.42360E+07 1.05793E-08
1.44720E+07 7.74502E-09
1.49439E+07 4.21356E-09
1.54159E+07 2.33613E-09
1.58878E+07 1.31847E-09
