Ni-59(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 4826.93
1.25000E-05 4317.59
1.50000E-05 3941.62
2.00000E-05 3413.86
2.75000E-05 2911.70
3.50000E-05 2581.21
4.25000E-05 2342.63
5.00000E-05 2159.99
6.25000E-05 1932.20
7.50000E-05 1764.06
0.000100000 1528.03
0.000125000 1366.96
0.000150000 1248.07
0.000200000 1081.17
0.000275000 922.373
0.000350000 817.863
0.000425000 742.416
0.000500000 684.657
0.000625000 612.624
0.000750000 559.451
0.00100000 484.813
0.00125000 434.935
0.00150000 396.279
0.00200000 343.502
0.00225000 324.229
0.00250000 307.485
0.00275000 293.429
0.00300000 280.899
0.00350000 260.237
0.00400000 243.581
0.00450000 229.785
0.00500000 218.114
0.00550000 208.073
0.00600000 199.316
0.00650000 191.588
0.00700000 184.705
0.00750000 178.521
0.00800000 172.928
0.00850000 167.835
0.00900000 163.173
0.00950000 158.884
0.0100000 154.921
0.0112500 146.470
0.0125000 139.149
0.0150000 126.927
0.0200000 110.240
0.0250000 98.8531
0.0253000 98.2904
0.0264750 96.1661
0.0276500 94.1584
0.0300000 90.4469
0.0350000 83.9149
0.0376500 81.0141
0.0400000 78.6494
0.0450000 74.2888
0.0500000 70.5999
0.0550000 67.4262
0.0600000 64.6581
0.0650000 62.2160
0.0700000 60.0407
0.0750000 58.0867
0.0800000 56.3190
0.0849990 54.7101
0.0899990 53.2369
0.0949990 51.8817
0.0999990 50.6296
0.100000 50.6293
0.100003 50.6286
0.100006 50.6279
0.100012 50.6265
0.100025 50.6237
0.100049 50.6181
0.100098 50.6068
0.100195 50.5843
0.100391 50.5394
0.100781 50.4499
0.101563 50.2724
0.103125 49.9225
0.106250 49.2432
0.112500 47.9595
0.125000 45.6472
0.150000 41.7869
0.200000 36.5186
0.250000 32.9252
0.275000 31.5234
0.300000 30.2742
0.350000 28.2150
0.400000 26.5560
0.450000 25.1826
0.500000 24.0214
0.550000 23.0230
0.600000 22.1526
0.649990 21.3854
0.699990 20.7021
0.749990 20.0887
0.750000 20.0886
0.750025 20.0883
0.750049 20.0880
0.750098 20.0874
0.750195 20.0863
0.750391 20.0841
0.750781 20.0795
0.751562 20.0705
0.753124 20.0526
0.756249 20.0167
0.762498 19.9456
0.774995 19.8056
0.799990 19.5341
0.849990 19.0294
0.899990 18.5677
0.949990 18.1433
0.999990 17.7513
1.00000 17.7512
1.00003 17.7510
1.00006 17.7508
1.00012 17.7503
1.00025 17.7495
1.00049 17.7477
1.00098 17.7442
1.00195 17.7371
1.00391 17.7231
1.00781 17.6951
1.01563 17.6395
1.03125 17.5301
1.06250 17.3177
1.12500 16.9164
1.25000 16.1944
1.50000 14.9910
2.00000 13.3567
2.50000 12.2493
2.75000 11.8196
3.00000 11.4377
3.50000 10.8120
4.00000 10.3118
4.50000 9.90086
5.00000 9.55643
5.49990 9.26296
5.99990 9.00942
6.49990 8.78803
6.99990 8.59291
7.49990 8.41962
7.50000 8.41959
7.50025 8.41951
7.50049 8.41943
7.50098 8.41927
7.50195 8.41895
7.50391 8.41832
7.50781 8.41705
7.51562 8.41452
7.53124 8.40948
7.56249 8.39943
7.62498 8.37951
7.74995 8.34035
7.99990 8.26466
8.49990 8.12531
8.99990 7.99936
9.49990 7.88503
9.99990 7.78086
10.0000 7.78084
10.0003 7.78078
10.0006 7.78072
10.0012 7.78060
10.0025 7.78037
10.0049 7.77991
10.0098 7.77899
10.0195 7.77715
10.0391 7.77347
10.0781 7.76615
10.1563 7.75165
10.3125 7.72317
10.6250 7.66822
11.2500 7.56574
12.5000 7.38605
15.0000 7.10282
20.0000 6.78286
25.0000 6.63817
27.5000 6.60981
30.0000 6.60022
35.0000 6.63787
40.0000 6.73572
44.9990 6.88612
49.9990 7.08605
50.0000 7.08609
50.0025 7.08620
50.0049 7.08631
50.0098 7.08653
50.0195 7.08698
50.0391 7.08786
50.0781 7.08964
50.1562 7.09319
50.3124 7.10034
50.6249 7.11476
51.2498 7.14412
52.4995 7.20498
54.9990 7.33528
59.9990 7.63586
64.9990 7.99169
69.9990 8.40850
74.9990 8.89394
75.0000 8.89404
75.0025 8.89430
75.0049 8.89456
75.0098 8.89507
75.0195 8.89610
75.0391 8.89815
75.0781 8.90226
75.1562 8.91050
75.3124 8.92702
75.6249 8.96029
76.2498 9.02770
77.4995 9.16610
79.9990 9.45786
84.9990 10.1127
89.9990 10.8742
94.9990 11.7620
99.9990 12.8011
100.000 12.8013
100.003 12.8019
100.005 12.8024
100.010 12.8036
100.020 12.8058
100.039 12.8103
100.078 12.8193
100.156 12.8374
100.313 12.8736
100.625 12.9466
101.250 13.0946
102.500 13.3992
105.000 14.0447
110.000 15.4994
120.000 19.2593
130.000 24.8365
140.000 33.4333
148.525 44.9752
150.000 47.5386
155.000 58.1831
160.000 72.7729
165.000 93.4496
170.000 123.993
175.000 171.544
180.000 250.806
185.000 395.461
187.500 516.766
190.000 693.364
192.500 970.039
195.000 1400.16
197.050 1943.06
200.000 3035.57
201.000 3421.76
202.000 3731.10
203.000 3897.12
203.400 3911.67
204.000 3878.10
205.000 3681.15
206.000 3357.45
207.000 2973.63
208.000 2585.02
209.000 2225.36
209.750 1984.21
210.000 1909.46
210.625 1737.84
211.250 1583.12
212.500 1319.51
215.000 936.579
217.500 694.432
220.000 530.358
225.000 337.972
230.000 234.224
235.000 172.435
240.000 132.787
245.000 105.854
250.000 86.7223
255.000 72.6357
260.000 61.9555
265.000 53.6580
270.000 47.0777
275.000 41.7665
280.000 37.4139
282.313 35.6643
285.000 33.7993
290.000 30.7623
295.000 28.1840
300.000 25.9748
305.000 24.0662
310.000 22.4047
315.000 20.9486
320.000 19.6646
325.000 18.5258
330.000 17.5107
335.000 16.6013
340.000 15.7831
345.000 15.0439
350.000 14.3735
354.875 13.7780
355.000 13.7634
355.313 13.7271
355.625 13.6911
356.250 13.6196
357.500 13.4788
360.000 13.2062
365.000 12.6959
370.000 12.2270
375.000 11.7951
380.000 11.3961
385.000 11.0268
390.000 10.6840
395.000 10.3652
400.000 10.0681
412.500 9.41451
425.000 8.85578
450.000 7.95274
500.000 6.70284
550.000 5.90609
600.000 5.34652
700.000 4.62201
750.000 4.37191
800.000 4.16640
900.000 3.84762
1000.00 3.60491
1100.00 3.41007
1200.00 3.24576
1300.00 3.10189
1400.00 2.97202
1500.00 2.85185
1600.00 2.73836
1700.00 2.62938
1800.00 2.52327
1900.00 2.41883
2000.00 2.31511
2100.00 2.21141
2200.00 2.10727
2300.00 2.00244
2400.00 1.89705
2500.00 1.79175
2598.50 1.68973
2600.00 1.68820
2603.13 1.68503
2606.25 1.68186
2612.50 1.67554
2625.00 1.66297
2650.00 1.63815
2700.00 1.59021
2800.00 1.50691
2900.00 1.46424
2950.00 1.48200
3000.00 1.56358
3050.00 1.80928
3075.00 2.08028
3100.00 2.59427
3124.25 4.71842
3136.38 6.27639
3148.50 8.59872
3160.63 12.6569
3166.69 16.1179
3172.75 21.6078
3178.81 31.2346
3181.84 39.0624
3184.88 50.5908
3187.91 68.4745
3190.94 97.9299
3193.97 149.686
3197.00 244.091
3200.00 393.924
3203.00 495.866
3206.00 393.558
3209.00 244.459
3211.84 154.747
3214.69 103.613
3217.53 73.5971
3220.38 54.9651
3226.06 34.3356
3231.75 23.8661
3237.44 17.8192
3243.13 13.9807
3254.50 9.46225
3265.88 6.88493
3277.25 5.17396
3300.00 2.89087
3325.00 2.21134
3350.00 1.84711
3400.00 1.50397
3450.00 1.39099
3500.00 1.39759
3600.00 1.71116
3700.00 2.59178
3750.00 3.40881
3800.00 4.66072
3850.00 6.61436
3900.00 9.75481
3950.00 15.0207
4000.00 24.3493
4050.00 42.0183
4075.00 56.6485
4100.00 77.5869
4118.70 98.8074
4170.00 183.272
4180.00 200.971
4190.00 216.599
4200.00 228.706
4210.00 236.069
4211.00 236.512
4213.25 237.306
4215.50 237.820
4220.00 238.007
4230.00 234.574
4265.00 193.904
4300.00 143.827
4303.30 139.623
4315.39 125.279
4327.48 112.598
4351.65 91.7937
4400.00 63.9211
4450.00 46.8518
4500.00 36.1957
4550.00 29.1312
4600.00 24.2008
4700.00 17.9112
4800.00 14.1584
4900.00 11.7160
5000.00 10.0348
5100.00 8.84453
5200.00 8.01004
5300.00 7.47382
5400.00 7.23794
5500.00 7.37056
5600.00 8.04273
5700.00 9.62543
5800.00 12.9396
5900.00 19.9572
5950.00 26.2545
6000.00 36.0102
6050.00 51.6070
6100.00 77.2239
6143.20 112.362
6200.00 182.437
6237.50 234.724
6250.00 249.083
6262.50 260.176
6276.00 267.521
6300.00 267.381
6350.00 225.760
6400.00 170.038
6408.90 161.143
6431.68 140.544
6454.45 123.043
6500.00 96.0638
6550.00 75.5980
6600.00 61.4095
6700.00 43.7915
6800.00 33.7182
6900.00 27.3856
7000.00 23.1042
7100.00 20.0414
7200.00 17.7493
7300.00 15.9696
7400.00 14.5439
7500.00 13.3705
7600.00 12.3811
7700.00 11.5279
7800.00 10.7760
7900.00 10.0994
8000.00 9.47690
8100.00 8.89093
8200.00 8.32531
8300.00 7.76387
8400.00 7.18869
8500.00 6.57779
8600.00 5.90195
8700.00 5.12147
