Cd-112(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 116.069
1.25000E-05 104.351
1.50000E-05 95.7011
2.00000E-05 83.5596
2.75000E-05 72.0069
3.50000E-05 64.4039
4.25000E-05 58.9151
5.00000E-05 54.7131
6.25000E-05 49.4727
7.50000E-05 45.6044
0.000100000 40.1744
0.000125000 36.4689
0.000150000 33.7335
0.000200000 29.8939
0.000275000 26.2405
0.000350000 23.8361
0.000425000 22.1003
0.000500000 20.7715
0.000625000 19.1141
0.000750000 17.8908
0.00100000 16.1734
0.00125000 15.0015
0.00150000 14.1363
0.00200000 12.9218
0.00275000 11.7661
0.00350000 11.0054
0.00425000 10.4562
0.00500000 10.0357
0.00625000 9.51112
0.00750000 9.12385
0.0100000 8.58007
0.0125000 8.20881
0.0150000 7.93463
0.0200000 7.54952
0.0253000 7.27321
0.0314750 7.04378
0.0376500 6.87323
0.0500000 6.63210
0.0625000 6.46464
0.0750000 6.34072
0.100000 6.16613
0.125000 6.04635
0.150000 5.95746
0.200000 5.83171
0.237500 5.76413
0.275000 5.71044
0.350000 5.62929
0.500000 5.52334
0.750000 5.41948
1.00000 5.35423
1.50000 5.27138
2.00000 5.21762
2.75000 5.16188
3.50000 5.12186
5.00000 5.06567
7.50000 5.00585
10.0000 4.96592
12.5000 4.93621
15.0000 4.91255
20.0000 4.87548
27.5000 4.83174
35.0000 4.79100
42.5000 4.74370
46.2500 4.71338
50.0000 4.67427
52.0931 4.64632
54.1861 4.61162
56.2792 4.56702
58.3722 4.50742
59.4187 4.46967
60.4653 4.42522
61.5118 4.37385
62.5583 4.31984
63.0816 4.29785
63.6048 4.28969
64.1281 4.31830
64.6514 4.44731
64.9130 4.60160
65.1746 4.88631
65.4363 5.43339
65.6979 6.56915
65.8287 7.60429
65.9595 9.26365
66.0903 12.1005
66.2211 17.4103
66.2866 21.9252
66.3193 24.9842
66.3520 28.8078
66.3683 31.0877
66.3847 33.6667
66.3929 35.0859
66.4010 36.5994
66.4092 38.2195
66.4174 39.9519
66.4337 43.8055
66.4501 48.2625
66.4664 53.4521
66.4828 59.5393
66.4991 66.7426
66.5155 75.3337
66.5318 85.6896
66.5482 98.3153
66.5645 113.917
66.5809 133.456
66.5972 158.349
66.6136 190.682
66.6300 233.661
66.6463 292.246
66.6627 374.673
66.6790 495.010
66.6954 678.508
66.7117 972.485
66.7281 1466.97
66.7444 2315.50
66.7622 3740.81
66.7800 4724.55
66.7978 3823.63
66.8156 2418.94
66.8308 1608.48
66.8461 1111.48
66.8613 803.235
66.8766 604.224
66.9070 376.020
66.9375 256.890
66.9680 187.456
66.9985 143.575
67.0594 93.3450
67.1204 66.7132
67.1814 50.8645
67.2423 40.6393
67.3033 33.6383
67.4252 24.8897
67.5471 19.7988
67.6690 16.5520
67.7909 14.3410
68.0348 11.5819
68.2786 9.96900
68.5224 8.93168
68.7662 8.21791
69.2539 7.31298
69.7416 6.77193
70.2292 6.41640
70.7169 6.16685
71.6922 5.84227
72.6675 5.64209
73.6428 5.50715
74.6182 5.41049
76.5688 5.28277
78.5194 5.20685
79.4948 5.18487
80.4701 5.18093
80.9577 5.19524
81.2016 5.21236
81.4454 5.24338
81.6892 5.30405
81.8111 5.35838
81.9331 5.44755
82.0550 5.61348
82.1159 5.75941
82.1769 5.99590
82.2378 6.42367
82.2683 6.78377
82.2988 7.33409
82.3293 8.23529
82.3598 9.84523
82.3902 13.0413
82.4055 15.8287
82.4207 19.9327
82.4434 28.6644
82.4660 34.4971
82.4887 28.7045
82.5113 20.0122
82.5350 14.2662
82.5587 11.1472
82.5824 9.40092
82.6061 8.36436
82.6535 7.29645
82.7009 6.83355
82.7957 6.60998
82.8905 6.88405
82.9853 7.72919
83.0327 8.55696
83.0801 9.94136
83.1275 12.4535
83.1512 14.5325
83.1749 17.6247
83.1986 22.4621
83.2223 30.4983
83.2460 44.7318
83.2697 70.8222
83.2924 110.167
83.3150 136.383
83.3377 110.190
83.3603 70.8450
83.3766 51.3294
83.3928 38.4332
83.4091 29.9053
83.4253 24.1224
83.4578 17.1634
83.4903 13.3672
83.5228 11.0968
83.5553 9.63950
83.6203 7.95177
83.6853 7.05141
83.7503 6.51569
83.8803 5.93657
84.0103 5.64592
84.1403 5.47892
84.2703 5.37370
84.4003 5.30279
84.6603 5.21527
84.9203 5.16450
85.4403 5.10892
85.9603 5.07890
86.4803 5.05949
87.5202 5.03431
88.5602 5.01714
89.6002 5.00372
91.6802 4.98266
95.8401 4.95189
100.000 4.92900
106.250 4.90259
112.500 4.88181
125.000 4.84910
137.500 4.82195
150.000 4.79641
162.500 4.76971
175.000 4.73860
187.500 4.69718
193.750 4.66864
200.000 4.62998
203.309 4.60272
206.618 4.56785
209.927 4.52111
213.235 4.45436
214.890 4.40867
216.544 4.34996
218.199 4.27164
219.853 4.16203
220.680 4.08923
221.508 3.99911
222.335 3.88598
223.162 3.74423
223.576 3.66319
223.989 3.58092
224.403 3.51449
224.816 3.51929
225.023 3.59772
225.230 3.79710
225.437 4.25316
225.644 5.30885
225.747 6.32372
225.850 7.99784
225.902 9.24580
225.928 10.0219
225.954 10.9225
225.980 11.9816
226.006 13.2254
226.031 14.7079
226.057 16.4751
226.070 17.4984
226.083 18.6167
226.109 21.2175
226.135 24.4361
226.161 28.4388
226.187 33.5289
226.212 40.0606
226.238 48.6749
226.264 60.2121
226.290 76.2236
226.316 99.0272
226.342 133.153
226.367 186.545
226.393 276.585
226.406 345.471
226.419 440.761
226.432 577.483
226.445 776.022
226.458 1072.52
226.471 1515.00
226.490 2470.76
226.509 3150.47
226.528 2573.78
226.547 1643.17
226.561 1183.77
226.574 874.922
226.587 665.914
226.600 521.376
226.627 342.944
226.653 243.505
226.680 182.554
226.706 142.881
226.759 95.8663
226.812 70.0215
226.864 54.2889
226.917 43.9234
226.970 36.7280
227.076 27.5635
227.182 22.1175
227.287 18.5841
227.393 16.1419
227.604 13.0381
227.816 11.1853
228.027 9.97192
228.239 9.12389
228.662 8.02806
229.084 7.35845
229.507 6.91048
229.930 6.59129
230.776 6.16880
231.621 5.90303
232.467 5.72098
233.313 5.58865
235.004 5.40928
236.695 5.29332
238.387 5.21208
240.078 5.15186
243.461 5.06819
246.843 5.01236
250.226 4.97204
253.609 4.94122
260.374 4.89638
267.139 4.86435
280.670 4.81883
294.201 4.78494
307.732 4.75601
334.793 4.70171
361.854 4.64016
375.385 4.60099
388.916 4.54999
402.446 4.47538
409.212 4.42068
415.977 4.34335
419.360 4.29047
422.743 4.22224
426.125 4.13015
429.508 3.99816
431.199 3.90779
432.891 3.79194
434.582 3.63814
436.273 3.42496
437.119 3.28517
437.965 3.11459
438.810 2.90561
439.656 2.65613
440.079 2.52395
440.502 2.40624
440.924 2.35124
441.347 2.50146
441.559 2.77398
441.770 3.34293
441.876 3.82328
441.929 4.13822
441.982 4.51701
442.034 4.97608
442.087 5.53292
442.140 6.21477
442.193 7.05202
442.246 8.09208
442.299 9.39085
442.352 11.0362
442.404 13.1384
442.457 15.8739
442.510 19.4812
442.563 24.3541
442.616 31.0744
442.669 40.6597
442.721 54.7926
442.774 76.7151
442.827 112.712
442.880 177.062
442.906 229.220
442.933 305.113
442.959 420.568
442.986 602.790
443.012 903.727
443.039 1408.48
443.069 2320.50
443.100 2984.25
443.131 2455.02
443.162 1578.45
443.180 1186.94
443.199 909.044
