35-Br_n-tot
>  35-Br-79:0.506900
>  35-Br-81:0.493100
1.006320e+02 3.00355555e+02
1.007580e+02 4.74989577e+02
1.008220e+02 6.18410760e+02
1.008850e+02 8.27179041e+02
1.009480e+02 1.13753085e+03
1.010110e+02 1.59758782e+03
1.011060e+02 2.59904374e+03
1.012000e+02 3.30232209e+03
1.012950e+02 2.68098590e+03
1.013890e+02 1.70060389e+03
1.014550e+02 1.21803116e+03
1.015210e+02 8.94128147e+02
1.015870e+02 6.76576941e+02
1.016540e+02 5.27053806e+02
1.017860e+02 3.44226286e+02
1.019180e+02 2.42610364e+02
1.020500e+02 1.80846291e+02
1.021820e+02 1.40695284e+02
1.024470e+02 9.33959533e+01
1.027110e+02 6.76061442e+01
1.029760e+02 5.19707371e+01
1.032400e+02 4.17399588e+01
1.035050e+02 3.46562863e+01
1.040330e+02 2.56947587e+01
1.045620e+02 2.04080031e+01
1.050910e+02 1.69996134e+01
1.056200e+02 1.46570100e+01
1.066780e+02 1.16995271e+01
1.077360e+02 9.94575052e+00
1.087930e+02 8.80283256e+00
1.098510e+02 8.00680414e+00
1.119670e+02 6.98210815e+00
1.140820e+02 6.36117862e+00
1.144370e+02 6.30530123e+00
1.183130e+02 5.69718908e+00
1.204290e+02 5.55266476e+00
1.225440e+02 5.54011460e+00
1.246600e+02 5.73276220e+00
1.267750e+02 6.34068963e+00
1.278330e+02 6.96468713e+00
1.288730e+02 7.99433804e+00
1.288910e+02 8.01215342e+00
1.299480e+02 9.85428400e+00
1.310060e+02 1.33558379e+01
1.315350e+02 1.63454793e+01
1.320640e+02 2.08972122e+01
1.325930e+02 2.82273663e+01
1.331220e+02 4.09635730e+01
1.336500e+02 6.56362575e+01
1.339150e+02 8.74395219e+01
1.341790e+02 1.21966252e+02
1.344440e+02 1.80742154e+02
1.347080e+02 2.90543064e+02
1.348400e+02 3.83189832e+02
1.349730e+02 5.21507021e+02
1.351050e+02 7.33642767e+02
1.352370e+02 1.05981775e+03
1.354190e+02 1.71955978e+03
1.356000e+02 2.18117917e+03
1.357820e+02 1.77365557e+03
1.359630e+02 1.12851694e+03
1.360880e+02 8.14155065e+02
1.362130e+02 6.01105516e+02
1.363380e+02 4.57059395e+02
1.364630e+02 3.57606279e+02
1.367140e+02 2.35234093e+02
1.369640e+02 1.66883482e+02
1.372140e+02 1.25198734e+02
1.374640e+02 9.80195085e+01
1.379640e+02 6.59151534e+01
1.384650e+02 4.83722324e+01
1.389650e+02 3.77126483e+01
1.394650e+02 3.07273496e+01
1.399650e+02 2.58843731e+01
1.409660e+02 1.97470082e+01
1.419670e+02 1.61162186e+01
1.429670e+02 1.37683333e+01
1.433100e+02 1.32135066e+01
1.439680e+02 1.21487749e+01
1.459690e+02 1.00922750e+01
1.479700e+02 8.86117528e+00
1.499710e+02 8.04995017e+00
1.505280e+02 7.89061176e+00
1.519720e+02 7.47928876e+00
1.541370e+02 7.07409232e+00
1.550390e+02 6.91127767e+00
1.559420e+02 6.76322472e+00
1.559750e+02 6.75924351e+00
1.563930e+02 6.73766654e+00
1.566180e+02 6.74018717e+00
1.568440e+02 6.76384943e+00
1.570690e+02 6.83429972e+00
1.571820e+02 6.90629481e+00
1.572950e+02 7.02754538e+00
1.574080e+02 7.24261299e+00
1.575210e+02 7.65476333e+00
1.575770e+02 8.00647145e+00
1.576330e+02 8.53420059e+00
1.576900e+02 9.34611699e+00
1.577460e+02 1.05939027e+01
1.578230e+02 1.30992473e+01
1.579000e+02 1.48200120e+01
1.579770e+02 1.32156142e+01
1.580540e+02 1.07255100e+01
1.581150e+02 9.37027724e+00
1.581760e+02 8.50598219e+00
1.582370e+02 7.95075928e+00
1.582980e+02 7.58141660e+00
1.584210e+02 7.14190245e+00
1.585430e+02 6.90082054e+00
