Nd-145(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
9.12702 1.41461
9.99999 1.28205
10.0000 1.28205
10.0000 1.28205
10.0001 1.28204
10.0001 1.28204
10.0001 1.28203
10.0003 1.28202
10.0005 1.28198
10.0011 1.28191
10.0021 1.28178
10.0042 1.28151
10.0083 1.28097
10.0165 1.27989
10.0331 1.27774
10.0661 1.27348
10.1322 1.26508
10.2644 1.24878
10.5288 1.21802
11.0577 1.16290
12.1153 1.07290
12.1153 1.07290
12.1154 1.07289
12.1155 1.07289
12.1156 1.07288
12.1159 1.07285
12.1166 1.07281
12.1178 1.07271
12.1203 1.07253
12.1253 1.07215
12.1353 1.07141
12.1554 1.06993
12.1954 1.06699
12.2755 1.06119
12.4357 1.04992
12.7560 1.02862
13.3967 0.990501
14.6780 0.929474
14.6780 0.929473
14.6781 0.929470
14.6782 0.929467
14.6783 0.929460
14.6786 0.929448
14.6793 0.929422
14.6805 0.929371
14.6831 0.929268
14.6881 0.929064
14.6981 0.928657
14.7183 0.927844
14.7585 0.926231
14.8390 0.923053
15.0000 0.916886
15.3479 0.904396
15.6957 0.893004
16.3914 0.873318
17.7828 0.845348
17.7828 0.845348
17.7829 0.845347
17.7830 0.845346
17.7831 0.845344
17.7834 0.845340
17.7839 0.845331
17.7850 0.845315
17.7872 0.845283
17.7915 0.845218
17.8001 0.845090
17.8175 0.844834
17.8521 0.844330
17.9214 0.843346
18.0600 0.841482
18.3371 0.838162
18.8914 0.833142
20.0000 0.829521
21.5443 0.838997
21.5443 0.838998
21.5444 0.838999
21.5444 0.838999
21.5446 0.839001
21.5448 0.839004
21.5453 0.839009
21.5463 0.839021
21.5483 0.839044
21.5522 0.839091
21.5601 0.839185
21.5759 0.839375
21.6075 0.839760
21.6706 0.840552
21.7969 0.842229
22.0494 0.845957
22.5546 0.854948
23.5648 0.879479
25.5853 0.959371
26.1016 0.987781
26.1016 0.987783
26.1017 0.987787
26.1018 0.987792
26.1019 0.987801
26.1022 0.987819
26.1029 0.987855
26.1041 0.987928
26.1066 0.988074
26.1115 0.988365
26.1214 0.988948
26.1412 0.990119
26.1808 0.992478
26.2600 0.997267
26.4184 1.00713
26.7352 1.02806
27.3688 1.07512
28.6361 1.19406
31.1705 1.58186
31.6228 1.68294
31.6228 1.68294
31.6229 1.68296
31.6229 1.68297
31.6230 1.68299
31.6232 1.68304
31.6236 1.68314
31.6245 1.68333
31.6261 1.68372
31.6294 1.68450
31.6359 1.68606
31.6489 1.68919
31.6751 1.69548
31.7273 1.70819
31.8319 1.73421
32.0409 1.78867
32.4590 1.90819
33.2951 2.19869
34.9674 3.09729
36.6396 4.86045
37.4758 6.45673
38.3119 9.07712
38.3119 9.07720
38.3120 9.07748
38.3120 9.07773
38.3122 9.07822
38.3124 9.07924
38.3129 9.08124
38.3139 9.08524
38.3159 9.09329
38.3198 9.10939
38.3277 9.14177
38.3434 9.20705
38.3749 9.33983
38.4378 9.61446
38.5637 10.2029
38.8156 11.5614
39.3192 15.2806
39.8228 21.2145
40.3265 31.5490
40.5783 39.8659
40.8301 52.0103
41.0819 70.7354
41.3337 101.769
41.5856 158.627
41.7115 206.519
41.8374 279.233
41.9633 396.438
42.0892 599.901
42.2151 984.479
42.2781 1303.52
42.3410 1754.38
42.4455 2803.57
42.5500 3495.34
42.6545 2787.39
42.7590 1738.53
42.8733 1023.46
42.9876 644.275
43.1018 434.598
43.2161 310.156
43.3304 231.357
43.4447 178.701
43.6732 115.321
43.9018 80.2910
44.1303 59.0010
44.5875 35.6094
45.0446 23.7572
45.5017 16.9511
45.9588 12.6914
46.4159 9.85245
46.4159 9.85235
46.4160 9.85204
46.4160 9.85178
46.4161 9.85122
46.4164 9.85009
46.4168 9.84784
46.4177 9.84333
46.4194 9.83437
46.4229 9.81649
46.4299 9.78087
46.4439 9.71022
46.4719 9.57119
46.5279 9.30190
46.6399 8.79625
46.8639 7.90092
47.3119 6.47593
48.2080 4.57834
49.1040 3.40861
50.0000 2.63789
51.5585 1.80815
53.1171 1.32085
56.2341 0.802333
56.2341 0.802331
56.2342 0.802325
56.2342 0.802321
56.2343 0.802311
56.2345 0.802291
56.2348 0.802252
56.2355 0.802173
56.2370 0.802015
56.2398 0.801701
56.2455 0.801073
56.2568 0.799817
56.2795 0.797317
56.3248 0.792354
56.4155 0.782578
56.5969 0.763601
56.9596 0.727819
57.6852 0.663980
59.1362 0.561074
62.0383 0.421772
67.8426 0.280463
68.1292 0.276251
68.1292 0.276251
68.1293 0.276250
68.1293 0.276249
68.1294 0.276247
68.1297 0.276244
68.1301 0.276238
68.1310 0.276225
68.1327 0.276200
68.1363 0.276150
68.1433 0.276049
68.1574 0.275847
68.1855 0.275446
68.2418 0.274649
68.3544 0.273076
68.5796 0.270016
69.0299 0.264232
69.9306 0.253947
71.7320 0.238179
75.3348 0.226089
78.9376 0.256436
80.7390 0.318743
81.6397 0.386847
82.5404 0.520486
82.5404 0.520490
82.5405 0.520500
82.5405 0.520511
82.5406 0.520532
82.5408 0.520573
82.5412 0.520654
82.5420 0.520819
82.5435 0.521148
82.5466 0.521805
82.5527 0.523126
82.5650 0.525791
82.5896 0.531217
82.6387 0.542455
82.7370 0.566597
82.9335 0.622664
83.3266 0.778409
83.7197 1.03323
84.1128 1.49397
84.3093 1.87924
84.5059 2.46347
84.7024 3.41215
84.8989 5.10664
84.9972 6.50508
85.0955 8.59707
85.1938 11.9299
85.2920 17.7167
85.3412 22.3573
85.3903 29.1053
85.4394 39.4522
85.4886 56.4501
85.5131 69.3556
85.5377 87.1736
85.5623 112.678
85.5868 150.807
85.6114 211.015
85.6360 312.419
85.6483 389.949
85.6605 495.718
85.6728 641.494
85.6851 840.861
85.7076 1345.27
85.7300 1681.45
85.7525 1344.86
85.7749 840.373
85.7951 541.644
85.8153 364.498
85.8355 257.628
85.8557 190.134
85.8961 114.471
85.9366 75.9343
85.9770 53.8931
86.0174 40.1798
86.0982 24.7732
86.1790 16.7958
86.2598 12.1484
86.3407 9.20835
86.4215 7.23251
86.5831 4.82595
86.7448 3.47320
86.9064 2.63876
87.0681 2.08858
87.3913 1.43234
87.7146 1.07229
88.3612 0.715456
89.0078 0.556560
89.6543 0.478741
90.9475 0.430191
92.2406 0.461830
93.5338 0.588072
94.1803 0.738099
94.5036 0.872125
94.8269 1.09851
95.1502 1.54865
95.3118 1.97657
95.4735 2.73123
95.6351 4.27868
95.7159 5.76081
95.7968 8.35397
95.8776 13.5341
95.9180 18.3233
95.9584 26.3498
95.9988 41.3044
96.0190 54.1253
96.0392 73.9260
96.0594 106.650
96.0796 165.497
96.0897 213.526
96.0998 283.016
96.1099 385.753
96.1200 537.339
96.1350 859.328
96.1500 1073.72
96.1650 858.950
96.1800 537.167
96.1949 331.392
96.2098 215.979
96.2247 149.332
96.2397 108.548
96.2546 82.1346
96.2695 64.2092
96.2994 42.2707
96.3292 29.9415
96.3590 22.3667
96.4187 13.9560
96.4784 9.65202
96.5381 7.16677
96.6575 4.56791
96.7769 3.31901
96.8962 2.63493
97.1350 1.97612
97.6125 1.62293
98.0899 1.68595
98.5674 1.95983
99.0449 2.45304
99.5224 3.28388
99.7612 3.90786
99.9999 4.75604
100.000 4.75646
100.000 4.75688
100.000 4.75813
100.001 4.75896
100.001 4.76105
100.002 4.76522
100.004 4.77317
100.008 4.78955
100.016 4.82259
100.031 4.88934
100.062 5.02784
100.125 5.32452
100.249 6.00892
100.498 7.87820
