Ge-74(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
5013.00 1.12717
5026.00 1.23014
5047.05 0.978790
5068.10 0.609993
5082.66 0.433435
5097.22 0.315212
5111.78 0.236071
5126.34 0.181869
5155.47 0.115974
5184.59 0.0796828
5213.71 0.0578562
5242.83 0.0438020
5301.08 0.0274959
5359.32 0.0188000
5417.56 0.0136397
5475.81 0.0103354
5534.05 0.00809595
5650.54 0.00534665
5767.03 0.00379007
5883.51 0.00282571
6000.00 0.00218794
6000.00 0.135084
7200.00 0.121099
8000.00 0.113438
10000.0 0.0982672
12500.0 0.0845773
15000.0 0.0745264
17000.0 0.0682239
20000.0 0.0607626
25000.0 0.0518176
30000.0 0.0455745
35000.0 0.0409913
40000.0 0.0374928
50000.0 0.0325026
60000.0 0.0290914
70000.0 0.0266908
80000.0 0.0249273
90000.0 0.0234955
100000 0.0222953
125000 0.0199329
150000 0.0181856
170000 0.0173965
200000 0.0165510
250000 0.0152679
300000 0.0145059
350000 0.0144114
400000 0.0145688
460195 0.0145691
460195 0.0145691
500000 0.0145693
600000 0.0155743
603930 0.0156192
604000 0.0156200
604000 0.0155323
620047 0.0140960
700000 0.00693954
750402 0.00637717
800000 0.00582377
900000 0.00536845
931540 0.00530037
956678 0.00524611
956678 0.00524611
1.00000E+06 0.00515260
1.20000E+06 0.00511297
1.22063E+06 0.00504001
1.22063E+06 0.00504001
1.40000E+06 0.00440568
1.48377E+06 0.00419014
1.48378E+06 0.00419012
1.50303E+06 0.00414058
1.50303E+06 0.00414057
1.60000E+06 0.00389107
1.72026E+06 0.00371954
1.74844E+06 0.00367934
1.80000E+06 0.00360580
1.93910E+06 0.00350670
1.93910E+06 0.00350670
2.00000E+06 0.00346331
2.19454E+06 0.00350848
2.19454E+06 0.00350848
2.19485E+06 0.00350855
2.20000E+06 0.00350975
2.22789E+06 0.00347354
2.22789E+06 0.00347354
2.25820E+06 0.00343419
2.33138E+06 0.00333919
2.33139E+06 0.00333918
2.40000E+06 0.00325010
2.52398E+06 0.00316754
