Ca-44(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
27219.1 0.653819
27221.1 0.955056
27222.2 1.18647
27223.2 1.50390
27224.2 1.96149
27225.2 2.62780
27226.2 3.64235
27227.2 5.15662
27228.6 8.26184
27230.0 10.3120
27231.4 8.23748
27232.8 5.15562
27233.7 3.75431
27234.7 2.78698
27236.5 1.66030
27238.3 1.08097
27240.1 0.753477
27241.9 0.552939
27243.7 0.422108
27247.3 0.268271
27251.0 0.184935
27254.6 0.135165
27261.8 0.0811431
27269.1 0.0540240
27276.3 0.0385640
27283.6 0.0289062
27290.8 0.0224899
27305.3 0.0147472
27319.8 0.0104360
27334.3 0.00779234
27348.8 0.00605538
27377.7 0.00398745
27406.7 0.00285042
27435.7 0.00215918
27464.7 0.00170802
27522.6 0.00117414
27580.6 0.000882509
27696.5 0.000591249
27812.4 0.000455984
27928.3 0.000382464
28160.2 0.000309556
28623.8 0.000258512
29087.5 0.000242118
30942.1 0.000237163
34651.3 0.000284545
38360.6 0.000396509
40215.2 0.000500280
41142.5 0.000574116
41606.2 0.000618980
41838.0 0.000644169
41953.9 0.000658877
42011.9 0.000672187
42040.9 0.000701844
42055.4 0.000807242
42062.6 0.00121151
42066.2 0.00273924
42068.0 0.00821335
42068.9 0.0260654
42069.8 0.534738
42070.0 1.06904
42070.2 0.534736
42071.1 0.0234959
42072.1 0.00738130
42074.0 0.00249222
42077.9 0.00114689
42085.7 0.000793630
42101.1 0.000704620
42132.1 0.000685363
42194.1 0.000687155
42318.0 0.000701298
42565.8 0.000734026
43061.4 0.000808753
43309.2 0.000851147
43557.0 0.000897413
43804.8 0.000948028
44052.6 0.00100355
44300.4 0.00106463
44548.2 0.00113202
44796.1 0.00120662
45043.9 0.00128949
45539.5 0.00148531
46035.1 0.00173287
46530.7 0.00205190
47026.3 0.00247231
47521.9 0.00304106
48017.5 0.00383474
48513.2 0.00498405
49008.8 0.00672252
49504.4 0.00948665
50000.0 0.0141066
50267.0 0.0178461
50534.0 0.0228060
51067.0 0.0361922
51600.0 0.0446230
52133.0 0.0352353
52666.0 0.0218859
53026.0 0.0156611
53386.0 0.0114610
53745.9 0.00862808
54105.9 0.00667586
54825.9 0.00428724
55545.8 0.00296406
56265.8 0.00216576
56985.7 0.00165101
58425.6 0.00105390
59865.5 0.000736486
61305.4 0.000549381
64185.2 0.000351908
67065.0 0.000259198
69944.8 0.000214927
72824.6 0.000215651
73544.5 0.000238637
74264.5 0.000311419
74624.5 0.000414991
74804.5 0.000518733
