Hg-200(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
7800.00 321.728
7807.45 336.424
7814.90 316.015
7829.80 238.028
7841.52 185.419
7853.24 147.794
7864.97 121.441
7876.69 102.643
7900.13 78.4536
7923.58 64.0264
7947.02 54.6478
7970.46 48.1413
8017.35 39.8026
8064.24 34.7412
8111.13 31.3664
8158.01 28.9641
8204.90 27.1704
8298.68 24.6745
8392.45 23.0216
8486.23 21.8460
8580.00 20.9662
8580.00 18.4942
10000.0 17.7973
12812.5 17.0285
15625.0 16.4368
21250.0 15.5605
26875.0 14.9229
32500.0 14.4260
43750.0 13.6818
55000.0 13.1351
77500.0 12.3565
100000 11.8079
120000 11.1696
140000 10.6570
180000 9.87111
200000 9.55913
220000 9.28545
260000 8.82449
340000 8.13165
369756 7.92617
369800 7.92589
382350 7.84566
394900 7.76883
420000 7.62443
465000 7.29434
510000 7.00759
600000 6.52980
800000 5.81428
951978 5.53794
952020 5.53787
976010 5.49944
1.00000E+06 5.46220
1.03449E+06 5.44772
1.03449E+06 5.44772
1.06142E+06 5.43679
1.06250E+06 5.43636
1.08836E+06 5.42615
1.12500E+06 5.41213
1.14224E+06 5.40572
1.25000E+06 5.36785
1.26040E+06 5.37458
1.26043E+06 5.37461
1.29037E+06 5.39373
1.32032E+06 5.41249
1.38021E+06 5.44896
1.42368E+06 5.47461
1.48398E+06 5.50877
1.50000E+06 5.51806
1.52280E+06 5.54878
1.52284E+06 5.54883
1.52284E+06 5.54884
1.55898E+06 5.59697
1.57822E+06 5.62232
1.57822E+06 5.62232
1.58164E+06 5.62682
1.59512E+06 5.64445
1.60144E+06 5.65268
1.61249E+06 5.66704
1.61653E+06 5.67228
1.63913E+06 5.70141
1.64676E+06 5.71120
1.64968E+06 5.71494
1.65126E+06 5.71695
1.65143E+06 5.71717
1.66737E+06 5.73749
1.66740E+06 5.73753
1.68423E+06 5.75884
1.69347E+06 5.77047
1.70108E+06 5.78000
1.70894E+06 5.78981
1.71530E+06 5.79776
1.71531E+06 5.79778
1.72122E+06 5.80515
1.72697E+06 5.81230
1.72934E+06 5.81524
1.73726E+06 5.82505
1.73963E+06 5.82797
1.73963E+06 5.82798
1.74305E+06 5.83219
1.75000E+06 5.84071
1.75052E+06 5.84135
1.78456E+06 5.88352
1.80072E+06 5.90314
1.81956E+06 5.92559
1.82484E+06 5.93182
1.83368E+06 5.94215
1.83370E+06 5.94218
1.85511E+06 5.96882
1.85511E+06 5.96882
1.85765E+06 5.97197
1.86080E+06 5.97587
1.86084E+06 5.97592
1.86617E+06 5.98251
1.89240E+06 6.01441
1.97250E+06 6.10613
1.97250E+06 6.10613
1.98225E+06 6.11664
1.98426E+06 6.11879
2.00000E+06 6.13541
2.05944E+06 6.21291
2.07170E+06 6.22864
2.08476E+06 6.24532
2.08476E+06 6.24532
2.12496E+06 6.29601
2.12497E+06 6.29602
2.12718E+06 6.29878
2.13763E+06 6.31176
2.13773E+06 6.31189
2.13863E+06 6.31300
2.13863E+06 6.31300
2.14627E+06 6.32260
2.14627E+06 6.32260
2.15461E+06 6.33304
2.15462E+06 6.33305
2.16225E+06 6.34260
2.16225E+06 6.34260
2.16230E+06 6.34266
2.20054E+06 6.39018
2.20055E+06 6.39019
2.25000E+06 6.45566
2.50000E+06 6.74692
2.62320E+06 6.85223
2.75000E+06 6.95150
2.85130E+06 7.03717
3.00000E+06 7.15386
3.50000E+06 7.27305
3.75000E+06 7.33040
4.00000E+06 7.37790
4.50000E+06 7.21745
5.00000E+06 7.07181
5.50000E+06 6.75475
5.50222E+06 6.75344
5.57981E+06 6.70821
6.00000E+06 6.47774
6.50000E+06 6.14838
7.00000E+06 5.86417
7.73806E+06 5.49611
7.81565E+06 5.46069
8.00000E+06 5.37918
8.06919E+06 5.36375
8.22839E+06 5.32366
8.55189E+06 5.25153
9.03459E+06 5.16531
9.51730E+06 5.06697
1.00000E+07 4.99338
1.02500E+07 4.99199
1.05000E+07 4.99271
1.07500E+07 4.99544
1.10000E+07 5.00010
1.12500E+07 4.99887
1.15000E+07 4.99955
1.20000E+07 5.00624
1.25000E+07 5.06582
1.30000E+07 5.12582
1.35000E+07 5.18618
1.40000E+07 5.24686
1.43757E+07 5.30441
1.47514E+07 5.36181
1.47514E+07 5.36181
1.51653E+07 5.42294
1.53757E+07 5.45392
1.60000E+07 5.54547
1.70000E+07 5.62674
1.80000E+07 5.70604
1.85000E+07 5.71634
1.90000E+07 5.72675
2.00000E+07 5.72112
2.00000E+07 5.69060
2.02338E+07 5.68877
2.10000E+07 5.67421
2.14922E+07 5.65796
2.17904E+07 5.64551
2.20000E+07 5.63560
2.30000E+07 5.57813
2.32940E+07 5.55828
2.40000E+07 5.50530
2.50000E+07 5.42221
2.56510E+07 5.36312
2.60000E+07 5.32920
2.64644E+07 5.28298
2.70000E+07 5.22947
2.80000E+07 5.12690
2.80773E+07 5.11877
2.81691E+07 5.10914
2.90000E+07 5.02319
