Nd-150(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
460.671 0.509660
462.324 0.405147
463.977 0.334346
465.630 0.293742
466.456 0.289328
467.282 0.299362
468.109 0.327850
468.935 0.380017
469.348 0.417041
469.762 0.462709
470.588 0.584989
471.414 0.758968
472.241 1.00101
473.067 1.33367
473.894 1.78832
474.720 2.40958
475.546 3.26218
476.373 4.44240
477.199 6.09757
478.026 8.46092
478.852 11.9168
479.678 17.1305
480.505 25.3263
481.331 38.9383
482.158 63.3271
482.571 83.1550
482.984 112.074
483.397 156.171
483.810 227.361
484.224 351.202
484.637 589.175
484.843 795.095
485.050 1109.57
485.257 1605.38
485.463 2391.87
485.732 3932.79
486.000 5048.55
486.269 4146.34
486.537 2660.36
486.747 1848.95
486.958 1325.38
487.168 986.337
487.379 759.921
487.799 490.602
488.220 344.563
488.641 257.025
489.061 200.487
489.903 134.120
490.744 97.8931
491.586 75.8056
492.427 61.2470
493.269 51.0834
494.951 38.0654
496.634 30.2484
498.317 25.1219
500.000 21.5411
502.542 17.8368
505.083 15.3364
510.166 12.2087
515.249 10.3491
520.332 9.12297
525.415 8.25509
530.498 7.60817
540.664 6.70523
550.830 6.10010
560.996 5.66096
581.328 5.05085
601.660 4.62569
621.992 4.28566
632.158 4.12694
642.324 3.95945
647.407 3.86160
649.949 3.80376
652.490 3.73430
655.032 3.64279
656.302 3.58167
657.573 3.50210
658.209 3.45166
658.844 3.39089
659.479 3.31629
660.115 3.22408
660.432 3.17126
660.750 3.11659
661.068 3.06880
661.385 3.05682
661.544 3.09015
661.703 3.18645
661.862 3.41654
662.021 3.95654
662.100 4.47649
662.180 5.32879
662.259 6.80188
662.339 9.54712
662.378 11.8450
662.398 13.3839
662.418 15.2731
662.438 17.6455
662.458 20.6367
662.478 24.5094
662.497 29.5674
662.517 36.3895
662.537 45.7369
662.557 59.0783
662.577 78.6244
662.597 108.820
662.616 157.284
662.636 239.723
662.656 381.354
662.678 628.416
662.700 808.696
662.711 772.885
662.722 667.074
662.744 431.147
662.770 253.906
662.796 162.349
662.822 112.373
662.848 82.8260
662.874 64.0167
662.900 51.4289
662.951 36.0791
663.003 27.3904
663.055 21.9891
663.159 15.8273
663.262 12.5360
663.366 10.5452
663.470 9.23494
663.573 8.31885
663.781 7.13626
663.988 6.41725
664.196 5.93920
664.403 5.60071
664.818 5.15556
665.232 4.87749
665.647 4.68758
666.062 4.54951
666.891 4.36135
667.721 4.23784
668.550 4.14927
669.380 4.08167
671.039 3.98270
672.698 3.91087
676.015 3.80606
682.651 3.65701
689.287 3.53384
702.558 3.29561
715.830 3.02284
722.465 2.85741
729.101 2.65940
735.737 2.41174
742.372 2.08552
745.690 1.87834
749.008 1.63038
752.326 1.33175
755.644 0.980445
757.303 0.796046
758.962 0.632374
760.621 0.554768
761.035 0.565860
761.450 0.597755
761.865 0.657438
762.279 0.754442
762.694 0.901995
763.109 1.11856
763.524 1.43065
763.938 1.87696
764.353 2.51550
764.768 3.43488
765.183 4.77656
765.597 6.77423
766.012 9.83437
766.427 14.7031
766.841 22.8678
767.256 37.5969
767.464 49.6092
767.671 67.1401
767.878 93.8481
768.086 136.801
768.293 211.046
768.500 351.827
768.604 471.948
768.708 652.717
768.811 932.325
768.915 1365.96
769.058 2259.59
769.200 2918.58
769.343 2411.58
769.485 1556.22
769.575 1162.93
769.665 885.233
769.844 551.001
770.024 373.878
770.204 271.152
770.384 206.782
770.563 163.880
770.923 111.993
771.282 82.8537
771.641 64.7607
772.360 44.1812
773.079 33.1863
773.798 26.5275
774.516 22.1358
775.235 19.0562
776.672 15.0720
778.110 12.6394
779.547 11.0158
780.985 9.86192
783.860 8.33893
786.735 7.38296
789.610 6.72779
792.485 6.25021
798.234 5.59757
803.984 5.16806
809.734 4.85955
815.484 4.62368
826.984 4.27732
838.483 4.02382
861.483 3.64351
884.482 3.32955
907.482 3.02241
930.481 2.67971
941.981 2.48014
944.856 2.42650
947.731 2.37248
949.168 2.34705
950.606 2.32802
951.324 2.32793
952.043 2.35525
952.402 2.40650
952.582 2.46126
952.762 2.56380
952.941 2.78498
953.031 3.00418
953.121 3.39787
953.166 3.72492
953.211 4.21470
953.256 4.99736
953.301 6.36124
953.346 9.05861
953.368 11.5280
953.391 15.5881
953.413 23.0165
953.424 29.2059
953.436 38.5283
953.447 53.5561
953.458 79.0617
953.469 126.164
953.480 218.452
953.490 347.576
953.500 434.597
953.510 347.604
953.520 218.377
953.531 125.624
953.542 78.4896
953.554 52.9039
953.565 38.1371
953.576 28.8240
953.588 22.7135
953.610 15.3858
953.633 11.3697
953.656 8.94098
953.701 6.28303
953.747 4.93958
953.792 4.16830
953.837 3.68509
953.883 3.36244
953.974 2.97154
954.064 2.75238
954.246 2.52720
954.427 2.41842
954.609 2.35667
954.972 2.29046
955.698 2.23198
956.425 2.20049
957.877 2.15600
959.330 2.11765
965.140 1.96663
976.760 1.61746
988.380 1.17262
994.190 0.905804
1000.00 0.613799
1003.92 0.416420
1007.85 0.251357
1009.81 0.202425
1010.79 0.193503
1011.77 0.199391
1012.75 0.224750
1013.73 0.275775
1014.72 0.360775
1015.70 0.490876
1016.68 0.681856
1017.66 0.955306
1018.64 1.34209
1019.62 1.88698
1020.60 2.65651
1021.58 3.75228
1022.56 5.33443
1023.54 7.66539
1024.52 11.1956
1025.51 16.7439
1026.49 25.9103
1027.47 42.1289
1027.96 55.1320
1028.45 73.7580
1028.94 101.595
1029.43 145.051
1029.92 217.379
1030.41 346.580
1030.90 598.708
1031.15 813.117
1031.39 1122.27
1031.80 1864.94
1032.20 2419.49
1032.61 2009.53
1033.01 1303.68
1033.47 785.796
1033.93 509.178
1034.39 354.695
1034.85 261.875
1035.31 202.158
1035.77 161.745
1036.68 111.973
1037.60 83.5125
1038.52 65.6543
1040.36 45.1003
1042.20 34.0034
1044.03 27.2337
1045.87 22.7454
1047.71 19.5850
1051.38 15.4776
1055.05 12.9565
1058.73 11.2666
1062.40 10.0609
1069.75 8.46173
1077.10 7.45091
1084.45 6.75319
1091.79 6.24062
1106.49 5.53119
1121.19 5.05432
1135.88 4.70322
1139.56 4.62891
1143.23 4.55997
1145.07 4.52875
1146.90 4.50382
1147.82 4.49919
1148.74 4.51627
1149.20 4.55429
1149.43 4.59624
1149.66 4.67546
1149.89 4.84854
1150.00 5.02107
1150.12 5.32931
1150.18 5.59010
1150.23 5.97602
1150.29 6.60708
1150.35 7.69517
1150.38 8.59132
1150.41 9.91217
1150.44 11.9731
1150.46 15.2874
1150.49 21.6387
1150.51 26.8599
1150.52 34.7940
1150.54 48.8074
1150.55 72.1341
1150.56 117.027
1150.57 155.040
1150.58 218.444
1150.59 347.272
1150.60 432.050
1150.61 347.304
1150.62 218.485
1150.63 137.043
1150.64 90.7350
1150.66 63.9931
1150.67 47.6319
1150.68 37.0440
1150.69 29.8541
1150.71 21.0560
1150.73 16.1132
1150.75 13.0747
1150.80 9.69862
1150.84 7.96831
1150.89 6.96627
1150.93 6.33483
1150.97 5.91148
1151.06 5.39671
1151.15 5.10732
1151.33 4.80984
1151.50 4.66696
1151.68 4.58674
1152.03 4.50288
1152.73 4.43449
1153.44 4.40276
1154.84 4.36519
1156.25 4.33736
1161.88 4.24489
1173.14 4.08206
1195.65 3.79441
1218.16 3.52954
1240.67 3.26114
1263.19 2.95553
1274.44 2.76966
1285.70 2.53986
1296.96 2.22767
1302.58 2.01539
1308.21 1.73736
1311.03 1.56153
1313.84 1.35142
1316.65 1.09802
1319.47 0.797010
1320.87 0.635384
1322.28 0.484839
1323.69 0.392535
1324.39 0.404430
1324.74 0.437967
1325.10 0.498435
1325.45 0.595897
1325.80 0.743909
1326.15 0.962040
1326.50 1.27777
1326.85 1.73542
1327.21 2.39960
1327.56 3.37396
1327.91 4.82416
1328.26 7.05232
1328.61 10.5937
1328.97 16.5086
1329.32 27.0540
1329.49 35.5901
1329.67 47.9290
1329.84 66.4826
1330.02 95.7963
1330.20 145.114
1330.37 234.962
1330.46 308.505
1330.55 414.916
1330.64 571.681
1330.72 798.947
1330.86 1330.56
1331.00 1725.08
1331.14 1432.94
1331.28 929.023
1331.41 603.944
1331.54 412.440
1331.68 297.399
1331.81 224.663
1331.94 176.245
1332.08 142.531
1332.34 100.063
1332.61 75.1089
1332.87 59.2038
1333.40 40.7122
1333.94 30.6120
1334.47 24.4346
1335.00 20.3235
1335.53 17.4330
1336.59 13.6751
1337.66 11.3738
1338.72 9.83572
1339.78 8.74174
1341.91 7.29699
1344.03 6.38908
1346.16 5.76572
1348.29 5.31000
1352.54 4.68328
1356.79 4.26539
1365.29 3.72036
1373.80 3.35296
1382.30 3.06233
1399.31 2.55615
1416.32 2.01473
1424.82 1.68490
1433.33 1.28256
1437.58 1.04482
1441.83 0.780361
1446.08 0.498619
1450.33 0.248864
1451.40 0.208482
1452.46 0.187354
1453.52 0.195250
1454.59 0.246923
1455.12 0.295904
1455.65 0.365116
1456.18 0.459773
1456.71 0.585819
1457.24 0.751854
1457.77 0.967786
1458.84 1.61071
1459.90 2.69195
1460.96 4.54662
1462.03 7.85845
1462.56 10.4839
1463.09 14.1730
1463.62 19.5209
1464.15 27.5157
1464.68 40.0544
1465.22 60.8018
1465.75 98.0025
1466.01 128.169
1466.28 171.702
1466.54 237.346
1466.81 339.528
1467.08 505.728
1467.34 776.921
1467.67 1298.66
1468.00 1694.15
1468.33 1413.20
1468.66 920.304
1468.90 664.652
1469.14 492.203
1469.37 376.173
1469.61 296.234
1470.09 197.990
1470.56 142.862
1471.04 108.998
1471.52 86.6967
1472.47 59.9809
1473.42 45.0318
1474.37 35.7438
1475.32 29.5245
1476.27 25.1262
1478.18 19.3885
1480.08 15.8714
1481.99 13.5210
1483.89 11.8529
1487.70 9.65624
1491.50 8.28260
1495.31 7.34416
1499.12 6.66163
1506.73 5.72925
1514.34 5.11366
1529.57 4.32288
1544.80 3.80228
1560.03 3.40127
1590.48 2.73236
1620.94 2.06220
1636.16 1.67615
1651.39 1.22647
1666.62 0.694929
1674.23 0.409686
1681.85 0.162736
1683.75 0.122385
1685.65 0.0997409
1687.56 0.103173
1688.51 0.118372
1689.46 0.145200
1690.41 0.186328
1691.36 0.245004
1692.32 0.325350
1693.27 0.432473
1695.17 0.756431
1697.07 1.29844
1698.98 2.20411
1700.88 3.74516
1702.78 6.47871
1703.74 8.63391
1704.69 11.6568
1705.64 16.0270
1706.59 22.5690
1707.54 32.8210
1708.49 49.8580
1709.45 80.6159
1709.92 105.788
1710.40 142.548
1710.87 198.673
1711.35 288.165
1711.83 437.192
1712.30 688.867
1712.85 1144.04
1713.40 1482.00
1713.95 1225.31
1714.50 790.552
1714.93 550.449
1715.37 395.483
1715.80 295.097
1716.24 228.100
1717.10 148.066
1717.97 104.551
1718.84 78.3224
1719.71 61.3123
1721.44 41.1748
1723.18 30.0471
1724.91 23.1645
1728.38 15.2693
1731.85 10.9164
1735.32 8.13148
1742.26 4.59310
1749.20 2.16582
1752.67 1.17715
1754.41 0.764320
1756.14 0.453586
1757.01 0.360211
1757.88 0.329603
1758.31 0.345270
1758.74 0.386896
1759.18 0.459537
1759.61 0.569089
1760.04 0.723668
1760.48 0.932517
1760.91 1.20742
1761.35 1.56224
1762.21 2.59585
1763.08 4.25345
1763.95 6.91893
1764.82 11.2670
1765.68 18.6108
1766.55 31.6255
1766.98 41.9495
1767.42 56.5278
1767.85 77.7106
1768.29 109.474
1768.72 159.306
1769.15 241.022
1769.59 381.246
1770.02 625.817
1770.51 1072.58
1771.00 1433.44
1771.50 1223.73
1771.99 813.491
1772.34 599.189
1772.69 452.346
1773.04 351.643
1773.39 281.487
1774.09 193.644
1774.79 143.344
1775.50 111.907
1776.20 90.8875
1777.60 65.2004
1779.00 50.4964
1780.40 41.1632
1783.21 30.1991
1786.01 24.0733
1788.81 20.2016
1791.62 17.5436
1794.42 15.6072
1800.03 12.9688
1805.64 11.2410
1816.85 9.05741
1828.07 7.62907
1833.68 7.02392
1839.28 6.41915
1844.89 5.73281
1847.70 5.31045
1850.50 4.78041
1851.90 4.44976
1853.30 4.05245
1854.71 3.56104
1856.11 2.93702
1856.81 2.56241
1857.51 2.14561
1858.21 1.70835
1858.91 1.34582
1859.26 1.28590
1859.61 1.44404
1859.79 1.67876
1859.96 2.08675
1860.14 2.76274
1860.31 3.86154
1860.40 4.65120
1860.49 5.66265
1860.67 8.63219
1860.84 13.7166
1860.93 17.6228
1861.02 22.8887
1861.10 30.3048
1861.19 40.7692
1861.28 56.3475
1861.37 79.8579
1861.45 117.828
1861.54 180.921
1861.63 294.136
1861.72 498.063
1861.81 857.892
1861.90 1146.42
1861.99 979.410
1862.09 654.914
1862.15 478.426
1862.22 360.065
1862.29 278.633
1862.36 222.992
1862.49 153.370
1862.62 114.032
1862.76 89.3490
1862.89 72.9110
1863.16 52.9572
1863.43 41.5302
1863.70 34.3247
1863.97 29.4151
1864.24 25.8852
1864.78 21.1867
1865.32 18.2372
1865.86 16.2276
1866.40 14.7782
1867.47 12.8260
1868.55 11.5769
1869.63 10.7066
1870.71 10.0647
1872.86 9.17409
1875.02 8.57892
1877.17 8.14711
1879.33 7.81526
1883.64 7.32891
1887.95 6.97973
1896.56 6.48960
1905.18 6.14363
1913.80 5.87509
1931.04 5.46709
1965.52 4.90674
2000.00 4.50812
2081.63 3.82582
2163.26 3.27311
2204.08 2.99682
2244.90 2.68943
2265.30 2.50479
2275.51 2.39525
2285.71 2.26416
2295.92 2.09261
2301.02 1.97834
2306.12 1.82871
2308.67 1.73264
2311.22 1.61471
2313.77 1.46489
2316.32 1.26669
2317.60 1.14166
2318.87 0.994298
2320.15 0.821974
2321.43 0.633073
2322.06 0.546181
2322.70 0.489646
2323.34 0.518956
2323.66 0.605481
2323.98 0.784631
2324.30 1.12682
2324.61 1.76583
2324.77 2.27614
2324.93 2.98213
2325.09 3.97906
2325.25 5.41579
2325.41 7.55839
2325.57 10.8249
2325.73 16.1046
2325.89 25.0573
2326.05 41.7703
2326.13 55.7798
2326.21 76.3802
2326.29 108.832
2326.37 161.180
2326.45 252.204
2326.53 409.919
2326.61 687.076
2326.70 898.989
2326.79 752.227
2326.87 491.372
2326.97 303.958
2327.06 200.788
2327.16 141.973
2327.25 106.404
2327.35 83.0112
2327.44 67.0079
2327.63 47.1983
2327.82 35.6939
2328.01 28.4438
2328.39 19.9984
2328.77 15.3905
2329.15 12.5558
2329.53 10.6634
2329.91 9.32606
2330.66 7.57046
2331.42 6.48543
2332.18 5.75235
