U-238(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
24.3901 12.2015
24.5659 11.9438
24.9177 11.4962
25.6212 10.7821
26.3246 10.2164
26.6764 9.96841
26.8522 9.85277
26.9402 9.80379
26.9841 9.80140
27.0061 9.84739
27.0171 9.93557
27.0226 10.0322
27.0281 10.2027
27.0396 10.6638
27.0511 10.1881
27.0605 9.93168
27.0699 9.82584
27.0886 9.74446
27.1261 9.68792
27.2012 9.62889
27.3512 9.53177
27.6513 9.34784
28.2514 8.99317
29.4518 8.29200
30.6521 7.53924
31.8525 6.66487
32.4526 6.16311
33.0528 5.61930
33.6530 5.06870
34.2531 4.66230
34.5532 4.66363
34.8533 5.03009
35.0034 5.47580
35.1534 6.22503
35.1909 6.47820
35.2284 6.76446
35.2659 7.08804
35.3034 7.45382
35.3409 7.86745
35.3597 8.09427
35.3785 8.33546
35.3972 8.59226
35.4160 8.86546
35.4535 9.46633
35.4910 10.1487
35.5285 10.9244
35.6035 12.8175
35.6785 15.2989
35.7536 18.5906
35.8286 23.0231
35.9036 29.1032
35.9786 37.6371
36.0536 49.9638
36.1287 68.4295
36.2037 97.4277
36.2787 145.926
36.3537 234.470
36.3912 308.188
36.4287 418.531
36.4663 593.171
36.5038 891.010
36.5413 1455.04
36.5600 1943.72
36.5788 2703.45
36.5975 3966.27
36.6163 6246.76
36.6257 8110.29
36.6351 10810.2
36.6444 14802.0
36.6538 20686.5
36.6680 33529.5
36.6821 42465.3
36.6963 34394.7
36.7104 21751.2
36.7233 14109.6
36.7361 9566.05
36.7490 6818.22
36.7619 5077.89
36.7876 3115.63
36.8133 2108.02
36.8391 1526.10
36.8648 1160.69
36.9163 744.384
36.9677 524.460
37.0192 393.781
37.0707 309.464
37.1221 251.706
37.2251 179.426
37.3280 137.247
37.4309 110.263
37.5339 91.8243
37.7397 68.7068
37.9456 55.1053
38.1514 46.3026
38.3573 40.2095
38.5632 35.7754
38.7690 32.4222
39.1808 27.7166
39.5925 24.5934
40.0042 22.3796
40.4159 20.7322
40.8276 19.4598
41.6511 17.6221
42.4745 16.3556
42.8863 15.8585
43.0921 15.6381
43.1950 15.5436
43.2465 15.5281
43.2722 15.5920
43.2851 15.7345
43.2915 15.9064
43.2980 16.2403
43.3037 16.7243
43.3095 17.0451
43.3152 16.7132
43.3210 16.2180
43.3282 15.8425
43.3354 15.6564
43.3498 15.4967
43.3786 15.3901
43.4363 15.3047
43.5516 15.1884
43.7822 14.9829
44.2435 14.6145
44.7047 14.2905
44.9353 14.1490
45.0506 14.1066
45.0795 14.1160
45.1083 14.1648
45.1227 14.2328
45.1371 14.3884
45.1443 14.5458
45.1515 14.8254
45.1587 15.3690
45.1659 16.4900
45.1717 17.9831
45.1774 18.9775
45.1832 17.9767
45.1889 16.4769
45.1956 15.4088
45.2022 14.8586
45.2089 14.5599
45.2155 14.3839
45.2288 14.1970
45.2421 14.1039
45.2686 14.0132
45.2952 13.9667
45.4014 13.8715
45.6139 13.7435
46.0389 13.5191
46.4638 13.3145
46.6763 13.2193
46.7825 13.1774
46.8357 13.1699
46.8622 13.1976
46.8755 13.2612
46.8821 13.3395
46.8888 13.4945
46.9003 13.8598
46.9118 13.4846
46.9171 13.3480
46.9224 13.2672
46.9330 13.1864
46.9543 13.1282
46.9968 13.0884
47.0819 13.0453
47.2521 12.9731
47.5924 12.8377
48.2730 12.5868
48.9537 12.3573
49.2940 12.2509
49.4642 12.2059
49.5492 12.2067
49.5705 12.2240
49.5918 12.2730
49.6024 12.3299
49.6131 12.4455
49.6184 12.5510
49.6237 12.7203
49.6290 13.0054
49.6343 13.4929
49.6401 14.3011
49.6458 14.8394
49.6516 14.2979
49.6573 13.4863
49.6627 12.9920
49.6680 12.7039
49.6734 12.5316
49.6787 12.4235
49.6895 12.3019
49.7002 12.2391
49.7216 12.1777
49.7430 12.1477
49.8287 12.0954
50.0000 12.0370
50.5079 11.8886
51.0157 11.7478
52.0314 11.4787
54.0629 10.9661
56.0943 10.4448
57.1100 10.1627
57.6179 10.0125
57.8718 9.93563
57.9988 9.90114
58.0622 9.89895
58.0940 9.93703
58.1098 10.0260
58.1178 10.1460
58.1257 10.4131
58.1315 10.7474
58.1372 10.9697
58.1430 10.7438
58.1487 10.4057
58.1540 10.2030
58.1592 10.0828
58.1697 9.96364
58.1906 9.88144
58.2325 9.83417
58.3163 9.79509
58.4839 9.73562
58.8191 9.61844
59.4895 9.36659
60.8303 8.75570
61.5007 8.37053
62.1711 7.90601
62.8415 7.33563
63.1767 7.01246
