31-Ga_n-g
>  31-Ga-69:0.601080
>  31-Ga-71:0.398920
1.750000e+02 1.05040892e-01
1.777460e+02 1.08485029e-01
2.000000e+02 1.39935693e-01
2.104480e+02 1.68931978e-01
2.208950e+02 2.12861869e-01
2.313430e+02 2.83543699e-01
2.334040e+02 3.04316396e-01
2.365660e+02 3.36400275e-01
2.417900e+02 4.08366386e-01
2.470140e+02 5.09695003e-01
2.501050e+02 5.98072144e-01
2.522380e+02 6.59206763e-01
2.574610e+02 8.93289077e-01
2.626850e+02 1.29019468e+00
2.652970e+02 1.60165553e+00
2.668070e+02 1.85847426e+00
2.679090e+02 2.04607114e+00
2.705210e+02 2.71070046e+00
2.731330e+02 3.76626740e+00
2.757440e+02 5.58286971e+00
2.783560e+02 9.06770786e+00
2.796620e+02 1.21047819e+01
2.809680e+02 1.67987303e+01
2.822740e+02 2.43382947e+01
2.835090e+02 3.59051769e+01
2.835800e+02 3.65701753e+01
2.851400e+02 5.82896904e+01
2.867000e+02 7.23692094e+01
2.882600e+02 5.74915245e+01
2.898200e+02 3.58036768e+01
2.911320e+02 2.36976352e+01
2.918600e+02 1.95837337e+01
2.924440e+02 1.62838370e+01
2.937550e+02 1.16881009e+01
2.950670e+02 8.72502574e+00
2.976900e+02 5.33999477e+00
3.002110e+02 3.65590082e+00
3.003140e+02 3.58716538e+00
3.029370e+02 2.57792603e+00
3.043860e+02 2.23052674e+00
3.055610e+02 1.94987730e+00
3.085610e+02 1.55067446e+00
3.108080e+02 1.25543802e+00
3.127370e+02 1.12967158e+00
3.160540e+02 9.25089889e-01
3.169120e+02 8.98100678e-01
3.190000e+02 8.43589623e-01
3.210880e+02 8.03603666e-01
3.213010e+02 8.02276733e-01
3.231760e+02 8.20656111e-01
3.252630e+02 8.97481009e-01
3.263070e+02 9.78447637e-01
3.265480e+02 1.00981792e+00
3.273510e+02 1.12219083e+00
3.283950e+02 1.36945978e+00
3.294390e+02 1.82525540e+00
3.299610e+02 2.20859250e+00
3.304830e+02 2.78923411e+00
3.310040e+02 3.72666019e+00
3.315260e+02 5.38041593e+00
3.317870e+02 6.72590262e+00
3.317950e+02 6.78668620e+00
3.320480e+02 8.71154959e+00
3.323090e+02 1.18078336e+01
3.325700e+02 1.70165532e+01
3.327010e+02 2.10658476e+01
3.328310e+02 2.67813390e+01
3.329620e+02 3.52005451e+01
3.330920e+02 4.82763813e+01
3.332230e+02 7.00732239e+01
3.333530e+02 1.09790969e+02
3.334180e+02 1.42620547e+02
3.334840e+02 1.90666462e+02
3.335490e+02 2.62756783e+02
3.336140e+02 3.70908297e+02
3.337070e+02 5.93477703e+02
3.338000e+02 7.41885257e+02
3.338930e+02 5.93197000e+02
3.339860e+02 3.70611367e+02
3.340540e+02 2.59151080e+02
3.341210e+02 1.86132868e+02
3.341890e+02 1.38070293e+02
3.342570e+02 1.05683883e+02
3.343920e+02 6.68759202e+01
3.345270e+02 4.58284286e+01
3.346620e+02 3.32772029e+01
3.347980e+02 2.52507840e+01
3.350680e+02 1.59836049e+01
3.353390e+02 1.10623511e+01
3.356090e+02 8.14732532e+00
3.358800e+02 6.28172787e+00
