Y-91(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
6.53125E+06 4.16432
6.56250E+06 4.17153
6.59375E+06 4.17872
6.62500E+06 4.18588
6.65625E+06 4.19302
6.68750E+06 4.20015
6.71875E+06 4.20725
6.75000E+06 4.21433
6.78125E+06 4.22140
6.81250E+06 4.22844
6.84375E+06 4.23546
6.87500E+06 4.24246
6.90625E+06 4.24944
6.93750E+06 4.25640
6.96875E+06 4.26335
7.00000E+06 4.27027
7.02472E+06 4.27397
7.04944E+06 4.27767
7.07416E+06 4.28135
7.09888E+06 4.28503
7.12060E+06 4.28826
7.14232E+06 4.29146
7.16404E+06 4.29468
7.18576E+06 4.29788
7.20748E+06 4.30107
7.22920E+06 4.30425
7.25092E+06 4.30743
7.27265E+06 4.31061
7.29437E+06 4.31376
7.31609E+06 4.31693
7.33781E+06 4.32007
7.35953E+06 4.32322
7.38125E+06 4.32636
7.40297E+06 4.32948
7.42469E+06 4.33261
7.44642E+06 4.33572
7.46814E+06 4.33884
7.48331E+06 4.34101
7.48986E+06 4.34194
7.51158E+06 4.34503
7.53330E+06 4.34812
7.55502E+06 4.35120
7.57674E+06 4.35427
7.59846E+06 4.35734
7.62019E+06 4.36040
7.64191E+06 4.36346
7.66363E+06 4.36651
7.68535E+06 4.36955
7.70708E+06 4.37259
7.72880E+06 4.37562
7.75052E+06 4.37864
7.77224E+06 4.38165
7.79397E+06 4.38467
7.81972E+06 4.38823
7.84547E+06 4.39178
7.87122E+06 4.39533
7.89698E+06 4.39885
7.92273E+06 4.40239
7.94849E+06 4.40590
7.97424E+06 4.40941
8.00000E+06 4.41291
8.03306E+06 4.41506
8.05881E+06 4.41605
8.08456E+06 4.41708
8.11031E+06 4.41815
8.13607E+06 4.41926
8.16182E+06 4.42040
8.18757E+06 4.42158
8.21332E+06 4.42279
8.23907E+06 4.42404
8.26985E+06 4.42555
8.30062E+06 4.42711
8.33140E+06 4.42872
8.36218E+06 4.43038
8.39295E+06 4.43209
8.42373E+06 4.43385
8.45450E+06 4.43566
8.48528E+06 4.43752
8.51698E+06 4.43945
8.54867E+06 4.44142
8.58037E+06 4.44345
8.61207E+06 4.44553
8.64376E+06 4.44765
8.67546E+06 4.44983
8.70715E+06 4.45205
8.73885E+06 4.45433
8.77149E+06 4.45668
8.80414E+06 4.45909
8.83678E+06 4.46154
8.86943E+06 4.46405
8.90207E+06 4.46661
8.93471E+06 4.46921
8.96736E+06 4.47187
9.00000E+06 4.47457
9.03043E+06 4.47420
9.06085E+06 4.47386
9.09128E+06 4.47357
9.12171E+06 4.47332
9.15214E+06 4.47311
9.18256E+06 4.47293
9.21299E+06 4.47280
9.24342E+06 4.47270
9.27384E+06 4.47264
9.30427E+06 4.47262
9.33470E+06 4.47264
9.36512E+06 4.47270
9.39555E+06 4.47279
9.42598E+06 4.47292
9.45640E+06 4.47309
9.48683E+06 4.47330
9.51890E+06 4.47352
9.55098E+06 4.47379
9.58305E+06 4.47409
9.61512E+06 4.47443
9.64720E+06 4.47482
9.67927E+06 4.47524
9.71134E+06 4.47570
9.74342E+06 4.47621
9.77549E+06 4.47675
9.80756E+06 4.47733
9.83964E+06 4.47795
9.87171E+06 4.47860
9.90378E+06 4.47930
9.93585E+06 4.48003
9.96793E+06 4.48080
1.00000E+07 4.48161
1.01220E+07 4.47651
1.02441E+07 4.47181
1.03661E+07 4.46751
1.04881E+07 4.46360
1.06161E+07 4.45973
1.07441E+07 4.45628
1.08720E+07 4.45324
1.10000E+07 4.45060
1.11540E+07 4.44565
1.13079E+07 4.44106
1.14619E+07 4.43683
1.16158E+07 4.43297
1.18079E+07 4.42750
1.20000E+07 4.42248
1.21250E+07 4.41601
1.22500E+07 4.40979
1.23750E+07 4.40383
1.25000E+07 4.39813
1.26250E+07 4.39268
1.27500E+07 4.38749
1.28750E+07 4.38255
1.30000E+07 4.37788
1.31764E+07 4.37024
1.33527E+07 4.36306
1.34381E+07 4.35954
1.35380E+07 4.35545
1.37690E+07 4.34583
1.40000E+07 4.33698
1.42500E+07 4.31599
1.45000E+07 4.29612
1.45147E+07 4.29492
1.45294E+07 4.29372
1.45441E+07 4.29252
1.45588E+07 4.29133
1.45736E+07 4.29014
1.45883E+07 4.28896
1.46030E+07 4.28777
1.46177E+07 4.28659
1.46324E+07 4.28542
1.46471E+07 4.28424
1.46618E+07 4.28307
1.46765E+07 4.28191
1.46912E+07 4.28074
1.47059E+07 4.27958
1.47207E+07 4.27843
1.47354E+07 4.27727
1.47501E+07 4.27612
1.47648E+07 4.27497
1.47795E+07 4.27383
1.47942E+07 4.27269
1.48089E+07 4.27155
1.48236E+07 4.27042
1.48383E+07 4.26928
1.48530E+07 4.26816
1.48677E+07 4.26703
1.48825E+07 4.26591
1.48972E+07 4.26479
1.49119E+07 4.26368
1.49266E+07 4.26257
1.49413E+07 4.26146
1.49560E+07 4.26035
1.49707E+07 4.25925
1.49854E+07 4.25813
1.50000E+07 4.25701
1.50313E+07 4.25267
1.50625E+07 4.24834
1.50938E+07 4.24404
1.51250E+07 4.23976
1.51563E+07 4.23549
1.51875E+07 4.23124
1.52188E+07 4.22702
1.52500E+07 4.22281
1.52813E+07 4.21862
1.53125E+07 4.21445
1.53438E+07 4.21030
1.53750E+07 4.20617
1.54063E+07 4.20206
1.54375E+07 4.19797
1.54688E+07 4.19389
1.55000E+07 4.18984
1.55313E+07 4.18581
1.55625E+07 4.18179
1.55938E+07 4.17780
1.56250E+07 4.17382
1.56563E+07 4.16986
1.56875E+07 4.16593
1.57188E+07 4.16201
1.57500E+07 4.15811
1.57813E+07 4.15424
1.58125E+07 4.15038
1.58438E+07 4.14654
1.58750E+07 4.14272
1.59063E+07 4.13893
1.59375E+07 4.13515
1.59688E+07 4.13139
1.60000E+07 4.12765
1.60625E+07 4.11529
1.61250E+07 4.10302
1.61875E+07 4.09085
1.62500E+07 4.07877
1.63125E+07 4.06678
1.63750E+07 4.05488
1.64375E+07 4.04307
1.65000E+07 4.03136
1.65625E+07 4.01974
1.66250E+07 4.00821
1.66875E+07 3.99678
1.67500E+07 3.98543
1.68125E+07 3.97417
1.68750E+07 3.96301
1.69375E+07 3.95194
1.70000E+07 3.94096
1.71250E+07 3.91891
1.72500E+07 3.89715
1.73750E+07 3.87568
1.75000E+07 3.85450
1.76250E+07 3.83360
1.77500E+07 3.81299
1.78750E+07 3.79268
1.80000E+07 3.77268
1.82500E+07 3.72618
1.85000E+07 3.68109
1.87500E+07 3.63741
1.90000E+07 3.59519
1.95000E+07 3.51231
2.00000E+07 3.43453
