Gd-157(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 9.68503E+06
1.26000E-05 8.62835E+06
1.58000E-05 7.70549E+06
2.00000E-05 6.84913E+06
2.51000E-05 6.11422E+06
3.16000E-05 5.44967E+06
3.98000E-05 4.85645E+06
5.00000E-05 4.33347E+06
5.01000E-05 4.32915E+06
5.05063E-05 4.31172E+06
5.09125E-05 4.29451E+06
5.17250E-05 4.26070E+06
5.33500E-05 4.19540E+06
5.66000E-05 4.07335E+06
6.31000E-05 3.85820E+06
7.94000E-05 3.44023E+06
0.000100000 3.06638E+06
0.000126000 2.73278E+06
0.000158000 2.44155E+06
0.000200000 2.17144E+06
0.000251000 1.93981E+06
0.000316000 1.73052E+06
0.000398000 1.54390E+06
0.000500000 1.37960E+06
0.000501000 1.37824E+06
0.000505063 1.37277E+06
0.000509125 1.36737E+06
0.000517250 1.35676E+06
0.000533500 1.33627E+06
0.000566000 1.29798E+06
0.000631000 1.23054E+06
0.000794000 1.09973E+06
0.00100000 983046
0.00126000 879279
0.00158000 789077
0.00200000 705872
0.00251000 635004
0.00316000 571517
0.00398000 515507
0.00500000 466841
0.00501000 466442
0.00505063 464835
0.00509125 463249
0.00517250 460135
0.00533500 454133
0.00566000 442956
0.00631000 423394
0.00794000 385980
0.0100000 353274
0.0125900 324787
0.0158500 299632
0.0199500 276654
0.0200000 276411
0.0201600 275634
0.0203200 274865
0.0206400 273344
0.0212800 270375
0.0225600 264681
0.0251200 254037
0.0253000 253317
0.0256813 251802
0.0260625 250299
0.0268250 247327
0.0283500 241491
0.0314000 230098
0.0316200 229286
0.0321319 227398
0.0326438 225513
0.0336675 221752
0.0357150 214250
0.0398100 199270
0.0500000 162567
0.0501200 162147
0.0505256 160730
0.0509313 159319
0.0517425 156513
0.0533650 150970
0.0566100 140205
0.0631000 120203
0.0712650 98366.2
0.0794300 80327.2
0.0852370 69633.6
0.0926185 58271.3
0.100000 49019.5
0.106473 42335.4
0.112945 36745.4
0.119418 32056.0
0.125890 28106.5
0.134040 23984.9
0.142190 20620.9
0.150340 17854.1
0.158490 15561.0
0.168750 13202.8
0.179010 11302.6
0.189270 9755.19
0.199530 8482.70
0.200000 8429.98
0.201600 8253.85
0.203199 8082.72
0.206399 7754.74
0.212798 7151.46
0.225595 6124.66
0.238393 5290.22
0.251190 4604.79
0.267450 3899.20
0.283710 3334.90
0.299970 2877.80
0.316230 2503.27
0.336700 2121.70
0.357170 1816.50
0.377640 1569.18
0.398110 1366.43
0.423583 1161.83
0.449055 997.634
0.500000 754.411
0.501190 749.772
0.505245 734.261
0.509301 719.197
0.517411 690.342
0.533633 637.314
0.566075 547.168
0.630960 413.818
0.712645 303.035
0.794330 229.968
0.897165 169.165
1.00000 129.022
1.12947 95.6293
1.25893 73.6512
1.42191 55.5404
1.58489 43.9192
1.79008 35.0477
1.99526 30.8596
2.00000 30.8158
2.01600 30.6867
2.03199 30.5876
2.06399 30.4842
2.12797 30.6975
2.25595 33.3804
2.38392 41.5345
2.44790 49.9182
2.51189 64.3745
2.57799 92.6497
2.61104 117.113
2.64410 155.056
2.67715 217.877
2.71020 331.075
2.74325 557.351
2.75978 755.538
2.77630 1048.25
2.78848 1336.13
2.80065 1664.24
2.82500 2069.11
2.84935 1649.57
2.87370 1029.66
2.89174 715.937
2.90977 512.130
2.92781 379.314
2.94585 290.295
2.98192 184.487
3.01799 127.480
3.05406 93.6648
3.09014 72.0792
3.16228 47.1850
3.26463 30.1479
3.36698 21.5718
3.46933 16.6012
3.57168 13.4256
3.77637 9.66979
3.98107 7.54825
4.49054 4.88052
5.00000 3.60422
5.01187 3.58243
5.05242 3.50998
5.09298 3.44047
5.17408 3.30961
5.33630 3.07663
5.66072 2.70170
6.30957 2.19476
7.94328 1.62887
10.0000 1.57870
11.2946 1.84671
12.5893 2.52832
13.4042 3.43745
14.2191 5.32628
14.6266 7.14810
15.0340 10.3759
15.2377 13.0375
15.4415 17.0455
15.6452 23.5640
15.8489 35.6107
15.9353 44.4618
16.0216 58.7258
16.1080 88.6399
16.1511 124.137
16.1727 157.305
16.1943 211.630
16.2172 297.625
16.2400 357.807
16.2857 242.607
16.3131 197.733
16.3404 184.368
16.3951 202.166
16.4498 257.822
16.5046 360.669
16.5593 553.961
16.5866 717.325
16.6140 964.817
16.6413 1362.08
16.6687 2046.04
16.6961 3323.28
16.7097 4370.39
16.7234 5834.92
16.7467 9320.95
16.7700 11638.3
16.7934 9301.90
16.8167 5807.34
16.8412 3490.91
16.8657 2231.04
16.8902 1521.02
16.9147 1093.99
16.9392 821.006
16.9637 637.305
17.0127 414.588
17.0617 290.611
17.1107 214.886
17.2087 131.306
17.3067 88.7756
17.4047 64.3094
17.5027 49.0033
17.6007 38.8330
17.7967 26.6843
17.9927 20.1338
18.3847 14.2668
18.7767 13.0515
19.1686 15.3739
19.3646 18.5026
19.5606 24.1427
19.7566 34.8286
19.8546 43.9181
19.9526 57.7896
20.0000 67.2476
20.0638 84.4714
20.1276 109.752
20.1914 148.956
20.2233 177.173
20.2552 214.387
20.2871 264.840
20.3189 335.482
20.3508 438.531
20.3827 596.512
20.4146 854.793
20.4465 1312.12
20.4625 1679.33
20.4784 2203.10
20.4944 2964.46
20.5103 4065.57
20.5352 6500.67
20.5600 8120.46
20.5849 6491.10
20.6097 4054.44
20.6251 2986.97
20.6404 2239.94
20.6712 1350.75
20.7019 886.477
20.7326 621.450
20.7633 458.074
20.7940 351.067
20.8555 224.776
20.9169 156.348
20.9784 115.401
21.1013 71.4483
21.2241 50.6732
21.3470 41.9842
21.4085 42.2090
21.4699 48.2558
21.5006 55.7746
21.5314 69.5321
21.5621 95.4013
21.5928 144.762
21.6214 218.536
21.6500 267.373
21.6786 216.549
21.7072 140.968
21.7316 97.8546
21.7560 71.3984
21.7804 54.8876
21.8048 44.1260
21.8536 31.5211
21.9024 24.6638
22.0001 17.6229
22.0977 14.0722
22.2929 10.5329
22.4882 8.97278
22.6834 8.67670
22.8786 10.3442
22.9763 13.0762
23.0251 15.6235
23.0739 19.7563
23.1227 26.9337
23.1715 40.6715
23.1959 52.5413
23.2203 70.6733
23.2447 99.3338
23.2691 144.951
23.2996 229.201
23.3300 285.224
23.3605 228.801
23.3909 144.371
23.4179 94.9483
23.4449 65.4002
23.4719 47.4501
23.4989 36.0466
23.5529 23.1910
23.6069 16.5990
23.6609 12.8088
23.7149 10.4420
23.8229 7.78412
24.0389 5.70967
24.2549 5.21514
24.4709 5.62545
24.6869 7.28801
24.7949 9.07265
24.9029 12.2562
25.0109 18.5318
25.0649 24.1685
25.1189 33.2826
25.1783 51.6385
25.2080 67.4228
25.2377 91.8688
25.2675 132.400
25.2972 205.680
25.3120 265.712
25.3269 353.035
25.3418 482.854
25.3566 675.407
25.3675 863.777
25.3783 1078.93
25.4000 1347.40
25.4109 1268.01
25.4217 1077.93
25.4434 674.159
25.4675 394.538
25.4917 247.605
25.5158 166.933
25.5400 119.286
25.5641 89.2149
25.5882 69.1646
25.6365 45.0783
25.6848 31.7779
25.7331 23.6935
25.8296 14.7974
25.9262 10.2695
26.0227 7.65235
26.2158 4.88799
26.4089 3.52154
26.6020 2.73791
26.9883 1.90211
27.3745 1.47472
27.7607 1.21846
28.5331 0.927544
30.0779 0.669734
31.6228 0.563573
33.6698 0.521974
35.7168 0.566033
36.7403 0.635552
37.7637 0.779883
38.2755 0.921956
38.7872 1.20077
39.0431 1.47274
39.2990 1.98461
39.4269 2.44240
39.5549 3.19662
39.6828 4.58881
39.7468 5.78252
39.8107 7.64039
39.8866 11.5813
39.9246 14.9577
39.9625 20.1760
40.0005 28.8101
40.0384 44.3881
40.0574 57.1325
40.0764 75.6353
40.0953 103.098
40.1143 143.800
40.1422 229.525
40.1700 286.663
40.1979 229.388
40.2257 143.639
40.2565 84.5797
40.2873 53.4617
40.3181 36.3429
40.3489 26.2234
40.3797 19.8315
40.4105 15.5717
40.4721 10.4593
40.5337 7.64768
40.5953 5.94978
40.7184 4.11001
40.8416 3.20868
40.9648 2.72153
41.2112 2.29663
41.7039 2.29622
42.1966 2.89706
42.6893 4.37201
42.9357 5.83891
43.1821 8.45794
43.3052 10.6163
43.4284 13.8432
43.5516 18.9849
43.6748 27.9280
43.7980 45.6037
43.8596 61.7503
43.9211 88.4559
43.9519 108.867
43.9827 137.216
44.0135 178.141
44.0443 240.012
44.0751 339.215
44.1059 509.949
44.1213 643.267
44.1367 828.784
44.1521 1090.26
44.1675 1456.18
44.1938 2329.16
44.2200 2911.44
44.2463 2328.92
44.2725 1455.37
44.2900 1048.46
44.3074 771.518
44.3424 452.903
44.3773 292.332
44.4122 202.783
44.4471 148.430
44.4821 113.214
44.5519 72.0776
44.6218 49.9933
44.6916 36.8332
44.8313 22.6491
44.9710 15.6138
45.1107 11.6563
45.3901 7.68846
45.6695 5.96970
45.9489 5.23980
46.5078 5.35398
46.7872 6.08878
47.0666 7.45138
47.3460 9.86298
47.6254 14.3486
47.7651 18.1112
47.9048 23.7861
48.0445 32.8929
48.1143 39.6574
48.1842 48.8296
48.2541 61.6973
48.3239 80.5266
48.3938 109.629
48.4636 157.997
48.4985 195.131
48.5335 246.921
48.5684 322.077
48.6033 436.497
48.6382 621.719
48.6732 944.956
48.6906 1200.86
48.7081 1561.13
48.7255 2076.22
48.7430 2808.82
48.7715 4492.51
48.8000 5614.59
48.8285 4491.14
48.8570 2806.51
48.8749 2059.75
48.8927 1539.22
48.9284 923.343
48.9642 603.779
48.9999 422.095
49.0356 310.418
49.0713 237.368
49.1428 151.267
49.2142 104.608
49.2856 76.6098
49.4285 46.1935
49.5714 30.9288
49.7143 22.2107
49.8571 16.7712
50.0000 13.1535
50.1187 10.9975
50.3749 7.89723
50.6310 6.00995
51.1433 3.94021
51.6556 2.91163
52.1679 2.35442
53.1925 1.91084
54.2171 1.99821
55.2417 2.70098
55.7540 3.51620
56.2663 5.05369
56.5225 6.35870
56.7786 8.34827
57.0348 11.5862
57.2909 17.3670
57.4190 22.1281
57.5471 29.2323
57.6751 40.5078
57.7392 48.8069
57.8032 59.9715
57.8673 75.4876
57.9313 97.9260
57.9953 132.062
58.0594 187.541
58.0914 229.219
58.1234 286.204
58.1554 366.760
58.1874 485.242
