28-Ni_n-tot
>  28-Ni-58:0.680770
>  28-Ni-59:0.000000
>  28-Ni-60:0.262230
>  28-Ni-61:0.011399
>  28-Ni-62:0.036346
>  28-Ni-64:0.009255
3.583820e+00 1.79719801e+01
3.667640e+00 1.79680520e+01
3.835290e+00 1.79606041e+01
4.000000e+00 1.79536879e+01
4.170570e+00 1.79465255e+01
4.500000e+00 1.79344507e+01
5.000000e+00 1.79161239e+01
5.004680e+00 1.79160267e+01
5.020320e+00 1.79155207e+01
5.035960e+00 1.79150828e+01
5.067240e+00 1.79142069e+01
5.129800e+00 1.79124552e+01
5.254920e+00 1.79089519e+01
5.499900e+00 1.79024255e+01
5.505150e+00 1.79022856e+01
5.999900e+00 1.78899803e+01
6.005620e+00 1.78898380e+01
6.499900e+00 1.78789956e+01
6.999900e+00 1.78680276e+01
7.206750e+00 1.78634902e+01
7.499900e+00 1.78577149e+01
7.500000e+00 1.78577130e+01
7.500250e+00 1.78577090e+01
7.500490e+00 1.78577052e+01
7.500980e+00 1.78576975e+01
7.501950e+00 1.78576822e+01
7.503910e+00 1.78576513e+01
7.507810e+00 1.78575898e+01
7.515620e+00 1.78574666e+01
7.531240e+00 1.78572203e+01
7.562490e+00 1.78567274e+01
7.624980e+00 1.78557418e+01
7.749950e+00 1.78537709e+01
7.999900e+00 1.78498288e+01
8.499900e+00 1.78419431e+01
8.648090e+00 1.78396060e+01
8.999900e+00 1.78347167e+01
9.499900e+00 1.78277681e+01
9.999900e+00 1.78208194e+01
1.000000e+01 1.78208180e+01
1.000030e+01 1.78208147e+01
1.000060e+01 1.78208113e+01
1.000120e+01 1.78208046e+01
1.000250e+01 1.78207902e+01
1.000490e+01 1.78207634e+01
1.000980e+01 1.78207088e+01
1.001950e+01 1.78206008e+01
1.003910e+01 1.78203824e+01
1.007810e+01 1.78199479e+01
1.015630e+01 1.78190767e+01
1.031250e+01 1.78173364e+01
1.037770e+01 1.78166100e+01
1.062500e+01 1.78139747e+01
1.125000e+01 1.78073142e+01
1.141550e+01 1.78055506e+01
1.245330e+01 1.77953761e+01
1.250000e+01 1.77949665e+01
1.494390e+01 1.77735309e+01
1.500000e+01 1.77730711e+01
1.518330e+01 1.77717579e+01
1.536660e+01 1.77704447e+01
1.573320e+01 1.77678863e+01
1.646640e+01 1.77628375e+01
1.793270e+01 1.77532168e+01
2.000000e+01 1.77406150e+01
2.151920e+01 1.77326282e+01
2.500000e+01 1.77157678e+01
2.582310e+01 1.77117808e+01
2.750000e+01 1.77042914e+01
3.000000e+01 1.76941786e+01
3.098770e+01 1.76902366e+01
3.500000e+01 1.76752800e+01
3.718520e+01 1.76678254e+01
4.000000e+01 1.76587060e+01
4.462230e+01 1.76439693e+01
4.499900e+01 1.76428351e+01
4.999900e+01 1.76277807e+01
5.000000e+01 1.76277777e+01
5.000250e+01 1.76277706e+01
5.000490e+01 1.76277639e+01
5.000980e+01 1.76277501e+01
5.001950e+01 1.76277228e+01
5.003910e+01 1.76276677e+01
5.007810e+01 1.76275580e+01
5.015620e+01 1.76273382e+01
5.031240e+01 1.76268988e+01
5.062490e+01 1.76260197e+01
5.124980e+01 1.76242618e+01
5.249950e+01 1.76207462e+01
5.354670e+01 1.76178002e+01
5.499900e+01 1.76138972e+01
5.999900e+01 1.76004600e+01
6.000000e+01 1.76004573e+01
6.425610e+01 1.75891617e+01
6.499900e+01 1.75872810e+01
6.999900e+01 1.75746231e+01
7.499900e+01 1.75619652e+01
7.500000e+01 1.75619627e+01
7.500250e+01 1.75619567e+01
7.500490e+01 1.75619509e+01
7.500980e+01 1.75619390e+01
7.501950e+01 1.75619156e+01
7.503910e+01 1.75618684e+01
7.507810e+01 1.75617743e+01
7.515620e+01 1.75615859e+01
7.531240e+01 1.75612091e+01
7.562490e+01 1.75604552e+01
7.624980e+01 1.75589478e+01
7.710730e+01 1.75568793e+01
7.749950e+01 1.75559416e+01
7.999900e+01 1.75499656e+01
8.000000e+01 1.75499632e+01
8.481800e+01 1.75385123e+01
8.499900e+01 1.75380917e+01
8.999900e+01 1.75264731e+01
9.252870e+01 1.75205948e+01
9.499900e+01 1.75149162e+01
9.999900e+01 1.75034225e+01
1.000000e+02 1.75034202e+01
1.000030e+02 1.75034136e+01
1.000050e+02 1.75034092e+01
1.000100e+02 1.75033982e+01
1.000200e+02 1.75033762e+01
1.000390e+02 1.75033344e+01
1.000780e+02 1.75032486e+01
1.001560e+02 1.75030769e+01
1.003130e+02 1.75027315e+01
1.006250e+02 1.75020449e+01
1.012500e+02 1.75006696e+01
1.025000e+02 1.74979191e+01
1.050000e+02 1.74924179e+01
1.100000e+02 1.74814157e+01
1.110350e+02 1.74791382e+01
1.200000e+02 1.74598388e+01
1.300000e+02 1.74383112e+01
1.332410e+02 1.74313342e+01
1.400000e+02 1.74170632e+01
1.485250e+02 1.73990636e+01
1.500000e+02 1.73959493e+01
1.550000e+02 1.73857357e+01
1.598900e+02 1.73757469e+01
1.600000e+02 1.73755249e+01
1.650000e+02 1.73654339e+01
1.700000e+02 1.73553429e+01
1.750000e+02 1.73452519e+01
1.800000e+02 1.73351610e+01
1.850000e+02 1.73250700e+01
1.875000e+02 1.73200245e+01
1.900000e+02 1.73149790e+01
1.918680e+02 1.73112090e+01
1.925000e+02 1.73099498e+01
1.950000e+02 1.73049687e+01
1.970500e+02 1.73008843e+01
2.000000e+02 1.72950067e+01
2.010000e+02 1.72930657e+01
2.020000e+02 1.72911247e+01
2.030000e+02 1.72891837e+01
2.034000e+02 1.72884073e+01
2.040000e+02 1.72872427e+01
2.050000e+02 1.72853018e+01
2.060000e+02 1.72833608e+01
2.070000e+02 1.72814198e+01
2.080000e+02 1.72794788e+01
2.090000e+02 1.72775378e+01
2.097500e+02 1.72760821e+01
2.100000e+02 1.72755969e+01
2.106250e+02 1.72743838e+01
2.112500e+02 1.72731706e+01
2.125000e+02 1.72707444e+01
2.150000e+02 1.72658920e+01
2.175000e+02 1.72610395e+01
2.200000e+02 1.72561871e+01
2.250000e+02 1.72464822e+01
2.300000e+02 1.72367773e+01
2.302410e+02 1.72363095e+01
2.350000e+02 1.72272093e+01
2.400000e+02 1.72176482e+01
2.450000e+02 1.72080872e+01
2.500000e+02 1.71985261e+01
2.550000e+02 1.71889650e+01
2.600000e+02 1.71794039e+01
2.650000e+02 1.71698429e+01
2.700000e+02 1.71602818e+01
2.750000e+02 1.71507207e+01
2.762890e+02 1.71483103e+01
2.797430e+02 1.71418175e+01
2.800000e+02 1.71413394e+01
2.823130e+02 1.71370371e+01
2.831970e+02 1.71353928e+01
2.850000e+02 1.71320385e+01
2.900000e+02 1.71227366e+01
2.901040e+02 1.71225431e+01
2.950000e+02 1.71134830e+01
3.000000e+02 1.71042304e+01
3.039180e+02 1.70969870e+01
3.050000e+02 1.70949974e+01
3.100000e+02 1.70858034e+01
3.150000e+02 1.70766093e+01
3.200000e+02 1.70674153e+01
3.250000e+02 1.70582212e+01
3.300000e+02 1.70490272e+01
3.315470e+02 1.70461826e+01
3.350000e+02 1.70398757e+01
3.400000e+02 1.70307432e+01
3.450000e+02 1.70216107e+01
3.500000e+02 1.70124782e+01
3.548750e+02 1.70038421e+01
3.550000e+02 1.70036207e+01
3.553130e+02 1.70030662e+01
3.556250e+02 1.70025135e+01
3.562500e+02 1.70014063e+01
3.575000e+02 1.69991920e+01
3.600000e+02 1.69947632e+01
3.650000e+02 1.69859057e+01
3.700000e+02 1.69770482e+01
3.750000e+02 1.69681907e+01
3.800000e+02 1.69593332e+01
3.850000e+02 1.69504757e+01
3.900000e+02 1.69416182e+01
3.950000e+02 1.69327607e+01
3.978570e+02 1.69276995e+01
4.000000e+02 1.69239693e+01
4.125000e+02 1.69022344e+01
4.250000e+02 1.68804994e+01
4.500000e+02 1.68370296e+01
4.774280e+02 1.67893379e+01
5.000000e+02 1.67505570e+01
5.500000e+02 1.66693303e+01
5.729140e+02 1.66321058e+01
6.000000e+02 1.65890591e+01
6.874960e+02 1.64500990e+01
7.000000e+02 1.64306382e+01
7.500000e+02 1.63528513e+01
8.000000e+02 1.62815847e+01
8.249950e+02 1.62459753e+01
9.000000e+02 1.61419997e+01
9.899950e+02 1.60172442e+01
9.999990e+02 1.60036495e+01
1.000000e+03 1.60036494e+01
1.000010e+03 1.60035841e+01
1.000020e+03 1.60035870e+01
1.000030e+03 1.60035744e+01
1.000040e+03 1.60035570e+01
1.000050e+03 1.60035393e+01
1.000060e+03 1.60035273e+01
