Nd-144(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 182.227
1.25000E-05 163.142
1.50000E-05 149.054
2.00000E-05 129.279
2.50000E-05 115.783
3.12500E-05 103.713
3.75000E-05 94.8026
5.00000E-05 82.2956
6.25000E-05 73.7604
7.50000E-05 67.4600
0.000100000 58.6163
0.000125000 52.5810
0.000150000 48.1259
0.000200000 41.8724
0.000275000 35.9222
0.000350000 32.0063
0.000425000 29.1793
0.000500000 27.0151
0.000625000 24.3160
0.000750000 22.3236
0.00100000 19.5270
0.00125000 17.6184
0.00150000 16.2096
0.00200000 14.2321
0.00275000 12.3504
0.00350000 11.1120
0.00425000 10.2180
0.00500000 9.53362
0.00625000 8.68004
0.00750000 8.04995
0.0100000 7.16546
0.0125000 6.56183
0.0150000 6.11622
0.0200000 5.49068
0.0253000 5.04221
0.0314750 4.67019
0.0376500 4.39388
0.0500000 4.00380
0.0625000 3.73343
0.0750000 3.53374
0.100000 3.25317
0.125000 3.06143
0.150000 2.91966
0.200000 2.72015
0.275000 2.52937
0.350000 2.40294
0.500000 2.23996
0.750000 2.08312
1.00000 1.98627
1.50000 1.86471
2.00000 1.78570
2.75000 1.70179
3.50000 1.63855
5.00000 1.54138
7.50000 1.41818
10.0000 1.31686
15.0000 1.14529
20.0000 0.997558
27.5000 0.805192
35.0000 0.640033
50.0000 0.377016
62.5000 0.219167
68.7500 0.160194
75.0000 0.114484
81.2500 0.0822146
84.3750 0.0712183
85.9375 0.0670279
87.5000 0.0637196
89.0625 0.0613021
90.6250 0.0597846
92.1875 0.0591770
93.7500 0.0594898
95.3125 0.0607343
96.8750 0.0629223
98.4375 0.0660663
100.000 0.0701796
103.125 0.0813710
106.250 0.0966173
112.500 0.139820
118.750 0.201015
125.000 0.281663
137.500 0.508528
150.000 0.838167
162.500 1.29496
175.000 1.91247
187.500 2.73726
200.000 3.83487
220.703 6.52307
241.405 10.9769
262.108 18.7273
282.810 33.3085
293.161 45.6542
303.513 64.3146
313.864 94.0896
324.215 145.187
334.566 242.307
339.742 326.454
344.918 457.108
350.093 673.206
355.269 1060.23
360.444 1821.71
363.032 2475.92
365.620 3425.99
369.710 5574.63
373.800 7036.51
377.890 5679.95
381.980 3603.62
385.668 2358.45
389.356 1612.16
393.044 1157.18
396.733 866.809
404.109 537.038
411.485 366.028
418.861 266.528
426.238 203.592
440.990 131.267
455.743 92.6221
470.495 69.3991
485.248 54.2510
500.000 43.7535
529.169 30.5011
558.337 22.5073
587.506 17.1906
616.675 13.3649
645.843 10.3892
675.012 7.80066
689.596 6.46067
696.888 5.70821
704.180 4.83677
707.827 4.32820
711.473 3.74698
715.119 3.06727
718.765 2.26210
720.588 1.81259
722.411 1.35242
724.234 0.947455
725.145 0.820346
725.601 0.796108
726.057 0.812112
726.513 0.884185
726.741 0.947926
726.969 1.03478
727.196 1.14913
727.424 1.29629
727.652 1.48273
727.880 1.71626
728.336 2.36658
728.792 3.35776
729.247 4.86712
729.703 7.18726
730.159 10.8289
730.615 16.7287
731.070 26.7492
731.526 44.9423
731.754 59.7874
731.982 81.3947
732.210 114.117
732.438 166.183
732.665 254.572
732.893 417.326
733.007 551.874
733.121 747.988
733.235 1039.70
733.349 1473.12
733.525 2460.03
733.700 3207.20
733.876 2674.13
734.052 1740.24
734.182 1247.24
734.312 918.071
734.442 698.547
734.572 548.447
734.831 365.164
735.091 262.990
735.351 200.461
735.610 159.413
736.130 110.314
736.649 82.9228
737.169 65.9206
737.688 54.5379
738.208 46.4802
739.246 35.9743
740.285 29.5248
741.324 25.2101
