P-31(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
163000 0.00453704
173000 0.00435185
181000 0.00420370
183000 0.00416667
195000 0.00394444
201000 0.00383333
207000 0.00372222
219000 0.00350000
231000 0.00327778
240000 0.00311111
249000 0.00294444
255000 0.00283333
269000 0.00257407
277000 0.00242593
285000 0.00227778
289000 0.00220370
300000 0.00200000
311000 0.00199470
319000 0.00199085
329000 0.00198604
340000 0.00198074
361000 0.00197063
369000 0.00196678
395000 0.00195426
417000 0.00194367
425000 0.00193982
430000 0.00193741
437000 0.00193404
453000 0.00192633
456000 0.00192489
465000 0.00192056
469000 0.00191863
471000 0.00191767
475000 0.00191574
491000 0.00190804
525000 0.00189167
529000 0.00188974
550000 0.00187963
561000 0.00187433
585000 0.00186278
850000 0.00173519
869000 0.00172604
900000 0.00171111
930000 0.00169667
936000 0.00169378
948000 0.00168800
968000 0.00167837
995000 0.00166537
1.01000E+06 0.00165815
1.01600E+06 0.00165526
1.02200E+06 0.00165237
1.03000E+06 0.00164852
1.05600E+06 0.00163600
1.06000E+06 0.00163407
1.07600E+06 0.00162637
1.08200E+06 0.00162348
1.09200E+06 0.00161867
1.11500E+06 0.00160759
1.12700E+06 0.00160182
1.15000E+06 0.00159074
1.20000E+06 0.00156667
1.31000E+06 0.00151370
1.31001E+06 0.00151370
1.50000E+06 0.00142222
1.59000E+06 0.00137889
1.65000E+06 0.00135000
1.75000E+06 0.00130185
2.00000E+06 0.00118148
2.20000E+06 0.00108519
2.25000E+06 0.00106111
2.30600E+06 0.00103415
2.35000E+06 0.00101296
2.50000E+06 0.000940741
2.65000E+06 0.000868519
2.73000E+06 0.000830000
2.75000E+06 0.000820370
2.78000E+06 0.000805926
2.84000E+06 0.000777037
2.94000E+06 0.000728889
2.95000E+06 0.000724074
3.00000E+06 0.000700000
3.05000E+06 0.000698182
3.12500E+06 0.000695455
3.20000E+06 0.000692727
3.21000E+06 0.000692364
3.30000E+06 0.000689091
3.35000E+06 0.000687273
3.46000E+06 0.000683273
3.50000E+06 0.000681818
3.60000E+06 0.000678182
3.61000E+06 0.000677818
3.72000E+06 0.000673818
3.75000E+06 0.000672727
3.82000E+06 0.000670182
3.85000E+06 0.000669091
4.10000E+06 0.000660000
4.14000E+06 0.000658546
4.22000E+06 0.000655636
4.25000E+06 0.000654546
4.35000E+06 0.000650909
4.40000E+06 0.000649091
4.42500E+06 0.000648182
4.50000E+06 0.000645455
4.54000E+06 0.000644000
4.75000E+06 0.000636364
4.80000E+06 0.000634546
4.85000E+06 0.000632727
5.00000E+06 0.000627273
5.05000E+06 0.000625455
5.50000E+06 0.000609091
6.00000E+06 0.000590909
6.30000E+06 0.000580000
6.75000E+06 0.000563636
7.10000E+06 0.000550909
7.53772E+06 0.000534992
8.00000E+06 0.000518182
9.00000E+06 0.000481818
1.00000E+07 0.000445455
1.10000E+07 0.000409091
1.20000E+07 0.000372727
1.27110E+07 0.000346873
1.30000E+07 0.000336364
1.35000E+07 0.000318182
1.40000E+07 0.000300000
1.45000E+07 0.000291667
1.50000E+07 0.000283333
1.70000E+07 0.000250000
1.80000E+07 0.000233333
2.00000E+07 0.000200000
2.00000E+07 0.00000
2.04021E+07 0.00000
2.10000E+07 0.00000
2.20000E+07 0.00000
2.30000E+07 0.00000
2.34672E+07 0.00000
2.40000E+07 0.00000
2.41132E+07 0.00000
2.43966E+07 0.00000
2.44017E+07 0.00000
2.49421E+07 0.00000
2.50000E+07 0.00000
2.60000E+07 0.00000
2.70000E+07 0.00000
2.71857E+07 0.00000
2.73308E+07 0.00000
2.76821E+07 0.00000
2.80000E+07 0.00000
2.90000E+07 0.00000
3.00000E+07 0.00000
3.00110E+07 0.00000
3.08317E+07 0.00000
3.10000E+07 0.00000
3.12129E+07 0.00000
3.20000E+07 0.00000
3.27856E+07 0.00000
3.30000E+07 0.00000
3.32251E+07 0.00000
3.40000E+07 0.00000
3.50000E+07 0.00000
3.52034E+07 0.00000
3.52516E+07 0.00000
3.53574E+07 0.00000
3.53816E+07 0.00000
3.60000E+07 0.00000
3.70000E+07 0.00000
3.71705E+07 0.00000
3.78842E+07 0.00000
3.80000E+07 0.00000
3.90000E+07 0.00000
3.98856E+07 0.00000
4.00000E+07 0.00000
4.10000E+07 0.00000
4.18794E+07 0.00000
4.19848E+07 0.00000
4.20000E+07 0.00000
4.26805E+07 0.00000
4.28456E+07 0.00000
4.29516E+07 0.00000
4.30000E+07 0.00000
4.32272E+07 0.00000
4.36003E+07 0.00000
4.40000E+07 0.00000
4.46396E+07 0.00000
4.46523E+07 0.00000
4.48654E+07 0.00000
4.50000E+07 0.00000
4.54770E+07 0.00000
4.60000E+07 0.00000
4.65436E+07 0.00000
4.67071E+07 0.00000
4.70000E+07 0.00000
4.80000E+07 0.00000
4.90000E+07 0.00000
4.97553E+07 0.00000
5.00000E+07 0.00000
5.10000E+07 0.00000
5.14326E+07 0.00000
5.20000E+07 0.00000
5.20430E+07 0.00000
5.23211E+07 0.00000
5.26868E+07 0.00000
5.30000E+07 0.00000
5.36319E+07 0.00000
5.40000E+07 0.00000
5.44476E+07 0.00000
5.50000E+07 0.00000
5.60000E+07 0.00000
5.64258E+07 0.00000
5.70000E+07 0.00000
5.71504E+07 0.00000
5.74407E+07 0.00000
5.80000E+07 0.00000
5.85342E+07 0.00000
5.90000E+07 0.00000
6.00000E+07 0.00000
6.10000E+07 0.00000
6.20000E+07 0.00000
6.22850E+07 0.00000
