Ni-64(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
62806.8 19.7784
62807.9 18.1380
62810.2 16.1059
62812.4 14.9687
62814.7 14.2754
62817.0 13.8234
62821.5 13.2905
62826.1 12.9999
62830.6 12.8237
62839.7 12.6284
62848.8 12.5266
62857.8 12.4659
62876.0 12.3976
62912.3 12.3352
62948.7 12.3025
63021.3 12.2604
63094.0 12.2276
63239.3 12.1700
63384.6 12.1161
63675.2 12.0124
63965.8 11.9119
65128.2 11.5316
67452.9 10.8535
72102.5 9.74810
81401.7 8.17122
90700.8 7.05694
95350.4 6.59186
99999.9 6.15832
100000 6.15830
103223 5.86471
104028 5.79175
104431 5.75608
104834 5.72234
105237 5.69463
105438 5.68710
105639 5.69074
105841 5.72311
105942 5.76577
106042 5.85044
106143 6.03215
106193 6.20387
106244 6.48941
106294 7.00661
106344 8.05306
106370 9.01019
106395 10.5521
106420 13.1571
106445 17.6181
106473 25.1841
106500 30.5427
106528 25.9030
106556 18.4780
106578 14.5290
106599 11.9823
106621 10.3316
106642 9.23172
106685 7.91695
106729 7.20185
106772 6.77114
106815 6.49255
106901 6.16292
106987 5.97987
107074 5.86571
107246 5.73158
107418 5.65384
107591 5.60106
107936 5.52837
108281 5.47486
108626 5.42962
109315 5.34970
110695 5.20289
112075 5.05750
114834 4.74804
117593 4.38723
120352 3.92487
121732 3.62377
123112 3.24015
124491 2.71688
125181 2.37018
125871 1.93697
126561 1.38565
126906 1.05772
127250 0.700315
127595 0.343667
127768 0.192337
127854 0.133340
127940 0.0918735
128027 0.0748295
128113 0.0914551
128199 0.153970
128285 0.278644
128371 0.487229
128458 0.807237
128544 1.27460
128630 1.93352
128714 2.80679
128798 3.95875
128965 7.25773
129300 16.5125
129468 19.8213
129635 20.9313
129970 19.0166
130343 15.7114
130717 13.1964
131090 11.4425
131463 10.1966
131837 9.27866
132210 8.57752
132956 7.57644
133703 6.88911
134449 6.37908
135943 5.64446
137436 5.10333
138929 4.65081
139675 4.44175
140422 4.24483
140795 4.16048
140982 4.12997
141169 4.11931
141355 4.15751
141449 4.21946
141542 4.34533
141635 4.60762
141682 4.84258
141728 5.20875
141775 5.81033
141822 6.85613
141868 8.81153
141915 12.6057
141958 18.3408
142000 22.5801
142043 19.3110
142086 13.7870
142112 11.3343
142138 9.57725
142190 7.42688
142243 6.25743
142295 5.56586
142347 5.12226
142399 4.82029
142503 4.44064
142607 4.21270
142712 4.05909
142920 3.85740
143129 3.72036
143337 3.61233
143754 3.43378
145423 2.81041
146257 2.47213
147091 2.07997
147508 1.84466
147716 1.70823
147925 1.55009
148134 1.35402
148238 1.23131
148342 1.08085
148446 0.885534
148498 0.762913
148551 0.618487
148655 0.307626
148681 0.301203
148694 0.349319
148707 0.465363
148720 0.701629
148733 1.14457
148746 1.95566
148759 3.40506
148769 5.24740
148780 7.79663
148800 13.4384
148810 14.6499
148821 14.2982
148841 11.5175
148858 9.33932
148874 7.72034
148890 6.54621
148907 5.69501
148940 4.56606
148973 3.87000
149006 3.40340
149038 3.06980
149104 2.62365
149170 2.33431
149236 2.12762
149367 1.84158
149499 1.64119
149630 1.48400
149893 1.23409
150419 0.844538
150946 0.528447
151472 0.291775
151735 0.220983
151998 0.199317
152261 0.246711
152524 0.390527
152787 0.667630
