Ca-46(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 62.0264
1.08465E-05 59.5686
1.17567E-05 57.2283
1.27342E-05 55.0005
1.37826E-05 52.8802
1.49493E-05 50.7885
1.62038E-05 48.7971
1.75510E-05 46.9015
1.89960E-05 45.0975
2.00000E-05 43.9864
2.06040E-05 43.3180
2.23330E-05 41.6240
2.41899E-05 40.0117
2.61814E-05 38.4775
2.83977E-05 36.9644
3.07807E-05 35.5242
3.33399E-05 34.1536
3.60847E-05 32.8496
3.91393E-05 31.5638
4.24238E-05 30.3401
4.59510E-05 29.1758
4.97341E-05 28.0684
5.00000E-05 27.9994
5.39441E-05 26.9766
5.84709E-05 25.9379
6.33324E-05 24.9499
6.85465E-05 24.0104
7.43490E-05 23.0845
8.05881E-05 22.2039
8.72885E-05 21.3666
9.44748E-05 20.5707
0.000100000 20.0331
0.000102472 19.7926
0.000105138 19.5516
0.000111071 19.0490
0.000117005 18.5823
0.000120306 18.3385
0.000130211 17.6599
0.000141233 17.0024
0.000144907 16.7989
0.000153085 16.3743
0.000161263 15.9804
0.000165813 15.7746
0.000179464 15.2023
0.000194656 14.6480
0.000199720 14.4766
0.000200000 14.4677
0.000210991 14.1191
0.000222262 13.7875
0.000228533 13.6144
0.000247348 13.1331
0.000268286 12.6675
0.000275266 12.5236
0.000290800 12.2234
0.000306334 11.9455
0.000314978 11.8002
0.000340910 11.3971
0.000369768 11.0074
0.000379387 10.8872
0.000400798 10.6363
0.000422208 10.4042
0.000434121 10.2829
0.000469862 9.94672
0.000500000 9.70075
0.000509636 9.62210
0.000522894 9.52213
0.000552403 9.31327
0.000581912 9.12052
0.000598332 9.01964
0.000647591 8.74063
0.000702410 8.47147
0.000720683 8.38876
0.000761354 8.21572
0.000802025 8.05640
0.000824656 7.97287
0.000892548 7.74238
0.000968103 7.52019
0.000993288 7.45210
0.00100000 7.43500
0.00104934 7.30929
0.00110540 7.17817
0.00113659 7.10923
0.00123016 6.91959
0.00133430 6.73925
0.00144627 6.56177
0.00156651 6.40100
0.00169548 6.24318
0.00183901 6.09477
0.00199333 5.94921
0.00200000 5.94388
0.00215906 5.81688
0.00233681 5.68740
0.00253463 5.56514
0.00274732 5.44561
0.00297575 5.33760
0.00322073 5.23236
0.00340249 5.16130
0.00349337 5.12855
0.00378653 5.03308
0.00410135 4.94012
0.00421390 4.90989
0.00443901 4.85436
0.00481477 4.77066
0.00500000 4.73336
0.00521881 4.68931
0.00549760 4.63842
