Ca-44(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
27238.3 13.9766
27240.1 10.5969
27241.9 8.43210
27243.7 6.95900
27247.3 5.12741
27251.0 4.05948
27254.6 3.37695
27261.8 2.56845
27269.1 2.11400
27276.3 1.82737
27283.6 1.63113
27290.8 1.48934
27305.3 1.29863
27319.8 1.17691
27334.3 1.09268
27348.8 1.03101
27377.7 0.946748
27406.7 0.891788
27435.7 0.852992
27464.7 0.824045
27522.6 0.783416
27580.6 0.755929
27696.5 0.720191
27812.4 0.697018
27928.3 0.680030
28160.2 0.655229
28623.8 0.620832
29087.5 0.594062
30942.1 0.506357
34651.3 0.345699
38360.6 0.181311
40215.2 0.100346
41142.5 0.0633102
41606.2 0.0466434
41838.0 0.0389676
41953.9 0.0353105
42011.9 0.0335012
42040.9 0.0325521
42055.4 0.0320094
42062.6 0.0317714
42066.2 0.0323604
42068.0 0.0362139
42068.9 0.0512550
42069.8 0.541804
42070.0 1.09005
42070.2 0.579893
42071.1 0.0599584
42072.1 0.0414698
42074.0 0.0351319
42077.9 0.0329174
42085.7 0.0319429
42101.1 0.0311999
42132.1 0.0301824
42194.1 0.0283761
42318.0 0.0250006
42565.8 0.0189540
43061.4 0.0101106
43309.2 0.00770153
43557.0 0.00695892
43804.8 0.00818453
44052.6 0.0117382
44300.4 0.0180512
44548.2 0.0276419
44796.1 0.0411361
45043.9 0.0592922
45539.5 0.113508
46035.1 0.200560
46530.7 0.336331
47026.3 0.546081
47521.9 0.871422
48017.5 1.38360
48513.2 2.21036
49008.8 3.59248
49504.4 6.00799
50000.0 10.4383
50267.0 14.2863
50534.0 19.6861
51067.0 35.9893
51600.0 50.5716
52133.0 45.0808
52666.0 31.3444
53026.0 24.0991
53386.0 18.8871
53745.9 15.1807
54105.9 12.5043
54825.9 9.02784
55545.8 6.94792
56265.8 5.60055
56985.7 4.67119
58425.6 3.48958
59865.5 2.77710
61305.4 2.30126
64185.2 1.69790
67065.0 1.31664
69944.8 1.03591
72824.6 0.793915
73544.5 0.729160
74264.5 0.651247
74624.5 0.598724
74804.5 0.564550
74984.4 0.520329
75164.4 0.457441
75254.4 0.413290
75344.4 0.354277
75434.4 0.270781
75479.4 0.215091
75524.4 0.147543
75569.4 0.0719331
75591.9 0.0402059
75614.4 0.0329705
75636.9 0.106809
75648.1 0.224262
75659.4 0.467518
75665.0 0.674978
75670.6 0.977623
75676.3 1.42810
75681.9 2.11081
75687.5 3.17683
75693.1 4.88442
75698.8 7.69651
75704.4 12.3578
75712.1 23.0372
75719.9 33.1823
75727.7 30.3244
75735.4 21.4761
75741.0 16.4227
75746.6 12.8420
75752.2 10.3324
75757.8 8.54239
75768.9 6.24693
75780.1 4.89042
75791.3 4.01832
75802.4 3.42137
75824.7 2.66921
75847.1 2.22227
75869.4 1.92982
75891.7 1.72483
75914.0 1.57374
75958.7 1.36659
76003.3 1.23158
76048.0 1.13657
76092.6 1.06598
76181.9 0.967564
76271.2 0.901578
76449.8 0.816768
76628.4 0.762554
76806.9 0.723278
77164.1 0.666740
77878.4 0.589906
78592.7 0.531219
81450.0 0.344731
84307.3 0.183898
85735.9 0.109159
86093.1 0.0902185
86450.3 0.0696418
86628.8 0.0575534
86807.4 0.0422161
86986.0 0.0193561
87075.3 0.0180258
87097.6 0.0404821
87119.9 0.129826
87131.1 0.266362
87136.7 0.401634
87142.3 0.636611
87147.8 1.08318
87150.6 1.46588
87153.4 2.04980
87156.2 2.98750
87159.0 4.58824
87161.8 7.50720
87164.6 13.0403
87167.2 21.7843
87169.9 28.3629
87172.6 23.6208
87175.2 15.3787
87178.1 9.59221
87180.9 6.36452
87183.7 4.50638
87186.5 3.36925
87189.4 2.62475
87192.2 2.11557
87197.8 1.47978
87203.5 1.11181
87209.2 0.879254
87220.5 0.609552
87231.8 0.462609
87243.1 0.372488
87265.7 0.269890
87288.3 0.214219
87310.9 0.179701
87356.1 0.139415
87446.5 0.101626
87537.0 0.0828050
87717.8 0.0621597
87898.7 0.0495238
88260.4 0.0324243
88622.1 0.0203002
88983.8 0.0113341
89345.5 0.00516912
89707.2 0.00188759
90068.9 0.00177783
90430.7 0.00526748
90792.4 0.0129078
91154.1 0.0253798
91515.8 0.0435115
91877.5 0.0683040
92239.2 0.100967
92962.6 0.196071
93686.1 0.344748
94409.5 0.570802
95132.9 0.910408
95856.3 1.41939
96579.7 2.18486
97303.2 3.34288
98026.6 5.10081
98750.0 7.74809
100000 15.1697
101500 24.9814
102239 25.8400
102608 25.0525
102793 24.4459
102885 24.1232
102908 24.0584
102931 24.0394
102943 24.0922
102954 24.3083
102960 24.6195
102966 25.3872
102969 26.2763
102972 28.1310
102973 29.9642
102974 32.8358
102976 37.8897
102977 47.9148
102979 62.0416
102980 72.4622
102981 62.4034
102983 48.2619
102984 39.2874
102985 34.3255
102987 31.0948
102988 29.2198
102990 27.0148
102993 25.8896
102995 25.2417
102998 24.8341
103003 24.3724
103013 23.9593
103022 23.7704
103042 23.5716
103062 23.4435
103102 23.2396
103141 23.0542
103300 22.3299
103616 20.8505
104250 17.9536
105086 14.6738
105922 12.1257
107593 8.71265
109265 6.66580
110937 5.34852
114280 3.78129
117624 2.87408
120967 2.25834
124310 1.78282
127654 1.36973
129326 1.16711
130161 1.05617
130579 0.981443
130684 0.952364
130788 0.907207
130841 0.869080
130893 0.801815
130919 0.741139
130945 0.632867
130958 0.538174
130971 0.385343
130984 0.138469
130991 0.193944
130994 0.946862
130996 2.22882
130997 5.51530
130999 11.3252
131000 17.9701
131001 18.8402
131001 17.7224
131003 13.4383
131005 9.21671
131006 6.78383
131008 5.26981
131010 4.37094
131013 3.30242
131017 2.72427
131024 2.12928
131031 1.83079
131045 1.53543
131059 1.38972
131087 1.24506
131115 1.17250
131171 1.09739
131226 1.05691
131338 1.01016
131450 0.980453
131674 0.939559
131785 0.930239
131841 0.953303
131869 1.05933
131876 1.15904
131883 1.40498
131887 1.68980
131890 2.30416
131892 2.93518
131894 3.99127
131896 6.01314
131896 7.83683
131897 10.4712
131899 15.9640
131900 19.9293
131901 15.9001
131903 10.3577
131904 7.52245
131905 5.62691
131907 3.55622
131909 2.56568
131911 2.03130
131915 1.51204
131919 1.27941
131927 1.08337
131935 1.00501
131967 0.918921
132031 0.888032
132159 0.864854
132415 0.829171
132926 0.762218
133950 0.630916
134974 0.498965
135486 0.432660
135741 0.400864
135869 0.392701
135933 0.422319
135949 0.459720
135965 0.566430
135973 0.708308
135981 1.07219
135985 1.51066
135989 2.50252
135991 3.53591
135993 5.47650
135994 7.12686
135995 9.61329
135996 13.4730
135997 19.3381
135999 30.9016
136000 38.5410
136001 31.1420
136003 19.5679
136004 11.2249
136006 6.96946
136007 4.72767
136009 3.50265
136012 2.17151
136015 1.53551
136021 0.971653
136028 0.736282
136040 0.545664
136052 0.470769
136077 0.410794
136102 0.386240
136201 0.350665
136400 0.317866
136599 0.291076
136698 0.287079
136748 0.332017
136760 0.386593
136773 0.541453
136779 0.744863
136785 1.25262
136788 1.84082
136791 3.09571
136793 4.36690
136794 6.42875
136796 10.5793
136797 14.0654
136797 18.8911
136799 30.4358
136800 38.2203
136801 31.0545
136803 19.5969
136804 14.3043
136804 10.9179
136806 6.65121
136808 4.45733
136809 3.27196
136813 2.00171
136816 1.39926
136823 0.860738
136829 0.639164
136843 0.455940
136856 0.382477
136882 0.322049
136909 0.296284
137015 0.257506
137228 0.222788
137652 0.169946
138502 0.0828936
138927 0.0505762
139352 0.0298123
139564 0.0252118
139777 0.0254769
139989 0.0315568
140201 0.0445919
140414 0.0659674
140626 0.0973204
140839 0.140663
141051 0.198422
141476 0.369679
141901 0.643175
142326 1.06681
142750 1.71083
143175 2.67664
143600 4.10071
144100 6.57389
144600 10.0325
145600 17.6047
146100 19.1920
146600 18.6887
147600 14.9145
147899 13.7362
148048 13.1829
148123 12.9348
148141 12.8928
148160 12.8971
148169 12.9606
148179 13.1800
148183 13.4794
148188 14.1819
148190 14.9832
148193 16.4944
148194 17.8953
148195 19.8926
148196 23.4348
148197 29.3296
148199 39.1957
148200 46.5722
148201 39.6521
148203 29.8828
148204 22.5300
148206 18.7492
148208 16.7166
148209 15.5888
148212 14.3423
148215 13.7330
148221 13.1743
148228 12.9258
148240 12.6961
148253 12.5806
148277 12.4381
148302 12.3317
148402 11.9793
148601 11.3509
148999 10.2393
149795 8.45724
150591 7.02903
150989 6.21373
151088 5.90342
151138 5.69731
151188 5.42763
151238 5.03967
151263 4.76656
151287 4.40395
151312 3.89159
151325 3.54835
151337 3.12893
151362 2.06746
151368 1.87383
151375 1.92619
151378 2.16612
151381 2.67948
151384 3.64142
151387 5.32027
151390 8.30012
151394 12.8809
151400 24.5285
151403 28.2593
151407 29.0379
151413 25.5949
151421 20.7471
151428 17.3278
151436 15.0508
151444 13.4867
151451 12.3654
151459 11.5296
151474 10.3817
151489 9.62498
151504 9.09248
151535 8.39290
151565 7.94751
151595 7.63718
151656 7.22224
151777 6.74699
151899 6.45463
152142 6.06224
152384 5.77488
153355 4.96682
154326 4.38381
154812 4.13766
155055 4.02443
155176 3.97562
155237 3.97241
155267 4.04097
155275 4.11261
155282 4.29457
155286 4.51006
155290 4.98737
155294 6.36937
155296 8.21774
155297 12.3979
155299 17.4297
155300 20.6891
155301 17.2974
155303 12.1992
155304 8.36399
155306 6.60014
155309 5.14081
155312 4.59526
155316 4.33903
155322 4.11318
155328 4.02186
155354 3.91549
155406 3.86764
155509 3.81672
155715 3.72701
156126 3.55535
156950 3.22635
157774 2.89622
158186 2.72024
158391 2.62755
158494 2.58706
158546 2.60511
158559 2.64541
158572 2.76742
158578 2.93488
158585 3.35322
158588 3.84149
158591 4.89158
158593 5.92148
158594 7.72190
158596 11.1554
158597 14.0312
158597 18.6326
158599 28.5807
158600 35.2621
158601 29.0496
158603 19.1592
158604 13.3786
158605 9.84372
158606 7.71529
158607 6.37166
158610 4.86482
158612 4.09455
158617 3.37373
158622 3.05791
158631 2.79141
158641 2.68250
158660 2.58924
158679 2.54690
158756 2.47152
158909 2.37806
159215 2.19305
159520 1.97745
159826 1.70948
160132 1.35484
160285 1.12820
160438 0.857707
160591 0.542202
160744 0.233124
160782 0.182037
160821 0.160491
160859 0.188689
160897 0.299667
160916 0.402763
160935 0.549082
160974 1.02665
161012 1.88132
161050 3.34298
161088 5.66180
161125 9.08075
161200 17.3871
161238 19.6960
161275 19.8541
161350 16.8142
161401 14.4583
161451 12.5115
161553 9.80695
161654 8.14135
161756 7.05174
161857 6.29424
161958 5.74034
162161 4.98631
162364 4.49538
162567 4.14736
162972 3.67785
163378 3.36522
163784 3.13303
163986 3.03568
164189 2.94772
164392 2.87328
164443 2.86334
164493 2.87430
164519 2.90870
164544 3.02206
164557 3.17958
164570 3.58412
164576 4.06745
164582 5.10238
164585 6.14406
164589 7.91600
164592 11.4303
164593 14.4083
164595 18.5280
164597 28.1250
164600 34.9127
164603 28.6720
164605 19.1766
164608 13.4148
164610 9.92086
164612 7.83160
164615 6.56335
164619 5.09613
164624 4.34208
164633 3.63233
164643 3.31909
164662 3.05139
164681 2.94023
164718 2.84315
164756 2.79718
164831 2.74534
164907 2.70992
165057 2.65292
165208 2.60270
165811 2.42480
167016 2.11004
169428 1.47270
170633 1.08013
171236 0.848765
171839 0.590804
172442 0.319883
172743 0.197911
173044 0.113741
173195 0.100772
173346 0.121204
173421 0.148996
173497 0.192049
173647 0.338776
173798 0.599560
173949 1.03128
174099 1.71689
174250 2.77125
174438 4.81053
174625 7.84916
175000 15.3376
175188 17.4713
175375 17.6797
175750 15.0504
176101 12.2603
176452 10.1714
176804 8.69020
177155 7.62515
177857 6.23324
178559 5.37989
179262 4.80733
179964 4.39662
181368 3.84384
182773 3.48459
184178 3.22851
186987 2.87946
192605 2.47160
198224 2.22314
203842 2.04774
209460 1.91835
212270 1.87139
215079 1.84799
216483 1.85941
217186 1.88007
217888 1.92239
218590 2.01180
218941 2.09430
219293 2.22948
219644 2.47154
219819 2.67072
219995 2.96664
220170 3.43182
220346 4.21367
220522 5.63354
220697 8.32906
220849 11.9643
221000 14.0653
221152 11.1804
221303 7.36067
221398 5.73646
221492 4.62663
221681 3.34149
221870 2.69217
222059 2.33222
222248 2.11587
222437 1.97738
222815 1.81830
223194 1.73456
223572 1.68512
224328 1.63112
225084 1.60225
225840 1.58351
227352 1.55840
230377 1.52710
233402 1.51430
236426 1.53687
239451 1.66095
240963 1.83298
242475 2.21807
243232 2.59292
243988 3.22793
244744 4.36818
245500 6.47948
246250 9.87637
247000 12.3137
247750 10.2703
248500 7.00511
249035 5.36608
249570 4.26620
250106 3.52698
250641 3.01719
251711 2.38755
252781 2.02979
254922 1.65363
257063 1.46081
261344 1.25466
265625 1.12936
274188 0.940636
282750 0.762149
291313 0.561352
295594 0.445594
299875 0.317257
304156 0.180527
306297 0.115957
308438 0.0657845
309508 0.0526353
