In-115(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
39.7688 98.9978
39.7981 71.8003
39.8275 54.3460
39.8862 34.1396
39.9450 23.3818
40.0037 17.0012
40.0624 12.9159
40.1212 10.1477
40.2386 6.75572
40.3561 4.86156
40.4735 3.77573
40.5910 3.44275
40.6800 3.68278
40.7690 2.66591
40.8561 1.99903
40.9432 1.64754
41.1175 1.23933
41.4659 0.808975
41.8144 0.579234
42.1629 0.440414
42.8598 0.290181
43.5567 0.220712
44.2536 0.195711
44.9506 0.220647
45.2990 0.277779
45.4733 0.336709
45.6475 0.442567
45.8217 0.658638
45.9088 0.862406
45.9959 1.21176
46.0831 1.88768
46.1266 2.49165
46.1702 3.46742
46.2137 5.18937
46.2573 8.62368
46.2791 11.7418
46.3009 16.7679
46.3226 25.3087
46.3444 40.1530
46.3672 64.0916
46.3900 80.0236
46.4128 64.0647
46.4356 40.1230
46.4618 23.1293
46.4881 14.3873
46.5143 9.66374
46.5406 6.90623
46.5668 5.17975
46.5930 4.03654
46.6455 2.67498
46.6980 1.93255
46.7505 1.48840
46.8554 1.01637
46.9604 0.798438
47.0653 0.698520
47.2752 0.690655
47.4851 0.915724
47.5901 1.17914
47.6950 1.66117
47.8000 2.63668
47.8524 3.53505
47.9049 5.02447
47.9574 7.74625
47.9836 10.0289
48.0099 13.4753
48.0361 18.9900
48.0623 28.4537
48.0886 46.0315
48.1148 80.3593
48.1374 128.410
48.1600 160.389
48.1826 128.346
48.2052 80.2775
48.2192 59.1206
48.2333 44.3237
48.2613 26.7262
48.2893 17.5441
48.3174 12.3074
48.3454 9.07942
48.3735 6.96475
48.4296 4.46681
48.4856 3.10997
48.5417 2.29413
48.6539 1.40539
48.7661 0.957400
48.8783 0.700250
49.1026 0.430784
49.3270 0.299110
49.5513 0.224573
50.0000 0.146828
50.5419 0.103047
51.0839 0.0800761
52.1678 0.0573539
53.2516 0.0467703
54.3355 0.0412848
56.5033 0.0383847
57.5871 0.0408127
58.1291 0.0443018
58.4000 0.0491160
58.5355 0.0566115
58.6033 0.0661549
58.6710 0.0881203
58.7600 0.130726
58.8490 0.0897854
58.9130 0.0697596
58.9769 0.0613247
59.1048 0.0559420
59.3606 0.0559256
59.8723 0.0643482
60.3839 0.0801874
60.8956 0.109487
61.4072 0.171638
61.6630 0.232722
