B-11(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
20024.4 38.4946
20026.3 34.5247
20027.7 31.5580
20029.9 27.1082
20032.0 22.6587
20034.3 21.8362
20036.4 21.0686
20040.3 19.6214
20043.8 18.3572
20046.8 17.2539
20049.4 16.2859
20051.8 15.4385
20055.8 13.9558
20058.9 12.8457
20061.2 12.0095
20064.6 10.7608
20068.0 9.50856
20072.2 9.30044
20076.2 9.10511
20083.7 8.73857
20090.2 8.41822
20095.9 8.13813
20100.9 7.89241
20105.3 7.67761
20113.0 7.30200
20118.7 7.02007
20123.1 6.80827
20129.5 6.49109
20136.0 6.17344
20144.5 6.11851
20152.4 6.06696
20167.3 5.97029
20180.4 5.88570
20191.8 5.81162
20201.8 5.74675
20210.6 5.68999
20225.9 5.59060
20237.4 5.51604
20246.1 5.46013
20259.0 5.37612
20272.0 5.29212
20294.7 5.25916
20311.8 5.23442
20324.6 5.21585
20343.8 5.18798
20363.0 5.16008
20385.7 5.14459
20402.8 5.13296
20428.4 5.11550
20454.0 5.09802
20684.7 5.09441
20910.6 5.09087
21131.9 5.08740
21348.4 5.08401
21560.3 5.08070
21767.6 5.07745
21970.3 5.07428
22168.5 5.07118
22362.2 5.06815
22551.4 5.06519
22922.7 5.05939
23276.2 5.05386
23612.7 5.04860
23932.5 5.04361
24236.3 5.03886
24524.5 5.03435
24797.9 5.03008
25057.0 5.02603
25302.3 5.02220
25534.5 5.01857
25754.1 5.01514
26170.9 5.00863
26541.2 5.00285
26869.5 4.99772
27160.1 4.99318
27416.9 4.98917
27872.2 4.98206
28218.6 4.97665
28481.3 4.97254
28879.9 4.96632
29284.0 4.96001
31798.8 4.93239
36730.6 4.87825
39642.0 4.84628
40925.2 4.83219
48132.0 4.75307
50000.0 4.73256
56608.0 4.66000
66748.7 4.60143
75529.4 4.55071
78304.0 4.53468
82865.0 4.50833
95225.6 4.43693
100000 4.40935
109430 4.37000
120000 4.32178
125544 4.29253
140000 4.21626
154270 4.14458
160000 4.11580
180000 4.03252
189570 4.00000
200000 3.98080
220000 3.96955
239010 3.92000
240000 3.91543
260000 3.80460
280000 3.68181
300000 3.57000
320000 3.46178
329848 3.47090
340000 3.48029
349857 3.50485
360000 3.53012
364899 3.53851
372373 3.55131
380000 3.56437
384904 3.66780
385000 3.66982
388624 3.78546
390000 3.82938
391437 3.88926
395000 4.03771
395696 4.07280
400000 4.29000
402447 4.45924
404600 4.60817
405000 4.63582
406494 4.77900
409829 5.09863
410000 5.11500
412349 5.43738
414248 5.69815
415000 5.80133
417114 6.11790
420000 6.55000
425000 7.02500
430000 7.24000
435000 6.88500
440000 6.32000
442452 5.95716
444608 5.63800
445000 5.58000
446504 5.41762
449840 5.05727
450000 5.04000
452359 4.83369
454257 4.66766
455000 4.60268
457120 4.45742
460000 4.26000
462454 4.13730
465000 4.00997
466779 3.93881
470000 3.81000
470050 3.80825
472518 3.72172
475000 3.63471
476244 3.59870
480000 3.49000
484924 3.37612
485000 3.37436
488650 3.30428
490000 3.27835
494292 3.21382
495000 3.20317
500000 3.15000
509902 3.07617
520000 3.00086
529906 2.94300
540000 2.88404
549909 2.83177
560000 2.77854
580000 2.68150
600000 2.59358
620000 2.51320
640000 2.46125
660000 2.38664
680000 2.29245
700000 2.22000
720000 2.16218
740000 2.08793
760000 2.01274
780000 1.94334
800000 1.88000
820000 1.83096
840000 1.80292
860000 1.77667
880000 1.73917
900000 1.68000
920000 1.64064
940000 1.63524
960000 1.64455
969948 1.66616
980000 1.68800
984962 1.66991
988700 1.65627
994334 1.63573
1.00000E+06 1.61506
1.00200E+06 1.60171
1.00400E+06 1.58638
1.00600E+06 1.55432
1.00800E+06 1.33914
1.01000E+06 1.22817
1.01199E+06 1.18136
1.01200E+06 1.18100
1.01400E+06 1.06600
1.01600E+06 1.14023
1.01800E+06 1.29542
1.02000E+06 1.49523
1.02200E+06 1.62408
1.02400E+06 1.75800
1.02600E+06 1.85576
1.02800E+06 1.89080
1.03000E+06 1.91286
1.03331E+06 1.92439
1.04000E+06 1.94773
1.04959E+06 1.94091
1.05000E+06 1.94062
1.06197E+06 1.99683
1.08082E+06 2.08532
1.10000E+06 2.17537
1.12419E+06 2.34004
1.14000E+06 2.44767
1.15000E+06 2.54806
1.16000E+06 2.69856
1.16148E+06 2.72032
1.18000E+06 2.99319
1.20000E+06 3.39401
1.22000E+06 3.97235
1.22426E+06 4.08076
1.24000E+06 4.48188
1.24277E+06 4.55446
1.25000E+06 4.74417
1.25500E+06 4.87713
1.26000E+06 4.99569
1.26500E+06 5.03924
1.27000E+06 5.00000
1.27106E+06 4.98252
1.27500E+06 4.91759
1.28000E+06 4.83188
1.28500E+06 4.74478
1.29000E+06 4.66020
1.30000E+06 4.49195
1.31210E+06 4.22403
1.32000E+06 4.04903
1.32278E+06 3.99640
1.33219E+06 3.81796
1.34000E+06 3.66997
1.34049E+06 3.66249
1.35000E+06 3.51576
1.35512E+06 3.44571
1.36000E+06 3.37900
1.36621E+06 3.30804
1.37458E+06 3.21231
1.38000E+06 3.15028
1.38723E+06 3.08893
1.40000E+06 2.98057
1.42436E+06 2.84409
1.45000E+06 2.70041
1.46169E+06 2.65999
1.50000E+06 2.52750
1.55000E+06 2.42465
1.60000E+06 2.33554
1.61217E+06 2.32202
1.63369E+06 2.29812
1.65000E+06 2.28000
1.65002E+06 2.28001
1.66238E+06 2.28400
1.68108E+06 2.29005
1.70000E+06 2.29616
1.71219E+06 2.34494
1.72000E+06 2.37618
1.72293E+06 2.39427
1.73238E+06 2.45269
1.74000E+06 2.49979
1.74069E+06 2.50704
1.74800E+06 2.58380
1.75000E+06 2.60486
1.76000E+06 2.75540
1.76085E+06 2.75236
1.77056E+06 2.71776
1.77787E+06 2.69168
1.78000E+06 2.68411
1.78890E+06 2.61876
1.80000E+06 2.53731
1.80609E+06 2.47081
1.81182E+06 2.40826
1.81721E+06 2.34944
1.82000E+06 2.31903
1.82228E+06 2.31336
1.82704E+06 2.30153
1.83601E+06 2.27926
1.84000E+06 2.26933
1.84389E+06 2.25597
1.85000E+06 2.23494
1.85081E+06 2.23193
1.85689E+06 2.20930
1.86222E+06 2.18943
1.86690E+06 2.17200
1.87512E+06 2.14139
1.88131E+06 2.11835
1.89063E+06 2.08364
1.90000E+06 2.04876
1.92452E+06 2.03403
1.94312E+06 2.02286
1.95000E+06 2.01873
1.97136E+06 1.99068
2.00000E+06 1.95305
2.05000E+06 1.87258
2.10000E+06 1.84297
2.15000E+06 1.84125
2.20000E+06 1.79496
2.22406E+06 1.79801
2.24533E+06 1.80071
2.25000E+06 1.80130
2.26410E+06 1.81751
2.28066E+06 1.83655
2.29525E+06 1.85332
2.30000E+06 1.85878
2.31935E+06 1.93533
2.31935E+06 1.93535
2.32000E+06 1.93840
2.32100E+06 1.94482
2.34000E+06 2.06722
2.34050E+06 2.07004
2.35000E+06 2.12346
2.35524E+06 2.16341
2.36000E+06 2.19977
2.37751E+06 2.35746
2.38000E+06 2.37985
2.40000E+06 2.54188
2.40155E+06 2.55381
2.40305E+06 2.56537
2.40450E+06 2.57659
2.40591E+06 2.58745
2.40728E+06 2.59799
2.40860E+06 2.60821
2.40988E+06 2.61811
2.41113E+06 2.62770
2.41233E+06 2.63701
2.41350E+06 2.64603
2.41463E+06 2.65478
2.41573E+06 2.66325
2.41679E+06 2.67146
