Y-89(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
5670.15 0.00129356
5692.48 0.00478884
5698.07 0.00838058
5703.65 0.0185171
5706.45 0.0324934
5709.24 0.0714468
5710.63 0.124279
5712.03 0.267946
5712.73 0.456666
5713.08 0.635916
5713.43 0.945232
5713.78 1.54791
5713.95 2.09140
5714.12 2.96886
5714.30 4.53613
5714.39 5.80693
5714.47 7.67181
5714.56 10.5820
5714.65 15.2718
5714.74 23.3405
5714.82 37.7973
5714.91 60.3460
5715.00 75.5803
5715.09 60.3462
5715.18 37.7979
5715.27 22.5085
5715.37 14.2807
5715.46 9.68697
5715.56 6.96480
5715.65 5.21036
5715.75 4.03420
5715.94 2.61898
5716.13 1.82871
5716.31 1.34925
5716.69 0.818654
5717.07 0.548588
5717.45 0.392909
5718.21 0.229919
5719.72 0.106282
5721.24 0.0610290
5724.27 0.0277305
5727.30 0.0158104
5733.36 0.00716729
5739.42 0.00410705
5763.67 0.00112968
5812.16 0.000380600
5909.13 0.000198395
6006.11 0.000172011
6103.09 0.000170690
6297.05 0.000193201
6491.01 0.000241876
6684.96 0.000333576
6878.92 0.000526085
6975.90 0.000712833
7072.88 0.00104593
7121.37 0.00132528
7169.85 0.00176856
7194.10 0.00212149
7218.34 0.00272123
7230.47 0.00330113
7242.59 0.00461729
7254.71 0.0106914
7260.77 0.0333681
7262.29 0.0560287
7263.80 0.117959
7264.56 0.200037
7265.32 0.414921
7265.70 0.684654
7266.08 1.33628
7266.27 2.07635
7266.45 3.61583
7266.55 5.09498
7266.64 7.58389
7266.74 12.1997
7266.83 21.0913
7266.92 33.6669
7267.00 42.1698
7267.08 33.6671
7267.17 21.0916
7267.26 12.0686
7267.36 7.44666
7267.46 4.95898
7267.55 3.52116
7267.75 2.00855
7267.94 1.29291
7268.33 0.660809
7268.72 0.400021
7269.49 0.192588
7270.26 0.113659
7271.81 0.0541805
7273.36 0.0324996
7279.55 0.0110442
7291.93 0.00587841
7304.32 0.00532742
7316.70 0.00555788
7341.47 0.00692305
7366.23 0.00938963
7391.00 0.0136745
7415.77 0.0217200
7428.15 0.0285353
7440.53 0.0387604
7452.92 0.0545591
7465.30 0.0790555
7481.65 0.126329
7498.00 0.157519
7514.35 0.125611
7530.70 0.0783591
7545.41 0.0504886
7560.12 0.0339778
7574.82 0.0240200
7589.53 0.0177305
7618.95 0.0106845
7648.36 0.00709808
7677.78 0.00504824
7707.19 0.00377394
7766.02 0.00234431
7824.85 0.00160603
7883.68 0.00117738
8001.34 0.000727387
8119.00 0.000511118
8236.66 0.000393698
8471.98 0.000286981
8707.30 0.000263958
8942.61 0.000319915
9060.27 0.000420946
9119.10 0.000524068
9177.93 0.000712689
9236.76 0.00111466
9266.18 0.00151386
9295.59 0.00224034
9310.30 0.00285202
9325.01 0.00378607
9339.72 0.00531768
9354.42 0.00809255
9361.78 0.0104158
9369.13 0.0139412
9376.48 0.0196679
9383.84 0.0298939
9387.51 0.0383293
9391.19 0.0509408
9394.87 0.0710098
9398.54 0.105780
9402.22 0.174003
9404.06 0.235775
9405.90 0.336813
9407.74 0.518384
9408.66 0.668069
9409.58 0.890500
9410.49 1.23849
9411.41 1.81723
9412.33 2.84464
9413.25 4.73501
9414.13 7.58437
9415.00 9.48236
9415.88 7.57840
9416.75 4.73338
9417.38 3.31479
9418.02 2.38219
9418.65 1.76814
9419.28 1.35368
9420.55 0.856054
9421.81 0.585499
9423.08 0.423990
9424.34 0.320638
9426.87 0.201252
9429.40 0.137777
9431.93 0.100173
9434.46 0.0760884
9436.99 0.0597640
9442.05 0.0396906
9447.12 0.0282961
9452.18 0.0212163
9457.24 0.0165205
9467.36 0.0108776
9477.48 0.00774865
9487.60 0.00583826
9497.72 0.00458997
9517.97 0.00312096
9538.21 0.00233750
9558.46 0.00189123
9578.70 0.00163987
9619.19 0.00152829
9639.43 0.00168012
9659.67 0.00208034
9679.92 0.00304457
9690.04 0.00402869
9700.16 0.00581355
9705.22 0.00729645
9710.28 0.00952164
9715.34 0.0130734
9720.41 0.0192461
9725.47 0.0313922
9728.00 0.0424189
9730.53 0.0605062
9733.06 0.0931328
9734.32 0.120140
9735.59 0.160431
9736.85 0.223804
9738.12 0.329996
9739.38 0.520553
9740.65 0.876166
9741.82 1.40299
9743.00 1.75443
9744.18 1.40237
9745.35 0.875754
9746.35 0.578869
9747.34 0.397297
9748.34 0.284910
9749.33 0.212574
9751.32 0.129862
9753.31 0.0869882
9755.30 0.0621684
9757.29 0.0466107
9761.27 0.0289918
9765.25 0.0198014
9769.23 0.0144189
9773.21 0.0110005
9777.18 0.00869603
9785.14 0.00587705
9793.10 0.00428372
9801.06 0.00329541
9809.01 0.00263991
9824.93 0.00185016
9840.85 0.00140934
9872.68 0.000957743
9904.51 0.000741469
9936.34 0.000621207
10000.0 0.000500872
10097.6 0.000434891
10195.1 0.000423223
10390.2 0.000474251
10585.3 0.000608341
10780.4 0.000874279
10877.9 0.00110055
10975.4 0.00144392
11073.0 0.00199876
11170.5 0.00297910
11219.3 0.00377877
11268.1 0.00496098
11316.9 0.00681459
11365.6 0.00996072
11414.4 0.0159386
11438.8 0.0211723
11463.2 0.0294381
11487.6 0.0435495
11511.9 0.0702562
11524.1 0.0932655
11536.3 0.128476
11548.5 0.184819
11560.7 0.278755
11572.3 0.434720
11578.1 0.571140
11583.9 0.845044
11590.0 1.26027
11592.0 1.18643
11596.1 0.866627
11602.9 0.578508
11609.7 0.439588
11623.3 0.270594
11634.1 0.189202
11644.9 0.136658
11655.7 0.102021
11666.5 0.0784831
11688.1 0.0500233
11709.7 0.0344038
11731.3 0.0250182
11752.9 0.0189801
11796.1 0.0119725
11839.3 0.00823201
11882.5 0.00601134
11968.9 0.00362543
12055.3 0.00244581
12141.7 0.00178523
12228.2 0.00138656
12314.6 0.00113811
12487.4 0.000913683
12573.8 0.000917370
12660.2 0.00103309
12746.6 0.00138278
12789.8 0.00176049
12833.0 0.00246003
12876.2 0.00393407
12897.8 0.00535751
12919.4 0.00784789
12941.0 0.0127924
12951.8 0.0173210
12962.6 0.0248237
12973.4 0.0385465
12978.8 0.0500788
12984.2 0.0675416
12989.6 0.0955789
12995.0 0.143967
13000.4 0.234653
13005.8 0.414382
13010.4 0.666614
13015.0 0.835856
13019.6 0.665747
13024.2 0.413815
13027.2 0.300320
13030.1 0.222649
13036.1 0.132083
13042.0 0.0858445
13047.9 0.0598188
13053.9 0.0439259
13059.8 0.0335763
13071.6 0.0214342
13083.5 0.0148724
13095.4 0.0109433
13119.1 0.00668230
13142.8 0.00454446
13166.5 0.00332361
13213.9 0.00205404
13261.3 0.00144276
13308.8 0.00110488
13403.6 0.000775800
13498.5 0.000659062
13593.3 0.000700909
13640.7 0.000843317
13664.5 0.000997625
13688.2 0.00128533
13711.9 0.00190442
13723.7 0.00252072
13735.6 0.00364046
13741.5 0.00458212
13747.5 0.00601690
13753.4 0.00836114
13759.3 0.0125754
13762.3 0.0160941
13765.2 0.0213838
13768.2 0.0299361
13771.2 0.0449767
13774.1 0.0754535
13777.1 0.151836
13778.6 0.242552
13779.3 0.321449
13780.1 0.445210
13780.4 0.535035
13780.8 0.654078
13781.2 0.815880
13781.5 1.04224
13781.9 1.36928
13782.3 1.85800
13782.6 2.60960
13783.0 3.76941
13783.5 6.06300
13784.0 7.55434
13784.3 7.09947
13784.5 6.01349
13785.0 3.76889
13785.4 2.44051
13785.9 1.66224
13786.3 1.18548
13786.7 0.880631
13787.6 0.534883
13788.4 0.356734
13789.3 0.254071
13790.2 0.189863
13791.9 0.117361
13793.6 0.0796412
13795.3 0.0575913
13797.0 0.0436094
13798.8 0.0341955
13802.2 0.0227061
13805.6 0.0162317
13809.1 0.0122295
13812.5 0.00958509
13819.4 0.00641708
13826.3 0.00467138
13833.2 0.00360910
13840.1 0.00291686
13853.8 0.00210433
13867.6 0.00167154
13895.1 0.00127198
13922.6 0.00113523
13950.2 0.00112158
14005.2 0.00134382
14032.7 0.00160120
14060.3 0.00202152
14087.8 0.00273182
14115.3 0.00403213
14129.1 0.00512188
14142.8 0.00676889
14156.6 0.00942641
14170.4 0.0141196
14177.2 0.0179511
14184.1 0.0236045
14191.0 0.0324538
14197.9 0.0474283
14204.8 0.0757230
14208.2 0.100326
14211.6 0.138907
14215.1 0.203979
14218.5 0.324759
14220.2 0.426363
14222.0 0.577917
14223.7 0.810318
14225.4 1.16729
14227.7 1.85930
14230.0 2.31662
14232.3 1.85824
14234.6 1.16659
14236.5 0.780639
14238.4 0.541628
14240.3 0.390795
14242.2 0.293157
14246.0 0.180170
14249.8 0.121154
14253.5 0.0867003
14257.3 0.0650603
14264.9 0.0404261
14272.5 0.0275318
14280.0 0.0199644
14287.6 0.0151525
14295.2 0.0119057
14310.3 0.00793414
14325.5 0.00569055
14340.6 0.00430099
14355.7 0.00338141
14386.0 0.00227893
14416.3 0.00166934
14476.9 0.00105736
