50-Sn_n-g
> 50-Sn-112:0.009700
> 50-Sn-114:0.006600
> 50-Sn-115:0.003400
> 50-Sn-116:0.145400
> 50-Sn-117:0.076800
> 50-Sn-118:0.242200
> 50-Sn-119:0.085900
> 50-Sn-120:0.325800
> 50-Sn-122:0.046300
> 50-Sn-124:0.057900
2.423880e+01 1.04788739e-02
2.497600e+01 1.08135531e-02
2.556330e+01 1.18690515e-02
2.571010e+01 1.27098836e-02
2.585690e+01 1.46716118e-02
2.593030e+01 1.68608240e-02
2.600370e+01 2.14150154e-02
2.604040e+01 2.57629847e-02
2.607710e+01 3.31688228e-02
2.611380e+01 4.67933105e-02
2.615050e+01 7.30928702e-02
2.618280e+01 1.10479592e-01
2.621500e+01 1.35459357e-01
2.624730e+01 1.10630476e-01
2.627950e+01 7.33020163e-02
2.630960e+01 5.05821054e-02
2.633960e+01 3.73582894e-02
2.636970e+01 2.94979497e-02
2.639980e+01 2.45911076e-02
2.642370e+01 2.24310800e-02
2.645990e+01 1.91614989e-02
2.652000e+01 1.64383981e-02
2.664030e+01 1.39653554e-02
2.676050e+01 1.29446694e-02
2.724160e+01 1.20027548e-02
2.739250e+01 1.20591929e-02
2.750000e+01 1.20999955e-02
2.820360e+01 1.24111999e-02
2.963560e+01 1.41550895e-02
3.012780e+01 1.47961980e-02
3.108980e+01 1.68745764e-02
3.125000e+01 1.74108348e-02
3.205190e+01 2.01163195e-02
3.253290e+01 2.26440783e-02
3.284740e+01 2.53719550e-02
3.301390e+01 2.68508768e-02
3.325450e+01 3.07313412e-02
3.349500e+01 3.86595104e-02
3.361520e+01 4.72541546e-02
3.370000e+01 6.05059391e-02
3.373550e+01 6.60537267e-02
3.379560e+01 8.57313739e-02
3.385580e+01 1.23731314e-01
3.388580e+01 1.57281004e-01
3.391590e+01 2.09927822e-01
3.394590e+01 2.96370440e-01
3.397600e+01 4.40615850e-01
3.401000e+01 6.87457622e-01
3.404400e+01 8.52390659e-01
3.407800e+01 6.88767919e-01
3.411200e+01 4.42744924e-01
3.414820e+01 2.77845873e-01
3.418430e+01 1.88918110e-01
3.422040e+01 1.39199820e-01
3.425660e+01 1.09566305e-01
3.432890e+01 7.83498980e-02
3.440120e+01 6.36153085e-02
3.454570e+01 5.14782372e-02
3.469030e+01 4.76463575e-02
3.497950e+01 4.76588350e-02
