Se-82(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 2.23391
1.25000E-05 1.99807
1.50000E-05 1.82398
2.00000E-05 1.57961
2.75000E-05 1.34710
3.50000E-05 1.19407
4.25000E-05 1.08360
5.00000E-05 0.999033
6.25000E-05 0.893562
7.50000E-05 0.815707
0.000100000 0.706423
0.000125000 0.631844
0.000150000 0.576792
0.000200000 0.499516
0.000275000 0.425989
0.000350000 0.377599
0.000425000 0.342665
0.000500000 0.315922
0.000625000 0.282569
0.000750000 0.257949
0.00100000 0.223390
0.00125000 0.199806
0.00150000 0.182397
0.00200000 0.157961
0.00275000 0.134709
0.00350000 0.119407
0.00425000 0.108360
0.00500000 0.0999028
0.00625000 0.0893556
0.00750000 0.0815701
0.0100000 0.0706416
0.0125000 0.0631836
0.0150000 0.0576783
0.0200000 0.0499506
0.0253000 0.0444113
0.0314750 0.0398169
0.0376500 0.0364054
0.0500000 0.0315906
0.0625000 0.0282551
0.0750000 0.0257929
0.100000 0.0223367
0.125000 0.0199781
0.150000 0.0182369
0.200000 0.0157928
0.275000 0.0134671
0.350000 0.0119364
0.500000 0.00998516
0.750000 0.00815074
1.00000 0.00705693
1.50000 0.00575899
2.00000 0.00498486
2.75000 0.00424783
3.50000 0.00376240
5.00000 0.00314302
7.50000 0.00255974
10.0000 0.00221121
15.0000 0.00179644
20.0000 0.00154811
27.5000 0.00131067
35.0000 0.00115354
50.0000 0.000951891
75.0000 0.000760485
100.000 0.000645369
150.000 0.000508035
200.000 0.000426249
275.000 0.000349378
350.000 0.000300069
500.000 0.000240307
750.000 0.000190158
1000.00 0.000165317
1500.00 0.000145678
2000.00 0.000146867
2407.29 0.000163583
2814.58 0.000215540
3018.22 0.000285971
3120.04 0.000355421
3221.86 0.000481856
3323.69 0.000752895
3425.51 0.00152358
3476.42 0.00259951
3501.87 0.00367909
3527.33 0.00566052
3552.79 0.00991870
3565.51 0.0141741
3578.24 0.0219476
3584.60 0.0285059
3590.97 0.0385300
3597.33 0.0549705
3603.70 0.0847339
3606.88 0.109625
3610.06 0.147340
3613.24 0.208467
3616.42 0.317258
3618.01 0.406664
3619.61 0.539847
3621.20 0.750726
3622.79 1.11356
3624.38 1.81722
3625.17 2.44681
3625.97 3.46230
3626.77 5.25274
3627.56 8.80347
3627.96 12.0142
3628.36 17.1447
3628.75 25.8116
3629.15 40.6872
3629.58 65.1096
3630.00 81.3959
3630.43 65.1150
3630.85 40.6949
3631.19 27.6500
3631.52 19.4084
3631.85 14.1368
3632.19 10.6734
3632.86 6.61947
3633.53 4.47359
3634.19 3.21237
3634.86 2.41493
3636.20 1.50305
3637.54 1.02338
3638.87 0.740977
3640.21 0.561012
3641.55 0.439393
3644.22 0.290384
3646.90 0.206076
3649.57 0.153803
3652.24 0.119178
3657.59 0.0776043
3662.94 0.0545564
3668.29 0.0404606
3673.64 0.0312160
3684.33 0.0202271
3695.03 0.0141939
3716.42 0.00813564
3737.82 0.00530536
3759.21 0.00375857
3801.99 0.00221216
3887.57 0.00110195
3973.14 0.000714350
4058.71 0.000538033
4144.28 0.000445954
4315.43 0.000365224
4657.71 0.000349873
5000.00 0.000422565
5389.48 0.000638297
5584.21 0.000859652
5778.95 0.00126245
5876.32 0.00159947
5973.69 0.00211012
6071.06 0.00293808
6168.43 0.00441408
6217.11 0.00563025
6265.79 0.00744768
6314.48 0.0103400
6338.82 0.0124752
6350.99 0.0138031
6363.16 0.0153569
6369.25 0.0162351
6375.34 0.0171913
6381.42 0.0182351
6387.51 0.0193774
6393.59 0.0206312
6399.68 0.0220110
6405.76 0.0235348
6411.85 0.0252227
6417.93 0.0270995
6424.02 0.0291937
6436.19 0.0341820
6448.36 0.0405636
6460.53 0.0489040
6472.70 0.0600819
6484.87 0.0755196
6497.05 0.0976279
6509.22 0.130723
6521.39 0.183029
6533.56 0.271292
6539.64 0.338877
6545.73 0.431295
6551.82 0.558954
6557.90 0.733875
6568.95 1.17341
6580.00 1.46409
6591.05 1.16831
6602.10 0.728973
6613.45 0.442610
6624.80 0.284888
6636.14 0.195121
6647.49 0.140755
6658.84 0.105827
6670.19 0.0822362
6692.88 0.0535317
6715.58 0.0374961
6738.28 0.0276788
6783.67 0.0168178
6829.06 0.0112774
6874.45 0.00808129
6919.84 0.00607414
6965.23 0.00473297
7056.02 0.00310982
7146.80 0.00220375
7237.58 0.00164790
7328.36 0.00128306
7509.93 0.000850131
7691.49 0.000613930
7873.06 0.000472073
8054.63 0.000381181
8417.76 0.000279140
8780.89 0.000236013
8962.45 0.000235121
9144.02 0.000268944
9234.80 0.000329081
9325.59 0.000510722
9416.37 0.00150348
9461.76 0.00540699
9473.11 0.00936885
9484.46 0.0203687
9490.13 0.0352068
9495.80 0.0752138
9498.64 0.127189
9500.06 0.176092
9501.48 0.259494
9502.90 0.419330
9503.61 0.560227
9504.31 0.784505
9505.02 1.17112
9505.73 1.91347
9506.09 2.56158
9506.44 3.56015
9506.80 5.16787
9507.15 7.76847
9507.58 12.4300
9508.00 15.5380
9508.43 12.4304
9508.85 7.76902
9509.33 4.50611
9509.81 2.80772
9510.29 1.88173
9510.77 1.33830
9511.25 0.995605
9511.73 0.767693
9512.69 0.494791
9513.65 0.344362
9514.61 0.253216
9516.53 0.153171
9520.36 0.0733237
9524.20 0.0428646
9531.87 0.0198642
9539.55 0.0114580
9554.90 0.00528319
9570.24 0.00307414
9631.64 0.000905624
9754.43 0.000351607
9877.21 0.000246864
10000.0 0.000209782
10275.6 0.000182922
