W-182(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
212.814 468.616
212.821 371.920
212.828 291.076
212.837 210.092
212.847 156.957
212.866 98.8423
212.885 71.0835
212.904 56.5450
212.923 48.1963
212.942 43.1644
212.979 37.9075
213.017 35.6579
213.055 34.7401
213.131 34.6097
213.283 36.6363
213.434 39.6181
214.041 56.0019
214.647 82.1185
215.253 127.564
215.557 164.027
215.860 216.970
216.163 297.745
216.466 429.179
216.769 662.377
216.921 851.905
217.073 1129.13
217.224 1553.24
217.376 2236.33
217.527 3395.24
217.679 5409.91
217.840 8741.21
218.000 11132.2
218.161 9073.47
218.322 5724.06
218.436 4056.28
218.550 2944.53
218.664 2203.53
218.778 1698.74
219.006 1087.26
219.234 751.456
219.461 549.332
219.689 418.965
220.145 266.915
220.601 185.070
221.056 135.992
221.968 82.3790
222.879 55.0882
223.791 39.2009
224.702 29.0603
225.614 22.1387
227.436 13.4479
229.259 8.31058
231.082 5.00532
232.905 2.85021
233.817 2.12728
234.728 1.64510
235.184 1.50341
235.412 1.46010
235.639 1.43653
235.867 1.43389
236.095 1.45358
236.323 1.49722
236.551 1.56656
236.779 1.66371
237.007 1.79098
237.235 1.95100
237.462 2.14666
237.918 2.65916
238.374 3.36136
238.829 4.29580
239.285 5.51791
240.197 9.14094
241.108 15.1659
242.019 25.3567
242.931 43.3192
243.387 57.4323
243.842 77.2191
244.298 105.781
244.754 148.523
245.210 215.562
245.665 327.369
246.121 529.927
246.349 696.532
246.577 941.513
246.805 1317.50
247.032 1921.94
247.260 2940.22
247.488 4685.07
247.744 7744.37
248.000 9946.69
248.256 8171.63
248.512 5266.21
248.770 3334.81
249.028 2232.45
249.286 1585.60
249.544 1183.78
249.802 919.581
250.060 737.474
250.576 509.759
251.093 377.986
251.609 294.625
252.641 198.328
253.673 146.263
254.705 114.547
255.737 93.5748
256.769 78.8527
258.834 59.8013
260.898 48.1761
262.962 40.4237
265.027 34.9176
269.155 27.6553
273.284 23.0975
277.413 19.9723
281.541 17.6916
289.799 14.5644
298.056 12.4816
306.313 10.9105
308.378 10.5415
310.442 10.1401
311.474 9.90074
311.990 9.75940
312.506 9.59363
313.023 9.39201
313.281 9.27628
313.539 9.16038
313.668 9.11392
313.797 9.09434
313.926 9.14177
314.055 9.36331
314.119 9.62389
314.184 10.0944
