83-Bi_n-g
> 83-Bi-209:1.000000
3.331870e+03 1.55528000e-03
3.339910e+03 5.81539000e-03
3.341920e+03 1.01998000e-02
3.343920e+03 2.25863000e-02
3.344930e+03 3.96953000e-02
3.345930e+03 8.75375000e-02
3.346440e+03 1.52780000e-01
3.346690e+03 2.16666000e-01
3.346940e+03 3.30927000e-01
3.347190e+03 5.66574000e-01
3.347320e+03 7.92946000e-01
3.347440e+03 1.18317000e+00
3.347570e+03 1.95858000e+00
3.347630e+03 2.66569000e+00
3.347690e+03 3.80813000e+00
3.347760e+03 5.90588000e+00
3.347790e+03 7.68731000e+00
3.347820e+03 1.02774000e+01
3.347850e+03 1.45227000e+01
3.347880e+03 2.14907000e+01
3.347910e+03 3.40696000e+01
3.347940e+03 5.80514000e+01
3.347970e+03 9.33003000e+01
3.348000e+03 1.16020000e+02
3.348030e+03 9.32987000e+01
3.348060e+03 5.80504000e+01
3.348090e+03 3.29979000e+01
3.348120e+03 2.00867000e+01
3.348160e+03 1.32534000e+01
3.348190e+03 9.31878000e+00
3.348230e+03 6.87964000e+00
3.348260e+03 5.27450000e+00
3.348330e+03 3.39130000e+00
3.348400e+03 2.34580000e+00
3.348460e+03 1.72418000e+00
3.348600e+03 1.03883000e+00
3.348730e+03 6.91240000e-01
3.348870e+03 4.93832000e-01
3.349140e+03 2.87873000e-01
3.349410e+03 1.87998000e-01
3.349680e+03 1.32500000e-01
3.350220e+03 7.58844000e-02
3.351300e+03 3.43845000e-02
3.352380e+03 1.95639000e-02
3.354550e+03 8.83919000e-03
3.356710e+03 5.04696000e-03
3.365370e+03 1.35984000e-03
3.382680e+03 4.27906000e-04
3.417300e+03 1.89507000e-04
3.451920e+03 1.41774000e-04
3.486540e+03 1.22684000e-04
3.625020e+03 9.62264000e-05
3.901980e+03 8.19377000e-05
4.178940e+03 8.67922000e-05
4.317420e+03 1.08067000e-04
4.352040e+03 1.25331000e-04
4.386660e+03 1.69766000e-04
4.421280e+03 3.94586000e-04
4.438590e+03 1.27457000e-03
4.442920e+03 2.17961000e-03
4.447250e+03 4.74131000e-03
4.449410e+03 8.28759000e-03
4.451570e+03 1.82426000e-02
4.452660e+03 3.18662000e-02
4.453200e+03 4.52905000e-02
4.453740e+03 6.94351000e-02
4.454280e+03 1.19682000e-01
4.454550e+03 1.68298000e-01
4.454820e+03 2.53402000e-01
4.454960e+03 3.23002000e-01
4.455090e+03 4.24714000e-01
4.455230e+03 5.82951000e-01
4.455360e+03 8.48428000e-01
4.455500e+03 1.34359000e+00
4.455560e+03 1.77222000e+00
4.455630e+03 2.42534000e+00
4.455700e+03 3.52248000e+00
4.455770e+03 5.47118000e+00
4.455800e+03 7.08645000e+00
4.455830e+03 9.43837000e+00
4.455870e+03 1.29392000e+01
4.455900e+03 1.81252000e+01
4.455950e+03 2.89037000e+01
4.456000e+03 3.62684000e+01
4.456050e+03 2.89027000e+01
4.456100e+03 1.81246000e+01
4.456130e+03 1.29389000e+01
4.456170e+03 9.52234000e+00
4.456230e+03 5.59169000e+00
4.456300e+03 3.58661000e+00
4.456370e+03 2.48778000e+00
4.456430e+03 1.81155000e+00
4.456500e+03 1.38029000e+00
4.456630e+03 8.72319000e-01
4.456760e+03 5.99668000e-01
4.456900e+03 4.37042000e-01
4.457160e+03 2.61757000e-01
4.457430e+03 1.73787000e-01
4.457690e+03 1.23845000e-01
4.458220e+03 7.19186000e-02
4.458760e+03 4.69051000e-02
4.459290e+03 3.30207000e-02
4.460350e+03 1.89180000e-02
4.461410e+03 1.22577000e-02
4.462470e+03 8.60013000e-03
4.464600e+03 4.92404000e-03
4.468850e+03 2.26647000e-03
4.473100e+03 1.32807000e-03
4.481600e+03 6.54594000e-04
4.490090e+03 4.18777000e-04
4.524090e+03 1.95923000e-04
4.558080e+03 1.61661000e-04
4.592080e+03 1.57007000e-04
4.660060e+03 1.74757000e-04
4.728050e+03 2.16348000e-04
4.796040e+03 2.92635000e-04
4.864030e+03 4.42542000e-04
4.898020e+03 5.76845000e-04
4.932010e+03 7.94288000e-04
4.966010e+03 1.18050000e-03
4.983000e+03 1.49734000e-03
5.000000e+03 1.96869000e-03
5.013640e+03 2.53626000e-03
5.027290e+03 3.39877000e-03
5.040930e+03 4.80261000e-03
5.054580e+03 7.31734000e-03
5.061400e+03 9.39834000e-03
5.068220e+03 1.25198000e-02
5.075040e+03 1.75101000e-02
5.081860e+03 2.62184000e-02
5.088690e+03 4.34916000e-02
5.092100e+03 5.93163000e-02
5.095510e+03 8.55587000e-02
5.098920e+03 1.33645000e-01
5.100620e+03 1.74154000e-01
5.102330e+03 2.35591000e-01
5.104040e+03 3.34588000e-01
5.104890e+03 4.07866000e-01
5.105740e+03 5.06064000e-01
5.106590e+03 6.40861000e-01
5.107450e+03 8.29270000e-01
5.108300e+03 1.09690000e+00
5.109150e+03 1.47394000e+00
5.110580e+03 2.35872000e+00
5.112000e+03 2.94807000e+00
5.113430e+03 2.35702000e+00
5.114850e+03 1.47231000e+00
5.115990e+03 9.93198000e-01
5.117140e+03 6.92498000e-01
5.118280e+03 5.02304000e-01
5.119430e+03 3.77845000e-01
5.121710e+03 2.33251000e-01
5.124000e+03 1.57083000e-01
5.126290e+03 1.12557000e-01
5.128570e+03 8.44595000e-02
5.133150e+03 5.24495000e-02
5.137720e+03 3.56553000e-02
5.142300e+03 2.57894000e-02
5.146870e+03 1.95099000e-02
5.151450e+03 1.52720000e-02
5.160600e+03 1.00857000e-02
5.169740e+03 7.15575000e-03
5.178890e+03 5.34126000e-03
5.188040e+03 4.14063000e-03
5.206340e+03 2.70112000e-03
5.224640e+03 1.90422000e-03
5.242940e+03 1.41760000e-03
5.261230e+03 1.09891000e-03
5.297830e+03 7.20852000e-04
5.334430e+03 5.13818000e-04
5.371020e+03 3.88371000e-04
5.407620e+03 3.06713000e-04
5.480810e+03 2.10522000e-04
5.554000e+03 1.58330000e-04
5.700390e+03 1.06980000e-04
5.846770e+03 8.43437000e-05
5.993150e+03 7.43579000e-05
6.139540e+03 7.73953000e-05
6.212730e+03 1.08006000e-04
6.249330e+03 2.29399000e-04
6.267620e+03 7.08220000e-04
6.276770e+03 2.60134000e-03
6.281350e+03 1.00257000e-02
6.282490e+03 1.75742000e-02
6.283640e+03 3.85606000e-02
6.284210e+03 6.69845000e-02
6.284780e+03 1.44057000e-01
6.285070e+03 2.44924000e-01
6.285350e+03 5.04575000e-01
6.285490e+03 8.22554000e-01
6.285570e+03 1.10894000e+00
6.285640e+03 1.56433000e+00
6.285710e+03 2.37643000e+00
6.285780e+03 3.96070000e+00
6.285820e+03 5.40523000e+00
6.285850e+03 7.63742000e+00
6.285890e+03 1.14711000e+01
6.285920e+03 1.78978000e+01
6.285960e+03 2.85779000e+01
6.286000e+03 3.57962000e+01
6.286040e+03 2.85774000e+01
6.286080e+03 1.78976000e+01
6.286110e+03 1.24900000e+01
6.286140e+03 8.88981000e+00
6.286160e+03 6.54813000e+00
6.286190e+03 4.98144000e+00
6.286250e+03 3.12293000e+00
6.286310e+03 2.12365000e+00
6.286370e+03 1.53194000e+00
6.286430e+03 1.15493000e+00
6.286540e+03 7.21704000e-01
6.286660e+03 4.92578000e-01
6.286770e+03 3.57221000e-01
6.287010e+03 2.12229000e-01
6.287470e+03 9.96893000e-02
6.287930e+03 5.77343000e-02
6.288860e+03 2.64106000e-02
6.289790e+03 1.51005000e-02
6.293500e+03 3.91006000e-03
6.300920e+03 1.04398000e-03
6.315760e+03 3.20447000e-04
6.345440e+03 1.44281000e-04
6.404790e+03 1.30817000e-04
6.434470e+03 1.71483000e-04
6.464150e+03 3.00531000e-04
6.478990e+03 4.83355000e-04
6.486410e+03 6.66618000e-04
6.493830e+03 1.00167000e-03
6.501250e+03 1.71668000e-03
6.504960e+03 2.42560000e-03
6.508670e+03 3.70927000e-03
6.510530e+03 4.78269000e-03
6.512380e+03 6.40927000e-03
6.514240e+03 9.04578000e-03
6.516090e+03 1.37391000e-02
6.517020e+03 1.75996000e-02
6.517950e+03 2.33456000e-02
6.518870e+03 3.24574000e-02
6.519800e+03 4.81269000e-02
6.520730e+03 7.85799000e-02
6.521190e+03 1.05845000e-01
6.521660e+03 1.49820000e-01
6.522120e+03 2.27532000e-01
6.522580e+03 3.81845000e-01
6.522810e+03 5.21836000e-01
6.523050e+03 7.46873000e-01
6.523280e+03 1.12777000e+00
6.523510e+03 1.78308000e+00
6.523760e+03 2.85494000e+00
6.524000e+03 3.56530000e+00
6.524250e+03 2.84990000e+00
6.524490e+03 1.78282000e+00
6.524640e+03 1.31341000e+00
6.524800e+03 9.84663000e-01
6.525100e+03 5.93430000e-01
6.525400e+03 3.89185000e-01
6.525710e+03 2.72881000e-01
6.526010e+03 2.00899000e-01
6.526310e+03 1.53724000e-01
6.526920e+03 9.80727000e-02
6.527530e+03 6.77984000e-02
6.528140e+03 4.96328000e-02
6.529350e+03 2.98451000e-02
6.530570e+03 1.98986000e-02
6.531780e+03 1.42100000e-02
6.533000e+03 1.06568000e-02
6.534210e+03 8.29069000e-03
6.536640e+03 5.43480000e-03
6.539070e+03 3.84285000e-03
6.543930e+03 2.22343000e-03
6.548790e+03 1.45802000e-03
6.553650e+03 1.03673000e-03
6.563370e+03 6.12855000e-04
6.573090e+03 4.14435000e-04
6.582810e+03 3.05828000e-04
6.602250e+03 1.96999000e-04
6.641130e+03 1.18358000e-04
6.680010e+03 9.04242000e-05
