35-Br_n-g
>  35-Br-79:0.506900
>  35-Br-81:0.493100
1.006320e+02 1.95194852e+02
1.007580e+02 3.02955401e+02
1.008220e+02 3.90628558e+02
1.008850e+02 5.17350304e+02
1.009480e+02 7.04309146e+02
1.010110e+02 9.79049650e+02
1.011060e+02 1.56792443e+03
1.012000e+02 1.96035803e+03
1.012950e+02 1.56551803e+03
1.013890e+02 9.76485393e+02
1.014550e+02 6.91079089e+02
1.015210e+02 5.01205979e+02
1.015870e+02 3.74648389e+02
1.016540e+02 2.88266120e+02
1.017860e+02 1.83609049e+02
1.019180e+02 1.26148551e+02
1.020500e+02 9.16290378e+01
1.021820e+02 6.94424486e+01
1.024470e+02 4.37100770e+01
1.027110e+02 2.99800556e+01
1.029760e+02 2.18296082e+01
1.032400e+02 1.66051673e+01
1.035050e+02 1.30602740e+01
1.040330e+02 8.70063481e+00
1.045620e+02 6.22730000e+00
1.050910e+02 4.69262049e+00
1.056200e+02 3.67688929e+00
1.066780e+02 2.46106358e+00
1.077360e+02 1.79275147e+00
1.087930e+02 1.39006282e+00
1.098510e+02 1.13220714e+00
1.119670e+02 8.43592993e-01
1.140820e+02 7.11301769e-01
1.144370e+02 7.08350184e-01
1.183130e+02 6.77714513e-01
1.204290e+02 7.49113188e-01
1.225440e+02 8.95517256e-01
1.246600e+02 1.16380583e+00
1.267750e+02 1.67094213e+00
1.278330e+02 2.09955588e+00
1.288730e+02 2.73816366e+00
1.288910e+02 2.74922354e+00
1.299480e+02 3.79833943e+00
1.310060e+02 5.64827482e+00
1.315350e+02 7.15339932e+00
1.320640e+02 9.37297640e+00
1.325930e+02 1.28395048e+01
1.331220e+02 1.86870158e+01
1.336500e+02 2.96928948e+01
1.339150e+02 3.92275929e+01
1.341790e+02 5.41169621e+01
1.344440e+02 7.91088659e+01
1.347080e+02 1.25132471e+02
1.348400e+02 1.63561784e+02
1.349730e+02 2.20490237e+02
1.351050e+02 3.07064356e+02
1.352370e+02 4.38893219e+02
1.354190e+02 7.01201296e+02
1.356000e+02 8.75004333e+02
1.357820e+02 6.99362193e+02
1.359630e+02 4.37017293e+02
1.360880e+02 3.11240852e+02
1.362130e+02 2.26770904e+02
1.363380e+02 1.70103414e+02
1.364630e+02 1.31255572e+02
1.367140e+02 8.39008237e+01
1.369640e+02 5.77804404e+01
1.372140e+02 4.20395163e+01
1.374640e+02 3.18944882e+01
1.379640e+02 2.01010381e+01
1.384650e+02 1.37979611e+01
1.389650e+02 1.00499306e+01
1.394650e+02 7.64535109e+00
1.399650e+02 6.01262098e+00
1.409660e+02 4.00304253e+00
1.419670e+02 2.86135460e+00
1.429670e+02 2.15174018e+00
1.433100e+02 1.99045402e+00
1.439680e+02 1.68151883e+00
1.459690e+02 1.11718485e+00
1.479700e+02 8.04765796e-01
1.499710e+02 6.14324889e-01
1.505280e+02 5.79738661e-01
1.519720e+02 4.94137690e-01
1.541370e+02 4.21227175e-01
1.550390e+02 3.98629467e-01
1.559420e+02 3.93136456e-01
1.559750e+02 3.94505379e-01
1.563930e+02 4.18918963e-01
1.566180e+02 4.47226213e-01
1.568440e+02 4.97966891e-01
1.570690e+02 5.97473822e-01
1.571820e+02 6.85334032e-01
1.572950e+02 8.23797562e-01
1.574080e+02 1.05806164e+00
1.575210e+02 1.49225722e+00
1.575770e+02 1.85622698e+00
1.576330e+02 2.39684631e+00
1.576900e+02 3.22129372e+00
1.577460e+02 4.47754940e+00
1.578230e+02 6.97103217e+00
1.579000e+02 8.62887507e+00
1.579770e+02 6.96479952e+00
1.580540e+02 4.46759326e+00
1.581150e+02 3.12442296e+00
1.581760e+02 2.27542947e+00
1.582370e+02 1.73515329e+00
1.582980e+02 1.37954078e+00
1.584210e+02 9.64071186e-01
1.585430e+02 7.43494949e-01
1.586650e+02 6.13219906e-01
1.587870e+02 5.30054122e-01
1.590310e+02 4.33141494e-01
1.592760e+02 3.80027621e-01
1.595200e+02 3.46909372e-01
1.599770e+02 3.09877704e-01
1.600090e+02 3.07544403e-01
1.609860e+02 2.73686142e-01
1.619630e+02 2.54745947e-01
1.639790e+02 2.30241564e-01
1.658720e+02 2.15538642e-01
1.679820e+02 2.05926072e-01
1.697810e+02 2.03875289e-01
1.736900e+02 2.11412955e-01
1.759860e+02 2.31509666e-01
1.775980e+02 2.49484014e-01
1.795530e+02 2.95254108e-01
1.815070e+02 3.79866804e-01
1.834620e+02 5.60070326e-01
1.839910e+02 6.56052674e-01
1.844390e+02 7.38141698e-01
1.854160e+02 1.05777833e+00
1.859050e+02 1.32200000e+00
1.863930e+02 1.71854852e+00
1.868820e+02 2.35380579e+00
1.873710e+02 3.46748034e+00
1.876150e+02 4.36997810e+00
1.878590e+02 5.69701474e+00
1.881040e+02 7.76273587e+00
1.882260e+02 9.25674902e+00
1.883480e+02 1.12336858e+01
1.884700e+02 1.39292040e+01
1.885920e+02 1.77271790e+01
1.887140e+02 2.33206952e+01
1.888360e+02 3.19984445e+01
1.889590e+02 4.64454755e+01
1.890200e+02 5.74818678e+01
1.890810e+02 7.26938995e+01
1.891420e+02 9.43430542e+01
1.892030e+02 1.26020212e+02
1.892640e+02 1.73460439e+02
1.893250e+02 2.44327556e+02
1.894130e+02 3.90678656e+02
1.895000e+02 4.88131142e+02
1.895880e+02 3.90443348e+02
1.896750e+02 2.44075919e+02
1.897590e+02 1.53490810e+02
1.898420e+02 1.01474202e+02
1.899250e+02 7.08589122e+01
1.900090e+02 5.18668386e+01
1.901760e+02 3.09639039e+01
1.903420e+02 2.05084830e+01
1.905090e+02 1.46107514e+01
1.906760e+02 1.09926506e+01
1.910100e+02 7.05226194e+00
1.913430e+02 5.24642982e+00
1.916770e+02 4.74342133e+00
1.918440e+02 5.12106616e+00
1.919950e+02 6.31341823e+00
1.920100e+02 6.43190988e+00
1.920940e+02 7.83992989e+00
1.921770e+02 1.03077233e+01
1.922610e+02 1.48426573e+01
1.923440e+02 2.33955318e+01
1.924220e+02 3.62071649e+01
1.925000e+02 4.47435528e+01
1.925780e+02 3.60228850e+01
1.926560e+02 2.30362989e+01
1.927130e+02 1.64733514e+01
1.927710e+02 1.21778207e+01
1.928860e+02 7.44629352e+00
1.930000e+02 5.13703619e+00
1.931150e+02 3.85966751e+00
1.933450e+02 2.55788050e+00
1.935740e+02 1.92331844e+00
1.940330e+02 1.31054609e+00
1.944920e+02 1.00992784e+00
1.954100e+02 7.07944809e-01
1.959980e+02 6.10835054e-01
1.963280e+02 5.58195383e-01
1.979990e+02 4.35157901e-01
1.981640e+02 4.24260476e-01
1.990000e+02 4.06893807e-01
2.000000e+02 3.97103494e-01
2.012180e+02 4.45790437e-01
2.018270e+02 5.02535757e-01
2.024360e+02 6.11474725e-01
2.027400e+02 7.04654100e-01
2.028620e+02 7.61629948e-01
2.030440e+02 8.48982132e-01
2.033490e+02 1.08260022e+00
2.036530e+02 1.49032848e+00
2.039580e+02 2.29901458e+00
2.041100e+02 3.03895730e+00
2.042620e+02 4.26435204e+00
2.044140e+02 6.50480300e+00
2.044910e+02 8.38709825e+00
2.045670e+02 1.12365613e+01
2.046430e+02 1.58097048e+01
2.047190e+02 2.36961843e+01
2.047950e+02 3.84526810e+01
2.048330e+02 5.05963464e+01
2.048710e+02 6.75801334e+01
2.049030e+02 8.64239026e+01
2.049360e+02 1.07872224e+02
2.050000e+02 1.34682963e+02
2.050650e+02 1.07835051e+02
2.051290e+02 6.75348794e+01
2.051780e+02 4.65369816e+01
2.052270e+02 3.30300618e+01
2.052770e+02 2.43068515e+01
2.053260e+02 1.85112761e+01
2.054240e+02 1.16560055e+01
2.055220e+02 7.99158497e+00
2.056210e+02 5.82603907e+00
2.057190e+02 4.45058384e+00
2.057230e+02 4.41853272e+00
2.059160e+02 2.87463951e+00
2.061130e+02 2.04389165e+00
2.063090e+02 1.55467765e+00
2.065060e+02 1.24330216e+00
2.067030e+02 1.03349047e+00
2.070960e+02 7.77776479e-01
2.074890e+02 6.34960197e-01
2.078830e+02 5.48057034e-01
2.082760e+02 4.91995779e-01
2.085850e+02 4.66969716e-01
2.090630e+02 4.41405830e-01
2.093000e+02 4.38467004e-01
2.098490e+02 4.61424106e-01
2.100150e+02 4.72575178e-01
2.103730e+02 5.43174375e-01
2.107310e+02 7.23344064e-01
2.109100e+02 9.32033116e-01
2.110880e+02 1.37394792e+00
2.111780e+02 1.80025198e+00
2.112670e+02 2.53245098e+00
2.113570e+02 3.89241923e+00
2.114230e+02 5.86112457e+00
2.114460e+02 6.54750438e+00
2.115230e+02 1.02560230e+01
2.116000e+02 1.27191896e+01
2.116770e+02 1.02522976e+01
2.117540e+02 6.54268946e+00
2.118060e+02 4.78303184e+00
2.118580e+02 3.59165474e+00
2.119630e+02 2.23164479e+00
2.120670e+02 1.55159303e+00
2.121720e+02 1.17417832e+00
2.123800e+02 7.98484739e-01
2.125890e+02 6.26684086e-01
2.129960e+02 4.84098248e-01
2.130070e+02 4.80305408e-01
2.134240e+02 4.24407022e-01
2.145700e+02 3.92938193e-01
2.150950e+02 3.80288320e-01
2.177160e+02 4.24932013e-01
2.184360e+02 4.38787781e-01
2.217760e+02 5.77261677e-01
2.240100e+02 7.52797075e-01
2.251170e+02 8.40734027e-01
2.267870e+02 1.06460014e+00
2.284580e+02 1.40476869e+00
2.301280e+02 1.95704011e+00
2.303040e+02 2.06070320e+00
2.317990e+02 2.94188940e+00
2.326340e+02 3.75209699e+00
2.334690e+02 4.96035794e+00
2.343040e+02 6.87691027e+00
2.351390e+02 1.01841529e+01
2.355570e+02 1.28199181e+01
2.359750e+02 1.66311338e+01
2.363920e+02 2.24287895e+01
2.368100e+02 3.18530609e+01
2.372270e+02 4.86127332e+01
2.374360e+02 6.22986210e+01
2.376450e+02 8.24392214e+01
2.378540e+02 1.13539507e+02
2.380630e+02 1.64329309e+02
2.382710e+02 2.52209491e+02
2.384800e+02 4.08476058e+02
2.386900e+02 6.53168796e+02
2.389000e+02 8.15721431e+02
2.391100e+02 6.52007880e+02
2.393200e+02 4.07299820e+02
2.395270e+02 2.52116890e+02
2.397340e+02 1.64610179e+02
2.399420e+02 1.13853718e+02
2.401490e+02 8.27213842e+01
2.403560e+02 6.25193348e+01
2.405630e+02 4.87849239e+01
2.409770e+02 3.19492419e+01
2.413910e+02 2.24739000e+01
2.418060e+02 1.66454499e+01
2.426340e+02 1.01650637e+01
2.428910e+02 9.13525269e+00
2.434630e+02 6.84348009e+00
2.442910e+02 4.92144659e+00
2.451200e+02 3.71150640e+00
2.459480e+02 2.90147971e+00
2.460380e+02 2.84812320e+00
2.476050e+02 1.92039425e+00
2.491840e+02 1.39814830e+00
2.492620e+02 1.37251631e+00
2.507580e+02 1.07236020e+00
2.509190e+02 1.04058128e+00
2.515450e+02 9.60828527e-01
2.523310e+02 8.64866272e-01
2.525760e+02 8.38130606e-01
2.531180e+02 8.08557843e-01
2.535110e+02 7.96350595e-01
2.539050e+02 7.98684554e-01
2.542980e+02 8.35681290e-01
2.544950e+02 8.84042871e-01
2.546910e+02 9.77371045e-01
2.548880e+02 1.16950678e+00
2.549860e+02 1.34433446e+00
2.550850e+02 1.62556788e+00
