57-La_n-tot
> 57-La-139:1.000000
2.485760e+02 3.37524000e+00
2.487540e+02 3.33603000e+00
2.489320e+02 3.32132000e+00
2.492880e+02 3.30973000e+00
2.496450e+02 3.30482000e+00
2.510690e+02 3.29638000e+00
2.539180e+02 3.28602000e+00
2.596150e+02 3.26745000e+00
2.710100e+02 3.23275000e+00
2.938000e+02 3.17043000e+00
3.165900e+02 3.11580000e+00
3.279850e+02 3.09090000e+00
3.336830e+02 3.07915000e+00
3.365310e+02 3.07408000e+00
3.379560e+02 3.07426000e+00
3.383120e+02 3.07668000e+00
3.386680e+02 3.08474000e+00
3.388460e+02 3.09634000e+00
3.390240e+02 3.12867000e+00
3.391130e+02 3.17176000e+00
3.392020e+02 3.28485000e+00
3.392460e+02 3.42646000e+00
3.392690e+02 3.55567000e+00
3.392910e+02 3.76734000e+00
3.393130e+02 4.15245000e+00
3.393240e+02 4.47145000e+00
3.393350e+02 4.94908000e+00
3.393470e+02 5.71275000e+00
3.393580e+02 6.99346000e+00
3.393690e+02 9.31726000e+00
3.393800e+02 1.37164000e+01
3.393900e+02 2.01270000e+01
3.394000e+02 2.43393000e+01
3.394100e+02 2.00600000e+01
3.394200e+02 1.37171000e+01
3.394300e+02 9.66959000e+00
3.394400e+02 7.39908000e+00
3.394500e+02 6.07450000e+00
3.394590e+02 5.25780000e+00
3.394790e+02 4.36365000e+00
3.394990e+02 3.91797000e+00
3.395180e+02 3.66643000e+00
3.395380e+02 3.51132000e+00
3.395770e+02 3.33846000e+00
3.396550e+02 3.19804000e+00
3.397340e+02 3.14364000e+00
3.398910e+02 3.10200000e+00
3.400470e+02 3.08648000e+00
3.403610e+02 3.07463000e+00
3.406750e+02 3.06998000e+00
3.419290e+02 3.06351000e+00
3.444380e+02 3.05754000e+00
3.494560e+02 3.04753000e+00
3.594930e+02 3.02860000e+00
3.795650e+02 2.99317000e+00
4.197100e+02 2.92990000e+00
5.000000e+02 2.82281000e+00
5.293390e+02 2.78635000e+00
5.586780e+02 2.74762000e+00
5.733470e+02 2.72480000e+00
5.806820e+02 2.71114000e+00
5.880170e+02 2.69445000e+00
5.953510e+02 2.67180000e+00
5.990190e+02 2.65611000e+00
6.026860e+02 2.63481000e+00
6.045200e+02 2.62070000e+00
6.063530e+02 2.60290000e+00
6.081870e+02 2.57952000e+00
6.100210e+02 2.54714000e+00
6.109380e+02 2.52571000e+00
6.118540e+02 2.49913000e+00
6.127710e+02 2.46551000e+00
6.136880e+02 2.42256000e+00
6.141470e+02 2.39718000e+00
6.146050e+02 2.37002000e+00
6.150630e+02 2.34455000e+00
6.155220e+02 2.33308000e+00
6.157510e+02 2.34402000e+00
6.159800e+02 2.38273000e+00
6.162090e+02 2.48184000e+00
6.164390e+02 2.72456000e+00
6.165530e+02 2.96377000e+00
6.166680e+02 3.36350000e+00
6.167820e+02 4.06882000e+00
6.168970e+02 5.41782000e+00
6.170120e+02 8.33718000e+00
6.170690e+02 1.11755000e+01
6.171260e+02 1.60900000e+01
6.171830e+02 2.55165000e+01
6.172120e+02 3.37560000e+01
6.172410e+02 4.65690000e+01
6.172690e+02 6.79571000e+01
6.172980e+02 1.06381000e+02
6.173120e+02 1.37858000e+02
6.173270e+02 1.82928000e+02
6.173410e+02 2.49034000e+02
6.173550e+02 3.45759000e+02
6.173780e+02 5.65420000e+02
6.174000e+02 7.22053000e+02
6.174220e+02 5.90985000e+02
6.174450e+02 3.79009000e+02
6.174660e+02 2.46764000e+02
6.174860e+02 1.68460000e+02
6.175070e+02 1.21252000e+02
6.175280e+02 9.14880000e+01
6.175690e+02 5.78018000e+01
6.176110e+02 4.04172000e+01
6.176520e+02 3.03015000e+01
6.176940e+02 2.39227000e+01
6.177770e+02 1.65824000e+01
6.178600e+02 1.26455000e+01
6.179430e+02 1.02761000e+01
6.180260e+02 8.72511000e+00
6.181090e+02 7.65001000e+00
6.182750e+02 6.28023000e+00
6.184410e+02 5.46246000e+00
6.186070e+02 4.92830000e+00
6.187730e+02 4.55647000e+00
6.191060e+02 4.07840000e+00
6.194380e+02 3.78853000e+00
6.197700e+02 3.59590000e+00
6.201020e+02 3.45955000e+00
6.207660e+02 3.28039000e+00
6.214310e+02 3.16866000e+00
6.220950e+02 3.09261000e+00
6.227590e+02 3.03758000e+00
6.240880e+02 2.96332000e+00
6.254170e+02 2.91547000e+00
6.267450e+02 2.88195000e+00
6.280740e+02 2.85706000e+00
6.307310e+02 2.82228000e+00
6.333880e+02 2.79879000e+00
6.360460e+02 2.78157000e+00
6.387030e+02 2.76818000e+00
6.440180e+02 2.74816000e+00
6.493320e+02 2.73331000e+00
6.599610e+02 2.71124000e+00
6.705900e+02 2.69420000e+00
6.812190e+02 2.67975000e+00
6.918480e+02 2.66754000e+00
6.945060e+02 2.66546000e+00
6.971630e+02 2.66548000e+00
6.984910e+02 2.66833000e+00
6.998200e+02 2.67928000e+00
7.004840e+02 2.69587000e+00
7.008170e+02 2.71281000e+00
7.011490e+02 2.74405000e+00
7.014810e+02 2.81107000e+00
7.016470e+02 2.87765000e+00
7.018130e+02 2.99819000e+00
7.018960e+02 3.09910000e+00
7.019790e+02 3.25178000e+00
7.020620e+02 3.49941000e+00
7.021450e+02 3.93925000e+00
7.021870e+02 4.30134000e+00
7.022280e+02 4.83910000e+00
7.022700e+02 5.68941000e+00
7.023110e+02 7.14953000e+00
7.023530e+02 9.97255000e+00
7.023740e+02 1.24958000e+01
7.023940e+02 1.65371000e+01
7.024150e+02 2.36535000e+01
7.024360e+02 3.76037000e+01
7.024460e+02 5.01547000e+01
7.024570e+02 7.01183000e+01
7.024670e+02 1.03425000e+02
7.024770e+02 1.59329000e+02
7.024890e+02 2.53592000e+02
7.025000e+02 3.16543000e+02
7.025110e+02 2.53598000e+02
