Cu-63(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
999.999 0.0856928
1000.00 0.0856411
1000.01 0.0854347
1000.02 0.0852292
1000.03 0.0848461
1000.06 0.0840633
1000.12 0.0825575
1000.25 0.0796768
1000.49 0.0743944
1000.98 0.0654409
1001.96 0.0522068
1003.91 0.0365028
1005.86 0.0278909
1007.81 0.0226643
1011.72 0.0169098
1015.63 0.0139776
1023.44 0.0112143
1031.25 0.00999328
1062.50 0.00855644
1125.00 0.00821208
1250.00 0.00879125
1375.00 0.0103494
1500.00 0.0134621
1625.00 0.0200202
1687.50 0.0262265
1750.00 0.0368245
1812.50 0.0571606
1843.75 0.0751980
1875.00 0.104194
1906.25 0.155189
1921.88 0.196568
1937.50 0.257376
1953.13 0.351696
1968.75 0.508562
1984.38 0.794312
1992.19 1.03070
2000.00 1.37835
2008.20 1.93626
2016.40 2.80211
2027.20 4.48567
2038.00 5.66550
2048.80 4.57922
2059.60 2.86398
2068.66 1.89510
2077.71 1.30016
2086.76 0.931427
2095.82 0.693927
2113.93 0.422992
2132.03 0.282878
2150.14 0.202077
2168.25 0.151608
2204.47 0.0948800
2240.69 0.0657362
2276.90 0.0491147
2313.12 0.0390753
2349.34 0.0329694
2421.77 0.0285332
2457.99 0.0301406
2494.20 0.0360019
2530.42 0.0512924
2548.53 0.0673126
2566.64 0.0967904
2575.69 0.121547
2584.75 0.159037
2593.80 0.219602
2602.85 0.326675
2607.38 0.414015
2611.91 0.543138
2616.44 0.745471
2620.96 1.08843
2623.23 1.35693
2625.49 1.73831
2627.75 2.30540
2630.02 3.19753
2632.28 4.71129
2633.41 5.88999
2634.54 7.54539
2635.68 9.95432
2636.81 13.5853
2637.94 19.2334
2639.07 28.0656
2640.54 44.9875
2642.00 56.7157
2643.47 45.7658
2644.93 28.6617
2646.24 18.5053
2647.55 12.4643
2648.86 8.81289
2650.17 6.50382
2652.79 3.91432
2655.41 2.59596
2658.03 1.84175
2660.65 1.37279
2665.89 0.846007
2671.13 0.573277
2676.38 0.414389
2681.62 0.313872
2686.86 0.246318
2697.34 0.163972
2707.82 0.117616
2718.30 0.0889511
2728.78 0.0699901
2749.75 0.0472198
2770.71 0.0345521
2812.63 0.0215998
2854.56 0.0153718
2896.49 0.0118568
2980.34 0.00816771
3064.19 0.00633138
3148.04 0.00528725
3231.89 0.00474075
3273.82 0.00498180
3284.30 0.00542284
3294.78 0.00676722
3300.02 0.00866966
3305.26 0.0140416
3307.88 0.0214005
3310.50 0.0416445
3311.81 0.0686240
3313.12 0.140014
3313.78 0.230559
3314.10 0.314086
3314.43 0.452914
3314.76 0.710205
3314.92 0.928903
3315.09 1.26137
3315.25 1.80619
3315.41 2.76784
3315.58 4.63090
3315.66 6.21315
3315.74 8.45840
3315.87 13.5532
3316.00 16.9213
3316.13 13.5223
3316.26 8.46663
3316.35 5.92668
3316.45 4.25765
3316.54 3.15941
3316.64 2.41763
3316.82 1.52880
3317.01 1.04608
3317.20 0.758327
3317.39 0.574122
3317.76 0.361479
3318.14 0.248527
3318.52 0.181611
3319.27 0.109747
3320.77 0.0538040
3322.27 0.0328784
3325.28 0.0172568
3328.29 0.0115998
3334.30 0.00745833
3340.32 0.00597219
3352.35 0.00487636
3364.38 0.00446907
3412.50 0.00402288
3460.62 0.00414289
3472.65 0.00441408
3484.68 0.00523892
3490.69 0.00640461
3496.71 0.00969996
3499.72 0.0142240
3502.72 0.0267223
3504.23 0.0434812
3505.73 0.0881866
3506.48 0.145568
3507.23 0.288931
3507.61 0.458046
3507.99 0.832254
3508.17 1.21365
3508.36 1.91295
3508.46 2.49404
3508.55 3.35078
3508.64 4.64590
3508.74 6.57959
3508.87 10.5501
3509.00 13.1814
3509.13 10.5318
3509.26 6.59020
3509.42 3.77602
3509.57 2.34053
3509.72 1.56392
3509.87 1.10976
3510.17 0.636209
3510.47 0.410423
3511.08 0.211115
3511.68 0.128937
3512.89 0.0634443
3514.10 0.0385070
3516.52 0.0196997
3518.94 0.0128325
3523.77 0.00778979
3528.61 0.00598427
3538.28 0.00467041
3547.95 0.00420000
3586.64 0.00372514
3664.01 0.00361402
3741.38 0.00368324
3780.06 0.00382240
3799.41 0.00417031
3809.08 0.00538816
3813.91 0.00989959
3816.33 0.0258469
3817.54 0.0760305
3818.15 0.203114
3818.45 0.432733
3818.60 0.707803
3818.75 1.25764
3818.88 2.01088
3819.00 2.50701
3819.13 2.00487
3819.25 1.25790
3819.39 0.741649
3819.53 0.468090
3819.80 0.227881
3820.35 0.0875026
3821.45 0.0298367
3823.65 0.0110986
3828.06 0.00575401
3836.86 0.00434733
3854.47 0.00403182
3889.69 0.00406725
3960.12 0.00440733
4100.99 0.00594613
4171.43 0.00779173
4206.65 0.00945661
4241.86 0.0122377
4277.08 0.0175257
4294.69 0.0222361
4312.30 0.0299032
4329.91 0.0437339
4338.71 0.0553027
4347.52 0.0728791
4356.32 0.101553
4365.13 0.153340
4369.53 0.196927
4373.93 0.264837
4378.33 0.393030
4379.43 0.455149
4380.53 0.567380
4381.08 0.680120
4381.63 0.919327
4381.91 1.17102
4382.18 1.67154
4382.32 2.13341
4382.46 2.88691
4382.60 4.21863
4382.73 6.62363
4382.87 10.3244
4383.00 12.8915
4383.13 10.4983
4383.27 6.77645
4383.39 4.51939
4383.51 3.20419
4383.64 2.42423
4383.76 1.93930
4384.00 1.40839
4384.25 1.14880
4384.74 0.929029
4385.23 0.857250
4387.20 0.918054
4389.17 1.16005
4391.14 1.56227
4393.11 2.23218
4395.07 3.42870
4396.06 4.39461
4397.04 5.78082
4398.03 7.81074
4399.01 10.7843
4402.00 22.2305
4403.50 18.2533
4404.99 11.4880
4406.23 7.63609
4407.48 5.25487
4408.72 3.77262
4409.96 2.81522
4412.44 1.72007
4414.93 1.15193
4417.41 0.823311
4419.90 0.617588
4424.86 0.385542
4429.83 0.266316
4434.80 0.201514
4437.29 0.185095
4439.77 0.188119
4441.01 0.210214
4442.25 0.283278
4442.87 0.381549
4443.50 0.625819
4443.81 0.907254
4444.12 1.50180
4444.27 2.08164
4444.43 3.07736
4444.58 4.94206
4444.74 8.62929
4444.87 13.7784
4445.00 17.2050
4445.13 13.7742
4445.26 8.65671
4445.36 5.96897
4445.47 4.24777
4445.57 3.14020
4445.67 2.41107
4445.87 1.54280
4446.07 1.08109
4446.47 0.633618
4446.87 0.433816
4447.68 0.263821
4448.49 0.194564
4450.10 0.137353
4451.71 0.112828
4454.93 0.0892101
4458.15 0.0762457
4471.04 0.0501169
4483.93 0.0373562
4496.81 0.0298238
4522.59 0.0218455
4548.37 0.0182291
4599.92 0.0163849
4651.47 0.0186439
4703.02 0.0259949
4728.79 0.0336018
4754.57 0.0472293
4780.35 0.0749879
4793.23 0.101101
4806.12 0.145699
4812.56 0.180892
4819.01 0.231312
4825.45 0.307087
4831.90 0.428206
4838.34 0.638470
4841.56 0.806050
4844.78 1.04697
4848.01 1.40769
4851.23 1.97292
4854.45 2.89837
4857.67 4.43954
4861.34 7.12132
4865.00 9.03782
4868.67 7.34589
4872.34 4.60953
4876.33 2.72207
4880.32 1.71681
4884.31 1.16051
4888.30 0.830607
4892.29 0.621808
4896.28 0.482420
4904.26 0.314795
4912.23 0.222268
4920.21 0.166126
4936.17 0.104656
4952.13 0.0737652
4968.09 0.0562902
5000.00 0.0388136
5032.59 0.0313680
5065.19 0.0286399
5130.37 0.0311223
5162.97 0.0360809
5195.56 0.0446816
5228.15 0.0596075
5244.45 0.0720721
5252.60 0.0842909
5256.67 0.107642
5257.69 0.127340
5258.71 0.176697
5259.22 0.237026
5259.73 0.378577
5259.98 0.534495
5260.24 0.847522
5260.49 1.60763
5260.62 2.41965
5260.74 3.86235
5260.87 6.12941
5261.00 7.66092
5261.13 6.16768
5261.26 3.89258
5261.37 2.59668
5261.47 1.80536
5261.69 1.00248
5261.91 0.644543
5262.13 0.459462
5262.56 0.285842
5263.00 0.210638
5263.87 0.149015
5264.74 0.125492
5268.23 0.103964
5275.19 0.106703
5289.13 0.130085
5303.07 0.166087
5317.00 0.220882
5330.94 0.309042
5344.88 0.462599
5351.84 0.584984
5358.81 0.760336
5365.78 1.02113
5369.26 1.20256
5371.01 1.32127
5371.88 1.41956
5372.31 1.54048
5372.53 1.69201
5372.75 2.06531
5373.00 2.74009
5373.25 2.10598
5373.52 1.72383
5373.78 1.61590
5374.31 1.58014
5375.36 1.63371
5377.48 1.81254
5381.70 2.27171
5390.85 3.65442
5400.00 4.69478
5404.58 4.49188
5409.15 3.86224
5418.30 2.43008
5424.67 1.72217
5431.04 1.24813
5437.42 0.932052
5443.79 0.716700
5456.53 0.456581
5469.27 0.314409
5482.02 0.229411
5494.76 0.174958
5520.24 0.112234
5545.73 0.0792416
5571.21 0.0601470
5622.19 0.0414562
5673.16 0.0366348
5698.64 0.0389642
5724.13 0.0466270
5749.61 0.0659216
5762.36 0.0856194
5775.10 0.120880
5787.84 0.192150
5794.21 0.258246
5797.40 0.305942
5800.59 0.368934
5803.77 0.454478
5806.96 0.574510
5810.14 0.749910
5813.33 1.01944
5816.51 1.46138
5818.11 1.79404
5819.70 2.24684
5821.29 2.87960
5822.89 3.78522
5824.48 5.10447
5826.07 7.01571
5828.54 11.1911
5831.00 13.8708
5833.47 11.0117
5835.93 6.87307
5837.91 4.64244
5839.89 3.24282
5841.87 2.35687
5843.85 1.77615
5847.81 1.10109
5851.77 0.745004
5855.73 0.536689
5859.69 0.405038
5867.61 0.254879
5875.53 0.175951
5883.45 0.129476
5899.29 0.0797448
5915.13 0.0550464
5930.97 0.0409661
5962.64 0.0262388
5994.32 0.0190006
6026.00 0.0148560
6089.36 0.0104481
6152.71 0.00822545
6216.07 0.00693709
6342.78 0.00561379
6596.21 0.00502245
6722.92 0.00544663
6786.28 0.00646398
6802.12 0.00733374
6817.96 0.00965848
6825.88 0.0128014
6833.80 0.0215355
6837.76 0.0334409
6841.72 0.0662044
6843.70 0.109969
6845.68 0.226292
6846.67 0.374720
6847.16 0.512125
6847.66 0.742591
6848.15 1.17230
6848.40 1.54172
6848.65 2.11057
6848.90 3.05509
6849.14 4.75031
6849.27 6.14056
6849.39 8.14040
6849.51 11.1297
6849.64 15.5259
6849.82 24.9418
6850.00 31.5455
6850.18 25.5482
6850.36 16.0430
6850.48 11.6072
6850.60 8.56378
6850.84 5.04126
6851.08 3.25697
6851.31 2.26216
6851.55 1.65443
6851.79 1.26156
6852.26 0.800699
6852.74 0.552770
6853.21 0.404678
6854.16 0.244456
6855.12 0.164289
6856.07 0.118660
6857.97 0.0713292
6859.87 0.0485565
6861.77 0.0359002
6865.57 0.0230615
6869.37 0.0170182
6873.17 0.0137106
6880.77 0.0104201
6895.97 0.00813225
6911.17 0.00742705
6971.99 0.00745629
7002.39 0.00814735
7032.80 0.00980621
7048.00 0.0118688
7055.60 0.0138466
7063.20 0.0173865
7070.80 0.0248405
7074.60 0.0321974
7078.40 0.0455106
7082.21 0.0735996
7084.11 0.101150
7086.01 0.150487
7087.91 0.252580
7088.86 0.350432
7089.81 0.521104
7090.76 0.859347
7091.23 1.16894
7091.71 1.68186
7091.94 2.07534
7092.18 2.62046
7092.42 3.41192
7092.66 4.60665
7092.89 6.53681
7093.01 7.96549
7093.13 9.86443
7093.25 12.4887
7093.37 16.1662
7093.49 21.3989
7093.61 28.7479
7093.80 46.2534
7094.00 59.0373
7094.10 56.2128
7094.20 48.2096
7094.39 30.2740
7094.62 17.2890
7094.85 10.6390
7095.08 7.06850
7095.31 4.99374
7095.53 3.69965
7095.76 2.84440
7096.22 1.82771
7096.67 1.27005
7097.13 0.933381
7098.04 0.565864
7098.95 0.380216
7099.86 0.273920
7100.78 0.207355
7101.69 0.163034
7103.51 0.109459
7105.33 0.0795799
7107.16 0.0612435
7108.98 0.0491998
7112.62 0.0348631
7116.27 0.0270037
7123.56 0.0191657
7130.85 0.0155775
7138.14 0.0136857
7152.72 0.0119601
7211.05 0.0115329
7269.38 0.0134174
7327.71 0.0168188
7386.04 0.0230789
7415.20 0.0285547
7444.36 0.0375626
7458.95 0.0445778
7473.53 0.0546579
7480.82 0.0614835
7488.11 0.0700703
7495.40 0.0811121
7502.69 0.0956823
7509.98 0.115512
7517.27 0.143534
7524.57 0.185031
7531.86 0.250250
7539.15 0.361051
7542.79 0.447660
7546.44 0.569966
7550.08 0.749166
7553.73 1.02220
7557.38 1.45431
7561.02 2.14809
7570.00 4.49673
7572.25 4.33768
7574.49 3.75418
7578.98 2.37904
7584.18 1.36562
7589.38 0.847382
7594.57 0.570615
7599.77 0.410749
7604.97 0.311659
7610.16 0.246660
7620.56 0.170272
7630.95 0.129583
7641.35 0.106030
7662.14 0.0829723
7682.92 0.0749696
7703.71 0.0745349
