Nd-142(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 950.742
1.25000E-05 851.208
1.50000E-05 777.735
2.00000E-05 674.602
2.75000E-05 576.471
3.50000E-05 511.889
4.25000E-05 465.266
5.00000E-05 429.574
6.25000E-05 385.060
7.50000E-05 352.202
0.000100000 306.079
0.000125000 274.603
0.000150000 251.369
0.000200000 218.755
0.000275000 187.722
0.000350000 167.299
0.000425000 152.555
0.000500000 141.268
0.000625000 127.191
0.000750000 116.799
0.00100000 102.213
0.00125000 92.2579
0.00150000 84.9094
0.00200000 74.5942
0.00275000 64.7785
0.00350000 58.3179
0.00425000 53.6536
0.00500000 50.0824
0.00625000 45.6281
0.00750000 42.3396
0.0100000 37.7224
0.0125000 34.5705
0.0150000 32.2430
0.0200000 28.9742
0.0253000 26.6293
0.0314750 24.6828
0.0376500 23.2361
0.0500000 21.1912
0.0625000 19.7716
0.0750000 18.7215
0.100000 17.2424
0.125000 16.2282
0.150000 15.4757
0.200000 14.4114
0.275000 13.3849
0.350000 12.6974
0.500000 11.7978
0.750000 10.9098
1.00000 10.3453
1.50000 9.61307
2.00000 9.12235
2.75000 8.59293
3.50000 8.19513
5.00000 7.60465
7.50000 6.92827
10.0000 6.45062
12.5000 6.08733
15.0000 5.79900
20.0000 5.36695
27.5000 4.93212
35.0000 4.63916
42.5000 4.42782
50.0000 4.26793
62.5000 4.07304
75.0000 3.93392
87.5000 3.82941
100.000 3.74787
125.000 3.62843
150.000 3.54466
175.000 3.48225
187.500 3.45658
200.000 3.43389
204.644 3.42629
209.288 3.41955
211.610 3.41705
212.771 3.41643
213.932 3.41682
215.093 3.41973
215.673 3.42355
216.254 3.43128
216.544 3.43812
216.834 3.44885
217.125 3.46679
217.415 3.49984
217.560 3.52782
217.705 3.57056
217.850 3.64057
217.995 3.76692
218.068 3.87223
218.140 4.03092
218.213 4.28696
218.285 4.73802
218.322 5.10590
218.358 5.64930
218.394 6.49982
218.431 7.93384
218.467 10.6484
218.485 13.0162
218.503 16.7081
218.521 22.9697
218.539 34.5240
218.549 44.2931
218.558 58.6841
218.567 80.9717
218.576 114.796
218.588 181.427
218.600 225.764
218.612 180.854
218.625 114.353
218.633 83.7657
218.641 62.7962
218.657 38.4761
218.673 26.1111
218.688 19.2060
218.704 14.9665
218.720 12.2114
218.752 8.99155
218.784 7.25045
218.816 6.21244
218.880 5.08696
218.944 4.52239
219.008 4.20036
219.072 3.99956
219.136 3.86617
219.263 3.70503
219.391 3.61532
219.519 3.56018
219.647 3.52393
219.902 3.48059
220.158 3.45658
220.413 3.44185
220.669 3.43210
221.180 3.42027
221.691 3.41348
222.712 3.40602
223.734 3.40184
224.756 3.39901
226.800 3.39514
228.844 3.39281
230.888 3.39315
231.910 3.39656
232.421 3.40076
232.932 3.40907
233.443 3.42773
233.698 3.44667
233.954 3.48142
234.082 3.51076
234.209 3.55551
234.337 3.62868
234.465 3.76026
234.529 3.86962
234.593 4.03422
234.657 4.29851
234.720 4.76148
234.752 5.13780
234.784 5.68897
234.816 6.54493
234.848 7.97726
234.880 10.6497
234.896 12.9370
234.912 16.4379
234.928 22.2319
234.944 32.5189
234.960 52.9661
234.968 70.6903
234.976 96.2523
234.988 151.982
235.000 189.140
235.012 151.990
235.024 96.2623
235.032 70.1677
235.040 52.4350
235.049 40.4121
235.057 32.0928
235.073 21.8668
235.089 16.1979
235.105 12.7351
235.121 10.4928
235.154 7.88126
235.186 6.47387
235.218 5.63663
235.251 5.09628
235.283 4.72971
235.348 4.27653
235.412 4.01829
235.477 3.85737
235.542 3.75039
235.671 3.62143
235.801 3.54961
235.930 3.50551
236.059 3.47651
236.318 3.44181
236.577 3.42257
237.094 3.40289
237.612 3.39332
238.130 3.38777
239.165 3.38154
241.235 3.37534
243.305 3.37145
247.445 3.36539
251.585 3.36005
259.866 3.35020
268.146 3.34100
301.268 3.30847
367.512 3.25724
433.756 3.21724
500.000 3.18385
568.188 3.15373
602.282 3.13979
619.329 3.13319
627.852 3.13062
632.114 3.13203
633.179 3.13479
634.245 3.14337
634.778 3.15563
635.310 3.19042
635.577 3.23823
635.710 3.28541
635.843 3.37024
635.976 3.54695
636.043 3.71757
636.109 4.01743
636.143 4.26077
636.176 4.61878
636.209 5.17618
636.243 6.11233
636.276 7.86106
636.293 9.36904
636.309 11.6906
636.326 15.5621
636.342 22.5178
636.351 28.2067
636.359 36.4693
636.367 48.7316
636.376 66.9031
636.388 105.235
636.400 130.817
636.412 105.238
636.424 66.9077
636.434 46.1412
636.444 33.1127
636.454 24.8746
636.464 19.4811
636.483 13.2207
636.503 9.93651
636.522 8.00541
636.542 6.79170
636.581 5.40373
636.620 4.67513
636.659 4.24675
636.698 3.97401
636.737 3.78982
636.816 3.56431
636.894 3.43680
637.050 3.30544
637.207 3.24259
637.363 3.20776
637.676 3.17245
638.302 3.14656
638.927 3.13720
640.179 3.13014
641.430 3.12733
646.435 3.12314
656.446 3.11873
676.468 3.11099
716.512 3.09605
796.600 3.06695
876.688 3.03817
916.731 3.02371
936.753 3.01654
946.764 3.01333
951.770 3.01332
954.272 3.01963
954.898 3.02681
955.524 3.04743
955.837 3.07595
956.150 3.15516
956.306 3.26183
956.384 3.36538
956.462 3.54846
956.541 3.91909
956.580 4.26619
956.619 4.85580
956.658 5.97670
956.677 6.96088
956.697 8.50702
956.717 11.1557
956.736 16.1244
956.746 20.3949
956.756 26.8781
956.765 37.0479
956.775 52.8916
956.788 82.9511
956.800 102.778
956.813 82.6962
956.825 52.8937
956.836 35.9078
956.846 25.6180
956.857 19.1873
956.867 15.0852
956.888 10.3740
956.909 7.93174
956.930 6.51910
956.952 5.63342
956.994 4.63272
957.036 4.10939
957.078 3.80313
957.162 3.47808
957.247 3.31803
957.331 3.22784
957.500 3.13508
957.837 3.06621
958.174 3.04132
958.849 3.02305
959.523 3.01640
962.222 3.00916
967.619 3.00559
978.413 3.00119
1000.00 2.99305
1059.49 2.97040
1089.23 2.95883
1104.10 2.95307
1111.54 2.95066
1115.26 2.95139
1117.12 2.95939
1117.58 2.96816
1118.05 2.99299
1118.28 3.02720
1118.51 3.12085
1118.63 3.24520
1118.74 3.57223
1118.80 3.98370
1118.83 4.35992
1118.86 4.98242
1118.89 6.11934
1118.90 7.11375
1118.92 8.51722
1118.93 10.9356
1118.95 14.8238
1118.96 22.6599
1118.97 28.7172
1118.98 38.0090
1118.99 59.4682
1119.00 73.1830
1119.01 59.4709
1119.02 38.0125
1119.04 25.0106
1119.05 17.8231
1119.06 13.4817
1119.07 10.7334
1119.08 8.77451
1119.09 7.55022
1119.11 6.01518
1119.14 5.10045
1119.16 4.55851
1119.20 3.94450
1119.25 3.61849
1119.29 3.42935
1119.38 3.23152
1119.56 3.07906
1119.74 3.02300
1120.10 2.98119
1120.45 2.96611
1121.88 2.95081
1124.74 2.94589
1130.46 2.94262
1141.90 2.93772
1164.77 2.92821
1210.51 2.90875
1302.00 2.86727
1393.49 2.82151
1439.23 2.79665
1462.10 2.78367
1473.54 2.77713
1479.26 2.77425
1482.12 2.77448
1483.55 2.78121
1484.26 2.80999
1484.44 2.83905
1484.62 2.91745
1484.71 3.02134
1484.80 3.28594
1484.84 3.61384
1484.89 4.35720
1484.91 5.20099
1484.93 6.80080
1484.94 8.22572
1484.95 10.4787
1484.96 14.2145
1484.98 21.1416
1484.99 32.2257
1485.00 39.4398
1485.01 32.2276
1485.02 21.0684
1485.04 13.7898
1485.05 9.98541
1485.06 7.63642
1485.07 6.32689
1485.10 4.84634
1485.12 4.14259
1485.17 3.47705
1485.22 3.20271
1485.32 2.97827
1485.42 2.89250
1485.62 2.82666
1485.81 2.80238
1486.60 2.77767
1488.18 2.77044
1491.34 2.76694
1497.65 2.76272
1510.27 2.75488
1535.51 2.73895
1585.99 2.70524
1611.23 2.68741
1636.47 2.66904
1661.71 2.65165
1668.02 2.64894
1674.33 2.65055
1677.49 2.65737
1680.64 2.68157
1682.22 2.71759
1683.01 2.75426
1683.80 2.82172
1684.58 2.96664
1684.98 3.11102
