Se-77(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 2115.54
1.25000E-05 1892.19
1.50000E-05 1727.33
2.00000E-05 1495.91
2.75000E-05 1275.72
3.50000E-05 1130.80
4.25000E-05 1026.19
5.00000E-05 946.095
6.25000E-05 846.212
7.50000E-05 772.482
0.000100000 668.988
0.000125000 598.360
0.000150000 546.225
0.000200000 473.043
0.000275000 403.411
0.000350000 357.584
0.000425000 324.501
0.000500000 299.174
0.000625000 267.587
0.000750000 244.271
0.00100000 211.542
0.00125000 189.206
0.00150000 172.718
0.00200000 149.574
0.00275000 127.552
0.00350000 113.058
0.00425000 102.594
0.00500000 94.5829
0.00625000 84.5915
0.00750000 77.2156
0.0100000 66.8612
0.0125000 59.7940
0.0150000 54.5765
0.0200000 47.2512
0.0253000 41.9988
0.0314750 37.6411
0.0376500 34.4041
0.0500000 29.8335
0.0625000 26.6650
0.0750000 24.3245
0.100000 21.0358
0.125000 18.7884
0.150000 17.1272
0.200000 14.7908
0.275000 12.5604
0.350000 11.0868
0.500000 9.19828
0.750000 7.40660
1.00000 6.32637
1.50000 5.02641
2.00000 4.23759
2.75000 3.47371
3.50000 2.96233
5.00000 2.29980
7.50000 1.66914
10.0000 1.29501
15.0000 0.866238
20.0000 0.629187
27.5000 0.427522
35.0000 0.313311
42.5000 0.242629
50.0000 0.196346
62.5000 0.149682
75.0000 0.125057
87.5000 0.115813
93.7500 0.118921
100.000 0.137183
102.912 0.163194
104.368 0.188867
105.825 0.234694
107.281 0.328700
108.009 0.418045
108.737 0.572430
109.465 0.874316
109.829 1.14675
110.193 1.59147
110.557 2.38779
110.739 3.04242
110.921 4.01246
111.103 5.52452
111.285 8.02679
111.467 12.4384
111.649 20.4822
111.825 32.6965
112.000 40.8226
112.176 32.6453
112.351 20.4185
112.504 13.3753
112.656 9.12596
112.809 6.52581
112.961 4.86652
113.267 2.98679
113.572 2.02081
113.877 1.46503
114.182 1.11813
114.792 0.727173
115.403 0.524370
116.013 0.406182
117.233 0.281416
118.454 0.220745
119.675 0.187048
122.116 0.153605
126.998 0.132424
131.881 0.129603
141.645 0.143517
146.528 0.164281
148.969 0.204877
149.579 0.238296
150.190 0.320013
150.495 0.416761
150.800 0.634858
150.952 0.863173
151.105 1.29583
151.181 1.66843
151.258 2.23714
151.334 3.13567
151.410 4.56335
151.505 7.19524
151.600 8.94855
151.695 7.20033
151.790 4.57028
151.885 2.87561
151.981 1.92777
152.076 1.38221
152.172 1.04922
152.362 0.688355
152.553 0.510404
152.935 0.349978
153.316 0.283107
154.079 0.231005
154.843 0.213088
157.895 0.206431
164.000 0.242675
170.105 0.311567
173.158 0.389684
173.921 0.437141
174.684 0.542055
175.065 0.662872
175.447 0.940025
175.638 1.24207
175.829 1.85018
175.924 2.40961
176.019 3.32513
176.115 4.91494
176.210 7.75387
176.305 12.1672
176.400 15.1092
176.495 12.1773
176.590 7.76930
176.682 5.01799
176.773 3.44505
176.864 2.52227
176.956 1.95259
177.139 1.32812
177.322 1.01788
177.687 0.738562
178.053 0.624444
178.785 0.542255
179.516 0.522222
182.443 0.570405
188.295 0.845792
191.221 1.08738
194.148 1.46029
197.074 2.07834
200.000 3.21411
201.334 4.07623
202.668 5.34524
204.001 7.32358
205.335 10.6539
206.669 16.9033
207.336 22.3011
208.003 30.7084
208.669 44.7620
209.336 70.5016
209.670 91.8715
210.003 123.336
210.337 170.827
210.670 242.474
211.135 386.134
211.600 480.414
212.070 382.537
212.540 237.981
212.844 172.597
213.148 127.715
213.757 75.5442
214.365 48.9461
214.973 33.9953
215.582 24.8769
216.190 18.9459
217.407 11.9945
218.623 8.24966
219.840 6.01210
221.056 4.57188
222.273 3.59182
224.706 2.38324
227.140 1.69577
229.573 1.26841
232.006 0.985131
236.873 0.645451
241.739 0.458068
246.606 0.344609
251.472 0.271478
261.205 0.189229
270.938 0.156189
275.805 0.158525
280.671 0.193825
283.104 0.251849
284.321 0.311107
285.538 0.419250
286.754 0.646680
287.363 0.867695
287.971 1.25840
288.579 2.04871
288.883 2.78823
289.187 4.04260
289.492 6.42407
289.644 8.50511
289.796 11.7831
289.948 17.3577
290.100 27.8313
290.176 36.7621
290.252 50.2360
290.328 71.2365
290.404 104.137
290.453 133.236
290.502 166.478
290.600 207.993
290.698 166.419
290.796 104.064
290.893 64.3221
290.990 41.9755
291.087 29.0413
291.185 21.1133
291.282 15.9712
291.379 12.4798
291.573 8.20272
291.767 5.79620
291.962 4.31677
292.350 2.67213
292.738 1.82885
293.127 1.34065
293.904 0.827322
294.681 0.577393
295.458 0.437481
297.012 0.295065
298.565 0.228374
300.119 0.192641
303.227 0.159996
309.443 0.151737
315.658 0.182346
321.874 0.269539
324.981 0.361219
328.089 0.530604
329.643 0.673759
331.197 0.892238
332.751 1.24926
334.305 1.89166
335.082 2.42539
335.858 3.22881
336.635 4.51977
337.412 6.78844
337.801 8.62999
338.189 11.3404
338.578 15.5625
338.966 22.6578
339.161 28.1686
339.355 35.9350
339.549 47.3588
339.743 65.0841
339.937 94.5549
340.035 117.030
340.132 148.027
340.229 192.011
340.326 256.241
340.423 352.195
340.520 495.425
340.660 792.483
340.800 990.322
340.940 792.046
341.080 494.931
341.188 338.470
341.297 238.649
341.405 174.562
341.513 132.107
341.730 82.2230
341.947 55.6691
342.163 40.0345
342.380 30.1200
342.813 18.7702
343.247 12.7910
343.680 9.26806
344.113 7.02196
344.546 5.50399
345.413 3.64351
346.279 2.59110
347.146 1.93870
348.013 1.50678
349.746 0.988574
351.479 0.701653
353.212 0.526573
354.945 0.412216
358.411 0.278381
361.878 0.211912
363.611 0.198464
365.344 0.211225
366.210 0.246478
366.644 0.284529
367.077 0.353945
367.510 0.495075
367.727 0.625442
367.944 0.841712
368.160 1.23679
368.269 1.56740
368.377 2.06560
368.485 2.85959
368.593 4.21445
368.702 6.70911
368.810 11.5238
368.905 18.3408
369.000 22.8759
369.095 18.3441
369.190 11.5270
369.261 8.02771
369.332 5.75683
369.403 4.27676
369.474 3.28463
369.616 2.10491
369.757 1.46882
369.899 1.09101
370.041 0.849902
370.325 0.571779
370.608 0.423688
370.892 0.335514
371.459 0.239573
372.026 0.190556
372.594 0.161615
373.728 0.129398
375.997 0.100236
378.266 0.0854657
387.343 0.0583239
396.419 0.0459867
405.496 0.0391765
414.572 0.0358281
423.648 0.0367504
428.187 0.0412638
430.456 0.0464156
432.725 0.0562426
434.994 0.0776237
436.128 0.0989112
437.263 0.137383
438.398 0.217778
438.965 0.295606
439.532 0.432679
440.099 0.708525
440.383 0.965050
440.667 1.39745
440.950 2.21006
441.092 2.91215
441.234 4.00620
441.376 5.83501
441.517 9.18449
441.588 11.9648
441.659 16.0602
441.730 22.2456
441.801 31.5953
441.901 50.6093
442.000 63.3169
442.100 50.6183
442.199 31.6076
442.276 21.5764
442.354 15.1918
442.431 11.1041
442.509 8.40464
442.663 5.23690
442.818 3.55228
442.973 2.56167
443.127 1.93347
443.437 1.21477
443.746 0.836103
444.056 0.613056
444.674 0.374647
445.293 0.256743
445.912 0.190019
447.150 0.121240
448.388 0.0883850
449.625 0.0702388
452.101 0.0521214
457.051 0.0401670
462.002 0.0387287
466.953 0.0442410
469.428 0.0514467
471.904 0.0654102
474.379 0.0958851
475.617 0.126240
476.854 0.181152
477.473 0.226958
478.092 0.296146
478.711 0.407813
479.330 0.605249
479.639 0.766517
479.949 1.00517
480.258 1.37985
480.567 2.01668
480.877 3.22860
481.032 4.29056
481.186 5.96957
481.341 8.83556
481.496 14.2553
481.573 18.9078
481.650 25.9736
481.728 37.0980
481.805 54.6794
481.854 69.9701
481.903 87.3927
482.000 109.164
482.098 87.3743
482.195 54.6567
482.265 38.4934
482.334 27.7897
482.404 20.6990
482.473 15.8899
482.612 10.0887
482.752 6.92014
482.891 5.02426
483.030 3.80748
483.308 2.39939
483.586 1.64972
483.864 1.20495
484.421 0.726711
484.977 0.488969
485.534 0.353968
486.090 0.270071
486.646 0.214416
487.759 0.147528
488.872 0.110432
491.098 0.0729691
493.323 0.0555396
495.549 0.0462507
500.000 0.0380641
504.202 0.0370163
508.405 0.0438221
510.506 0.0555457
511.556 0.0675273
512.607 0.0893537
513.657 0.135106
514.183 0.179400
514.708 0.257326
515.233 0.413780
515.496 0.558938
515.759 0.802781
516.021 1.25883
516.153 1.65084
516.284 2.25844
516.415 3.26640
516.546 5.09133
516.612 6.58989
516.678 8.76940
516.743 12.0204
516.809 16.8489
516.905 26.9464
517.000 33.6805
517.096 26.9512
517.191 16.8550
517.259 11.9066
517.326 8.61992
517.394 6.43659
517.461 4.95061
517.597 3.15571
517.732 2.17316
517.867 1.58436
518.002 1.20603
518.273 0.767716
518.543 0.534077
518.813 0.395340
519.354 0.246022
519.895 0.171718
520.436 0.129495
521.517 0.0858309
522.599 0.0649134
523.680 0.0533504
525.844 0.0418192
530.170 0.0343109
534.496 0.0335476
538.822 0.0371558
543.149 0.0503908
545.312 0.0691504
546.393 0.0877249
547.475 0.121175
548.556 0.190830
549.097 0.258075
549.638 0.376200
550.179 0.613018
550.449 0.832429
550.720 1.20074
550.990 1.88821
551.125 2.47838
551.260 3.39172
551.396 4.90358
551.531 7.63213
551.598 9.86363
551.666 13.1047
551.734 17.9148
551.801 25.0314
551.901 40.0989
552.000 50.1714
552.100 40.1046
552.199 25.0392
552.266 17.9919
552.332 13.2169
552.466 7.74396
552.599 4.99298
552.732 3.46261
552.865 2.53437
552.999 1.93363
553.265 1.23193
553.532 0.855142
553.798 0.630340
554.331 0.387353
554.864 0.265969
555.397 0.196827
556.463 0.125163
557.529 0.0907438
558.595 0.0716457
560.727 0.0523851
564.991 0.0387188
569.255 0.0343757
586.311 0.0338998
603.366 0.0408969
620.422 0.0551650
637.478 0.0857714
646.006 0.115831
654.534 0.169737
658.798 0.214465
663.061 0.281814
667.325 0.390180
671.589 0.581293
673.721 0.737067
675.853 0.967372
677.985 1.32848
680.117 1.94138
682.249 3.10588
683.315 4.12482
684.381 5.73350
685.447 8.47481
686.513 13.6457
687.046 18.0699
687.579 24.7818
688.112 35.3031
688.645 51.8918
689.323 82.9617
690.000 103.576
690.678 82.7661
691.355 51.7011
692.028 31.9179
692.700 20.7968
693.373 14.3674
694.045 10.4302
694.717 7.87986
695.390 6.14726
696.735 4.02585
698.080 2.83358
699.425 2.10063
702.114 1.28655
704.804 0.869735
707.494 0.628729
710.184 0.477172
712.874 0.375835
718.253 0.253235
723.633 0.185004
729.012 0.143433
734.392 0.116477
745.151 0.0855112
755.911 0.0701543
777.429 0.0606718
798.948 0.0693858
809.707 0.0828477
820.466 0.108982
831.225 0.165302
836.605 0.220977
841.985 0.321574
844.674 0.405710
847.364 0.533436
850.054 0.741316
852.744 1.11423
854.089 1.42347
855.434 1.88849
856.779 2.63470
857.451 3.18996
858.123 3.94438
858.796 5.00612
859.468 6.56667
859.805 7.63777
