25-Mn_n-tot
>  25-Mn-55:1.000000
1.666460e+03 3.14144000e+01
1.669130e+03 3.16915000e+01
1.679800e+03 3.28624000e+01
1.701150e+03 3.53765000e+01
1.743840e+03 4.11139000e+01
1.829230e+03 5.63431000e+01
1.914610e+03 7.92401000e+01
2.000000e+03 1.15247000e+02
2.096350e+03 1.84449000e+02
2.192700e+03 3.08429000e+02
2.293700e+03 5.13710000e+02
2.394700e+03 6.55192000e+02
2.495700e+03 5.35073000e+02
2.596700e+03 3.46879000e+02
2.665860e+03 2.54782000e+02
2.735030e+03 1.91367000e+02
2.804190e+03 1.47781000e+02
2.873350e+03 1.17195000e+02
3.011680e+03 7.88283000e+01
3.150000e+03 5.68342000e+01
3.298630e+03 4.23056000e+01
3.474110e+03 3.15224000e+01
3.649590e+03 2.45139000e+01
3.825070e+03 1.96714000e+01
3.912810e+03 1.77851000e+01
3.956680e+03 1.69441000e+01
3.978610e+03 1.65461000e+01
3.989580e+03 1.63526000e+01
3.995070e+03 1.62577000e+01
3.997810e+03 1.62126000e+01
3.999180e+03 1.61968000e+01
3.999860e+03 1.62069000e+01
4.000210e+03 1.62470000e+01
4.000550e+03 1.64619000e+01
4.000770e+03 1.67573000e+01
4.000990e+03 1.64546000e+01
4.001280e+03 1.62408000e+01
4.001580e+03 1.61850000e+01
4.002170e+03 1.61484000e+01
4.003360e+03 1.61182000e+01
4.005730e+03 1.60746000e+01
4.010470e+03 1.59932000e+01
4.019960e+03 1.58336000e+01
4.038930e+03 1.55221000e+01
4.076860e+03 1.49260000e+01
4.152740e+03 1.38323000e+01
4.228620e+03 1.28532000e+01
4.266560e+03 1.24014000e+01
4.285530e+03 1.21843000e+01
4.295020e+03 1.20784000e+01
4.299760e+03 1.20281000e+01
4.302130e+03 1.20113000e+01
4.303320e+03 1.20311000e+01
4.303910e+03 1.21235000e+01
4.304200e+03 1.23529000e+01
4.304350e+03 1.27311000e+01
4.304430e+03 1.31411000e+01
4.304500e+03 1.38775000e+01
4.304570e+03 1.50308000e+01
4.304650e+03 1.57868000e+01
4.304720e+03 1.50131000e+01
4.304790e+03 1.38749000e+01
4.304870e+03 1.31080000e+01
4.304950e+03 1.26931000e+01
4.305110e+03 1.23199000e+01
4.305420e+03 1.20961000e+01
4.306040e+03 1.19974000e+01
4.307280e+03 1.19535000e+01
4.309770e+03 1.19175000e+01
4.314750e+03 1.18608000e+01
4.324710e+03 1.17527000e+01
4.344620e+03 1.15415000e+01
4.384450e+03 1.11355000e+01
4.464100e+03 1.03825000e+01
4.623410e+03 9.07772000e+00
4.782720e+03 7.99066000e+00
4.862380e+03 7.51620000e+00
4.882290e+03 7.40556000e+00
4.902200e+03 7.30157000e+00
4.912160e+03 7.25631000e+00
4.922120e+03 7.22843000e+00
4.927100e+03 7.23759000e+00
4.929580e+03 7.25991000e+00
4.932070e+03 7.31123000e+00
4.934560e+03 7.43403000e+00
4.935810e+03 7.56049000e+00
4.937050e+03 7.79081000e+00
4.937670e+03 7.98275000e+00
4.938300e+03 8.27013000e+00
4.938920e+03 8.72754000e+00
4.939540e+03 9.51796000e+00
4.940160e+03 1.10605000e+01
4.940470e+03 1.24424000e+01
4.940790e+03 1.46802000e+01
4.941100e+03 1.86350000e+01
4.941410e+03 2.65314000e+01
4.941560e+03 3.37328000e+01
4.941720e+03 4.52669000e+01
4.941870e+03 6.49978000e+01
4.942030e+03 9.90829000e+01
4.942190e+03 1.54268000e+02
4.942360e+03 1.91056000e+02
4.942520e+03 1.54315000e+02
4.942680e+03 9.91459000e+01
4.942790e+03 7.27373000e+01
4.942910e+03 5.49728000e+01
4.943020e+03 4.30385000e+01
4.943130e+03 3.48419000e+01
4.943350e+03 2.48463000e+01
4.943580e+03 1.93223000e+01
4.943800e+03 1.59906000e+01
4.944030e+03 1.38400000e+01
