83-Bi_n-tot
> 83-Bi-209:1.000000
3.331870e+03 1.08992000e+01
3.339910e+03 1.09012000e+01
3.341920e+03 1.09106000e+01
3.343920e+03 1.09421000e+01
3.344930e+03 1.09882000e+01
3.345930e+03 1.11206000e+01
3.346440e+03 1.13034000e+01
3.346690e+03 1.14833000e+01
3.346940e+03 1.18062000e+01
3.347190e+03 1.24741000e+01
3.347320e+03 1.31171000e+01
3.347440e+03 1.42270000e+01
3.347570e+03 1.64356000e+01
3.347630e+03 1.84516000e+01
3.347690e+03 2.17108000e+01
3.347760e+03 2.76997000e+01
3.347790e+03 3.27880000e+01
3.347820e+03 4.01886000e+01
3.347850e+03 5.23233000e+01
3.347880e+03 7.22476000e+01
3.347910e+03 1.08230000e+02
3.347940e+03 1.76864000e+02
3.347970e+03 2.77809000e+02
3.348000e+03 3.43001000e+02
3.348030e+03 2.78112000e+02
3.348060e+03 1.77250000e+02
3.348090e+03 1.05515000e+02
3.348120e+03 6.85262000e+01
3.348160e+03 4.89413000e+01
3.348190e+03 3.76600000e+01
3.348230e+03 3.06638000e+01
3.348260e+03 2.60580000e+01
3.348330e+03 2.06515000e+01
3.348400e+03 1.76478000e+01
3.348460e+03 1.58606000e+01
3.348600e+03 1.38882000e+01
3.348730e+03 1.28863000e+01
3.348870e+03 1.23164000e+01
3.349140e+03 1.17206000e+01
3.349410e+03 1.14307000e+01
3.349680e+03 1.12690000e+01
3.350220e+03 1.11032000e+01
3.351300e+03 1.09800000e+01
3.352380e+03 1.09347000e+01
3.354550e+03 1.09001000e+01
3.356710e+03 1.08861000e+01
3.365370e+03 1.08651000e+01
3.382680e+03 1.08438000e+01
3.417300e+03 1.08080000e+01
3.451920e+03 1.07746000e+01
3.486540e+03 1.07427000e+01
3.625020e+03 1.06269000e+01
3.901980e+03 1.04302000e+01
4.178940e+03 1.02491000e+01
4.317420e+03 1.01528000e+01
4.352040e+03 1.01270000e+01
4.386660e+03 1.01004000e+01
4.421280e+03 1.00735000e+01
