Ti-46(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
18232.5 1.07286
18234.8 0.981449
18239.3 0.954787
18248.4 0.946827
18266.5 0.943269
18302.7 0.939478
18375.1 0.932851
18520.0 0.920061
18809.8 0.895457
18954.7 0.883767
19099.6 0.872969
19172.0 0.868466
19244.5 0.866093
19280.7 0.867537
19316.9 0.875906
19335.0 0.889072
19353.1 0.926623
19362.2 0.977549
19366.7 1.02729
19371.2 1.11592
19375.8 1.29969
19378.0 1.47736
19380.3 1.78887
19382.6 2.42122
19383.7 3.01142
19384.8 4.01560
19385.9 5.93340
19386.5 7.64108
19387.1 10.3102
19387.6 14.9994
19388.2 23.8578
19388.5 31.9006
19388.8 43.9840
19389.1 63.3986
19389.3 94.9440
19389.7 152.304
19390.0 188.899
19390.3 149.797
19390.7 94.0717
19391.0 60.8616
19391.3 41.1839
19391.6 29.3155
19391.9 21.8191
19392.5 13.4236
19393.1 9.20533
19393.7 6.74518
19394.3 5.23925
19395.4 3.52989
19396.6 2.64614
19397.8 2.13235
19400.2 1.59095
19402.6 1.32749
19405.0 1.18028
19409.7 1.03080
19414.5 0.960629
19419.2 0.922335
19428.8 0.884247
19447.8 0.856978
19466.8 0.847067
19543.0 0.834220
19695.3 0.821619
20000.0 0.798979
20308.7 0.777253
20463.0 0.767253
20617.4 0.758557
20771.7 0.753081
20848.9 0.753364
20926.1 0.758708
20964.7 0.765264
21003.2 0.776901
21041.8 0.798025
21080.4 0.838995
21099.7 0.874495
21119.0 0.929284
21138.3 1.01944
21157.6 1.18183
21167.2 1.31628
21176.9 1.51741
21186.5 1.83703
21196.2 2.38778
21205.8 3.45868
21210.6 4.41533
21215.5 5.95870
21220.3 8.67753
21225.1 14.0447
21227.5 18.8668
21229.9 26.5498
21232.3 39.3966
21234.7 61.2940
21237.4 97.8454
21240.0 122.337
21242.6 98.1207
21245.3 61.6631
21248.0 37.4949
21250.8 24.2965
21253.5 16.8339
21256.3 12.3337
21259.0 9.45053
21261.8 7.50648
21267.3 5.14672
21272.8 3.82581
21278.3 3.01660
21289.2 2.12004
21300.2 1.66023
21311.2 1.39378
21322.2 1.22527
21333.2 1.11199
21355.2 0.973279
21377.2 0.894411
21399.2 0.844956
21421.2 0.811659
21465.2 0.770318
21509.1 0.745913
21553.1 0.729717
21597.1 0.718000
21685.0 0.701545
21773.0 0.689766
21948.9 0.672030
22124.8 0.657563
22300.7 0.644502
22652.5 0.620325
23356.1 0.575365
23707.9 0.553800
23883.8 0.543161
23971.8 0.537864
24015.8 0.535354
24037.8 0.534986
24048.8 0.538973
24054.3 0.558110
24057.0 0.631280
24058.4 0.871938
24059.1 1.52288
24059.4 2.76302
24059.6 4.34587
24059.7 7.97105
24059.9 12.3230
24060.0 15.4698
24060.1 12.3960
24060.3 8.03144
24060.4 4.85354
24060.5 3.26463
24060.8 1.83228
24061.4 1.02262
24062.6 0.687620
24064.9 0.577843
24069.5 0.545339
24078.7 0.535623
24097.1 0.531865
24133.8 0.528857
24207.4 0.524226
24354.6 0.515473
24648.9 0.498321
25237.6 0.464751
26415.0 0.399970
27592.3 0.337954
28181.0 0.307969
28475.3 0.293329
28622.5 0.286316
28696.1 0.283434
28732.9 0.283685
28751.3 0.289003
28760.5 0.308788
28765.1 0.376036
28767.4 0.590717
28768.5 1.18191
28769.1 2.39885
28769.4 4.15055
28769.6 8.25559
28769.8 12.9619
28770.0 16.0328
28770.2 12.8018
28770.4 8.05551
28770.5 5.28915
28770.7 3.64458
28771.0 2.02213
28771.6 0.960690
28772.9 0.489874
28775.5 0.332999
28780.6 0.289332
28790.8 0.278667
28811.2 0.275855
28852.1 0.273815
28933.8 0.270015
29097.2 0.262196
29424.0 0.246501
30077.6 0.215719
31384.9 0.157879
32692.2 0.108629
33345.8 0.0910757
33672.6 0.0866739
33836.0 0.0875481
33917.7 0.0911692
33958.6 0.0976579
33979.0 0.110548
33989.2 0.143297
33994.3 0.238301
33996.9 0.503527
33998.1 1.12140
33998.8 2.15317
33999.1 3.30522
33999.4 5.37896
33999.7 8.44468
34000.0 10.3092
34000.3 8.17198
34000.6 5.02685
34001.0 2.68546
34001.4 1.59737
34002.1 0.737077
34003.7 0.301536
34006.7 0.146020
