Cd-106(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
2648.65 96.4520
2648.77 75.6393
2649.01 50.3944
2649.25 36.3338
2649.49 27.7409
2649.96 18.2611
2650.44 13.4164
2650.92 10.6268
2651.40 8.87013
2651.88 7.69771
2652.84 6.27467
2653.80 5.47794
2654.76 4.98732
2655.72 4.66380
2657.64 4.27648
2659.56 4.06182
2661.47 3.92984
2663.39 3.84241
2667.23 3.73616
2671.06 3.67632
2672.98 3.65774
2674.90 3.65116
2675.86 3.66084
2676.82 3.70563
2677.30 3.77492
2677.54 3.84493
2677.78 3.97033
2678.02 4.22765
2678.14 4.46902
2678.26 4.87742
2678.38 5.64541
2678.44 6.30797
2678.50 7.33674
2678.56 9.04497
2678.62 12.1362
2678.65 14.6679
2678.68 18.3468
2678.71 23.8050
2678.74 31.5628
2678.78 48.8148
2678.83 60.1700
2678.87 48.8132
2678.92 32.0740
2678.96 21.4611
2679.00 15.3904
2679.04 11.8307
2679.09 9.62668
2679.13 8.18686
2679.17 7.20157
2679.26 5.98521
2679.35 5.29483
2679.43 4.86678
2679.60 4.38811
2679.77 4.13750
2679.95 3.99118
2680.29 3.83348
2680.98 3.70783
2681.66 3.65767
2683.03 3.61445
2684.41 3.59370
2687.15 3.56976
2689.90 3.55335
2700.88 3.50541
2711.86 3.46387
2722.84 3.42118
2733.82 3.37383
2744.80 3.31849
2750.29 3.28678
2755.78 3.25279
2758.53 3.23674
2761.27 3.22780
2762.65 3.23475
2764.02 3.27560
2764.70 3.34217
2765.05 3.41048
2765.39 3.53503
2765.73 3.79428
2765.91 4.04299
2766.08 4.47053
2766.25 5.30856
2766.33 6.06145
2766.42 7.26414
2766.51 9.40961
2766.59 13.6932
2766.63 17.5822
2766.68 23.8449
2766.72 34.4646
2766.76 52.3087
2766.81 82.2634
2766.85 101.731
2766.90 81.7137
2766.94 52.4911
2766.99 34.6350
2767.03 24.1814
2767.07 17.9392
2767.11 14.0995
2767.20 9.70355
2767.28 7.50134
2767.36 6.22849
2767.45 5.44679
2767.61 4.56192
2767.78 4.10295
2767.95 3.83457
2768.28 3.54909
2768.61 3.40646
2768.95 3.32457
2769.61 3.23634
2770.95 3.16053
2772.28 3.12222
2774.95 3.07030
2777.62 3.02402
2782.96 2.91975
2788.30 2.77868
2790.97 2.68453
2793.63 2.56561
2796.30 2.40999
2798.97 2.19751
2800.31 2.05982
2801.64 1.89360
2802.98 1.69234
2804.31 1.45636
2804.98 1.33365
2805.65 1.22715
2806.31 1.18175
2806.98 1.32469
2807.31 1.57035
2807.65 2.06795
2807.81 2.47821
2807.98 3.05925
2808.15 3.89089
2808.31 5.09196
2808.48 6.88768
2808.65 9.64127
2808.82 14.0363
2808.98 21.3771
2809.07 27.0373
2809.15 34.7047
2809.23 45.6197
2809.32 61.2393
2809.40 84.9201
2809.48 121.237
2809.57 179.281
2809.65 272.838
2809.76 464.077
2809.87 618.639
2809.98 528.211
2810.08 350.924
2810.17 245.787
2810.26 178.705
2810.35 134.837
2810.44 105.852
2810.62 71.0215
2810.80 52.0333
2810.98 40.4318
2811.16 32.8707
2811.51 23.7779
2811.87 18.6704
2812.23 15.4706
2812.58 13.3079
2812.94 11.7626
2813.66 9.72278
2814.37 8.45099
2815.08 7.58934
2815.80 6.97006
2817.23 6.14343
2818.65 5.61919
2820.08 5.25793
2821.51 4.99403
2824.37 4.63389
2827.22 4.39898
2830.08 4.23273
2832.93 4.10816
2838.65 3.93260
2841.50 3.86855
2844.36 3.81642
2847.22 3.77726
2850.07 3.76318
2851.50 3.78443
2852.21 3.81597
2852.93 3.88138
2853.64 4.03002
2854.00 4.17984
2854.36 4.45028
2854.53 4.67481
2854.71 5.00852
2854.89 5.54120
2855.07 6.45364
2855.25 8.23394
2855.34 9.81616
2855.43 12.3647
2855.52 16.9017
2855.61 25.7925
2855.65 33.8899
2855.69 46.5026
2855.74 68.0975
2855.78 104.099
2855.83 165.358
2855.88 205.239
2855.93 164.136
2855.98 104.242
2856.02 68.8584
2856.06 48.1085
2856.11 35.1419
2856.15 27.0751
2856.23 17.8269
2856.32 13.0789
2856.40 10.3489
2856.49 8.64370
2856.66 6.72789
2856.83 5.72372
2857.00 5.13920
2857.17 4.76537
2857.33 4.51439
2857.67 4.20455
2858.01 4.02867
2858.69 3.84397
2859.37 3.75168
2860.05 3.69733
2861.41 3.63519
2864.12 3.57248
2866.83 3.53354
2872.26 3.47471
2877.69 3.42475
2888.54 3.33390
2899.39 3.24613
2910.25 3.15588
2921.10 3.05957
2926.53 3.00915
2931.96 2.96098
2934.67 2.94348
2937.38 2.94801
2938.74 2.98118
2939.42 3.02173
2940.10 3.10130
2940.78 3.27711
2941.12 3.45175
