Sn-122(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
3452.10 16.9392
3452.28 24.9219
3452.37 32.0938
3452.45 43.5677
3452.54 64.0769
3452.63 104.543
3452.68 142.222
3452.72 201.796
3452.76 302.859
3452.81 480.973
3452.85 768.584
3452.90 957.554
3452.95 768.450
3452.99 480.819
3453.05 274.633
3453.10 170.892
3453.16 115.170
3453.21 82.7405
3453.26 62.1815
3453.32 48.8686
3453.43 32.9750
3453.54 24.1950
3453.64 18.9419
3453.86 13.1860
3454.08 10.2642
3454.29 8.59605
3454.51 7.54698
3454.73 6.85064
3455.16 6.00528
3455.59 5.53482
3456.03 5.24582
3456.46 5.05569
3457.33 4.82883
3458.19 4.70409
3459.92 4.57845
3461.66 4.51958
3463.39 4.48730
3466.86 4.45478
3473.79 4.43073
3480.72 4.42156
3494.58 4.41356
3508.45 4.40929
3563.90 4.39836
3674.81 4.38028
3785.73 4.36310
3841.18 4.35539
3868.91 4.35483
3875.84 4.35773
3882.77 4.36814
3886.24 4.38375
3889.70 4.42939
3891.44 4.49350
3892.30 4.55780
3893.17 4.67525
3894.04 4.92614
3894.47 5.17446
3894.90 5.62343
3895.12 5.99926
3895.34 6.56505
3895.55 7.48405
3895.77 9.10564
3895.88 10.4462
3895.99 12.4188
3896.09 15.5227
3896.20 20.8150
3896.31 31.0683
3896.37 40.0530
3896.42 54.3542
3896.47 79.0053
3896.53 126.341
3896.55 167.606
3896.58 231.394
3896.61 333.902
3896.64 504.443
3896.67 807.150
3896.70 1004.92
3896.73 807.343
3896.76 504.696
3896.79 329.383
3896.82 222.988
3896.85 158.802
3896.88 119.391
3896.94 73.3961
3896.99 50.3381
3897.05 36.8898
3897.11 28.6615
3897.22 19.3087
3897.34 14.4619
3897.45 11.6356
3897.57 9.84630
3897.68 8.64294
3897.91 7.17572
3898.14 6.34950
3898.37 5.83882
3898.60 5.50251
3899.06 5.09756
3899.52 4.87384
3900.44 4.64716
3901.36 4.54034
3902.28 4.48170
3904.12 4.42263
3907.80 4.37946
3911.47 4.36377
3918.82 4.35167
3926.18 4.34663
3940.88 4.34151
3955.59 4.33821
4014.42 4.32805
4132.07 4.30933
4249.72 4.29037
4367.37 4.27075
4485.02 4.25021
4602.67 4.22853
4720.32 4.20581
4779.15 4.19601
4793.85 4.19556
4808.56 4.20023
4815.91 4.20971
4819.59 4.22009
4823.27 4.23985
4826.94 4.28339
4828.78 4.32736
4830.62 4.40810
4832.46 4.58104
4833.38 4.75267
4834.30 5.06359
4834.76 5.32391
4835.22 5.71738
4835.68 6.35616
4836.13 7.48930
4836.36 8.42136
4836.59 9.80868
4836.82 12.0028
4837.05 15.7496
4837.28 23.0138
4837.40 29.4833
4837.51 39.8880
4837.63 58.0951
4837.74 93.8881
4837.80 126.211
4837.86 176.533
4837.92 259.675
4837.97 400.958
4838.04 638.185
4838.10 798.088
4838.16 638.342
4838.23 401.166
4838.27 296.569
4838.31 224.112
4838.39 136.618
4838.46 90.9840
4838.54 64.9526
4838.62 48.9148
4838.70 38.4064
4838.86 25.9979
4839.02 19.2627
4839.18 15.2158
4839.49 10.8128
4839.81 8.59973
4840.12 7.33392
4840.44 6.54314
4840.76 6.01642
4841.39 5.38043
4842.02 5.02568
4842.65 4.80779
4843.28 4.66441
4844.55 4.49333
4845.81 4.39894
4848.34 4.30357
4850.87 4.25852
4853.39 4.23357
4858.45 4.20795
4868.56 4.18792
4878.67 4.17929
4898.89 4.17001
4919.11 4.16359
5000.00 4.14204
5086.02 4.11892
5172.05 4.09409
5258.07 4.06706
5344.09 4.03737
5430.12 4.00452
5473.13 3.98673
5516.14 3.96792
5559.15 3.94805
5602.16 3.92722
5645.18 3.90734
5655.93 3.90450
5666.68 3.90750
5672.06 3.91725
5677.44 3.95093
5680.12 4.00079
5681.47 4.05147
5682.81 4.14472
5684.16 4.34431
5684.83 4.54214
5685.50 4.89952
5685.84 5.19743
5686.17 5.64722
5686.51 6.37236
5686.84 7.65256
5687.01 8.69587
5687.18 10.2371
5687.35 12.6495
5687.52 16.7315
5687.68 24.4439
5687.77 31.1493
5687.85 41.6636
5687.94 59.3964
5688.02 92.3159
5688.06 120.021
5688.10 161.381
5688.15 224.911
5688.19 324.262
5688.24 517.579
5688.30 645.060
5688.36 517.843
5688.41 324.601
5688.45 240.836
5688.48 182.678
5688.55 112.684
5688.62 75.2951
5688.69 54.1622
5688.76 40.8922
5688.82 32.3004
5688.96 22.0900
5689.10 16.4814
5689.23 13.1073
5689.51 9.44136
5689.78 7.58788
5690.05 6.53026
5690.33 5.86829
5690.60 5.42670
5691.15 4.89185
5691.69 4.59317
5692.79 4.28864
5693.88 4.14384
5694.97 4.06372
5697.16 3.98218
5701.53 3.92109
5705.91 3.89757
5714.65 3.87704
5723.40 3.86620
5758.38 3.83842
5793.37 3.81364
5828.35 3.78802
5863.34 3.76092
5898.32 3.73202
5968.29 3.66781
6108.22 3.50507
6248.16 3.27055
6318.13 3.10943
6388.10 2.90242
6458.07 2.62699
6528.04 2.24405
6563.02 1.99192
6598.01 1.68252
6632.99 1.29882
6667.97 0.825974
6685.47 0.559399
6702.96 0.290426
6711.70 0.167879
6720.45 0.0679574
6724.82 0.0325883
6729.20 0.0118414
6731.38 0.00851960
6733.57 0.0109392
6737.94 0.0369141
6742.32 0.0993288
6746.69 0.211335
6751.06 0.391258
6755.43 0.665015
6759.81 1.06990
6764.18 1.66061
6768.55 2.51929
6772.93 3.77243
6777.30 5.62090
6781.67 8.39495
6786.05 12.6601
6790.42 19.4309
6794.79 30.6237
6799.16 50.0527
6803.54 85.5613
6807.91 152.286
6812.56 274.232
6817.20 383.091
6821.85 340.406
6826.49 235.143
6829.46 182.372
6832.44 143.902
6838.39 96.0517
6844.33 69.6512
6850.28 53.7845
6856.23 43.5091
6862.18 36.4506
6874.07 27.5673
6885.97 22.3243
6897.86 18.9291
6903.81 17.6629
6906.78 17.1154
6909.76 16.6257
6912.73 16.2098
6914.22 16.0479
6915.71 15.9481
6917.19 15.9899
6917.94 16.1367
6918.68 16.4839
6919.05 16.8064
6919.42 17.3170
6919.80 18.1665
6920.17 19.6871
6920.54 22.7761
6920.72 25.6434
6920.91 30.4103
6921.10 39.2755
6921.19 46.8141
6921.28 58.3594
6921.37 77.1818
6921.47 110.378
6921.56 174.587
6921.61 228.328
6921.65 306.305
6921.73 480.727
6921.80 598.180
6921.87 480.965
6921.95 306.596
6922.01 205.180
6922.08 144.477
6922.14 107.260
6922.20 83.4557
6922.33 56.3055
6922.46 42.4504
6922.59 34.4059
6922.72 29.4134
6922.97 23.7561
6923.23 20.7855
6923.49 19.0375
6923.75 17.9182
6924.00 17.1573
6924.52 16.2010
6925.03 15.6369
6925.54 15.2649
6926.06 14.9999
6927.08 14.6367
6928.11 14.3865
6930.16 14.0290
6932.22 13.7543
6934.27 13.5179
6938.38 13.1052
6942.49 12.7409
6946.60 12.4104
6954.81 11.8261
6963.03 11.3224
6971.24 10.8826
6987.68 10.1509
7020.54 9.09014
7053.40 8.35999
7086.27 7.82781
7119.13 7.42325
7184.86 6.84969
7250.59 6.46309
7316.32 6.18507
7447.77 5.81203
7579.23 5.57319
7710.68 5.40704
7776.41 5.34156
7809.27 5.31217
7842.14 5.28474
7875.00 5.25915
7907.87 5.23549
7940.73 5.21583
7957.16 5.21812
7961.27 5.22935
7965.38 5.26658
7967.43 5.32089
7969.49 5.47642
7970.51 5.69070
7971.03 5.90232
7971.54 6.28183
7972.05 7.07086
7972.31 7.82974
7972.57 9.14997
7972.82 11.7815
7972.95 14.1845
7973.08 18.1657
7973.21 25.5278
7973.27 31.6877
7973.34 41.0260
7973.40 56.0425
7973.46 82.0133
7973.53 130.827
7973.56 171.123
7973.59 228.923
7973.65 362.633
7973.70 452.989
7973.75 362.874
7973.81 229.227
7973.85 154.624
7973.90 108.056
7973.94 79.0966
7973.99 60.3811
7974.08 38.9397
7974.17 27.7894
7974.26 21.3266
7974.35 17.2687
7974.53 12.6872
7974.71 10.2777
7974.89 8.86628
7975.25 7.36829
7975.61 6.62810
7975.96 6.21106
7976.68 5.78061
7977.40 5.57450
7978.12 5.45993
7979.56 5.34328
7982.44 5.25674
7985.31 5.22458
7991.06 5.19887
7996.81 5.18740
8019.82 5.16572
8065.84 5.13765
8111.85 5.11315
8157.86 5.09060
8203.88 5.06963
8249.89 5.05003
8341.92 5.01442
8525.97 4.95467
8710.03 4.90639
8894.09 4.86647
8986.11 4.84898
9078.14 4.83288
9170.17 4.81805
9262.20 4.80453
9308.21 4.79850
9354.22 4.79383
9377.23 4.79318
9400.24 4.79735
9411.74 4.80613
9423.24 4.83425
9429.00 4.87496
9431.87 4.91612
9434.75 4.99162
9437.62 5.15299
9439.06 5.31278
9440.50 5.60123
9441.22 5.84153
9441.94 6.20411
9442.66 6.78819
9443.38 7.81807
9443.74 8.65771
9444.09 9.89304
9444.45 11.8289
9444.81 15.0871
9445.17 21.2368
9445.35 26.5654
9445.53 34.8319
9445.71 48.7525
9445.89 74.1600
9445.98 95.4077
9446.07 126.804
9446.16 174.389
9446.25 245.586
9446.38 390.231
9446.50 486.772
9446.63 390.468
9446.75 245.892
9446.89 147.327
9447.02 95.0892
9447.16 65.9935
9447.29 48.6327
9447.43 37.5951
9447.56 30.1958
9447.83 21.2574
9448.10 16.2834
9448.37 13.2641
9448.91 9.93322
9449.45 8.23469
9449.99 7.25723
9450.53 6.64288
9451.07 6.23182
9452.15 5.73278
9453.23 5.45335
9454.32 5.28096
9455.40 5.16731
9457.56 5.03114
9459.72 4.95579
9464.04 4.87931
9468.36 4.84298
9472.69 4.82276
9481.33 4.80183
9498.62 4.78520
9515.91 4.77787
9550.49 4.76989
9585.06 4.76444
9654.22 4.75558
9723.38 4.74771
9861.69 4.73340
10000.0 4.72038
10227.9 4.70106
10455.9 4.68390
10683.8 4.66849
10911.8 4.65454
11139.7 4.64182
11367.6 4.63028
11481.6 4.62507
11595.6 4.62078
11652.6 4.61970
11709.5 4.62156
11738.0 4.62652
11752.3 4.63215
11766.5 4.64301
11780.8 4.66712
11787.9 4.69151
11795.0 4.73630
11798.6 4.77430
11802.1 4.83230
11805.7 4.92746
11809.3 5.09971
11811.0 5.24362
11812.8 5.46146
11814.6 5.81399
11816.4 6.43996
11817.3 6.95316
11818.2 7.71580
11819.0 8.91940
11819.9 10.9805
11820.8 14.9480
11821.3 18.5163
11821.7 24.1027
11822.2 34.0518
11822.6 52.9878
11822.8 70.5765
11823.1 97.1084
11823.3 140.376
11823.5 211.956
11823.8 340.042
11824.0 421.492
11824.3 334.800
11824.5 211.997
11824.7 150.937
11824.9 112.271
11825.2 67.8540
11825.6 44.9732
11825.9 32.6482
11826.2 24.9669
11826.6 20.1429
11827.3 14.4187
11828.0 11.3497
11828.7 9.52030
11830.0 7.55420
11831.4 6.56336
11832.8 6.00265
11834.2 5.65052
11835.5 5.41807
11838.3 5.13591
11841.0 4.97951
11843.8 4.88353
11846.5 4.82040
11852.0 4.74501
11857.5 4.70351
11868.6 4.66148
11879.6 4.64155
11890.6 4.63044
11912.6 4.61884
11956.6 4.60928
12000.6 4.60471
12088.7 4.59911
12176.8 4.59487
12352.9 4.58748
12529.0 4.58070
12705.1 4.57432
12881.3 4.56848
12969.3 4.56604
13057.4 4.56481
13101.4 4.56576
13145.5 4.57111
13167.5 4.57975
13178.5 4.58868
13189.5 4.60522
13200.5 4.64083
13206.0 4.67636
13211.5 4.74084
13214.3 4.79522
13217.0 4.87771
13219.8 5.01225
13222.5 5.25402
13223.9 5.45563
13225.3 5.75685
13226.6 6.24442
13228.0 7.09511
13228.7 7.79054
13229.4 8.81589
13230.1 10.4171
13230.8 13.0665
13231.5 18.0942
13231.8 22.5128
13232.1 29.1937
13232.5 40.6872
13232.8 61.0641
13233.0 77.7935
13233.2 102.172
13233.3 138.478
13233.5 192.418
13233.8 305.646
13234.0 376.326
13234.3 300.640
13234.5 188.411
13234.8 109.227
13235.1 68.9837
13235.4 47.3942
13235.7 35.1760
13235.9 27.2149
13236.2 22.1068
13236.8 15.8560
13237.4 12.4158
13237.9 10.3298
13239.1 8.04150
13240.2 6.88286
13241.4 6.21730
13242.5 5.80040
13243.6 5.52226
13245.9 5.18491
13248.2 4.99766
13250.5 4.88264
13252.8 4.80699
13257.3 4.71670
13261.9 4.66716
13271.0 4.61731
13280.1 4.59392
13289.3 4.58107
13307.5 4.56801
13344.0 4.55800
13380.5 4.55378
13453.5 4.54934
13526.5 4.54643
13599.5 4.54424
13672.5 4.54339
13709.0 4.54471
13745.5 4.55117
13763.8 4.56165
13772.9 4.57263
13782.0 4.59319
13791.1 4.63808
13795.7 4.68317
13800.3 4.76566
13802.6 4.83553
13804.8 4.94171
13807.1 5.11511
13809.4 5.42667
13810.5 5.68497
13811.7 6.07282
13812.8 6.69338
13814.0 7.77663
13815.1 9.92416
13815.7 11.8892
13816.2 15.1418
13816.8 21.0829
13817.1 26.1745
13817.4 33.6051
13817.7 45.9500
13817.9 66.4399
13818.2 106.074
13818.5 181.193
13818.8 290.595
13819.0 360.153
13819.3 286.250
13819.5 181.613
13819.7 132.732
13819.8 100.996
13820.1 63.0583
13820.4 42.6286
13820.7 31.3717
13821.0 24.2007
13821.3 19.6563
13821.9 14.2466
13822.5 11.2480
13823.1 9.47164
13824.3 7.51355
13825.6 6.52044
13826.8 5.95688
13828.0 5.60389
13829.2 5.36824
13831.6 5.08207
13834.0 4.92271
13836.5 4.82449
13838.9 4.75965
