Hg-202(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 249.213
1.25000E-05 222.903
1.50000E-05 203.482
2.00000E-05 176.220
2.75000E-05 150.281
3.50000E-05 133.210
4.25000E-05 120.886
5.00000E-05 111.451
6.25000E-05 99.6851
7.50000E-05 90.9996
0.000100000 78.8080
0.000125000 70.4880
0.000150000 64.3464
0.000200000 55.7256
0.000275000 47.5230
0.000350000 42.1246
0.000425000 38.2274
0.000500000 35.2439
0.000625000 31.5231
0.000750000 28.7765
0.00100000 24.9211
0.00125000 22.2901
0.00150000 20.3480
0.00200000 17.6218
0.00275000 15.0278
0.00350000 13.3207
0.00425000 12.0883
0.00500000 11.1448
0.00625000 9.96811
0.00750000 9.09953
0.0100000 7.88029
0.0125000 7.04824
0.0150000 6.43403
0.0200000 5.57185
0.0253000 4.95381
0.0314750 4.44119
0.0376500 4.06053
0.0500000 3.52326
0.0625000 3.15105
0.0750000 2.87627
0.100000 2.49052
0.125000 2.22723
0.150000 2.03284
0.200000 1.75992
0.275000 1.50014
0.350000 1.32909
0.500000 1.11092
0.750000 0.905598
1.00000 0.783008
1.50000 0.637268
2.00000 0.550119
2.75000 0.466892
3.50000 0.411875
5.00000 0.341321
7.50000 0.274315
10.0000 0.233868
15.0000 0.185133
20.0000 0.155525
27.5000 0.126837
35.0000 0.107635
50.0000 0.0827973
75.0000 0.0592745
100.000 0.0454423
150.000 0.0298057
200.000 0.0213251
275.000 0.0142609
350.000 0.0103543
425.000 0.00799101
500.000 0.00648104
625.000 0.00502055
750.000 0.00432022
875.000 0.00411102
1000.00 0.00433856
1176.75 0.00571995
1265.13 0.00732602
1353.50 0.0103694
1397.69 0.0129680
1441.88 0.0169582
1486.06 0.0235257
1530.25 0.0354693
1552.34 0.0455051
1574.44 0.0607956
1596.53 0.0857871
1618.63 0.130871
1629.67 0.168468
1640.72 0.225319
1651.77 0.317259
1662.81 0.480502
1668.34 0.614423
1671.10 0.703538
1673.86 0.813585
1675.24 0.878606
1676.62 0.951764
1678.00 1.03447
1679.38 1.12846
1680.08 1.18038
1680.77 1.23588
1681.46 1.29548
1682.15 1.35940
1683.53 1.50239
1684.91 1.66903
1686.29 1.86511
1687.67 2.09778
1689.05 2.37667
1690.43 2.71480
1691.81 3.13003
1693.19 3.64746
1694.57 4.30309
1695.95 5.14936
1697.34 6.26812
1698.72 7.78572
