Zn-66(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
5197.54 2.21138
5200.73 2.21285
5202.32 2.22416
5203.12 2.26669
5203.52 2.40019
5203.72 2.73334
5203.82 3.32724
5203.87 4.02627
5203.91 5.35679
5203.96 7.24398
5204.00 8.50044
5204.04 7.24169
5204.09 5.35023
5204.15 3.70281
5204.22 3.02761
5204.36 2.55133
5204.63 2.32184
5205.17 2.23958
5206.25 2.21437
5208.42 2.20643
5212.76 2.20226
5221.43 2.19699
5238.77 2.18732
5273.45 2.16879
5308.14 2.15370
5316.81 2.15305
5325.48 2.16000
5329.82 2.17394
5334.15 2.21775
5336.32 2.28022
5337.40 2.34265
5338.49 2.45591
5339.57 2.69366
5340.11 2.92475
5340.66 3.33345
5341.20 4.16043
5341.47 4.93408
5341.74 6.24620
5342.01 8.73378
5342.15 10.9141
5342.28 14.3197
5342.42 20.1373
5342.55 30.9367
5342.62 40.1576
5342.69 53.7894
5342.76 75.1832
5342.82 107.886
5342.91 171.409
5343.00 213.806
5343.09 171.512
5343.18 108.017
5343.25 74.1482
5343.32 52.6746
5343.39 38.9755
5343.46 30.0508
5343.60 19.4965
5343.74 13.8842
5343.87 10.5839
5344.01 8.49075
5344.29 6.09554
5344.57 4.83343
5344.85 4.08940
5345.40 3.29363
5345.96 2.89970
5346.52 2.67640
5347.63 2.44561
5348.74 2.33467
5349.85 2.27278
5352.08 2.20936
5356.52 2.16140
5360.97 2.14270
5369.87 2.12608
5378.76 2.11712
5414.35 2.09422
5485.52 2.05639
5627.86 1.98465
5912.55 1.84690
6197.23 1.71282
6339.57 1.64627
6410.74 1.61303
6446.33 1.59642
6464.12 1.58821
6473.02 1.58452
6477.47 1.58433
6479.69 1.59060
6480.80 1.61700
6481.36 1.70683
6481.64 1.96032
6481.77 2.49525
6481.84 3.26575
6481.91 5.16707
6482.00 8.76064
6482.09 5.17327
6482.14 3.50606
6482.20 2.71348
6482.31 2.09070
6482.54 1.76074
6482.99 1.63398
6483.90 1.59401
6485.71 1.58203
6489.33 1.57736
6496.57 1.57319
6511.06 1.56621
6540.03 1.55261
6597.96 1.52559
6655.90 1.49953
6684.87 1.49109
6692.11 1.49322
6699.36 1.50575
6702.98 1.52638
6706.60 1.58790
6708.41 1.67412
6709.31 1.75974
6710.22 1.91444
6711.12 2.23829
6711.58 2.55207
6712.03 3.10360
6712.48 4.21557
6712.71 5.24711
6712.93 6.98351
6713.16 10.2579
6713.27 13.0734
6713.39 17.4514
6713.50 24.7467
6713.61 38.0433
6713.67 49.1414
6713.73 65.1220
6713.78 89.5440
6713.84 125.538
6713.92 200.547
6714.00 249.788
6714.08 199.691
6714.16 125.703
6714.23 82.7275
6714.30 56.7736
6714.37 40.8798
6714.44 30.7249
6714.58 19.2196
6714.72 13.3296
6714.86 9.90772
6715.00 7.78203
6715.28 5.36976
6715.56 4.11047
6715.84 3.37705
6716.40 2.59776
6716.95 2.21378
6717.51 1.99742
6718.63 1.77447
6719.75 1.66753
6720.86 1.60804
6723.09 1.54717
6727.56 1.50128
6732.03 1.48348
6740.96 1.46780
6749.89 1.45947
6785.62 1.43842
6857.08 1.40332
7000.00 1.33450
7487.48 1.09357
7974.96 0.837336
8462.44 0.561665
8706.18 0.417197
8828.05 0.344332
8888.98 0.308080
8919.45 0.290093
8934.68 0.281245
8942.30 0.277257
8946.11 0.276914
8948.01 0.282975
8948.96 0.308244
8949.44 0.391731
8949.68 0.615583
8949.80 1.05322
8949.91 2.89635
8950.00 5.51834
8950.09 2.89327
8950.20 1.12189
8950.31 0.656131
8950.52 0.408586
8950.96 0.312793
8951.84 0.282372
8953.60 0.272967
8957.11 0.268697
8964.13 0.264026
8978.18 0.255704
9006.26 0.239432
9062.44 0.207588
9118.62 0.177548
9146.71 0.166909
9160.75 0.177908
9164.27 0.195215
9167.78 0.247474
9169.53 0.320727
9171.29 0.523483
9172.17 0.793385
9172.60 1.05193
9173.04 1.50174
9173.48 2.38852
9173.70 3.19724
9173.92 4.52080
9174.14 6.92526
9174.25 8.92407
9174.36 11.8836
9174.47 16.5931
9174.58 24.4355
9174.69 38.7041
9174.80 65.3964
9174.90 104.512
9175.00 130.817
9175.10 104.639
9175.20 65.5564
9175.28 44.8012
9175.36 31.6485
9175.44 23.2025
9175.51 17.6055
9175.67 10.9983
9175.83 7.50506
9175.98 5.43613
9176.14 4.13199
9176.45 2.63321
9176.77 1.84308
9177.08 1.37707
9177.70 0.878834
9178.96 0.490993
9180.21 0.345662
9182.71 0.236175
9185.21 0.195539
9190.22 0.164016
9195.22 0.151037
9215.24 0.130647
9255.29 0.108904
9335.37 0.0749213
9415.45 0.0503439
9455.49 0.0427475
9495.54 0.0392646
9535.58 0.0408920
9575.62 0.0489039
9615.66 0.0649413
9655.70 0.0911391
9695.74 0.130319
9735.79 0.186315
9775.83 0.265286
9795.85 0.321197
9805.86 0.378165
9808.36 0.416209
9810.86 0.510894
9812.12 0.634800
9813.37 0.969916
