Pb-204(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 33.2335
1.25000E-05 29.7249
1.50000E-05 27.1349
2.00000E-05 23.4994
2.75000E-05 20.0402
3.50000E-05 17.7637
4.25000E-05 16.1202
5.00000E-05 14.8621
6.25000E-05 13.2930
7.50000E-05 12.1348
0.000100000 10.5090
0.000125000 9.39946
0.000150000 8.58047
0.000200000 7.43087
0.000275000 6.33703
0.000350000 5.61716
0.000425000 5.09747
0.000500000 4.69962
0.000625000 4.20346
0.000750000 3.83720
0.00100000 3.32310
0.00125000 2.97226
0.00150000 2.71328
0.00200000 2.34976
0.00275000 2.00387
0.00350000 1.77623
0.00425000 1.61190
0.00500000 1.48610
0.00625000 1.32920
0.00750000 1.21339
0.0100000 1.05082
0.0125000 0.939877
0.0150000 0.857984
0.0200000 0.743033
0.0253000 0.660635
0.0314750 0.592297
0.0376500 0.541552
0.0500000 0.469935
0.0625000 0.420324
0.0750000 0.383702
0.100000 0.332297
0.125000 0.297217
0.150000 0.271322
0.200000 0.234973
0.275000 0.200389
0.350000 0.177628
0.500000 0.148618
0.750000 0.121352
1.00000 0.105099
1.50000 0.0858210
2.00000 0.0743302
2.75000 0.0633981
3.50000 0.0562045
5.00000 0.0470376
7.50000 0.0384245
10.0000 0.0332927
15.0000 0.0272099
20.0000 0.0235876
27.5000 0.0201454
35.0000 0.0178839
50.0000 0.0150085
75.0000 0.0123189
100.000 0.0107268
150.000 0.00886072
200.000 0.00777193
269.959 0.00682780
339.917 0.00624911
409.876 0.00602526
427.365 0.00614845
444.855 0.00666658
453.600 0.00746488
457.972 0.00828566
462.344 0.00980782
466.717 0.0130986
468.903 0.0163940
471.089 0.0224162
472.182 0.0274946
473.275 0.0352509
474.369 0.0479558
475.462 0.0709133
476.008 0.0900700
476.555 0.119027
477.101 0.165819
477.648 0.248699
477.921 0.316504
478.194 0.417046
478.468 0.575248
478.741 0.844858
479.014 1.36048
479.151 1.81469
479.288 2.53592
479.424 3.77688
