Ta-181(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
26.1960 1.38014
26.9513 1.04536
27.7066 0.939196
28.4619 0.956744
29.2171 1.17409
29.4060 1.35802
29.5948 1.81731
29.6892 2.39339
29.7364 2.92925
29.7836 3.83917
29.8308 5.57842
29.8544 7.11295
29.8780 9.56019
29.9016 13.7942
29.9252 21.9774
29.9370 29.1615
29.9488 40.3458
29.9606 58.4815
29.9724 88.2592
29.9862 140.546
30.0000 175.380
30.0138 140.487
30.0276 88.1907
30.0376 62.1827
30.0475 45.0470
30.0575 33.7448
30.0674 26.0968
30.0873 16.9157
30.1072 11.9218
30.1271 8.94312
30.1470 7.03646
30.1868 4.83839
30.2266 3.67453
30.2664 2.98929
30.3460 2.26340
30.5052 1.72779
30.6643 1.56123
31.3011 1.60761
31.9378 1.98423
32.5745 2.67604
33.2112 4.01932
33.5296 5.23312
33.8480 7.25940
34.1663 11.1357
34.3255 14.6524
34.4847 20.5731
34.5643 25.2502
34.6439 32.0330
34.7235 42.5078
34.7633 50.0794
34.8030 60.1474
34.8428 73.9960
34.8826 93.8396
34.9224 123.824
34.9622 172.337
35.0020 258.556
35.0219 329.127
35.0418 433.336
35.0617 595.388
35.0816 862.807
35.1015 1332.83
35.1214 2186.41
35.1407 3489.45
35.1600 4358.40
35.1793 3489.01
35.1986 2187.57
35.2193 1312.31
35.2399 842.667
35.2606 581.144
35.2813 425.614
35.3020 327.419
35.3226 262.363
35.3640 186.103
35.4053 147.158
35.4466 127.495
35.5293 121.174
35.5706 131.437
35.6120 152.563
35.6533 189.794
35.6947 254.799
35.7360 375.021
35.7567 475.066
35.7773 624.021
35.7980 856.843
35.8187 1242.59
35.8393 1922.55
35.8600 3159.89
35.8800 5044.45
35.9000 6299.00
35.9200 5039.60
35.9400 3153.30
35.9523 2333.02
35.9645 1756.70
35.9890 1066.94
36.0135 704.803
36.0380 497.284
36.0624 368.884
36.0869 284.488
36.1359 184.458
36.1849 129.874
36.2339 96.9262
36.3318 60.8547
36.4298 42.5957
36.5277 32.1203
36.7236 21.3164
36.9195 16.4024
37.1154 14.1270
37.5072 13.7776
37.7031 15.3525
37.8990 18.4808
38.0949 24.1418
38.2908 34.7120
38.3888 43.5363
38.4867 56.7456
38.5847 77.6894
38.6826 113.660
38.7316 142.144
38.7806 183.038
38.8295 244.654
38.8785 343.400
38.9275 515.377
38.9520 652.825
38.9765 850.792
39.0009 1148.11
39.0254 1615.41
39.0499 2382.74
39.0744 3661.17
39.1022 5855.25
39.1300 7314.78
39.1578 5847.99
39.1856 3653.50
39.2050 2590.68
39.2244 1880.94
39.2438 1407.17
39.2632 1083.45
39.3021 690.828
39.3409 475.048
39.3797 345.406
39.4185 261.959
39.4962 165.129
39.5738 113.426
39.6514 82.6967
39.7291 62.9769
39.8067 49.5829
39.9620 33.0782
40.1172 23.6825
40.2725 17.8269
40.4278 13.9302
40.7383 9.22232
41.0489 6.58851
41.3594 4.96309
41.6700 3.88729
42.2910 2.59191
42.9121 1.86809
43.5332 1.42162
44.1543 1.12702
45.3965 0.779184
46.6387 0.611229
47.2597 0.588251
47.8808 0.661386
48.1914 0.812995
48.3467 0.974552
48.5019 1.27438
48.6572 1.91059
48.7348 2.53038
48.8125 3.62502
48.8901 5.83188
48.9289 7.88667
48.9677 11.3520
49.0066 17.8697
49.0260 23.5083
49.0454 32.3046
49.0648 47.0322
49.0842 74.0719
49.0939 96.5865
49.1036 129.795
49.1133 180.085
49.1230 256.326
49.1365 410.160
49.1500 512.793
49.1635 410.042
49.1770 256.180
49.1899 161.179
49.2027 106.557
49.2156 74.4085
49.2284 54.4621
49.2542 32.4961
49.2799 21.4887
49.3056 15.2564
49.3313 11.4050
49.3828 7.10520
49.4342 4.89062
49.4856 3.60416
49.5885 2.24583
49.6914 1.58038
49.7943 1.20496
50.0000 0.816818
50.1804 0.646016
50.3608 0.543187
50.7215 0.428327
51.4430 0.328205
52.8860 0.255764
54.3290 0.231740
55.0505 0.238289
55.4113 0.272930
55.5014 0.304263
55.5916 0.381952
55.6367 0.474248
55.6818 0.682512
55.7044 0.900614
55.7269 1.31428
55.7382 1.67096
55.7495 2.21536
55.7607 3.07644
55.7720 4.44901
55.7860 6.97438
55.8000 8.65672
55.8140 6.97356
55.8280 4.44863
55.8412 2.90285
55.8543 2.00692
55.8675 1.47645
55.8806 1.14621
55.9069 0.781192
55.9333 0.598081
55.9859 0.431126
56.0385 0.361327
56.1437 0.308410
56.2490 0.293186
56.6700 0.332396
56.8804 0.413275
56.9857 0.493351
57.0909 0.635760
57.1962 0.926271
57.2488 1.20082
57.3014 1.67245
57.3540 2.58585
57.3804 3.40180
57.4067 4.71884
57.4330 7.03675
57.4593 11.6372
57.4724 15.7926
57.4856 22.4448
57.4988 33.6628
57.5119 52.9522
57.5260 84.5464
57.5400 105.589
57.5541 84.5267
57.5681 52.9282
57.5795 35.6980
57.5908 24.9135
57.6022 18.1093
57.6135 13.6626
57.6363 8.51097
57.6590 5.80444
57.6817 4.22462
57.7044 3.22893
57.7498 2.09633
57.7953 1.50396
57.8407 1.15727
57.9316 0.791145
58.0224 0.615087
58.1133 0.520737
58.2950 0.441791
58.4767 0.444533
58.6585 0.552320
58.7493 0.714198
58.7948 0.869545
58.8402 1.13596
58.8856 1.64603
58.9083 2.09482
58.9310 2.80627
58.9538 4.02622
58.9765 6.34635
58.9878 8.34998
58.9992 11.4166
59.0106 16.2793
59.0219 24.0454
59.0360 38.3160
59.0500 47.8366
59.0641 38.3070
59.0781 24.0343
59.0938 14.1491
59.1094 8.96752
59.1251 6.12412
59.1407 4.44720
59.1564 3.38881
59.1720 2.68399
59.2033 1.83781
59.2346 1.37129
59.2660 1.08843
59.3286 0.778942
59.3912 0.623495
59.4538 0.535645
59.5790 0.447889
59.8295 0.395663
60.0799 0.396543
60.5808 0.463469
61.0818 0.620003
61.5827 0.969535
61.8331 1.31894
62.0836 1.95228
62.2088 2.48167
62.3340 3.28317
62.4593 4.58061
62.5845 6.88555
62.6471 8.77700
62.7097 11.5899
62.7723 16.0359
62.8350 23.6639
62.8976 38.4012
62.9289 51.5235
62.9602 72.6169
62.9915 109.537
63.0071 139.180
63.0228 182.099
63.0385 246.992
63.0541 349.803
63.0698 520.570
63.0854 809.293
63.1027 1295.10
63.1200 1619.01
63.1373 1294.71
63.1546 808.816
63.1680 553.752
63.1813 390.797
63.1946 286.002
63.2080 216.581
63.2347 134.942
63.2614 91.4251
63.2881 65.8003
63.3147 49.5361
63.3681 30.9170
63.4215 21.1016
63.4749 15.3165
63.5283 11.6273
63.5816 9.13345
63.6884 6.07642
63.7951 4.34674
63.9019 3.27432
64.0086 2.56425
64.2222 1.71228
64.4357 1.24045
64.6492 0.952403
64.8627 0.763943
65.2897 0.541014
65.7167 0.419929
66.5707 0.301923
67.4248 0.251880
68.2788 0.230663
69.9869 0.232201
71.6949 0.284483
72.5490 0.342699
73.4030 0.447631
74.2570 0.661884
74.6840 0.865745
75.1110 1.22262
75.5381 1.94723
75.7516 2.63864
75.9651 3.85372
76.0718 4.84766
76.1786 6.32968
76.2853 8.69303
76.3921 12.8298
76.4455 16.1894
76.4989 21.1511
76.5522 28.9361
76.5789 34.6132
76.6056 42.1921
76.6323 52.6364
76.6590 67.5840
76.6857 90.0270
76.7124 125.854
76.7390 187.983
76.7524 237.461
76.7657 308.447
76.7791 414.614
76.7924 580.349
76.8058 850.313
76.8191 1296.10
76.8346 2074.01
76.8500 2593.12
76.8655 2073.61
76.8809 1295.79
76.8923 902.134
76.9037 645.518
76.9151 477.818
76.9265 365.170
76.9493 230.991
76.9721 158.597
76.9949 115.687
77.0177 88.3827
77.0633 57.2180
77.1089 41.1045
77.1545 32.0585
77.2457 24.1972
77.3369 24.5584
77.3825 28.1438
77.4281 35.7786
77.4737 51.7018
77.4965 66.0698
77.5193 88.9999
77.5421 128.255
77.5649 202.263
77.5763 265.371
77.5877 360.686
77.5991 509.179
77.6105 741.652
77.6253 1183.82
77.6400 1478.56
77.6548 1183.29
77.6695 740.783
77.6793 535.272
77.6891 395.093
77.7086 233.581
77.7282 151.910
77.7477 106.261
77.7673 78.4771
77.7868 60.4316
77.8259 39.2585
77.8651 27.8114
77.9042 20.9323
77.9824 13.4207
78.0606 9.62414
78.1388 7.45948
78.2953 5.33931
78.4517 4.76858
78.5299 5.00872
78.6081 5.82444
78.6864 7.84125
78.7255 9.83533
78.7646 13.2636
78.8037 19.7482
78.8232 25.3444
78.8428 34.0134
78.8624 48.3720
78.8819 74.2329
78.9015 125.905
78.9112 171.158
78.9210 237.904
78.9283 304.107
78.9355 379.809
78.9500 474.468
78.9645 379.691
78.9790 237.724
78.9944 142.943
79.0097 91.6311
79.0251 62.8100
79.0404 45.5204
79.0557 34.4714
79.0711 27.0393
79.1018 18.0278
79.1325 13.0003
79.1632 9.92056
79.2246 6.49754
79.2859 4.73207
79.3473 3.69842
79.4701 2.58770
79.5929 2.02713
79.7157 1.70242
79.9612 1.36386
80.4523 1.16772
80.9434 1.28067
81.4345 1.76092
81.6801 2.28829
81.9256 3.26680
82.0484 4.09130
82.1712 5.34340
82.2939 7.37477
82.4167 10.9907
82.4781 13.9626
82.5395 18.3902
82.6009 25.4031
82.6623 37.4748
82.6930 47.0756
82.7236 60.9207
82.7543 81.9209
82.7850 115.888
82.8157 175.891
82.8311 224.539
82.8464 295.567
82.8618 404.251
82.8771 579.245
82.8925 876.611
82.9078 1392.94
82.9239 2227.26
82.9400 2782.84
82.9561 2226.70
82.9722 1392.30
82.9886 850.302
83.0050 549.678
83.0213 377.715
83.0377 273.196
83.0541 205.875
83.0705 160.316
83.1032 104.764
83.1360 73.6638
83.1688 54.5929
83.2343 33.4621
83.2998 22.6650
83.3653 16.4343
83.4308 12.5238
83.4963 9.91720
83.6274 6.78721
83.7584 5.08351
83.8894 4.09816
84.0205 3.53452
84.2825 3.25913
84.4136 3.56714
84.5446 4.39178
84.6756 6.34800
84.7411 8.29615
84.8066 11.7240
84.8722 18.5040
84.9049 24.6581
84.9377 34.7332
84.9704 52.8297
84.9868 67.7456
85.0032 89.8933
85.0196 124.501
85.0360 181.951
85.0441 225.250
85.0523 283.652
85.0605 363.025
85.0687 469.830
85.0844 750.439
85.1000 937.188
85.1157 750.277
85.1313 469.629
85.1498 266.828
85.1682 164.083
